inventory_id,product_id,supplier_id,stock_quantity,reserved_quantity,minimum_stock_level,storage_cost,last_restocked_date
69,41,SUPP_395,371,18,15,1.41,2025-07-02
70,42,SUPP_480,123,27,22,8.49,2025-09-16
71,42,SUPP_255,334,6,25,13.49,2025-10-22
72,43,SUPP_7,222,41,6,2.27,2025-10-21
73,43,SUPP_322,113,9,24,5.94,2025-08-04
74,44,SUPP_249,120,43,25,4.84,2025-11-09
75,45,SUPP_164,136,40,8,4.37,2025-10-21
76,46,SUPP_387,0,0,25,1.22,2024-12-30
77,46,SUPP_70,0,0,17,2.64,2025-01-20
78,46,SUPP_119,0,0,16,1.66,2025-10-11
79,47,SUPP_280,0,0,19,44.08,2025-05-23
80,47,SUPP_400,146,28,13,50.9,2025-07-09
81,48,SUPP_444,465,43,30,2.8,2025-11-01
82,49,SUPP_185,9,2,0,3.83,2025-10-26
83,50,SUPP_444,150,41,18,4.56,2025-07-31
84,51,SUPP_495,71,22,25,13.08,2025-11-28
85,52,SUPP_317,0,0,18,0.7,2025-01-04
86,52,SUPP_40,409,2,16,0.82,2025-10-18
87,53,SUPP_495,0,0,30,16.81,2025-07-25
88,54,SUPP_198,7,0,0,1.97,2025-11-22
89,54,SUPP_259,19,7,0,2.86,2025-06-28
90,55,SUPP_407,0,0,14,15.42,2025-06-10
91,55,SUPP_49,0,0,6,16.92,2025-05-11
92,55,SUPP_232,0,0,9,26.7,2025-10-12
93,56,SUPP_205,0,0,20,4.18,2025-11-01
94,56,SUPP_187,201,13,27,9.97,2025-12-20
95,57,SUPP_52,0,0,30,1.57,2025-09-24
96,57,SUPP_378,0,0,11,1.32,2025-09-01
97,58,SUPP_103,278,40,30,5.41,2025-07-04
98,59,SUPP_417,4,2,0,2.71,2025-09-11
99,60,SUPP_424,0,0,25,7.27,2025-03-01
100,60,SUPP_33,271,39,24,6.52,2025-12-23
101,60,SUPP_108,69,7,9,25.74,2025-09-29
102,61,SUPP_48,20,10,0,2.14,2025-07-28
103,61,SUPP_121,14,4,0,1.72,2025-11-13
104,61,SUPP_347,4,0,0,0.6,2025-11-16
105,62,SUPP_482,407,46,26,0.34,2025-10-31
106,63,SUPP_273,90,13,26,8.86,2025-07-08
107,64,SUPP_280,0,0,16,6.54,2025-03-10
108,65,SUPP_330,0,0,15,2.1,2025-07-02
109,66,SUPP_444,6,3,0,5.02,2025-08-27
110,67,SUPP_203,4,4,0,0.67,2025-12-15
111,68,SUPP_279,0,0,8,6.36,2025-02-25
112,68,SUPP_31,119,37,30,11.31,2025-09-20
113,69,SUPP_39,2,0,0,1.4,2025-10-28
114,70,SUPP_46,292,18,13,3.84,2025-09-11
115,71,SUPP_248,0,0,13,4.25,2025-04-24
116,72,SUPP_126,0,0,12,16.59,2025-01-13
117,73,SUPP_192,0,0,7,5.49,2025-03-12
118,74,SUPP_29,0,0,23,0.99,2025-11-25
119,75,SUPP_447,117,28,13,3.14,2025-11-02
120,76,SUPP_380,7,0,0,0.95,2025-08-20
121,77,SUPP_138,0,0,25,6.52,2025-08-26
122,78,SUPP_352,70,10,19,20.54,2025-07-11
123,79,SUPP_498,377,24,26,1.96,2025-10-27
124,80,SUPP_204,13,3,0,1.4,2025-11-07
125,80,SUPP_173,3,2,0,1.66,2025-08-21
126,81,SUPP_160,29,13,24,4.98,2025-07-25
127,82,SUPP_11,7,2,0,3.39,2025-12-24
128,82,SUPP_189,5,2,0,2.72,2025-11-11
129,83,SUPP_231,311,49,9,15.02,2025-07-20
130,84,SUPP_47,450,37,11,0.68,2025-07-08
131,85,SUPP_183,474,15,14,3.43,2025-10-02
132,85,SUPP_335,319,18,17,7.07,2025-12-02
133,85,SUPP_298,493,23,14,6.25,2025-06-30
134,86,SUPP_358,0,0,20,3.75,2025-09-26
135,87,SUPP_38,0,0,9,0.97,2025-05-05
136,87,SUPP_288,258,32,21,1.73,2025-11-17
137,88,SUPP_110,373,11,19,0.24,2025-11-21
138,88,SUPP_276,40,2,12,0.38,2025-10-14
139,89,SUPP_314,120,6,28,3.31,2025-09-01
140,89,SUPP_13,130,24,27,4.73,2025-10-20
141,90,SUPP_381,0,0,11,5.09,2025-04-30
142,90,SUPP_459,0,0,23,24.13,2025-02-15
143,91,SUPP_108,0,0,22,17.76,2025-08-09
144,91,SUPP_118,0,0,23,18.79,2025-07-28
145,92,SUPP_86,3,2,18,8.82,2025-11-27
146,92,SUPP_123,0,0,22,30.91,2025-10-18
147,93,SUPP_309,113,10,18,4.89,2025-08-05
148,93,SUPP_86,277,0,14,5.88,2025-11-07
149,94,SUPP_358,11,1,5,3.33,2025-08-29
150,94,SUPP_360,475,8,28,2.74,2025-07-03
151,95,SUPP_7,285,13,21,0.4,2025-10-06
152,96,SUPP_218,0,0,6,0.67,2025-03-19
153,96,SUPP_205,0,0,5,0.7,2025-02-14
154,97,SUPP_267,0,0,9,3.41,2025-03-16
155,98,SUPP_376,110,13,11,0.32,2025-11-19
156,98,SUPP_409,235,49,19,0.19,2025-11-02
157,99,SUPP_292,160,37,15,2.7,2025-07-19
158,100,SUPP_249,64,10,17,3.36,2025-09-11
159,101,SUPP_249,0,0,23,4.92,2025-10-12
160,102,SUPP_361,478,41,12,2.7,2025-09-13
161,103,SUPP_28,221,0,25,6.17,2025-11-22
162,103,SUPP_375,124,45,13,4.92,2025-11-09
163,104,SUPP_302,311,7,23,15.45,2025-11-06
164,104,SUPP_220,341,25,22,11.52,2025-10-24
165,104,SUPP_329,360,14,11,3.2,2025-11-01
166,105,SUPP_238,10,1,0,1.56,2025-10-22
167,106,SUPP_70,16,0,0,3.08,2025-07-08
168,106,SUPP_352,15,0,0,1.41,2025-08-01
169,107,SUPP_213,0,0,20,2.35,2024-12-29
170,107,SUPP_171,0,0,9,2.32,2025-08-02
171,108,SUPP_294,0,0,18,8.5,2025-01-14
172,109,SUPP_3,261,23,25,56.79,2025-07-08
173,109,SUPP_111,467,27,29,48.01,2025-07-27
174,110,SUPP_333,6,1,0,2.56,2025-07-07
175,110,SUPP_309,0,0,0,3.54,2025-04-29
176,110,SUPP_109,4,2,0,3.62,2025-08-11
177,111,SUPP_439,0,0,27,2.77,2025-11-19
178,112,SUPP_239,0,0,19,1.68,2025-02-09
179,113,SUPP_347,431,32,18,1.6,2025-11-07
180,113,SUPP_373,442,11,13,1.21,2025-09-19
181,114,SUPP_158,370,41,13,46.4,2025-07-25
182,114,SUPP_442,380,28,29,56.79,2025-10-02
183,114,SUPP_236,322,39,25,21.34,2025-12-14
184,115,SUPP_234,48,6,19,6.71,2025-11-10
185,115,SUPP_112,206,29,9,3.45,2025-07-31
186,115,SUPP_401,437,28,16,3.38,2025-06-28
187,116,SUPP_467,316,0,9,6.05,2025-07-22
188,116,SUPP_168,90,40,21,7.65,2025-12-12
189,116,SUPP_214,25,0,28,8.9,2025-09-17
190,117,SUPP_126,109,39,25,2.06,2025-11-30
191,118,SUPP_153,11,0,0,4.49,2025-11-14
192,118,SUPP_446,12,4,0,3.24,2025-10-26
193,119,SUPP_229,407,39,18,0.82,2025-11-27
194,119,SUPP_381,334,31,25,1.91,2025-10-26
195,119,SUPP_261,238,1,22,1.19,2025-11-27
196,120,SUPP_193,0,0,5,4.42,2025-09-29
197,121,SUPP_475,12,3,0,29.64,2025-10-28
198,121,SUPP_267,3,1,0,10.21,2025-10-28
199,122,SUPP_310,0,0,9,34.94,2025-11-24
200,122,SUPP_121,263,49,13,36.34,2025-12-17
201,123,SUPP_55,0,0,16,0.86,2025-09-02
202,124,SUPP_297,159,30,8,13.65,2025-10-07
203,124,SUPP_498,0,0,15,13.12,2025-01-15
204,124,SUPP_84,172,38,9,3.16,2025-12-10
205,125,SUPP_401,0,0,5,6.32,2025-09-27
206,126,SUPP_225,5,1,0,4.03,2025-08-01
207,127,SUPP_133,442,32,8,34.91,2025-11-29
208,127,SUPP_40,369,36,19,31.47,2025-08-23
209,128,SUPP_186,0,0,8,1.96,2025-04-18
210,128,SUPP_118,0,0,13,1.35,2025-05-26
211,129,SUPP_483,347,13,18,14.02,2025-11-23
212,130,SUPP_154,119,10,23,1.23,2025-11-01
213,130,SUPP_369,139,45,22,3.17,2025-10-21
214,131,SUPP_432,11,0,0,18.65,2025-09-05
215,131,SUPP_56,15,0,0,33.17,2025-11-21
216,132,SUPP_495,104,42,8,2.17,2025-08-19
217,132,SUPP_462,152,40,11,5.15,2025-10-29
218,133,SUPP_87,0,0,29,52.15,2025-02-17
219,133,SUPP_101,0,0,9,31.05,2025-05-28
220,134,SUPP_427,56,19,15,7.21,2025-07-05
221,135,SUPP_234,0,0,7,0.21,2025-07-17
222,135,SUPP_289,140,19,12,0.88,2025-09-20
223,136,SUPP_237,2,0,5,6.23,2025-06-30
224,137,SUPP_44,89,44,7,13.37,2025-11-08
225,138,SUPP_31,294,34,12,13.09,2025-08-07
226,139,SUPP_70,8,4,15,2.19,2025-11-20
227,139,SUPP_238,275,26,16,8.29,2025-11-18
228,140,SUPP_474,0,0,29,3.82,2025-05-12
229,140,SUPP_137,0,0,8,1.96,2025-08-27
230,141,SUPP_294,220,24,13,10.81,2025-07-17
231,142,SUPP_404,456,10,19,4.97,2025-08-22
232,142,SUPP_303,475,35,15,6.07,2025-12-24
233,143,SUPP_149,17,2,0,5.78,2025-11-05
234,144,SUPP_76,0,0,24,1.48,2025-11-11
235,145,SUPP_435,0,0,17,18.36,2025-01-15
236,145,SUPP_66,3,3,29,5.8,2025-10-24
237,146,SUPP_275,468,45,19,1.84,2025-08-26
238,146,SUPP_259,1,1,19,1.64,2025-11-22
239,146,SUPP_424,156,5,20,1.25,2025-12-23
240,147,SUPP_447,15,4,28,1.48,2025-07-24
241,147,SUPP_166,172,49,27,1.54,2025-12-12
242,148,SUPP_456,9,0,0,4.95,2025-11-13
243,148,SUPP_168,20,3,0,2.64,2025-07-08
244,149,SUPP_64,0,0,21,0.67,2025-03-14
245,149,SUPP_196,0,0,9,0.5,2025-07-22
246,150,SUPP_153,406,15,11,4.8,2025-10-18
247,150,SUPP_375,7,2,8,8.65,2025-11-15
248,151,SUPP_257,0,0,29,19.4,2025-02-28
249,152,SUPP_465,0,0,27,2.4,2025-11-08
250,153,SUPP_112,65,23,29,5.14,2025-09-29
251,153,SUPP_251,160,17,6,3.27,2025-11-12
252,153,SUPP_371,38,11,9,1.95,2025-11-02
253,154,SUPP_337,221,50,9,1.98,2025-09-19
254,155,SUPP_50,217,3,16,40.13,2025-12-01
255,156,SUPP_113,19,7,0,0.63,2025-12-17
256,156,SUPP_309,0,0,0,3.08,2025-10-21
257,157,SUPP_256,0,0,30,0.59,2025-07-26
258,157,SUPP_114,0,0,13,1.17,2025-02-23
259,157,SUPP_363,0,0,29,0.5,2025-05-10
260,158,SUPP_85,276,4,20,0.13,2025-11-09
261,159,SUPP_142,143,44,25,3.55,2025-10-04
262,160,SUPP_75,335,36,29,12.0,2025-09-03
263,161,SUPP_338,0,0,19,0.66,2025-10-22
264,162,SUPP_212,0,0,23,15.15,2025-04-23
265,162,SUPP_136,275,26,13,10.14,2025-10-05
266,163,SUPP_351,0,0,13,8.57,2025-08-25
267,164,SUPP_188,313,12,19,12.68,2025-07-13
268,164,SUPP_122,28,9,8,36.31,2025-08-24
269,165,SUPP_98,268,1,19,2.55,2025-09-25
270,166,SUPP_227,4,3,0,0.79,2025-07-14
271,166,SUPP_431,7,1,0,1.16,2025-12-22
272,167,SUPP_495,216,18,5,8.39,2025-10-17
273,168,SUPP_299,0,0,12,0.31,2025-02-06
274,169,SUPP_321,291,48,10,3.03,2025-08-29
275,170,SUPP_9,470,21,27,2.75,2025-10-03
276,170,SUPP_402,352,47,21,2.45,2025-08-15
277,171,SUPP_64,27,0,21,17.94,2025-10-22
278,172,SUPP_285,391,6,12,0.2,2025-07-04
279,172,SUPP_422,476,3,8,0.4,2025-10-05
280,172,SUPP_5,125,37,14,0.73,2025-12-22
281,173,SUPP_471,0,0,30,7.4,2025-07-04
282,174,SUPP_358,112,49,9,6.56,2025-08-13
283,174,SUPP_36,63,19,25,6.99,2025-07-10
284,174,SUPP_179,371,25,24,4.06,2025-08-07
285,175,SUPP_220,199,48,20,1.41,2025-10-31
286,176,SUPP_168,0,0,20,2.2,2025-11-01
287,177,SUPP_95,205,7,18,3.21,2025-09-03
288,177,SUPP_145,246,16,23,1.21,2025-07-05
289,178,SUPP_449,37,9,16,14.04,2025-11-05
290,178,SUPP_13,428,29,10,5.53,2025-08-02
291,178,SUPP_167,9,2,19,4.44,2025-07-12
292,179,SUPP_398,0,0,11,0.81,2025-04-07
293,179,SUPP_167,90,26,25,0.87,2025-08-22
294,179,SUPP_272,288,14,15,0.89,2025-07-18
295,180,SUPP_339,0,0,13,8.51,2025-05-07
296,181,SUPP_36,7,3,0,13.36,2025-08-17
297,181,SUPP_412,14,6,0,7.29,2025-11-17
298,182,SUPP_457,6,0,26,2.63,2025-07-11
299,182,SUPP_262,431,45,21,5.75,2025-10-25
300,182,SUPP_149,42,16,25,5.15,2025-08-03
301,183,SUPP_494,175,21,16,0.59,2025-10-04
302,183,SUPP_441,130,20,6,0.63,2025-11-24
303,183,SUPP_465,7,1,22,0.46,2025-12-16
304,184,SUPP_234,31,11,26,4.15,2025-07-19
305,185,SUPP_93,0,0,12,0.97,2025-10-29
306,186,SUPP_442,3,0,21,14.16,2025-10-18
307,187,SUPP_111,3,3,10,0.83,2025-11-18
308,187,SUPP_342,84,5,5,3.73,2025-07-31
309,187,SUPP_84,360,37,27,5.58,2025-12-22
310,188,SUPP_282,273,47,21,0.44,2025-08-31
311,188,SUPP_404,278,40,16,0.21,2025-10-05
312,188,SUPP_397,315,26,12,0.5,2025-09-24
313,189,SUPP_336,0,0,17,5.95,2025-09-01
314,190,SUPP_444,482,20,18,0.64,2025-09-01
315,190,SUPP_415,355,44,21,1.69,2025-09-23
316,190,SUPP_427,350,20,7,1.47,2025-09-21
317,191,SUPP_290,209,50,15,14.34,2025-10-06
318,192,SUPP_266,0,0,20,18.04,2025-08-21
319,192,SUPP_210,0,0,27,15.3,2025-08-24
320,192,SUPP_388,0,0,26,42.73,2025-01-04
321,193,SUPP_32,10,0,0,24.84,2025-11-25
322,193,SUPP_178,3,2,0,50.57,2025-09-04
323,194,SUPP_116,217,37,18,4.14,2025-07-06
324,195,SUPP_218,15,0,25,0.53,2025-09-11
325,195,SUPP_471,268,15,14,0.42,2025-08-31
326,196,SUPP_84,0,0,14,0.54,2025-10-30
327,196,SUPP_193,0,0,21,1.73,2025-10-24
328,196,SUPP_220,0,0,25,0.56,2025-08-02
329,197,SUPP_341,0,0,26,3.97,2025-10-25
330,197,SUPP_292,0,0,30,1.22,2025-05-08
331,198,SUPP_392,5,0,0,11.66,2025-07-08
332,199,SUPP_261,17,5,0,25.52,2025-08-08
333,199,SUPP_457,18,5,0,5.98,2025-08-23
334,199,SUPP_147,13,5,0,8.82,2025-09-12
335,200,SUPP_148,7,1,0,4.37,2025-08-21
336,201,SUPP_105,5,4,0,1.89,2025-10-01
337,201,SUPP_491,14,0,0,0.7,2025-11-10
338,202,SUPP_104,268,7,16,1.03,2025-10-18
339,203,SUPP_474,441,23,7,6.59,2025-09-02
340,204,SUPP_272,12,3,0,8.04,2025-12-01
341,205,SUPP_63,458,43,8,10.16,2025-08-04
342,206,SUPP_139,460,50,24,11.09,2025-09-30
343,206,SUPP_259,2,2,14,20.02,2025-10-15
344,206,SUPP_174,11,3,20,15.74,2025-10-17
345,207,SUPP_243,6,3,0,4.1,2025-09-20
346,207,SUPP_385,2,0,0,5.12,2025-12-11
347,208,SUPP_85,182,35,25,14.18,2025-11-04
348,209,SUPP_199,143,38,21,0.63,2025-10-19
349,209,SUPP_308,122,20,28,0.6,2025-08-15
350,210,SUPP_420,13,0,0,5.12,2025-08-17
351,210,SUPP_60,18,1,0,2.35,2025-10-07
352,210,SUPP_333,8,0,0,6.11,2025-11-14
353,211,SUPP_317,0,0,24,1.04,2025-10-31
354,211,SUPP_168,14,1,22,1.16,2025-07-10
355,212,SUPP_46,234,3,30,1.85,2025-07-15
356,212,SUPP_426,381,32,5,0.56,2025-07-17
357,213,SUPP_328,0,0,14,1.57,2025-01-19
358,213,SUPP_355,0,0,7,2.63,2025-09-05
359,214,SUPP_45,405,36,17,2.85,2025-11-24
360,214,SUPP_284,344,12,28,1.49,2025-08-01
361,215,SUPP_422,361,15,26,9.64,2025-11-06
362,215,SUPP_51,0,0,14,3.62,2025-01-07
363,215,SUPP_452,21,6,14,9.17,2025-10-13
364,216,SUPP_376,67,30,7,2.12,2025-07-28
365,216,SUPP_441,270,16,7,5.19,2025-09-21
366,217,SUPP_244,441,33,11,3.71,2025-07-24
367,218,SUPP_273,5,0,0,1.12,2025-09-10
368,219,SUPP_303,171,41,5,40.59,2025-11-08
369,219,SUPP_157,12,4,22,15.92,2025-12-21
370,220,SUPP_75,182,42,16,5.85,2025-07-14
371,221,SUPP_437,76,20,8,4.23,2025-07-15
372,222,SUPP_72,0,0,12,0.97,2025-11-03
373,223,SUPP_355,0,0,0,2.47,2025-02-15
374,224,SUPP_268,454,9,18,4.08,2025-08-02
375,224,SUPP_444,148,17,23,9.78,2025-07-06
376,225,SUPP_22,51,13,22,9.22,2025-11-23
377,226,SUPP_462,278,25,24,14.58,2025-11-18
378,227,SUPP_389,0,0,14,5.89,2025-11-12
379,228,SUPP_337,483,8,30,4.58,2025-07-05
380,228,SUPP_86,145,9,21,1.88,2025-11-03
381,228,SUPP_23,162,50,30,6.09,2025-09-15
382,229,SUPP_183,143,44,22,1.91,2025-10-30
383,230,SUPP_30,0,0,30,0.9,2025-03-13
384,230,SUPP_384,71,0,29,0.31,2025-09-08
385,231,SUPP_195,194,25,23,0.57,2025-07-19
386,232,SUPP_129,328,23,18,8.24,2025-08-10
387,233,SUPP_154,416,4,18,2.37,2025-12-20
388,233,SUPP_57,290,15,23,11.28,2025-07-23
389,234,SUPP_421,457,38,15,4.49,2025-11-27
390,235,SUPP_264,5,5,23,0.32,2025-09-27
391,235,SUPP_472,141,5,7,0.39,2025-08-26
392,235,SUPP_439,1,0,21,0.19,2025-08-08
393,236,SUPP_126,0,0,27,4.34,2025-09-13
394,237,SUPP_428,0,0,7,0.35,2025-11-01
395,237,SUPP_487,268,11,12,0.74,2025-07-17
396,238,SUPP_481,0,0,24,34.85,2025-04-19
397,238,SUPP_410,485,32,18,35.41,2025-11-27
398,239,SUPP_467,0,0,24,5.87,2025-05-27
399,240,SUPP_202,214,44,24,12.63,2025-10-14
400,241,SUPP_212,0,0,12,2.72,2025-08-04
401,241,SUPP_324,0,0,14,3.03,2025-07-08
402,242,SUPP_247,0,0,29,2.8,2025-04-16
403,243,SUPP_375,281,49,22,2.7,2025-10-09
404,243,SUPP_164,84,23,13,1.05,2025-11-06
405,244,SUPP_186,4,0,0,3.12,2025-07-29
406,245,SUPP_483,152,34,23,9.49,2025-08-14
407,245,SUPP_220,184,29,16,5.87,2025-10-08
408,246,SUPP_112,20,1,0,7.14,2025-11-11
409,246,SUPP_445,12,1,0,7.72,2025-07-12
410,247,SUPP_349,0,0,7,5.31,2025-04-01
411,248,SUPP_277,161,18,5,30.44,2025-12-02
412,249,SUPP_186,483,6,5,8.96,2025-09-05
413,250,SUPP_426,0,0,25,7.87,2025-08-25
414,250,SUPP_350,99,48,10,7.46,2025-11-26
415,251,SUPP_58,0,0,17,6.4,2025-04-24
416,252,SUPP_374,9,1,0,2.9,2025-07-20
417,252,SUPP_306,0,0,0,2.33,2024-12-28
418,253,SUPP_253,237,11,20,3.27,2025-11-26
419,253,SUPP_404,483,11,20,4.63,2025-11-13
420,254,SUPP_116,217,44,9,1.38,2025-08-15
421,254,SUPP_114,3,1,17,0.5,2025-09-16
422,255,SUPP_405,6,1,0,6.54,2025-08-01
423,255,SUPP_249,2,1,0,4.36,2025-07-31
424,255,SUPP_145,17,0,0,2.19,2025-08-07
425,256,SUPP_493,496,31,16,3.17,2025-09-09
426,256,SUPP_189,8,4,10,2.42,2025-09-28
427,256,SUPP_474,462,34,19,2.01,2025-10-31
428,257,SUPP_388,10,4,0,3.36,2025-12-10
429,257,SUPP_121,18,1,0,4.81,2025-07-06
430,258,SUPP_383,218,14,15,3.51,2025-11-21
431,258,SUPP_370,4,0,26,4.2,2025-11-30
432,259,SUPP_162,353,21,19,2.35,2025-07-10
433,259,SUPP_315,116,46,22,2.9,2025-11-28
434,260,SUPP_273,489,15,8,21.34,2025-11-30
435,261,SUPP_478,32,15,27,16.47,2025-07-25
436,262,SUPP_31,5,5,29,5.08,2025-11-20
437,263,SUPP_13,0,0,27,4.55,2025-09-17
438,264,SUPP_106,0,0,30,1.24,2025-05-22
439,264,SUPP_136,0,0,18,0.47,2025-07-28
440,265,SUPP_176,0,0,5,13.88,2025-09-05
441,265,SUPP_357,0,0,28,11.75,2025-10-29
442,265,SUPP_41,0,0,5,20.32,2025-03-27
443,266,SUPP_261,96,11,30,29.18,2025-10-18
444,267,SUPP_309,0,0,25,9.65,2025-03-14
445,267,SUPP_342,0,0,23,5.09,2025-05-26
446,268,SUPP_302,18,4,0,9.59,2025-08-16
447,269,SUPP_312,0,0,7,1.64,2025-02-16
448,269,SUPP_242,0,0,16,1.73,2025-06-29
449,270,SUPP_133,384,21,16,10.07,2025-10-03
450,270,SUPP_47,151,44,16,11.7,2025-08-01
451,271,SUPP_351,7,0,21,15.67,2025-08-11
452,272,SUPP_456,8,1,10,1.97,2025-11-26
453,272,SUPP_199,256,31,5,3.93,2025-08-29
454,273,SUPP_83,0,0,9,4.0,2025-06-29
455,273,SUPP_143,0,0,23,6.44,2025-06-24
456,274,SUPP_449,0,0,25,1.37,2025-11-03
457,274,SUPP_20,0,0,8,3.26,2025-01-20
458,274,SUPP_281,8,2,26,1.71,2025-08-30
459,275,SUPP_204,0,0,14,4.03,2025-05-24
460,275,SUPP_297,0,0,30,4.46,2025-09-30
461,275,SUPP_76,294,15,13,3.08,2025-07-23
462,276,SUPP_110,10,1,0,3.42,2025-09-18
463,276,SUPP_66,4,3,0,7.56,2025-12-23
464,277,SUPP_244,297,21,5,0.81,2025-10-14
465,277,SUPP_233,10,0,21,3.99,2025-10-20
466,278,SUPP_152,249,25,24,1.63,2025-07-11
467,279,SUPP_88,18,1,0,14.25,2025-11-01
468,280,SUPP_426,77,36,10,11.47,2025-07-28
469,280,SUPP_274,427,29,30,4.44,2025-09-13
470,280,SUPP_174,401,44,5,5.79,2025-10-28
471,281,SUPP_470,0,0,8,1.79,2025-01-21
472,281,SUPP_109,0,0,23,0.55,2025-10-09
473,282,SUPP_49,10,3,0,1.03,2025-11-13
474,282,SUPP_134,16,1,0,2.04,2025-10-31
475,283,SUPP_412,482,46,30,11.79,2025-11-07
476,284,SUPP_335,141,37,22,10.1,2025-12-20
477,285,SUPP_195,0,0,26,14.22,2025-03-25
478,286,SUPP_85,348,40,7,27.86,2025-11-25
479,286,SUPP_307,52,4,9,25.31,2025-10-10
480,286,SUPP_371,388,35,19,9.46,2025-12-21
481,287,SUPP_39,498,24,22,4.98,2025-08-30
482,288,SUPP_342,393,0,13,2.11,2025-07-02
483,289,SUPP_95,500,23,18,10.89,2025-07-29
484,289,SUPP_352,402,17,18,13.92,2025-09-01
485,290,SUPP_439,56,1,29,0.31,2025-12-15
486,290,SUPP_71,0,0,23,0.14,2025-05-24
487,290,SUPP_474,38,9,25,0.46,2025-07-25
488,291,SUPP_340,0,0,21,21.44,2025-10-02
489,292,SUPP_211,5,0,0,2.82,2025-10-07
490,293,SUPP_495,333,5,8,20.78,2025-11-11
491,294,SUPP_413,109,13,5,32.82,2025-08-16
492,295,SUPP_10,346,16,16,1.9,2025-11-13
493,296,SUPP_115,0,0,14,4.59,2025-06-02
494,297,SUPP_492,13,2,0,1.21,2025-07-01
495,297,SUPP_64,12,4,0,1.14,2025-11-02
496,298,SUPP_42,7,3,28,0.77,2025-10-03
