product_id,product_name,sku,category_id,category,sub_category,brand,cost_price,sell_price,launch_date,weight,dimensions,color,size,material,supplier_id
33,Solo Artist CD Collection,SIM-MUSI-00033,38,Music,Seasonal,Simon & Schuster,40.05,62.37,2024-04-02,0.0,NaN,NaN,NaN,NaN,
34,Weber TV Stand Metal,WEB-LIVI-00034,70,Living Room Furniture,Bestseller,Weber,352.17,946.98,2018-03-20,4.92,18.1x18.6x45.6,Gray,NaN,NaN,
35,Dyson Comforter Set Beige,DYS-BEDD-00035,24,Bedding,Featured,Dyson,382.92,601.24,2021-01-25,2.3,28.0x62.0x28.9,NaN,NaN,Fabric,
36,Samsung Smart Watch Purple,SAM-WEAR-00036,15,Wearable Technology,NaN,Samsung,714.09,1213.75,2021-03-13,2.77,18.2x20.5x54.9,Blue,NaN,Aluminum,
37,Scotts Bookshelf Wood,SCO-OFFI-00037,72,Office Furniture,NaN,Scotts,244.92,660.53,2016-09-26,32.73,85.0x27.5x54.1,NaN,NaN,Bamboo,
38,Gap Mens Shelf Space Gray XL,GAP-MENS-00038,17,Mens Clothing,Seasonal,Gap,90.06,153.42,2021-09-27,1.08,72.3x65.6x48.4,Black,S,Denim,
39,Mattel Strategy Game,MAT-BOAR-00039,41,Board Games,Seasonal,Mattel,22.65,59.03,2016-04-28,5.26,85.0x7.3x16.5,NaN,NaN,NaN,
40,Organic Valley Organic Pasta,ORG-PANT-00040,47,Pantry Staples,NaN,Organic Valley,10.26,28.74,2016-01-02,9.35,53.3x5.4x4.6,Navy,NaN,NaN,
41,Olay Lipstick Green,OLA-MAKE-00041,33,Makeup,NaN,Olay,130.87,199.76,2016-08-28,3.65,58.7x59.1x46.6,NaN,NaN,NaN,
42,Garmin Digital Camera Gold,GAR-CAME-00042,14,Cameras,Clearance,Garmin,724.78,1313.65,2023-09-01,0.72,49.0x67.6x5.5,Blue,NaN,Glass,
43,Braun Vitamin C,BRA-VITA-00043,53,Vitamins,Featured,Braun,148.57,259.85,2016-07-14,0.33,71.3x20.9x56.6,Red,NaN,NaN,
44,Scotts Wall Art Print,SCO-HOME-00044,26,Home Decor,NaN,Scotts,159.69,326.93,2019-11-10,49.96,99.9x37.8x4.5,White,NaN,Glass,
45,Barbie STEM Learning Kit,BAR-EDUC-00045,44,Educational Toys,New Arrivals,Barbie,77.28,217.29,2018-01-22,3.61,38.3x44.4x39.6,NaN,NaN,NaN,
46,Pottery Barn Comforter Set Red,POT-BEDD-00046,24,Bedding,Featured,Pottery Barn,144.94,269.64,2016-05-04,6.35,94.4x18.3x15.1,NaN,NaN,NaN,
47,Williams-Sonoma Table Lamp White,WIL-HOME-00047,26,Home Decor,NaN,Williams-Sonoma,67.14,85.17,2024-01-20,32.72,50.6x28.5x51.3,NaN,NaN,Plastic,
48,"JBL 5000 Laptop 27"" 512GB",JBL-LAPT-00048,12,Laptops,NaN,JBL,427.0,746.22,2023-03-29,0.21,51.8x21.7x13.5,Space Gray,128GB,Stainless Steel,
49,General Mills Natural Pants,GEN-ORGA-00049,48,Organic Foods,Seasonal,General Mills,3.38,8.98,2018-06-14,1.7,78.5x44.7x16.0,Purple,NaN,NaN,
50,Philips Pulse Oximeter,PHI-WELL-00050,56,Wellness Devices,NaN,Philips,111.09,175.24,2016-07-14,6.92,81.9x15.3x57.5,Silver,NaN,NaN,
51,Adidas Mens Cabinet Blue S,ADI-MENS-00051,17,Mens Clothing,Seasonal,Adidas,80.28,188.65,2025-03-16,0.15,6.5x67.0x15.2,White,XXL,Wool,
52,Kelloggs Natural Table,KEL-ORGA-00052,48,Organic Foods,Seasonal,Kelloggs,36.11,105.12,2020-02-05,7.37,75.5x74.0x26.7,NaN,NaN,NaN,
53,Williams-Sonoma Kitchen Shirt Set,WIL-KITC-00053,23,Kitchen,Bestseller,Williams-Sonoma,436.88,1144.2,2024-06-06,42.3,40.7x36.7x34.9,Orange,NaN,Wood,
54,Microsoft iPhone 1 Pro Max 512GB,MIC-IPHO-00054,57,iPhone,NaN,Microsoft,568.9,1494.0,2025-06-18,4.52,35.2x59.9x25.9,White,1TB,Plastic,
55,Weber Garden Tool Set,WEB-GARD-00055,25,Garden Supplies,New Arrivals,Weber,103.04,304.12,2024-05-20,4.27,25.7x52.9x31.8,Blue,NaN,NaN,
56,Trek Yoga Mat Pink,TRE-YOGA-00056,75,Yoga & Pilates,NaN,Trek,169.86,409.39,2025-10-15,4.29,22.9x54.7x6.8,NaN,NaN,NaN,
57,Logitech Soundbar System,LOG-SPEA-00057,63,Speakers,NaN,Logitech,330.24,864.44,2018-12-25,1.33,44.7x15.6x42.4,Blue,NaN,Carbon Fiber,
58,Thule Brake Pads,THU-CARP-00058,49,Car Parts,NaN,Thule,48.85,68.4,2017-11-16,6.18,81.2x16.9x53.6,Silver,NaN,NaN,
59,Levis Running Shoes White,LEV-FOOT-00059,20,Footwear,NaN,Levis,137.58,234.15,2022-01-11,0.79,36.1x65.5x12.6,Green,S,Denim,
60,Journey Home by Emily White,HAC-NONF-00060,37,Non-Fiction,NaN,Hachette,75.29,125.84,2016-11-21,0.0,NaN,Black,NaN,NaN,
61,Journey Home Hardcover Edition,HAC-FICT-00061,36,Fiction,NaN,Hachette,25.6,57.63,2023-06-24,0.0,NaN,Black,NaN,NaN,
62,Bose Smart Watch Brown,BOS-WEAR-00062,15,Wearable Technology,NaN,Bose,699.22,1379.33,2017-06-17,1.25,54.1x61.7x43.3,Blue,NaN,Aluminum,
63,LOreal Styling Gel,LOR-HAIR-00063,34,Hair Care,Bestseller,LOreal,147.53,406.16,2022-08-13,9.79,75.6x15.5x46.6,NaN,NaN,NaN,
64,Gap Mens Winter Coat Blue,GAP-MENS-00064,66,Mens Outerwear,NaN,Gap,11.1,25.71,2024-04-28,1.26,92.0x16.2x15.2,Pink,XL,Polyester,
65,Estee Lauder Lipstick Navy,EST-MAKE-00065,33,Makeup,NaN,Estee Lauder,22.61,61.02,2018-06-07,6.18,21.5x45.2x9.5,Blue,NaN,NaN,
66,Neutrogena Body Mist,NEU-FRAG-00066,35,Fragrances,Featured,Neutrogena,73.42,203.17,2020-02-27,7.51,20.1x23.9x19.0,NaN,NaN,NaN,
67,Hot Wheels Empire Board Game,HOT-BOAR-00067,41,Board Games,Seasonal,Hot Wheels,34.0,60.49,2023-12-03,5.87,65.0x25.1x50.5,NaN,NaN,NaN,
68,Maybelline Styling Gel,MAY-HAIR-00068,34,Hair Care,Bestseller,Maybelline,58.48,145.25,2023-12-17,2.03,33.6x54.5x28.0,NaN,NaN,NaN,
69,Nestle Natural Table,NES-ORGA-00069,48,Organic Foods,Seasonal,Nestle,30.51,64.86,2019-05-25,8.31,38.9x52.0x2.2,NaN,NaN,NaN,
70,Fitbit Pre-Workout,FIT-FITN-00070,54,Fitness Supplements,Clearance,Fitbit,50.49,114.91,2026-02-04,8.47,84.6x47.9x47.8,NaN,NaN,NaN,
71,Calvin Klein Womens Blouse Red M,CAL-TOPS-00071,68,Tops,NaN,Calvin Klein,42.62,110.38,2017-01-28,0.76,90.1x45.7x10.6,Orange,XS,Denim,
72,Cuisinart Executive Desk Wood,CUI-OFFI-00072,72,Office Furniture,NaN,Cuisinart,205.44,462.01,2022-08-02,41.81,52.6x41.6x29.3,Black,NaN,NaN,
73,Nerf Fashion Doll,NER-DOLL-00073,43,Dolls,Seasonal,Nerf,37.95,104.94,2020-08-28,9.85,62.0x11.3x39.4,NaN,NaN,NaN,
74,Cuisinart Lawn Mower,CUI-GARD-00074,25,Garden Supplies,New Arrivals,Cuisinart,343.35,746.97,2025-03-07,17.8,18.8x72.6x8.7,NaN,NaN,NaN,
75,Adidas Womens Sweater Pink,ADI-TOPS-00075,68,Tops,NaN,Adidas,120.46,339.97,2017-07-21,0.1,13.8x46.0x53.7,Gray,XS,Leather,
76,Crate & Barrel Table Lamp Pink,CRA-HOME-00076,26,Home Decor,NaN,Crate & Barrel,440.08,845.51,2025-06-11,44.73,90.3x25.2x36.9,Red,NaN,Glass,
77,Silent Waters Guide Book,SON-NONF-00077,37,Non-Fiction,NaN,Sony Music,38.52,46.43,2019-07-19,0.0,NaN,Yellow,NaN,NaN,
78,Silent Waters Blu-ray,HAR-MOVI-00078,39,Movies,Featured,HarperCollins,48.44,88.98,2023-09-16,0.0,NaN,NaN,NaN,NaN,
79,Pantene Cologne,PAN-FRAG-00079,35,Fragrances,Featured,Pantene,15.57,41.54,2017-03-12,5.35,49.1x36.8x16.5,NaN,NaN,NaN,
80,Centrum Massage Gun,CEN-WELL-00080,56,Wellness Devices,NaN,Centrum,31.0,85.74,2026-03-30,6.16,88.8x28.7x7.4,Beige,NaN,NaN,
81,Zara Mens Winter Coat Purple,ZAR-MENS-00081,66,Mens Outerwear,NaN,Zara,52.49,123.92,2021-02-28,0.42,75.6x33.1x50.0,Yellow,M,Silk,
82,Lenovo Portable Speaker Gold,LEN-SPEA-00082,63,Speakers,NaN,Lenovo,410.61,931.55,2022-01-04,3.94,11.2x79.8x18.1,Black,NaN,Carbon Fiber,
83,Mystery of Time by Emily White,PEN-NONF-00083,37,Non-Fiction,NaN,Penguin,18.01,35.12,2016-07-04,0.0,NaN,NaN,NaN,NaN,
84,Cuisinart Kitchen Table Set,CUI-KITC-00084,23,Kitchen,Bestseller,Cuisinart,420.1,1161.5,2022-06-09,1.84,48.1x45.8x46.7,NaN,NaN,Metal,
85,REI Mountain Bike Pink,REI-CYCL-00085,31,Cycling,Featured,REI,65.61,191.07,2021-08-29,3.96,66.7x20.7x4.7,NaN,NaN,NaN,
86,Kelloggs Green Tea,KEL-BEVE-00086,46,Beverages,Bestseller,Kelloggs,48.21,117.94,2018-08-06,0.96,59.6x10.4x54.3,Pink,NaN,NaN,
87,Unilever Organic Table,UNI-ORGA-00087,48,Organic Foods,Seasonal,Unilever,7.86,23.29,2022-01-14,9.8,82.0x59.1x12.0,NaN,NaN,NaN,
88,Gap Kids Hoodie Beige,GAP-KIDS-00088,19,Kids Clothing,NaN,Gap,144.2,332.31,2025-10-21,1.69,97.5x74.8x35.5,White,L,Nylon,
89,Sony iPhone 14 Pro Max 128GB,SON-IPHO-00089,57,iPhone,NaN,Sony,283.5,513.91,2019-11-27,4.07,72.5x11.7x13.6,Gold,256GB,Plastic,
90,Levis Womens Sweater Pink,LEV-TOPS-00090,68,Tops,NaN,Levis,54.02,85.57,2024-01-23,1.15,14.5x36.8x46.2,Blue,XXL,Linen,
91,General Mills Organic Pants,GEN-ORGA-00091,48,Organic Foods,Seasonal,General Mills,27.72,59.47,2021-06-21,7.83,80.2x60.1x19.5,Brown,NaN,NaN,
92,Sony Pixel 7 64GB,SON-ANDR-00092,58,Android Phones,New Arrivals,Sony,208.67,476.17,2017-08-09,4.63,65.6x16.0x21.4,Gold,NaN,Plastic,
93,Fitbit Soundbar System,FIT-SPEA-00093,63,Speakers,NaN,Fitbit,662.55,899.07,2019-05-17,4.76,57.2x16.9x56.2,Gold,NaN,Stainless Steel,
94,Meguiars Seat Covers Black,MEG-CARA-00094,50,Car Accessories,Clearance,Meguiars,234.32,548.84,2017-12-25,7.58,93.0x55.6x52.8,Green,NaN,NaN,
95,Patagonia Hiking Backpack Silver,PAT-OUTD-00095,28,Outdoor Recreation,New Arrivals,Patagonia,77.86,133.22,2024-11-25,1.43,18.5x10.5x37.8,NaN,NaN,NaN,
96,Pottery Barn Cotton Sheet Set White,POT-BEDD-00096,24,Bedding,Featured,Pottery Barn,230.56,656.65,2016-09-14,40.14,82.7x35.3x32.8,Blue,NaN,Fabric,
97,Nature Made Vitamin C,NAT-VITA-00097,53,Vitamins,Featured,Nature Made,79.83,122.94,2023-06-01,2.67,99.6x37.4x17.0,Green,NaN,NaN,
98,Nike Soccer Ball,NIK-TEAM-00098,29,Team Sports,Featured,Nike,196.52,293.39,2017-08-25,7.42,91.1x63.4x34.0,Purple,NaN,NaN,
99,Weber Coffee Table Leather,WEB-LIVI-00099,70,Living Room Furniture,Bestseller,Weber,441.95,932.42,2025-07-21,20.6,69.4x75.5x53.6,NaN,NaN,Glass,
100,Fitbit Galaxy S14 64GB Yellow,FIT-ANDR-00100,58,Android Phones,New Arrivals,Fitbit,89.71,212.59,2025-11-06,4.44,47.0x51.0x15.2,Space Gray,512GB,Stainless Steel,
101,Hot Wheels Fashion Doll,HOT-DOLL-00101,43,Dolls,Seasonal,Hot Wheels,55.99,153.81,2026-05-13,4.74,82.4x62.0x51.1,Orange,NaN,NaN,
102,Goodyear Floor Mats,GOO-CARA-00102,50,Car Accessories,Clearance,Goodyear,237.5,580.65,2026-03-21,4.82,65.9x12.5x7.9,Blue,NaN,NaN,
103,"JBL ThinkPad X1 17""",JBL-BUSI-00103,60,Business Laptops,Bestseller,JBL,204.48,408.53,2021-06-13,0.43,98.4x13.5x57.5,Gold,128GB,Plastic,
104,Funko Building Block Set,FUN-BUIL-00104,42,Building Sets,NaN,Funko,25.24,32.71,2025-05-23,8.1,66.5x65.9x29.1,NaN,NaN,NaN,
105,Under Armour Classic Shirt Blue,UND-MENS-00105,17,Mens Clothing,Seasonal,Under Armour,16.05,24.47,2021-10-31,0.95,74.6x35.7x18.7,Pink,M,Wool,
106,Crate & Barrel Ergonomic Office Chair,CRA-OFFI-00106,72,Office Furniture,NaN,Crate & Barrel,398.34,1032.83,2018-08-20,22.45,7.4x71.0x56.6,Beige,NaN,NaN,
107,Nestle Sparkling Water,NES-BEVE-00107,46,Beverages,Bestseller,Nestle,35.23,84.07,2017-11-08,9.1,63.7x27.2x41.7,NaN,NaN,NaN,
108,Columbia Fitness Chair,COL-EXER-00108,27,Exercise Equipment,Clearance,Columbia,126.93,274.85,2017-09-15,7.96,18.2x25.1x20.2,Black,NaN,NaN,
109,Mystery of Time by Robert Brown Paperback,PEN-FICT-00109,36,Fiction,NaN,Penguin,46.71,134.59,2017-05-29,0.0,NaN,NaN,NaN,NaN,
110,Optimum Nutrition Vitamin C,OPT-VITA-00110,53,Vitamins,Featured,Optimum Nutrition,188.6,534.23,2020-11-24,9.38,70.8x58.7x41.5,Brown,NaN,NaN,
111,"Samsung E14 Notebook 15.6""",SAM-LAPT-00111,12,Laptops,NaN,Samsung,535.81,1148.98,2020-12-28,4.22,85.4x15.9x4.9,Black,32GB,Stainless Steel,
112,iRobot Ergonomic Office Chair,IRO-OFFI-00112,72,Office Furniture,NaN,iRobot,264.44,779.16,2023-02-19,27.17,93.4x61.1x55.0,White,NaN,Leather,
113,Maybelline Body Mist,MAY-FRAG-00113,35,Fragrances,Featured,Maybelline,115.61,206.93,2017-11-12,2.61,97.5x16.3x6.6,NaN,NaN,NaN,
114,Pantene Anti-Aging Serum,PAN-SKIN-00114,32,Skincare,Clearance,Pantene,119.97,249.98,2020-06-05,6.35,54.3x68.3x43.3,Black,NaN,NaN,
115,Nestle Organic Pasta,NES-PANT-00115,47,Pantry Staples,NaN,Nestle,4.63,12.56,2025-10-16,2.07,40.1x20.4x50.0,Green,NaN,NaN,
116,"Bose ZenBook 27""",BOS-ULTR-00116,61,Ultrabooks,Clearance,Bose,208.0,465.99,2023-11-25,0.25,95.4x67.3x34.6,White,NaN,Plastic,
117,Bose Smart Band,BOS-WEAR-00117,15,Wearable Technology,NaN,Bose,551.68,1099.3,2022-02-25,4.45,26.7x60.2x59.5,Blue,256GB,Plastic,
118,"Dell E14 Laptop 17"" 512GB",DEL-LAPT-00118,12,Laptops,NaN,Dell,216.2,285.82,2016-03-20,1.25,20.1x39.7x45.9,Gold,256GB,Carbon Fiber,
119,Olay Eyeshadow Palette,OLA-MAKE-00119,33,Makeup,NaN,Olay,115.93,222.7,2019-07-27,1.11,52.3x61.4x24.6,Green,NaN,NaN,
120,Apple Gaming Console,APP-GAMI-00120,16,Gaming,Bestseller,Apple,92.41,196.59,2018-11-23,3.4,20.3x78.0x17.0,Silver,NaN,Glass,
121,Crate & Barrel Executive Desk Metal Edition,CRA-OFFI-00121,72,Office Furniture,NaN,Crate & Barrel,273.36,707.62,2025-02-12,9.66,98.4x18.2x6.8,Orange,NaN,Bamboo,
122,Zara Designer Chair Blue,ZAR-WOME-00122,18,Womens Clothing,NaN,Zara,42.17,101.65,2023-11-04,1.78,52.5x7.1x53.9,Blue,M,Wool,
123,Sony Wireless Audio System,SON-AUDI-00123,13,Audio Equipment,Featured,Sony,177.12,450.3,2023-06-25,4.39,50.2x11.0x30.2,Blue,NaN,Glass,
124,Clinique Body Mist,CLI-FRAG-00124,35,Fragrances,Featured,Clinique,136.92,228.97,2019-11-07,3.04,69.9x52.5x55.0,NaN,NaN,NaN,
125,Nike Classic Pants Gold,NIK-MENS-00125,17,Mens Clothing,Seasonal,Nike,102.69,287.02,2024-01-04,0.81,88.6x55.8x35.1,Purple,M,Cotton,
126,"Fitbit Spectre x360 27""",FIT-ULTR-00126,61,Ultrabooks,Clearance,Fitbit,369.66,712.64,2022-07-20,0.16,71.0x67.7x57.6,Space Gray,1TB,Plastic,
127,Barbie Construction Kit,BAR-BUIL-00127,42,Building Sets,NaN,Barbie,61.06,104.13,2022-11-10,5.79,81.7x45.3x50.6,NaN,NaN,NaN,
128,Patagonia Yoga Mat Beige,PAT-YOGA-00128,75,Yoga & Pilates,NaN,Patagonia,61.19,147.29,2019-02-07,2.08,46.6x36.7x52.4,NaN,NaN,NaN,
129,Pottery Barn Kitchen Shirt Set,POT-KITC-00129,23,Kitchen,Bestseller,Pottery Barn,497.31,1432.08,2021-02-15,35.86,53.9x8.2x25.5,Space Gray,NaN,Glass,
130,Logitech Gaming Headset,LOG-GAMI-00130,16,Gaming,Bestseller,Logitech,284.05,745.47,2022-09-21,3.79,73.3x74.7x51.5,Blue,32GB,Aluminum,
131,The Band Album Vinyl Record,SON-MUSI-00131,38,Music,Seasonal,Sony Music,6.99,15.41,2016-09-29,0.0,NaN,Brown,NaN,NaN,
132,Meguiars Tool Box,MEG-TOOL-00132,51,Tools,New Arrivals,Meguiars,200.5,369.68,2019-06-03,6.92,52.7x75.2x38.6,NaN,NaN,NaN,
133,Solo Artist CD Collection Gen2,SON-MUSI-00133,38,Music,Seasonal,Sony Music,31.59,81.01,2016-01-27,0.0,NaN,NaN,NaN,NaN,
134,Under Armour Yoga Block Set,UND-YOGA-00134,75,Yoga & Pilates,NaN,Under Armour,40.8,82.81,2026-03-17,3.22,6.9x21.6x59.5,NaN,NaN,NaN,
135,Schwinn Bike Home Gym,SCH-EXER-00135,27,Exercise Equipment,Clearance,Schwinn,38.55,80.26,2016-06-26,7.59,65.5x38.9x8.1,Brown,NaN,NaN,
136,MAC Body Mist,MAC-FRAG-00136,35,Fragrances,Featured,MAC,101.77,302.25,2018-07-12,6.08,81.2x65.7x17.2,NaN,NaN,NaN,
137,Coca-Cola Organic Pasta,COC-PANT-00137,47,Pantry Staples,NaN,Coca-Cola,8.57,20.16,2018-06-07,4.87,65.0x10.5x50.6,NaN,NaN,NaN,
138,Apple Wireless Headphones Rose Gold,APP-HEAD-00138,62,Headphones,NaN,Apple,580.71,1680.47,2024-04-22,1.0,63.6x76.5x39.3,Silver,32GB,Carbon Fiber,
139,Weber Comforter Set Yellow,WEB-BEDD-00139,24,Bedding,Featured,Weber,68.83,191.19,2022-06-29,23.77,7.2x28.0x13.3,Gold,NaN,Fabric,
140,Scotts Cotton Sheet Set Red,SCO-BEDD-00140,24,Bedding,Featured,Scotts,453.66,1099.8,2023-04-21,42.99,11.8x72.2x25.8,Purple,NaN,NaN,
141,JBL Galaxy S6 128GB White,JBL-ANDR-00141,58,Android Phones,New Arrivals,JBL,487.93,632.42,2016-11-25,1.28,29.1x54.8x50.7,Blue,1TB,Stainless Steel,
142,Nerf Doll House Set,NER-DOLL-00142,43,Dolls,Seasonal,Nerf,77.67,174.48,2025-08-23,1.05,25.0x65.3x9.6,Gold,NaN,NaN,
143,Fitbit Gaming Controller Blue,FIT-GAMI-00143,16,Gaming,Bestseller,Fitbit,387.05,618.02,2022-08-26,2.99,54.1x58.3x14.4,White,NaN,Aluminum,
144,Williams-Sonoma Comforter Set Rose Gold,WIL-BEDD-00144,24,Bedding,Featured,Williams-Sonoma,464.18,1082.93,2018-12-05,29.75,11.4x55.7x53.1,Green,NaN,NaN,
145,Hasbro Science Experiment Set,HAS-EDUC-00145,44,Educational Toys,New Arrivals,Hasbro,74.73,136.37,2016-11-22,1.15,51.9x27.4x36.5,NaN,NaN,NaN,
146,"Garmin ROG Gaming Laptop 13"" 64GB",GAR-GAMI-00146,59,Gaming Laptops,New Arrivals,Garmin,317.09,612.21,2023-10-25,0.4,9.6x52.9x58.7,Black,256GB,Carbon Fiber,
147,Calvin Klein Womens Maxi Dress Beige,CAL-DRES-00147,67,Dresses,NaN,Calvin Klein,27.64,80.44,2024-05-01,0.33,22.2x65.9x48.8,Red,M,Cotton,
148,Adidas Yoga Block Set,ADI-YOGA-00148,75,Yoga & Pilates,NaN,Adidas,116.22,317.46,2022-04-27,3.15,33.0x51.5x8.3,Gray,NaN,NaN,
149,Organic Valley Organic Chair,ORG-ORGA-00149,48,Organic Foods,Seasonal,Organic Valley,35.21,82.18,2019-10-03,6.96,23.0x27.2x21.3,NaN,NaN,NaN,
150,"Microsoft ThinkPad T480 17""",MIC-BUSI-00150,60,Business Laptops,Bestseller,Microsoft,121.85,361.94,2016-02-06,2.48,36.9x38.7x13.1,Blue,NaN,Glass,
151,Kelloggs Natural Cabinet,KEL-ORGA-00151,48,Organic Foods,Seasonal,Kelloggs,2.93,7.05,2020-12-01,8.78,99.7x79.8x12.7,Green,NaN,NaN,
152,H&M Kids Jacket Blue,HM-KIDS-00152,19,Kids Clothing,NaN,H&M,36.94,78.76,2023-06-10,1.86,89.3x30.5x53.1,Rose Gold,XXL,Denim,
153,Optimum Nutrition Vitamin D3 Edition,OPT-VITA-00153,53,Vitamins,Featured,Optimum Nutrition,151.53,432.84,2019-06-07,4.9,71.0x29.1x42.2,NaN,NaN,NaN,
