payment_ref,order_ref,payment_type,gateway_provider,payment_status,gateway_transaction_id,transaction_fee,refund_total,transaction_date,refund_processed_date,payment_amount,currency_code,record_created,customer_ip,billing_country,card_last_four,card_brand,authorization_code,risk_score,retry_attempt
19,19,Credit Card,Stripe,Completed,pi_44892722858272,10.35,0.0,2021-06-24T20:59:34Z,,589.03,USD,2021-06-24T20:59:36Z,156.183.95.12,US,5602,Visa,AUTH-547035,25,1
20,20,Cash on Delivery,COD,Completed,COD000020,0.0,0.0,2024-10-29T06:44:52Z,,2605.78,USD,2024-10-29T06:45:27Z,74.251.227.120,US,,,,4,0
21,21,PayPal,PayPal,Completed,PAY-22998747673,22.88,0.0,2019-04-18T15:19:56Z,,1036.63,USD,2019-04-18T15:20:21Z,111.100.111.78,US,,,,20,2
22,22,PayPal,Braintree,Completed,bt_78056348740,59.8,0.0,2024-12-08T08:43:29Z,,1947.06,USD,2024-12-08T08:43:52Z,157.70.214.162,US,,,,20,0
23,23,Gift Card,Stripe,Completed,pi_68508012785030,0.0,0.0,2025-07-12T01:54:48Z,,71.62,USD,2025-07-12T01:55:30Z,132.226.58.11,US,,,,2,0
24,24,PayPal,PayPal,Completed,PAY-51959591826,97.31,0.0,2024-12-19T17:01:54Z,,3357.81,USD,2024-12-19T17:02:52Z,210.39.59.20,US,,,,11,0
25,25,Credit Card,Square,Refunded,sq_82894977455279,7.84,228.36,2022-02-18T08:29:29Z,2022-02-22T08:29:29Z,228.36,USD,2022-02-18T08:29:52Z,23.214.210.138,US,6733,American Express,,50,0
26,26,Credit Card,Square,Completed,sq_93235845268144,48.49,0.0,2024-08-03T20:54:27Z,,1459.76,USD,2024-08-03T20:55:00Z,80.60.230.158,US,3645,MasterCard,AUTH-972460,7,0
27,27,PayPal,PayPal,Refunded,PAY-48351578450,41.16,1285.72,2023-03-01T20:05:29Z,2023-03-09T20:05:29Z,1285.72,USD,2023-03-01T20:05:46Z,109.252.99.200,US,,,,1,0
28,28,Apple Pay,Square,Refunded,sq_16909532487354,9.85,273.72,2023-08-21T12:04:03Z,2023-09-01T12:04:03Z,273.72,USD,2023-08-21T12:04:54Z,202.88.221.22,US,,,,39,0
29,29,Credit Card,Adyen,Pending,,0.0,0.0,2019-12-01T06:37:44Z,,149.72,USD,2019-12-01T06:37:48Z,213.75.22.204,US,3856,Visa,,17,0
30,30,Apple Pay,Stripe,Partially Refunded,pi_45821650925753,101.38,3485.81,2025-12-05T06:24:11Z,2025-12-13T06:24:11Z,3999.05,USD,2025-12-05T06:24:40Z,189.248.211.172,US,,,,32,0
31,31,PayPal,PayPal,Refunded,PAY-77837074979,27.27,1097.44,2021-08-31T06:57:52Z,2021-09-13T06:57:52Z,1097.44,USD,2021-08-31T06:58:20Z,172.110.232.206,US,,,,20,0
32,32,Credit Card,Braintree,Refunded,bt_16278223955,7.8,387.85,2025-07-05T18:15:53Z,2025-07-07T18:15:53Z,387.85,USD,2025-07-05T18:16:41Z,73.35.50.1,US,4763,MasterCard,,0,0
33,33,Credit Card,Authorize.net,Completed,AUTH394010124,12.67,0.0,2023-09-06T14:38:57Z,,431.66,USD,2023-09-06T14:39:22Z,172.2.24.40,US,2112,Visa,AUTH-274070,32,0
34,34,PayPal,PayPal,Refunded,PAY-41643518072,5.29,229.82,2024-08-21T09:13:26Z,2024-08-22T09:13:26Z,229.82,USD,2024-08-21T09:13:44Z,68.154.70.166,US,,,,11,0
35,35,Credit Card,Adyen,Pending,,0.0,0.0,2025-09-05T19:00:52Z,,234.98,USD,2025-09-05T19:01:17Z,160.28.103.174,US,9474,MasterCard,,5,0
36,36,Credit Card,Braintree,Completed,bt_63530686880,10.17,0.0,2023-03-25T16:08:55Z,,506.77,USD,2023-03-25T16:09:13Z,87.108.212.20,US,7640,MasterCard,AUTH-585176,4,2
37,37,Gift Card,Stripe,Completed,pi_29956440296578,0.0,0.0,2021-08-21T03:05:34Z,,1184.3,USD,2021-08-21T03:06:07Z,119.193.248.139,US,,,,63,0
38,38,Credit Card,Braintree,Completed,bt_31487819830,2.8,0.0,2024-12-28T07:51:45Z,,165.05,USD,2024-12-28T07:52:23Z,204.220.228.106,US,7760,Visa,AUTH-973767,10,0
39,39,Credit Card,Stripe,Refunded,pi_91279429094799,96.64,3429.29,2023-06-29T13:34:29Z,2023-07-06T13:34:29Z,3429.29,USD,2023-06-29T13:35:26Z,121.89.60.103,US,9619,Visa,,18,0
40,40,PayPal,PayPal,Completed,PAY-60260138675,22.18,0.0,2025-01-30T12:11:44Z,,773.12,USD,2025-01-30T12:11:46Z,105.112.134.135,US,,,,1,0
41,41,Credit Card,Stripe,Completed,pi_98535652508173,214.5,0.0,2025-05-27T19:15:51Z,,9740.03,USD,2025-05-27T19:16:16Z,39.216.241.163,US,4474,Discover,AUTH-833277,1,0
42,42,Credit Card,Square,Completed,sq_51083072418820,14.13,0.0,2024-12-08T10:46:29Z,,438.62,USD,2024-12-08T10:47:29Z,194.20.172.160,US,4904,American Express,AUTH-301318,43,0
43,43,Credit Card,Authorize.net,Completed,AUTH183888028,51.87,0.0,2024-03-29T05:50:11Z,,2465.75,USD,2024-03-29T05:50:40Z,61.91.170.160,US,5583,MasterCard,AUTH-647699,24,0
44,44,Gift Card,Square,Completed,sq_61721949307978,0.0,0.0,2025-11-05T01:24:09Z,,4710.52,USD,2025-11-05T01:24:54Z,31.38.218.217,US,,,,58,1
45,45,Gift Card,Square,Completed,sq_70565032336838,0.0,0.0,2022-08-01T04:09:20Z,,1435.18,USD,2022-08-01T04:09:56Z,160.197.24.85,CA,,,,25,0
46,46,Credit Card,Adyen,Completed,ADY5602479140163,56.54,0.0,2025-01-30T18:46:38Z,,2972.35,USD,2025-01-30T18:47:08Z,131.191.46.91,US,5201,MasterCard,AUTH-474654,40,0
47,47,PayPal,Braintree,Completed,bt_21836982352,15.73,0.0,2023-10-29T08:17:49Z,,738.02,USD,2023-10-29T08:18:17Z,159.152.238.227,US,,,,57,0
48,48,Credit Card,Adyen,Completed,ADY9226442702049,41.11,0.0,2022-12-03T23:54:49Z,,1635.94,USD,2022-12-03T23:55:24Z,208.54.181.61,US,3039,MasterCard,AUTH-782313,18,0
49,49,Credit Card,Square,Completed,sq_83511931578466,5.78,0.0,2020-09-24T05:31:13Z,,213.89,USD,2020-09-24T05:31:18Z,117.57.77.126,US,7219,Discover,AUTH-507330,60,0
50,50,Credit Card,Authorize.net,Completed,AUTH319071723,32.89,0.0,2022-07-06T09:09:46Z,,1353.37,USD,2022-07-06T09:09:53Z,2.78.66.236,US,9989,MasterCard,AUTH-437115,56,0
51,51,Credit Card,Stripe,Partially Refunded,pi_69596304299956,64.6,1801.99,2022-07-14T00:27:04Z,2022-07-21T00:27:04Z,1872.61,USD,2022-07-14T00:27:36Z,201.22.137.220,US,3408,Visa,,48,0
52,52,Credit Card,Adyen,Completed,ADY1486108194308,3.56,0.0,2023-04-18T06:37:23Z,,107.72,USD,2023-04-18T06:37:32Z,223.18.234.71,US,3669,Visa,AUTH-123960,10,0
53,53,Credit Card,Authorize.net,Completed,AUTH288389814,75.29,0.0,2024-10-05T08:20:26Z,,3390.17,USD,2024-10-05T08:20:40Z,61.69.43.169,US,4632,Visa,AUTH-419675,55,0
54,54,Apple Pay,Adyen,Completed,ADY7672412409570,67.63,0.0,2025-12-05T23:52:59Z,,2199.12,USD,2025-12-05T23:53:41Z,166.233.121.190,CA,,,,4,0
55,55,Gift Card,Square,Refunded,sq_72448092072426,0.0,1371.15,2019-06-30T05:05:07Z,2019-07-10T05:05:07Z,1371.15,USD,2019-06-30T05:06:03Z,91.8.69.178,US,,,,10,0
56,56,PayPal,Braintree,Refunded,bt_25970292180,30.17,865.75,2024-10-04T22:23:56Z,2024-10-05T22:23:56Z,865.75,USD,2024-10-04T22:24:33Z,139.134.146.62,US,,,,21,0
57,57,Credit Card,Adyen,Completed,ADY6327367502708,66.87,0.0,2024-08-13T02:53:47Z,,2270.66,USD,2024-08-13T02:53:50Z,91.198.186.95,US,9827,Visa,AUTH-276533,56,0
58,58,PayPal,Braintree,Completed,bt_52773908481,171.32,0.0,2018-11-21T07:38:43Z,,4986.41,USD,2018-11-21T07:39:18Z,194.128.54.248,US,,,,23,2
59,59,Cash on Delivery,COD,Completed,COD000059,0.0,0.0,2025-08-07T00:37:29Z,,2681.18,USD,2025-08-07T00:38:27Z,206.224.47.14,US,,,,4,0
60,60,Credit Card,Square,Refunded,sq_23361037905516,95.12,2795.37,2025-07-20T10:20:18Z,2025-07-30T10:20:18Z,2795.37,USD,2025-07-20T10:20:51Z,30.201.109.196,US,3078,Visa,,39,0
61,61,Credit Card,Square,Completed,sq_90872450355564,88.45,0.0,2024-10-06T22:57:36Z,,3459.76,USD,2024-10-06T22:57:41Z,208.141.197.173,US,7794,Visa,AUTH-970704,59,0
62,62,PayPal,PayPal,Completed,PAY-22405593744,16.05,0.0,2023-01-15T14:54:27Z,,507.27,USD,2023-01-15T14:54:45Z,149.156.199.161,US,,,,25,1
63,63,Credit Card,Square,Refunded,sq_98645073893330,26.76,1443.14,2023-06-27T11:12:42Z,2023-07-09T11:12:42Z,1443.14,USD,2023-06-27T11:13:31Z,139.99.184.134,CA,7984,Visa,,5,0
64,64,PayPal,PayPal,Completed,PAY-33833269755,6.08,0.0,2025-03-30T04:22:52Z,,329.62,USD,2025-03-30T04:23:37Z,15.220.66.9,US,,,,21,0
65,65,PayPal,Braintree,Completed,bt_25412771189,59.33,0.0,2025-07-10T21:11:18Z,,2904.73,USD,2025-07-10T21:11:48Z,155.201.0.35,US,,,,6,0
66,66,PayPal,PayPal,Completed,PAY-41436803170,325.76,0.0,2025-08-07T03:58:24Z,,9666.5,USD,2025-08-07T03:58:52Z,71.179.75.88,US,,,,26,0
67,67,Apple Pay,Stripe,Completed,pi_86476169374241,83.43,0.0,2021-06-25T05:31:05Z,,3359.39,USD,2021-06-25T05:31:10Z,30.108.141.192,US,,,,70,0
68,68,Credit Card,Braintree,Completed,bt_23466372794,56.1,0.0,2025-04-28T22:42:48Z,,2599.46,USD,2025-04-28T22:43:19Z,57.94.222.111,US,4795,American Express,AUTH-736970,28,0
69,69,PayPal,PayPal,Completed,PAY-38091686615,6.46,0.0,2023-12-29T10:04:14Z,,353.59,USD,2023-12-29T10:05:10Z,163.28.239.132,US,,,,80,0
70,70,Credit Card,Authorize.net,Completed,AUTH621220216,146.55,0.0,2025-04-30T19:35:47Z,,7136.71,USD,2025-04-30T19:36:00Z,154.194.178.161,US,2062,American Express,AUTH-527811,15,0
71,71,PayPal,PayPal,Completed,PAY-49559217906,1.92,0.0,2023-10-23T20:59:39Z,,47.53,USD,2023-10-23T20:59:51Z,143.30.175.234,CA,,,,49,0
72,72,PayPal,Braintree,Completed,bt_34564657796,134.23,0.0,2025-02-03T01:18:13Z,,7813.81,USD,2025-02-03T01:18:57Z,73.49.64.158,US,,,,5,0
73,73,PayPal,Braintree,Pending,,0.0,0.0,2020-10-15T00:02:44Z,,867.48,USD,2020-10-15T00:03:27Z,147.14.171.67,US,,,,19,0
74,74,Credit Card,Adyen,Completed,ADY4046191034869,181.55,0.0,2021-01-14T20:03:16Z,,8929.3,USD,2021-01-14T20:04:06Z,104.0.230.34,US,3849,American Express,AUTH-836056,7,0
75,75,PayPal,Braintree,Completed,bt_40002353186,102.27,0.0,2021-01-26T01:58:02Z,,3078.0,USD,2021-01-26T01:58:26Z,150.250.17.85,CA,,,,34,0
76,76,Apple Pay,Stripe,Completed,pi_70336586707401,30.67,0.0,2018-06-13T16:02:51Z,,1998.58,USD,2018-06-13T16:03:46Z,213.123.7.22,US,,,,12,0
77,77,PayPal,PayPal,Completed,PAY-66467104694,11.75,0.0,2025-11-21T19:52:09Z,,517.33,USD,2025-11-21T19:52:56Z,6.229.61.108,US,,,,14,2
78,78,Apple Pay,Square,Completed,sq_37869877505795,112.99,0.0,2025-01-27T07:31:23Z,,3503.05,USD,2025-01-27T07:32:23Z,126.57.43.72,US,,,,29,0
79,79,PayPal,Braintree,Completed,bt_89729391881,16.99,0.0,2022-08-03T13:08:16Z,,820.48,USD,2022-08-03T13:08:42Z,64.11.74.197,US,,,,17,0
80,80,Cash on Delivery,COD,Refunded,COD000080,0.0,2540.72,2025-04-19T08:31:05Z,2025-04-27T08:31:05Z,2540.72,USD,2025-04-19T08:31:45Z,199.140.4.72,CA,,,,1,0
81,81,Credit Card,Stripe,Refunded,pi_63453477317992,54.52,3321.87,2021-05-09T13:11:29Z,2021-05-20T13:11:29Z,3321.87,USD,2021-05-09T13:11:48Z,33.103.80.92,US,5165,Visa,,11,0
82,82,Apple Pay,Square,Completed,sq_84317084355019,8.67,0.0,2025-10-07T13:44:14Z,,330.63,USD,2025-10-07T13:44:59Z,17.255.173.121,US,,,,52,0
83,83,PayPal,Braintree,Pending,,0.0,0.0,2024-09-27T21:49:45Z,,4541.21,USD,2024-09-27T21:49:59Z,6.55.169.120,US,,,,7,0
84,84,Credit Card,Adyen,Completed,ADY6729131390191,1.77,0.0,2016-10-30T00:41:18Z,,43.7,USD,2016-10-30T00:42:04Z,161.224.216.33,US,7952,Visa,AUTH-422738,26,0
85,85,Credit Card,Adyen,Completed,ADY8185619722284,93.79,0.0,2025-10-30T11:26:32Z,,3077.45,USD,2025-10-30T11:26:36Z,188.91.76.31,US,8449,American Express,AUTH-929746,35,0
86,86,PayPal,Braintree,Completed,bt_29021126690,102.44,0.0,2024-12-12T20:07:35Z,,3415.16,USD,2024-12-12T20:08:06Z,90.144.134.145,US,,,,14,0
87,87,PayPal,Braintree,Pending,,0.0,0.0,2021-08-23T10:44:20Z,,946.24,USD,2021-08-23T10:45:09Z,34.122.220.172,US,,,,60,0
88,88,Credit Card,Square,Refunded,sq_88108403619384,20.52,891.73,2018-10-16T02:55:57Z,2018-10-20T02:55:57Z,891.73,USD,2018-10-16T02:56:40Z,113.128.211.94,US,9619,American Express,,7,0
89,89,Credit Card,Braintree,Completed,bt_57995739633,11.6,0.0,2025-02-26T09:54:03Z,,721.16,USD,2025-02-26T09:54:05Z,159.169.195.184,US,4801,Visa,AUTH-574460,31,1
90,90,Credit Card,Braintree,Completed,bt_62156391843,16.18,0.0,2018-09-29T02:24:12Z,,462.32,USD,2018-09-29T02:24:44Z,52.11.169.42,US,1250,MasterCard,AUTH-107238,3,0
91,91,Credit Card,Braintree,Completed,bt_82084137903,2.86,0.0,2025-12-11T09:27:45Z,,155.65,USD,2025-12-11T09:28:40Z,24.160.160.204,CA,1359,MasterCard,AUTH-891163,20,1
92,92,Credit Card,Square,Completed,sq_41294939654025,169.97,0.0,2017-08-18T10:24:55Z,,8366.18,USD,2017-08-18T10:25:28Z,211.241.178.239,US,2909,MasterCard,AUTH-750569,50,1
93,93,Credit Card,Authorize.net,Completed,AUTH773502151,21.82,0.0,2024-07-18T18:15:28Z,,1045.29,USD,2024-07-18T18:16:15Z,160.21.166.179,US,9606,Visa,AUTH-231982,28,0
94,94,Credit Card,Braintree,Completed,bt_27525350143,15.97,0.0,2022-12-30T17:16:23Z,,823.07,USD,2022-12-30T17:17:15Z,184.130.57.230,US,3980,Visa,AUTH-871141,14,0
95,95,PayPal,PayPal,Completed,PAY-27780101136,34.87,0.0,2021-12-03T21:15:09Z,,1770.98,USD,2021-12-03T21:15:17Z,129.23.253.90,CA,,,,3,0
96,96,Gift Card,Square,Completed,sq_34385002941596,0.0,0.0,2021-11-25T03:14:42Z,,156.73,USD,2021-11-25T03:15:24Z,63.46.184.12,US,,,,43,0
97,97,Credit Card,Stripe,Completed,pi_81137400786502,2.22,0.0,2021-05-23T02:03:56Z,,68.78,USD,2021-05-23T02:03:57Z,98.159.255.208,US,5853,MasterCard,AUTH-930060,16,0
98,98,Apple Pay,Braintree,Completed,bt_50863783195,55.47,0.0,2022-02-18T23:32:17Z,,1945.34,USD,2022-02-18T23:32:50Z,73.176.134.183,US,,,,2,0
99,99,Credit Card,Authorize.net,Completed,AUTH251604095,52.09,0.0,2025-11-19T16:24:55Z,,1609.58,USD,2025-11-19T16:25:00Z,199.128.98.199,US,6128,MasterCard,AUTH-635567,3,0
100,100,Gift Card,Square,Completed,sq_92229847068738,0.0,0.0,2025-12-07T02:19:34Z,,3277.97,USD,2025-12-07T02:20:30Z,172.72.80.239,US,,,,7,2
101,101,Credit Card,Adyen,Pending,,0.0,0.0,2025-12-18T20:19:53Z,,2664.32,USD,2025-12-18T20:20:52Z,94.202.40.191,CA,7991,Visa,,12,0
102,102,Credit Card,Authorize.net,Completed,AUTH262217773,19.71,0.0,2019-08-19T20:39:08Z,,1169.6,USD,2019-08-19T20:39:13Z,2.140.98.11,US,4940,MasterCard,AUTH-605068,26,0
103,103,Credit Card,Adyen,Completed,ADY2529715269904,32.35,0.0,2023-11-14T07:03:49Z,,1340.67,USD,2023-11-14T07:03:55Z,107.215.151.127,US,4410,Visa,AUTH-942901,3,0
104,104,Cash on Delivery,COD,Completed,COD000104,0.0,0.0,2024-05-02T20:23:30Z,,1989.09,USD,2024-05-02T20:23:49Z,133.245.163.41,US,,,,1,0
105,105,Credit Card,Braintree,Completed,bt_32365508378,0.8,0.0,2025-11-29T00:12:11Z,,31.28,USD,2025-11-29T00:12:37Z,158.153.2.134,US,7231,Discover,AUTH-744043,15,0
106,106,PayPal,PayPal,Completed,PAY-43507188175,5.95,0.0,2025-09-16T02:46:05Z,,298.32,USD,2025-09-16T02:46:31Z,123.240.64.246,US,,,,11,0
107,107,PayPal,Braintree,Completed,bt_90934593567,67.29,0.0,2025-12-03T06:40:37Z,,3362.49,USD,2025-12-03T06:41:33Z,27.76.27.197,US,,,,38,0
108,108,Credit Card,Adyen,Completed,ADY6857353679792,113.4,0.0,2024-06-19T02:14:24Z,,3235.67,USD,2024-06-19T02:15:19Z,12.212.121.46,US,4312,MasterCard,AUTH-417961,21,1
109,109,Credit Card,Square,Completed,sq_81516070660474,2.75,0.0,2022-01-23T06:34:21Z,,153.68,USD,2022-01-23T06:35:16Z,176.69.147.213,US,8860,Visa,AUTH-191180,13,0
110,110,Credit Card,Braintree,Completed,bt_66116444658,100.92,0.0,2025-12-11T17:33:35Z,,4032.3,USD,2025-12-11T17:34:19Z,147.120.64.226,CA,5194,American Express,AUTH-426558,40,0
111,111,Apple Pay,Braintree,Completed,bt_27175231078,7.84,0.0,2025-02-03T20:36:39Z,,228.33,USD,2025-02-03T20:37:32Z,7.111.202.4,CA,,,,60,2
112,112,Credit Card,Adyen,Pending,,0.0,0.0,2019-12-25T05:56:21Z,,1134.98,USD,2019-12-25T05:56:46Z,11.104.231.254,US,3701,MasterCard,,16,0
113,113,Credit Card,Square,Completed,sq_37612256622962,27.14,0.0,2022-05-18T17:18:09Z,,813.36,USD,2022-05-18T17:18:45Z,55.51.88.159,US,2573,Visa,AUTH-977173,7,0
114,114,Credit Card,Braintree,Completed,bt_28438109678,55.11,0.0,2022-02-17T09:37:48Z,,3076.29,USD,2022-02-17T09:38:29Z,152.153.252.200,US,3937,Visa,AUTH-467284,7,0
115,115,Credit Card,Adyen,Completed,ADY2863982979063,29.69,0.0,2024-10-25T18:09:07Z,,1126.05,USD,2024-10-25T18:09:53Z,7.48.137.80,US,9954,Visa,AUTH-221242,32,0
116,116,Credit Card,Authorize.net,Completed,AUTH304672913,33.59,0.0,2025-05-24T06:08:07Z,,1762.13,USD,2025-05-24T06:08:18Z,141.189.31.36,CA,6343,Visa,AUTH-322860,30,0
117,117,Cash on Delivery,COD,Completed,COD000117,0.0,0.0,2025-07-20T15:43:13Z,,430.99,USD,2025-07-20T15:44:02Z,139.188.167.59,US,,,,19,1
118,118,Credit Card,Braintree,Partially Refunded,bt_21287280277,94.03,2690.25,2023-03-18T22:07:30Z,2023-03-27T22:07:30Z,3045.51,USD,2023-03-18T22:07:33Z,26.153.237.96,US,6794,Visa,,22,0
119,119,Credit Card,Adyen,Completed,ADY8231495959955,12.07,0.0,2024-05-03T09:17:57Z,,585.48,USD,2024-05-03T09:18:03Z,122.155.250.63,US,4099,Visa,AUTH-346461,4,0
120,120,PayPal,Braintree,Completed,bt_95339160441,20.31,0.0,2024-10-03T17:34:16Z,,703.85,USD,2024-10-03T17:34:24Z,74.249.57.132,US,,,,23,0
121,121,Credit Card,Square,Completed,sq_47972055551809,14.3,0.0,2024-11-13T11:19:46Z,,426.61,USD,2024-11-13T11:19:50Z,196.90.97.52,US,9914,MasterCard,AUTH-308534,61,0
122,122,PayPal,PayPal,Completed,PAY-52207380684,160.2,0.0,2022-01-24T09:29:20Z,,9046.46,USD,2022-01-24T09:29:59Z,11.255.23.221,US,,,,20,1
123,123,Credit Card,Adyen,Completed,ADY2187374128103,68.5,0.0,2021-11-24T08:21:00Z,,3578.4,USD,2021-11-24T08:21:49Z,125.121.106.89,US,3455,Visa,AUTH-613958,29,0
124,124,Credit Card,Adyen,Completed,ADY6764466319313,14.91,0.0,2023-10-19T01:50:16Z,,722.59,USD,2023-10-19T01:50:49Z,20.67.90.185,US,5650,American Express,AUTH-306725,20,0
125,125,PayPal,Braintree,Completed,bt_57544434462,15.85,0.0,2023-03-28T21:07:56Z,,530.35,USD,2023-03-28T21:08:25Z,171.228.47.214,US,,,,69,0
126,126,Credit Card,Braintree,Completed,bt_22286301460,36.78,0.0,2024-12-08T21:36:17Z,,1395.85,USD,2024-12-08T21:37:05Z,50.16.255.212,US,4997,Visa,AUTH-669587,40,0
127,127,Credit Card,Square,Completed,sq_92586834519378,42.26,0.0,2025-09-05T04:04:52Z,,2554.85,USD,2025-09-05T04:05:11Z,51.184.157.212,US,7891,Visa,AUTH-490434,4,0
128,128,Credit Card,Adyen,Partially Refunded,ADY6517048567574,4.75,165.25,2025-10-18T08:27:45Z,2025-10-30T08:27:45Z,171.77,USD,2025-10-18T08:28:34Z,158.150.2.76,US,8710,Visa,,52,0
129,129,Apple Pay,Stripe,Partially Refunded,pi_76448245064314,34.42,1270.57,2024-01-17T23:50:28Z,2024-01-22T23:50:28Z,1344.16,USD,2024-01-17T23:50:46Z,52.124.33.114,US,,,,7,0
130,130,Credit Card,Square,Completed,sq_85888562930203,30.58,0.0,2020-09-19T16:27:47Z,,1327.04,USD,2020-09-19T16:28:25Z,212.129.156.158,US,3725,Visa,AUTH-707106,2,1
131,131,Credit Card,Adyen,Completed,ADY2457700656955,11.21,0.0,2024-09-07T17:36:08Z,,370.67,USD,2024-09-07T17:36:21Z,196.192.87.102,US,6989,MasterCard,AUTH-838203,1,0
132,132,Credit Card,Adyen,Completed,ADY4562339269426,12.8,0.0,2021-09-28T11:29:02Z,,538.49,USD,2021-09-28T11:29:09Z,3.27.117.132,US,6792,Visa,AUTH-730973,9,0
133,133,PayPal,Braintree,Completed,bt_97063666051,14.43,0.0,2024-11-07T03:31:47Z,,681.62,USD,2024-11-07T03:32:02Z,110.99.176.148,CA,,,,7,0
134,134,PayPal,Braintree,Completed,bt_59567743300,184.27,0.0,2024-06-28T14:52:22Z,,7846.75,USD,2024-06-28T14:52:44Z,84.125.169.35,US,,,,27,2
135,135,Credit Card,Square,Completed,sq_78114848610836,27.03,0.0,2018-04-09T09:30:23Z,,1071.24,USD,2018-04-09T09:30:44Z,71.243.42.50,US,6443,Visa,AUTH-666953,10,0
136,136,Gift Card,Stripe,Completed,pi_48693304966135,0.0,0.0,2020-11-25T00:55:26Z,,4160.83,USD,2020-11-25T00:56:09Z,206.36.105.170,US,,,,25,0
137,137,Credit Card,Stripe,Completed,pi_48959480777635,46.93,0.0,2025-10-14T20:38:43Z,,2337.63,USD,2025-10-14T20:39:32Z,95.243.151.225,US,4705,MasterCard,AUTH-156938,56,0
138,138,Gift Card,Square,Completed,sq_34335495787211,0.0,0.0,2025-09-30T03:50:23Z,,205.71,USD,2025-09-30T03:50:46Z,41.97.128.194,US,,,,40,0
