cart_item_id,cart_id,product_ref,item_quantity,price_per_unit,discount_amount,promo_code,tax_amount,status,date_added_to_cart,last_updated,saved_for_later,line_total
21,9,468,3,69.61,52.21,NEWUSER25,14.54,Deleted,2025-11-14T17:02:27Z,2025-11-16T23:58:21Z,True,208.82999999999998
22,9,452,1,192.56,28.88,WELCOME15,15.7,Deleted,2025-11-12T22:23:17Z,2025-11-27T09:58:32Z,False,192.56
23,9,323,2,283.09,0.0,,64.59,Deleted,2025-11-19T07:28:22Z,2025-11-29T20:10:42Z,False,566.18
24,10,251,2,393.53,0.0,,59.42,Active,2025-07-13T17:37:20Z,2025-07-14T03:31:54Z,False,787.06
25,10,59,5,234.15,0.0,,128.81,Active,2025-07-12T02:23:49Z,2025-07-14T13:37:44Z,False,1170.75
26,10,184,1,466.38,46.64,SAVE10,35.05,Active,2025-07-12T14:37:29Z,2025-07-14T11:31:06Z,True,466.38
27,11,310,1,673.43,101.01,WELCOME15,44.67,Deleted,2023-07-14T22:47:47Z,2023-07-18T02:03:15Z,False,673.43
28,11,64,4,25.71,0.0,,10.9,Deleted,2023-07-08T23:41:00Z,2023-07-26T12:10:05Z,False,102.84
29,11,475,1,1839.85,0.0,,211.44,Deleted,2023-07-02T17:55:31Z,2023-07-05T17:49:27Z,False,1839.85
30,12,490,2,1264.96,0.0,,127.47,Deleted,2025-12-19T20:04:18Z,2025-12-19T23:48:26Z,False,2529.92
31,12,27,1,266.52,0.0,,13.5,Deleted,2025-12-13T22:08:55Z,2025-12-18T19:28:20Z,False,266.52
32,13,185,3,1113.03,0.0,,305.06,Abandoned,2024-09-16T03:22:14Z,2024-09-16T04:55:20Z,False,3339.09
33,13,18,1,397.05,0.0,,23.64,Abandoned,2024-09-15T21:46:49Z,2024-09-16T01:38:16Z,False,397.05
34,13,25,2,1421.95,0.0,,339.06,Abandoned,2024-09-16T06:26:41Z,2024-09-16T06:30:35Z,False,2843.9
35,13,203,1,94.19,0.0,,9.19,Abandoned,2024-09-15T21:09:32Z,2024-09-15T22:01:07Z,False,94.19
36,14,229,1,1479.14,147.91,SAVE10,89.77,Active,2023-08-02T06:12:18Z,2023-08-02T06:24:58Z,False,1479.14
37,14,111,1,1148.98,172.35,WELCOME15,107.6,Active,2023-07-31T09:29:23Z,2023-08-01T04:28:38Z,False,1148.98
38,15,489,2,150.92,0.0,,23.96,Abandoned,2025-03-12T07:52:45Z,2025-03-12T15:44:20Z,False,301.84
39,15,499,1,114.7,0.0,,9.61,Abandoned,2025-03-12T05:16:06Z,2025-03-12T07:48:15Z,False,114.7
40,15,105,8,24.47,0.0,,17.8,Active,2025-03-12T09:42:06Z,2025-03-12T13:35:14Z,False,195.76
41,15,495,1,76.86,30.74,CLEARANCE40,2.41,Active,2025-03-12T06:44:03Z,2025-03-12T09:16:59Z,False,76.86
42,15,6,2,119.78,95.82,CLEARANCE40,16.81,Active,2025-03-11T20:02:52Z,2025-03-12T03:43:50Z,False,239.56
43,16,463,2,43.99,0.0,,5.25,Active,2019-04-17T00:31:54Z,2019-04-17T00:31:54Z,False,87.98
44,16,275,3,28.51,8.55,SAVE10,4.59,Abandoned,2019-04-17T00:31:54Z,2019-04-17T00:31:54Z,False,85.53
45,16,313,3,1217.0,0.0,,320.29,Abandoned,2019-04-17T00:31:54Z,2019-04-17T00:31:54Z,False,3651.0
46,17,45,8,217.29,0.0,,193.5,Abandoned,2023-11-12T14:13:31Z,2023-11-12T15:28:40Z,False,1738.32
47,17,201,3,368.57,0.0,,70.58,Active,2023-11-12T14:24:52Z,2023-11-12T18:29:50Z,False,1105.71
48,17,215,2,12.25,0.0,,2.15,Abandoned,2023-11-12T20:19:23Z,2023-11-12T21:26:26Z,False,24.5
49,17,259,4,146.12,146.12,NEWUSER25,50.53,Abandoned,2023-11-12T16:37:34Z,2023-11-12T22:10:43Z,False,584.48
50,18,71,2,110.38,0.0,,13.64,Abandoned,2025-12-05T07:41:21Z,2025-12-05T07:41:21Z,False,220.76
51,18,331,1,45.91,0.0,,2.76,Abandoned,2025-12-05T07:41:21Z,2025-12-05T07:41:21Z,True,45.91
52,18,131,6,15.41,0.0,,7.05,Abandoned,2025-12-05T07:41:21Z,2025-12-05T07:41:21Z,False,92.46000000000001
53,18,372,1,221.0,55.25,NEWUSER25,14.47,Active,2025-12-05T07:41:21Z,2025-12-05T07:41:21Z,False,221.0
54,19,54,1,1494.0,0.0,,149.61,Active,2021-04-20T03:19:32Z,2021-04-22T06:22:54Z,False,1494.0
55,19,147,5,64.35,48.26,WELCOME15,20.96,Active,2021-04-20T14:43:02Z,2021-04-21T18:51:49Z,True,321.75
56,19,276,1,179.81,71.92,CLEARANCE40,11.82,Active,2021-04-19T05:40:02Z,2021-04-20T22:08:09Z,False,179.81
57,20,419,4,45.56,0.0,,12.1,Abandoned,2022-02-18T05:33:07Z,2022-02-18T06:02:40Z,False,182.24
58,20,461,1,711.37,0.0,FREESHIP,56.03,Abandoned,2022-02-18T03:54:15Z,2022-02-18T06:15:19Z,False,711.37
59,20,362,2,182.97,0.0,,36.27,Abandoned,2022-02-18T06:48:37Z,2022-02-18T11:01:09Z,False,365.94
60,21,397,2,214.11,64.23,WELCOME15,39.33,Abandoned,2025-12-21T04:06:44Z,2025-12-21T05:21:42Z,True,428.22
61,21,232,1,1268.87,0.0,,72.86,Abandoned,2025-12-20T18:49:54Z,2025-12-20T22:45:25Z,False,1268.87
62,21,157,3,278.27,0.0,,48.05,Abandoned,2025-12-21T03:20:28Z,2025-12-21T04:04:08Z,False,834.81
63,21,9,1,564.82,112.96,SAVE20,35.49,Abandoned,2025-12-21T01:20:49Z,2025-12-21T04:16:40Z,False,564.82
64,22,77,4,27.86,0.0,,12.94,Abandoned,2021-10-19T18:44:50Z,2021-10-19T21:38:50Z,False,111.44
65,23,425,1,177.51,0.0,,17.91,Abandoned,2021-01-16T09:07:09Z,2021-01-17T05:42:45Z,False,177.51
66,23,71,1,110.38,0.0,,8.55,Active,2021-01-16T11:22:20Z,2021-01-18T06:37:30Z,True,110.38
67,24,246,5,709.94,0.0,,418.89,Converted,2024-12-15T13:17:02Z,2024-12-15T13:36:21Z,False,3549.7000000000003
68,25,132,4,369.68,147.87,SAVE10,67.14,Deleted,2025-07-22T15:55:19Z,2025-08-01T00:48:29Z,False,1478.72
69,26,47,2,85.17,0.0,,12.3,Converted,2018-10-02T00:36:55Z,2018-10-02T12:41:24Z,False,170.34
70,26,241,6,280.56,252.5,WELCOME15,160.97,Converted,2018-10-02T01:41:16Z,2018-10-02T11:44:02Z,False,1683.3600000000001
71,26,394,2,238.97,71.69,WELCOME15,27.88,Converted,2018-10-02T04:44:41Z,2018-10-02T09:56:05Z,False,477.94
72,26,25,2,1421.95,0.0,,154.74,Converted,2018-10-02T07:38:54Z,2018-10-02T07:53:43Z,False,2843.9
73,26,118,3,285.82,85.75,SAVE10,68.54,Converted,2018-10-01T07:20:43Z,2018-10-02T08:17:41Z,False,857.46
74,27,418,7,67.05,0.0,,45.02,Converted,2023-09-09T20:51:44Z,2023-09-10T09:10:37Z,False,469.34999999999997
75,27,236,2,1142.25,0.0,,178.64,Converted,2023-09-09T20:57:05Z,2023-09-10T09:48:04Z,False,2284.5
76,28,104,1,32.71,13.08,CLEARANCE40,1.74,Abandoned,2024-10-22T22:56:13Z,2024-10-23T00:25:10Z,False,32.71
77,28,5,5,893.87,1117.34,NEWUSER25,235.02,Abandoned,2024-10-23T00:27:40Z,2024-10-23T02:11:40Z,False,4469.35
78,28,238,3,1813.44,0.0,,610.71,Active,2024-10-23T00:18:29Z,2024-10-23T03:06:39Z,True,5440.32
79,28,460,1,265.23,66.31,NEWUSER25,18.18,Abandoned,2024-10-23T00:05:32Z,2024-10-23T01:24:45Z,False,265.23
80,29,11,1,496.19,0.0,,54.08,Active,2023-01-23T03:36:24Z,2023-01-23T13:36:23Z,False,496.19
81,29,448,1,125.72,0.0,,6.65,Active,2023-01-23T03:07:18Z,2023-01-23T21:28:11Z,False,125.72
82,29,471,3,403.72,242.23,SAVE20,49.01,Abandoned,2023-01-22T21:58:13Z,2023-01-23T09:32:40Z,False,1211.16
83,29,95,1,133.22,33.3,NEWUSER25,6.38,Active,2023-01-23T01:24:08Z,2023-01-23T09:04:40Z,False,133.22
84,29,269,1,224.43,0.0,,15.75,Active,2023-01-23T21:19:31Z,2023-01-23T22:55:27Z,False,224.43
85,30,5,1,893.87,0.0,,85.32,Active,2024-05-08T13:30:30Z,2024-05-08T13:56:21Z,False,893.87
86,30,282,1,13.98,0.0,,1.27,Active,2024-05-08T15:36:23Z,2024-05-08T16:20:54Z,True,13.98
87,30,224,1,376.73,94.18,NEWUSER25,22.36,Abandoned,2024-05-08T03:31:03Z,2024-05-08T14:32:16Z,False,376.73
88,30,65,1,61.02,0.0,,4.15,Abandoned,2024-05-08T10:45:31Z,2024-05-08T16:39:50Z,False,61.02
89,31,354,2,156.7,0.0,,33.44,Abandoned,2025-03-14T04:30:00Z,2025-03-14T10:01:29Z,False,313.4
90,31,486,2,415.81,0.0,,74.35,Deleted,2025-03-13T02:39:57Z,2025-03-13T04:27:38Z,False,831.62
91,31,204,1,553.08,0.0,,47.64,Active,2025-03-12T15:22:18Z,2025-03-13T07:38:03Z,False,553.08
92,32,243,3,555.05,0.0,,107.34,Converted,2024-12-08T20:22:52Z,2024-12-08T22:18:40Z,False,1665.1499999999999
93,32,380,1,729.31,0.0,,47.25,Converted,2024-12-08T23:49:54Z,2024-12-09T15:43:12Z,False,729.31
94,32,268,1,254.98,0.0,,23.53,Converted,2024-12-08T17:48:25Z,2024-12-09T08:51:10Z,False,254.98
95,33,492,2,136.92,41.08,WELCOME15,27.92,Deleted,2022-12-26T13:42:45Z,2022-12-26T23:05:14Z,False,273.84
96,33,155,1,2193.18,0.0,,166.14,Active,2022-12-26T23:02:54Z,2022-12-26T23:34:28Z,False,2193.18
97,33,317,4,175.41,70.16,SAVE10,63.32,Active,2022-12-26T20:32:06Z,2022-12-26T22:48:03Z,False,701.64
98,34,283,2,1198.51,0.0,,153.25,Deleted,2025-12-23T05:24:22Z,2025-12-24T01:06:05Z,False,2397.02
99,34,165,1,133.28,0.0,FREESHIP,15.75,Deleted,2025-12-20T19:21:09Z,2025-12-23T20:23:13Z,False,133.28
100,34,132,1,369.68,92.42,NEWUSER25,29.03,Deleted,2025-12-23T20:39:14Z,2025-12-24T02:20:18Z,False,369.68
101,34,243,5,555.05,1110.1,CLEARANCE40,101.21,Deleted,2025-12-21T10:35:06Z,2025-12-23T10:37:30Z,False,2775.25
102,34,375,1,23.29,0.0,,1.42,Deleted,2025-12-24T21:01:07Z,2025-12-24T21:13:45Z,False,23.29
103,35,285,3,126.67,0.0,,44.18,Abandoned,2021-07-20T04:40:47Z,2021-07-20T05:39:18Z,False,380.01
104,35,75,1,254.98,0.0,,28.64,Abandoned,2021-07-20T05:46:23Z,2021-07-20T05:52:46Z,False,254.98
105,35,329,1,755.73,0.0,,86.59,Abandoned,2021-07-20T04:58:35Z,2021-07-20T05:30:32Z,False,755.73
106,35,491,2,802.9,321.16,SAVE20,135.83,Abandoned,2021-07-20T02:58:34Z,2021-07-20T03:45:01Z,False,1605.8
107,35,56,1,409.39,0.0,,42.4,Active,2021-07-20T04:23:55Z,2021-07-20T04:33:31Z,False,409.39
108,35,180,2,26.12,0.0,,4.87,Active,2021-07-20T03:31:18Z,2021-07-20T05:13:19Z,False,52.24
109,36,28,1,298.62,44.79,WELCOME15,14.83,Converted,2025-12-22T01:55:08Z,2025-12-22T02:03:23Z,False,298.62
110,36,229,1,1479.14,0.0,,138.64,Converted,2025-12-22T03:06:59Z,2025-12-22T03:07:55Z,False,1479.14
111,36,261,3,246.89,185.17,NEWUSER25,37.77,Converted,2025-12-22T01:12:18Z,2025-12-22T02:42:23Z,False,740.67
112,36,265,1,73.41,0.0,,7.09,Converted,2025-12-22T02:52:38Z,2025-12-22T03:07:49Z,False,73.41
113,36,26,4,1113.63,890.9,SAVE20,231.57,Converted,2025-12-22T01:40:57Z,2025-12-22T02:04:46Z,False,4454.52
114,37,135,1,80.26,0.0,,4.61,Abandoned,2024-08-21T00:20:05Z,2024-08-21T04:14:34Z,False,80.26
115,37,424,7,26.23,27.54,WELCOME15,16.41,Abandoned,2024-08-21T04:11:03Z,2024-08-21T05:05:11Z,False,183.61
116,38,255,2,426.79,170.72,SAVE20,40.25,Abandoned,2025-05-08T03:03:49Z,2025-05-08T04:24:17Z,False,853.58
117,38,484,2,62.52,0.0,,10.84,Abandoned,2025-05-08T03:47:02Z,2025-05-08T04:10:59Z,False,125.04
118,38,330,1,117.61,0.0,,6.13,Abandoned,2025-05-08T02:16:52Z,2025-05-08T03:41:44Z,False,117.61
119,38,492,5,136.92,0.0,,78.4,Active,2025-05-08T04:03:06Z,2025-05-08T04:53:30Z,False,684.5999999999999
120,39,276,6,179.81,215.77,SAVE20,49.34,Converted,2025-11-14T12:47:40Z,2025-11-14T16:20:56Z,False,1078.8600000000001
121,40,253,1,131.16,0.0,,9.75,Active,2024-07-15T12:15:16Z,2024-07-17T00:10:16Z,False,131.16
122,41,252,3,323.84,145.73,WELCOME15,41.44,Active,2022-04-21T21:31:45Z,2022-04-22T06:38:32Z,False,971.52
123,42,390,2,98.86,0.0,,17.44,Active,2025-01-05T04:36:38Z,2025-01-05T09:33:11Z,False,197.72
124,42,220,2,269.37,0.0,,52.65,Active,2025-01-05T15:44:46Z,2025-01-05T16:55:26Z,False,538.74
125,42,170,2,219.84,0.0,,32.44,Active,2025-01-04T23:58:47Z,2025-01-05T10:25:52Z,False,439.68
126,42,447,1,154.54,38.63,NEWUSER25,13.71,Active,2025-01-05T10:45:40Z,2025-01-05T11:25:26Z,False,154.54
127,43,281,2,59.36,23.74,SAVE20,10.45,Converted,2024-12-09T00:18:04Z,2024-12-09T00:39:30Z,False,118.72
128,44,278,2,71.92,0.0,,8.3,Active,2017-08-17T18:40:26Z,2017-08-21T01:41:50Z,False,143.84
129,45,44,2,326.93,0.0,,56.8,Converted,2025-06-14T03:23:40Z,2025-06-14T12:46:47Z,False,653.86
130,45,143,2,618.02,0.0,,127.08,Converted,2025-06-13T09:47:49Z,2025-06-13T19:37:36Z,False,1236.04
131,46,312,1,101.5,0.0,,8.87,Abandoned,2019-09-17T01:50:53Z,2019-09-17T06:41:39Z,False,101.5
132,46,95,2,133.22,0.0,,17.3,Abandoned,2019-09-16T19:52:29Z,2019-09-19T08:37:38Z,False,266.44
133,47,51,1,188.65,18.86,SAVE10,11.8,Active,2023-07-15T18:37:51Z,2023-07-16T09:25:01Z,False,188.65
134,47,83,2,35.12,0.0,,7.01,Active,2023-07-15T13:15:54Z,2023-07-16T13:57:17Z,False,70.24
135,47,404,1,92.6,13.89,WELCOME15,7.68,Active,2023-07-16T05:20:14Z,2023-07-16T14:45:43Z,True,92.6
136,47,437,1,335.9,50.38,WELCOME15,29.22,Active,2023-07-15T12:01:06Z,2023-07-16T16:35:52Z,False,335.9
137,48,383,2,546.58,0.0,,116.51,Abandoned,2023-07-15T07:13:35Z,2023-07-15T07:42:20Z,False,1093.16
138,48,31,4,51.19,0.0,,16.98,Abandoned,2023-07-15T06:10:36Z,2023-07-15T06:28:27Z,False,204.76
139,49,341,2,40.65,0.0,,9.49,Abandoned,2025-08-29T23:40:18Z,2025-08-30T00:11:28Z,False,81.3
140,50,222,2,668.94,0.0,,114.83,Abandoned,2018-09-27T08:26:10Z,2018-09-27T09:19:34Z,False,1337.88
141,50,479,2,196.45,98.22,NEWUSER25,29.04,Abandoned,2018-09-27T03:16:27Z,2018-09-27T07:13:34Z,False,392.9
142,51,420,3,348.82,0.0,,70.04,Active,2025-07-14T19:25:37Z,2025-07-14T20:20:31Z,False,1046.46
143,52,392,2,598.09,0.0,,75.79,Converted,2025-04-25T14:01:47Z,2025-04-25T17:08:34Z,False,1196.18
144,52,424,1,26.23,3.93,WELCOME15,2.34,Converted,2025-04-25T00:24:09Z,2025-04-25T00:44:05Z,False,26.23
145,52,303,1,67.5,16.88,NEWUSER25,4.29,Converted,2025-04-24T20:03:35Z,2025-04-25T09:40:56Z,False,67.5
146,52,489,1,150.92,0.0,,8.02,Converted,2025-04-25T08:24:08Z,2025-04-25T22:23:01Z,False,150.92
147,52,259,1,146.12,0.0,,15.72,Converted,2025-04-23T10:48:31Z,2025-04-25T00:13:10Z,False,146.12
148,53,215,2,12.25,6.12,NEWUSER25,1.32,Abandoned,2018-12-06T16:07:19Z,2018-12-06T20:33:10Z,False,24.5
149,53,151,2,3.52,0.0,,0.49,Active,2018-12-04T01:21:33Z,2018-12-05T03:50:36Z,False,7.04
150,54,392,5,598.09,0.0,,282.0,Active,2025-02-10T09:56:31Z,2025-02-14T18:44:57Z,False,2990.4500000000003
151,55,130,1,745.47,149.09,SAVE20,67.29,Converted,2017-09-26T09:20:38Z,2017-09-26T11:53:37Z,False,745.47
152,55,280,10,941.58,1883.16,SAVE20,818.59,Converted,2017-09-26T08:59:05Z,2017-09-26T09:25:04Z,False,9415.800000000001
153,55,129,2,1432.08,0.0,,187.44,Converted,2017-09-26T08:52:56Z,2017-09-26T10:18:37Z,False,2864.16
154,55,338,7,21.79,0.0,,14.52,Converted,2017-09-26T10:28:02Z,2017-09-26T12:00:45Z,False,152.53
155,56,476,7,1161.94,0.0,,786.47,Converted,2025-05-11T03:14:53Z,2025-05-11T17:09:36Z,False,8133.58
156,57,378,6,100.56,0.0,,51.64,Converted,2023-11-13T03:13:45Z,2023-11-14T14:47:21Z,False,603.36
157,57,249,1,144.56,0.0,,12.4,Converted,2023-11-14T18:15:55Z,2023-11-14T19:23:57Z,False,144.56
158,57,52,1,105.12,0.0,,8.35,Converted,2023-11-12T19:58:14Z,2023-11-13T06:18:02Z,False,105.12
159,58,399,2,537.25,0.0,,95.41,Abandoned,2022-01-04T21:57:06Z,2022-01-04T23:59:31Z,False,1074.5
160,58,413,1,60.37,0.0,,6.55,Abandoned,2022-01-04T23:52:32Z,2022-01-05T02:42:34Z,False,60.37
161,58,253,1,131.16,0.0,,8.93,Abandoned,2022-01-05T05:14:13Z,2022-01-05T05:15:54Z,False,131.16
162,59,272,4,133.08,0.0,,27.63,Active,2023-03-12T09:47:28Z,2023-03-12T15:42:57Z,False,532.32
163,59,370,1,256.71,0.0,,18.43,Active,2023-03-10T00:42:04Z,2023-03-10T09:28:18Z,False,256.71
164,59,65,4,61.02,0.0,,18.63,Active,2023-03-08T18:31:31Z,2023-03-13T00:00:16Z,False,244.08
165,60,394,2,238.97,0.0,,45.57,Active,2025-01-26T13:50:03Z,2025-01-26T14:07:48Z,False,477.94
166,60,379,1,47.01,0.0,,5.1,Abandoned,2025-01-26T13:45:01Z,2025-01-26T14:00:40Z,False,47.01
167,60,464,4,118.76,0.0,,44.32,Abandoned,2025-01-26T09:37:06Z,2025-01-26T15:02:52Z,False,475.04
168,61,65,2,61.02,0.0,,11.83,Active,2017-06-10T15:36:14Z,2017-06-13T03:55:02Z,False,122.04
169,61,2,2,934.87,0.0,FREESHIP,179.25,Active,2017-06-10T03:46:10Z,2017-06-13T04:56:22Z,False,1869.74
170,62,165,1,133.28,0.0,,14.99,Converted,2025-02-05T12:23:03Z,2025-02-05T13:06:47Z,False,133.28
171,62,413,3,60.37,0.0,,11.16,Converted,2025-02-05T17:00:13Z,2025-02-05T20:47:10Z,False,181.10999999999999
172,63,466,2,937.33,0.0,,128.1,Converted,2025-09-30T00:52:40Z,2025-09-30T01:38:46Z,False,1874.66
173,63,400,3,94.03,0.0,,33.74,Converted,2025-09-28T23:08:27Z,2025-09-29T08:51:07Z,False,282.09000000000003
174,64,345,1,151.88,0.0,,10.59,Abandoned,2019-12-17T01:28:19Z,2019-12-17T03:34:42Z,False,151.88
175,65,379,1,47.01,4.7,SAVE10,4.72,Abandoned,2024-10-26T11:44:59Z,2024-10-26T11:44:59Z,False,47.01
176,66,16,1,692.72,0.0,,66.3,Abandoned,2024-10-23T19:56:26Z,2024-10-23T23:22:08Z,True,692.72
177,66,80,1,85.74,0.0,,4.37,Abandoned,2024-10-23T23:11:45Z,2024-10-24T00:37:55Z,False,85.74
178,66,463,1,43.99,0.0,,4.37,Abandoned,2024-10-23T18:56:11Z,2024-10-24T00:02:11Z,False,43.99
179,66,15,5,185.9,0.0,,97.31,Abandoned,2024-10-23T22:16:24Z,2024-10-23T22:36:35Z,False,929.5
180,67,142,1,174.48,0.0,,15.35,Converted,2022-03-23T10:10:48Z,2022-03-23T13:04:52Z,False,174.48
181,67,389,3,327.83,0.0,,87.84,Converted,2022-03-23T10:56:13Z,2022-03-23T13:06:40Z,False,983.49
182,67,354,1,156.7,0.0,,15.84,Converted,2022-03-23T08:33:47Z,2022-03-23T10:39:38Z,False,156.7
183,68,203,2,94.19,0.0,,9.44,Abandoned,2024-03-26T10:58:48Z,2024-03-26T10:59:09Z,False,188.38
184,68,295,1,238.26,0.0,,23.76,Abandoned,2024-03-26T11:48:50Z,2024-03-26T11:49:38Z,True,238.26
185,68,239,1,491.36,0.0,,50.04,Abandoned,2024-03-26T11:16:40Z,2024-03-26T11:49:38Z,False,491.36
186,68,61,1,57.63,11.53,SAVE20,4.12,Active,2024-03-26T11:35:56Z,2024-03-26T11:53:42Z,True,57.63
187,69,200,6,899.94,0.0,,402.46,Abandoned,2019-04-17T09:58:42Z,2019-04-17T10:03:06Z,False,5399.64
188,69,277,1,39.31,0.0,,2.36,Abandoned,2019-04-17T10:38:42Z,2019-04-17T11:36:41Z,False,39.31
189,69,238,1,1813.44,0.0,,166.63,Abandoned,2019-04-17T11:17:54Z,2019-04-17T11:39:31Z,False,1813.44
190,69,282,1,13.98,0.0,,1.49,Abandoned,2019-04-17T08:33:50Z,2019-04-17T09:55:34Z,False,13.98
191,70,72,3,462.01,0.0,FREESHIP,135.85,Active,2025-09-11T18:59:34Z,2025-09-13T09:00:45Z,False,1386.03
192,71,392,1,598.09,0.0,,66.41,Abandoned,2024-01-03T16:44:12Z,2024-01-03T16:44:12Z,False,598.09
193,71,447,8,154.54,0.0,FREESHIP,117.68,Active,2024-01-03T16:44:12Z,2024-01-03T16:44:12Z,False,1236.32
194,72,48,1,746.22,0.0,,48.6,Converted,2024-03-27T19:12:23Z,2024-03-28T00:45:43Z,False,746.22
195,72,288,4,31.48,18.89,WELCOME15,7.34,Converted,2024-03-27T23:36:34Z,2024-03-28T00:28:32Z,False,125.92
196,72,91,1,59.47,0.0,,5.98,Converted,2024-03-27T10:01:38Z,2024-03-28T13:13:50Z,False,59.47
197,72,293,2,116.69,0.0,,16.52,Converted,2024-03-27T05:03:54Z,2024-03-27T09:32:22Z,False,233.38
198,73,488,1,121.53,0.0,,8.17,Abandoned,2020-12-19T14:15:37Z,2020-12-19T15:57:41Z,False,121.53
199,73,424,4,26.23,0.0,FREESHIP,7.01,Abandoned,2020-12-19T15:54:02Z,2020-12-19T19:17:50Z,False,104.92
200,73,47,1,85.17,0.0,,7.09,Abandoned,2020-12-19T09:42:17Z,2020-12-19T12:33:42Z,False,85.17
201,74,207,1,46.8,0.0,,4.19,Active,2025-02-09T07:06:56Z,2025-02-10T15:08:08Z,False,46.8
202,74,132,3,369.68,0.0,,68.77,Active,2025-02-08T16:33:07Z,2025-02-09T03:27:41Z,False,1109.04
203,74,18,1,397.05,59.56,WELCOME15,28.57,Abandoned,2025-02-09T03:11:40Z,2025-02-13T02:53:59Z,False,397.05
204,75,470,2,695.16,208.55,WELCOME15,118.1,Active,2021-10-23T01:11:49Z,2021-10-25T00:39:58Z,False,1390.32
205,75,64,2,25.71,10.28,SAVE20,3.38,Active,2021-10-22T02:25:39Z,2021-10-23T00:40:13Z,False,51.42
206,76,243,2,555.05,0.0,,72.39,Abandoned,2022-10-24T01:00:49Z,2022-10-24T01:42:18Z,False,1110.1
207,76,458,8,108.2,173.12,SAVE20,42.05,Abandoned,2022-10-24T01:32:26Z,2022-10-24T04:58:28Z,True,865.6
208,77,135,1,80.26,0.0,,6.55,Active,2024-10-22T09:09:30Z,2024-10-25T22:41:03Z,False,80.26
209,77,297,2,173.45,0.0,FREESHIP,39.86,Active,2024-10-24T02:52:13Z,2024-10-26T05:31:27Z,False,346.9
210,78,75,1,254.98,0.0,,17.18,Active,2024-08-27T06:23:21Z,2024-08-27T21:23:07Z,False,254.98
211,78,486,4,415.81,0.0,,110.42,Active,2024-08-26T20:25:23Z,2024-08-27T13:54:06Z,False,1663.24
212,79,169,3,571.68,0.0,FREESHIP,110.99,Active,2024-11-02T23:16:00Z,2024-11-05T08:45:02Z,False,1715.04
213,79,415,1,158.1,63.24,CLEARANCE40,7.9,Active,2024-11-03T16:38:24Z,2024-11-06T17:14:43Z,True,158.1
214,80,378,1,100.56,20.11,SAVE20,7.37,Abandoned,2023-08-19T01:22:06Z,2023-08-19T07:17:53Z,False,100.56
215,80,485,1,493.06,0.0,,38.07,Active,2023-08-19T01:54:34Z,2023-08-19T03:49:09Z,False,493.06
