line_item_id,order_ref,product_ref,qty_ordered,unit_cost,unit_selling_price,item_discount,line_total,created_timestamp,profit_margin,tax_amount,product_sku,total_weight_kg,is_gift,return_status,fulfillment_location
21,9,392,2,298.88,598.09,0.0,1196.18,2025-04-25T23:07:26Z,598.42,75.79,SCO-BEDD-00392,68.56,False,None,STORE-002
22,9,424,1,18.69,26.23,3.93,22.3,2025-04-25T23:07:26Z,3.61,2.34,PEN-FICT-00424,0.0,False,None,
23,9,303,1,25.79,67.5,16.88,50.62,2025-04-25T23:07:26Z,24.83,4.29,FIS-DOLL-00303,2.46,False,None,DC-02
24,9,489,1,59.44,150.92,0.0,150.92,2025-04-25T23:07:26Z,91.48,8.02,NIK-AUDI-00489,2.49,False,None,STORE-001
25,9,259,1,79.36,146.12,0.0,146.12,2025-04-25T23:07:26Z,66.76,15.72,NER-BOAR-00259,5.07,False,None,WH-EAST-01
26,10,130,1,284.05,745.47,149.09,596.38,2017-09-26T14:08:46Z,312.33,67.29,LOG-GAMI-00130,3.79,False,None,WH-WEST-01
27,10,280,10,682.09,941.58,1883.16,7532.64,2017-09-26T14:08:46Z,711.74,818.59,NIK-ANDR-00280,21.7,False,None,DC-03
28,10,129,2,497.31,1432.08,0.0,2864.16,2017-09-26T14:08:46Z,1869.54,187.44,POT-KITC-00129,71.72,False,None,WH-CENTRAL-01
29,10,338,7,8.78,21.79,0.0,152.53,2017-09-26T14:08:46Z,91.07,14.52,PEN-NONF-00338,0.0,False,None,
30,11,476,7,491.96,1161.94,0.0,8133.58,2025-05-12T00:12:00Z,4689.86,786.47,WEB-GARD-00476,119.21,False,None,STORE-005
31,12,378,6,34.08,100.56,0.0,603.36,2023-11-14T21:29:49Z,398.88,51.64,CAL-MENS-00378,7.38,False,None,WH-CENTRAL-01
32,12,249,1,94.25,144.56,0.0,144.56,2023-11-14T21:29:49Z,50.31,12.4,WEB-FURN-00249,9.53,False,None,STORE-025
33,12,52,1,36.11,105.12,0.0,105.12,2023-11-14T21:29:49Z,69.01,8.35,KEL-ORGA-00052,7.37,False,None,STORE-015
34,13,165,1,57.59,133.28,0.0,133.28,2025-02-05T21:21:53Z,75.69,14.99,OPT-MEDI-00165,1.58,False,None,WH-WEST-02
35,13,413,3,44.8,60.37,0.0,181.11,2025-02-05T21:21:53Z,46.71,11.16,PEN-NONF-00413,0.0,False,None,
36,14,466,2,631.71,937.33,0.0,1874.66,2025-09-30T02:44:54Z,611.24,128.1,NIK-BUSI-00466,3.92,False,None,STORE-030
37,14,400,3,75.65,94.03,0.0,282.09,2025-09-30T02:44:54Z,55.14,33.74,HOT-BOAR-00400,11.22,False,None,STORE-004
38,15,142,1,77.67,174.48,174.48,0.0,2022-03-23T15:06:43Z,-77.67,15.35,NER-DOLL-00142,1.05,True,None,STORE-005
39,15,389,3,127.98,327.83,0.0,983.49,2022-03-23T15:06:43Z,599.55,87.84,SAM-SPEA-00389,14.82,False,None,WH-WEST-02
40,15,354,1,79.58,156.7,0.0,156.7,2022-03-23T15:06:43Z,77.12,15.84,ZAR-WOME-00354,1.13,False,None,WH-EAST-01
41,16,48,1,427.0,746.22,0.0,746.22,2024-03-28T14:33:36Z,319.22,48.6,JBL-LAPT-00048,0.21,False,None,DC-02
42,16,288,4,15.52,31.48,18.89,107.03,2024-03-28T14:33:36Z,44.95,7.34,PEP-PANT-00288,11.8,False,None,WH-EAST-01
43,16,91,1,27.72,59.47,0.0,59.47,2024-03-28T14:33:36Z,31.75,5.98,GEN-ORGA-00091,7.83,False,None,STORE-015
44,16,293,2,51.28,116.69,0.0,233.38,2024-03-28T14:33:36Z,130.82,16.52,PAT-YOGA-00293,18.48,False,None,DC-02
45,17,305,2,130.64,378.28,113.48,643.08,2022-04-22T19:40:16Z,381.8,66.81,LEV-ACCE-00305,2.76,False,Returned,STORE-030
46,17,41,10,130.87,199.76,0.0,1997.6,2022-04-22T19:40:16Z,688.9,174.81,OLA-MAKE-00041,36.5,False,Exchanged,DC-01
47,18,51,2,80.28,188.65,94.33,282.97,2021-01-23T12:41:13Z,122.41,31.8,ADI-MENS-00051,0.3,False,None,STORE-030
48,18,384,2,18.69,39.95,0.0,79.9,2021-01-23T12:41:13Z,42.52,9.18,NEW-WOME-00384,1.44,False,None,STORE-005
49,18,178,2,631.57,864.62,345.85,1383.39,2021-01-23T12:41:13Z,120.25,132.32,BOS-IPHO-00178,8.36,False,None,STORE-020
50,18,208,6,2.43,4.24,0.0,25.44,2021-01-23T12:41:13Z,10.86,2.83,ORG-ORGA-00208,27.36,False,None,STORE-003
51,18,24,10,7.67,19.59,0.0,195.9,2021-01-23T12:41:13Z,119.2,13.61,UNI-BEVE-00024,41.6,False,None,STORE-020
52,19,332,2,27.8,33.87,0.0,67.74,2021-06-24T21:17:34Z,12.14,4.59,KEL-SNAC-00332,11.62,False,None,STORE-015
53,19,13,1,64.41,119.0,23.8,95.2,2021-06-24T21:17:34Z,30.79,9.66,REI-WATE-00013,3.77,False,None,STORE-005
54,19,299,2,124.19,253.54,126.77,380.31,2021-06-24T21:17:34Z,131.93,31.53,WEA-TOOL-00299,1.6,False,None,WH-EAST-02
55,20,96,2,230.56,623.82,0.0,1247.64,2024-10-29T07:10:52Z,786.52,108.87,POT-BEDD-00096,80.28,False,None,WH-EAST-02
56,20,361,3,99.74,203.75,91.69,519.56,2024-10-29T07:10:52Z,220.34,42.21,APP-BUSI-00361,7.38,False,None,STORE-010
57,20,392,1,298.88,598.09,0.0,598.09,2024-10-29T07:10:52Z,299.21,60.35,SCO-BEDD-00392,34.28,False,None,WH-CENTRAL-01
58,21,293,1,51.28,116.69,0.0,116.69,2019-04-18T15:31:56Z,65.41,12.81,PAT-YOGA-00293,9.24,False,None,DC-03
59,21,284,2,123.0,304.44,0.0,608.88,2019-04-18T15:31:56Z,362.88,31.85,SCO-BEDD-00284,14.56,False,None,WH-EAST-02
60,21,500,5,39.44,48.8,0.0,244.0,2019-04-18T15:31:56Z,46.8,13.76,PUM-DRES-00500,9.4,False,None,STORE-030
61,22,248,2,93.65,165.29,0.0,330.58,2024-12-08T08:50:29Z,143.28,20.51,HM-MENS-00248,3.34,False,None,STORE-015
62,22,84,1,420.1,1161.5,0.0,1161.5,2024-12-08T08:50:29Z,741.4,133.59,CUI-KITC-00084,1.84,False,None,STORE-015
63,22,423,2,52.26,127.71,0.0,255.42,2024-12-08T08:50:29Z,150.9,15.64,HAS-DOLL-00423,9.0,False,None,DC-02
64,23,480,1,23.56,53.57,8.04,45.53,2025-07-12T01:59:48Z,21.97,2.32,HM-WOME-00480,0.57,False,None,WH-EAST-02
65,24,307,1,76.99,126.97,12.7,114.27,2024-12-19T17:22:54Z,37.28,10.35,NEW-MENS-00307,1.22,False,None,STORE-005
66,24,217,3,458.71,1017.69,0.0,3053.07,2024-12-19T17:22:54Z,1676.94,157.27,ASU-BUSI-00217,5.49,False,None,STORE-025
67,25,418,3,26.37,67.05,0.0,201.15,2022-02-18T08:48:29Z,122.04,11.78,FUN-DOLL-00418,26.85,False,None,WH-EAST-01
68,26,297,2,76.75,173.45,0.0,346.9,2024-08-03T21:13:27Z,193.4,34.05,MAY-FRAG-00297,11.48,False,None,STORE-010
69,26,9,1,224.77,564.82,0.0,564.82,2024-08-03T21:13:27Z,340.05,53.77,DYS-OFFI-00009,16.99,False,None,DC-03
70,26,410,3,102.93,143.2,107.4,322.2,2024-08-03T21:13:27Z,13.41,34.02,OLA-HAIR-00410,17.04,False,None,WH-CENTRAL-01
71,27,104,2,25.24,32.71,0.0,65.42,2023-03-01T20:31:29Z,14.94,6.07,FUN-BUIL-00104,16.2,False,None,STORE-025
72,27,301,1,17.6,27.18,0.0,27.18,2023-03-01T20:31:29Z,9.58,2.71,NES-BEVE-00301,0.71,False,None,DC-01
73,27,402,5,93.99,224.2,0.0,1121.0,2023-03-01T20:31:29Z,651.05,63.34,CRA-FURN-00402,164.35,False,None,STORE-015
74,28,88,1,144.2,299.08,59.82,239.26,2023-08-21T12:22:03Z,95.06,21.0,GAP-KIDS-00088,1.69,False,None,WH-EAST-02
75,29,149,2,35.21,78.07,39.03,117.11,2019-12-01T06:43:44Z,46.69,12.84,ORG-ORGA-00149,13.92,False,None,STORE-020
76,30,104,3,25.24,32.71,9.81,88.32,2025-12-05T06:28:11Z,12.6,5.8,FUN-BUIL-00104,24.3,False,Returned,DC-03
77,30,257,2,101.9,298.33,0.0,596.66,2025-12-05T06:28:11Z,392.86,50.71,OLA-SKIN-00257,16.96,False,Returned,STORE-001
78,30,76,3,440.08,803.23,0.0,2409.69,2025-12-05T06:28:11Z,1089.45,200.87,CRA-HOME-00076,134.19,False,Returned,WH-CENTRAL-01
79,30,45,2,77.28,217.29,0.0,434.58,2025-12-05T06:28:11Z,280.02,46.76,BAR-EDUC-00045,7.22,False,Returned,STORE-025
80,30,265,2,31.58,73.41,0.0,146.82,2025-12-05T06:28:11Z,83.66,11.25,CAL-MENS-00265,2.02,False,Exchanged,WH-CENTRAL-01
81,31,415,1,94.65,158.1,0.0,158.1,2021-08-31T07:09:52Z,63.45,18.28,PUM-MENS-00415,1.55,False,None,DC-02
82,31,257,2,101.9,298.33,59.67,536.99,2021-08-31T07:09:52Z,333.19,33.67,OLA-SKIN-00257,16.96,False,None,WH-EAST-02
83,31,139,2,68.83,133.83,0.0,267.66,2021-08-31T07:09:52Z,130.0,28.41,WEB-BEDD-00139,47.54,False,None,STORE-010
84,31,332,1,27.8,33.87,0.0,33.87,2021-08-31T07:09:52Z,6.07,3.41,KEL-SNAC-00332,5.81,False,None,STORE-025
85,32,41,2,130.87,199.76,39.95,359.57,2025-07-05T18:24:53Z,97.83,21.98,OLA-MAKE-00041,7.3,False,None,WH-CENTRAL-01
86,33,51,2,80.28,188.65,37.73,339.57,2023-09-06T14:41:57Z,179.01,21.11,ADI-MENS-00051,0.3,False,None,STORE-025
87,33,277,1,14.2,39.31,0.0,39.31,2023-09-06T14:41:57Z,25.11,2.18,UNI-PANT-00277,6.63,False,None,STORE-015
88,34,52,2,36.11,105.12,0.0,210.24,2024-08-21T09:22:26Z,138.02,13.11,KEL-ORGA-00052,14.74,False,None,WH-WEST-02
89,35,363,1,15.13,15.2,0.0,15.2,2025-09-05T19:03:52Z,0.07,1.51,NEW-WOME-00363,1.37,False,None,WH-WEST-02
90,35,211,1,29.35,85.31,0.0,85.31,2025-09-05T19:03:52Z,55.96,6.4,UND-MENS-00211,1.08,False,None,STORE-015
91,35,6,1,52.82,119.78,0.0,119.78,2025-09-05T19:03:52Z,66.96,6.78,THE-CARD-00006,8.51,False,None,STORE-010
92,36,72,1,205.44,462.01,0.0,462.01,2023-03-25T16:35:55Z,256.57,24.97,CUI-OFFI-00072,41.81,False,None,STORE-004
93,37,220,3,97.49,269.37,0.0,808.11,2021-08-21T03:10:34Z,515.64,66.96,HM-MENS-00220,4.83,False,None,STORE-005
94,37,300,1,192.61,281.9,0.0,281.9,2021-08-21T03:10:34Z,89.29,20.16,ASU-GAMI-00300,4.52,False,None,WH-CENTRAL-01
95,38,321,2,47.71,74.05,0.0,148.1,2024-12-28T08:21:45Z,52.68,16.95,KRA-PANT-00321,10.58,False,None,DC-03
96,39,477,4,39.41,75.86,0.0,303.44,2023-06-29T13:56:29Z,145.8,30.13,NES-ORGA-00477,26.12,False,None,STORE-010
97,39,243,4,186.91,555.05,0.0,2220.2,2023-06-29T13:56:29Z,1472.56,208.39,NIK-ULTR-00243,18.48,False,None,DC-01
98,39,439,1,142.94,248.98,0.0,248.98,2023-06-29T13:56:29Z,106.04,25.82,ADI-FOOT-00439,0.46,False,None,DC-02
99,39,395,1,284.81,355.98,0.0,355.98,2023-06-29T13:56:29Z,71.17,20.84,MIC-CARA-00395,4.19,False,None,DC-01
100,40,109,5,46.71,134.59,0.0,672.95,2025-01-30T12:37:44Z,439.4,57.81,PEN-FICT-00109,0.0,False,None,
101,40,392,1,298.88,598.09,598.09,0.0,2025-01-30T12:37:44Z,-298.88,34.62,SCO-BEDD-00392,34.28,True,None,WH-WEST-01
102,41,461,8,360.69,711.37,0.0,5690.96,2025-05-27T19:37:51Z,2805.44,470.39,IRO-FURN-00461,197.52,False,None,WH-EAST-02
103,41,82,4,410.61,931.55,372.62,3353.58,2025-05-27T19:37:51Z,1711.14,200.94,LEN-SPEA-00082,15.76,False,None,STORE-020
104,41,429,1,20.81,18.9,2.83,16.07,2025-05-27T19:37:51Z,-4.74,0.87,GNC-VITA-00429,1.19,False,None,DC-03
105,42,107,3,35.23,84.07,0.0,252.21,2024-12-08T10:58:29Z,146.52,21.12,NES-BEVE-00107,27.3,False,None,STORE-005
106,42,433,1,78.78,210.06,84.02,126.04,2024-12-08T10:58:29Z,47.26,13.74,RAN-FICT-00433,0.0,False,None,
107,43,318,2,294.09,568.37,0.0,1136.74,2024-03-29T06:12:11Z,548.56,73.17,WEB-OFFI-00318,64.32,False,None,STORE-025
108,43,254,3,144.87,395.44,0.0,1186.32,2024-03-29T06:12:11Z,751.71,69.52,HM-WOME-00254,2.22,False,None,STORE-020
109,44,251,1,137.06,393.53,0.0,393.53,2025-11-05T01:48:09Z,256.47,22.08,COL-CYCL-00251,3.76,False,None,DC-02
110,44,244,2,313.72,738.47,0.0,1476.94,2025-11-05T01:48:09Z,849.5,176.16,SON-ULTR-00244,6.32,False,Return Requested,WH-EAST-02
111,44,10,2,441.06,1211.32,0.0,2422.64,2025-11-05T01:48:09Z,1540.52,209.31,LG-HEAD-00010,3.54,False,None,STORE-010
112,45,251,2,137.06,393.53,0.0,787.06,2022-08-01T04:39:20Z,512.94,93.17,COL-CYCL-00251,7.52,False,None,STORE-030
113,45,393,2,93.66,254.29,0.0,508.58,2022-08-01T04:39:20Z,321.26,46.37,PAT-EXER-00393,17.24,False,None,WH-EAST-02
114,46,440,1,133.07,216.11,21.61,194.5,2025-01-30T19:10:38Z,61.43,14.68,CUI-FURN-00440,35.82,False,None,STORE-015
115,46,389,1,127.98,327.83,0.0,327.83,2025-01-30T19:10:38Z,199.85,24.58,SAM-SPEA-00389,4.94,False,None,STORE-030
116,46,353,10,86.88,172.46,689.84,1034.76,2025-01-30T19:10:38Z,165.96,61.4,EST-HAIR-00353,91.2,False,None,STORE-001
117,46,30,1,190.01,386.41,0.0,386.41,2025-01-30T19:10:38Z,196.4,24.55,CRA-TOOL-00030,6.94,False,None,STORE-025
118,46,449,3,175.79,274.42,0.0,823.26,2025-01-30T19:10:38Z,295.89,55.18,OPT-FITN-00449,4.14,False,None,WH-WEST-01
119,47,198,2,136.0,275.96,0.0,551.92,2023-10-29T08:28:49Z,279.92,36.02,SCH-WATE-00198,15.84,False,None,STORE-001
120,47,29,1,97.79,129.61,0.0,129.61,2023-10-29T08:28:49Z,31.82,11.19,DYS-OFFI-00029,17.19,False,None,STORE-030
121,48,78,1,48.44,88.98,0.0,88.98,2022-12-04T00:04:49Z,40.54,8.46,HAR-MOVI-00078,0.0,False,None,
122,48,105,1,16.05,24.47,0.0,24.47,2022-12-04T00:04:49Z,8.42,2.92,UND-MENS-00105,0.95,False,None,STORE-003
123,48,323,1,96.32,283.09,0.0,283.09,2022-12-04T00:04:49Z,186.77,30.78,PAT-TEAM-00323,4.76,False,None,STORE-003
124,48,211,4,29.35,85.31,0.0,341.24,2022-12-04T00:04:49Z,223.84,25.01,UND-MENS-00211,4.32,False,None,WH-EAST-02
125,48,261,3,106.59,246.89,0.0,740.67,2022-12-04T00:04:49Z,420.9,82.28,HM-DRES-00261,2.07,False,None,STORE-002
126,49,4,1,115.01,147.53,0.0,147.53,2020-09-24T05:41:13Z,32.52,17.61,YET-YOGA-00004,8.87,False,None,STORE-004
127,49,282,2,7.34,13.98,5.59,22.37,2020-09-24T05:41:13Z,7.69,2.6,COC-ORGA-00282,7.82,False,None,DC-01
128,50,443,1,717.2,1258.34,0.0,1258.34,2022-07-06T09:10:46Z,541.14,76.52,FIT-WEAR-00443,0.85,False,None,STORE-015
129,51,75,2,120.46,254.98,203.98,305.98,2022-07-14T00:39:04Z,65.06,15.96,ADI-TOPS-00075,0.2,False,Return Pending,STORE-003
130,51,191,2,466.48,727.94,0.0,1455.88,2022-07-14T00:39:04Z,522.92,80.12,CUI-BEDD-00191,63.22,False,Return Pending,WH-EAST-01
131,52,411,1,29.08,84.88,0.0,84.88,2023-04-18T07:00:23Z,55.8,8.36,NIK-YOGA-00411,7.33,False,None,DC-03
132,53,272,2,79.18,133.08,0.0,266.16,2024-10-05T08:48:26Z,107.8,19.16,MAT-BUIL-00272,9.96,False,None,DC-02
133,53,321,2,47.71,74.05,0.0,148.1,2024-10-05T08:48:26Z,52.68,11.17,KRA-PANT-00321,10.58,False,None,WH-WEST-01
134,53,395,2,284.81,355.98,0.0,711.96,2024-10-05T08:48:26Z,142.34,73.49,MIC-CARA-00395,8.38,False,None,WH-EAST-01
135,53,53,2,436.88,972.57,0.0,1945.14,2024-10-05T08:48:26Z,1071.38,214.99,WIL-KITC-00053,84.6,False,None,STORE-002
136,54,390,1,33.93,98.86,0.0,98.86,2025-12-05T23:57:59Z,64.93,10.21,SCH-EXER-00390,3.57,False,None,WH-WEST-01
137,54,103,2,204.48,408.53,0.0,817.06,2025-12-05T23:57:59Z,408.1,40.97,JBL-BUSI-00103,0.86,False,None,STORE-030
138,54,460,5,97.67,265.23,198.92,1127.23,2025-12-05T23:57:59Z,638.88,104.79,OPT-MEDI-00460,48.05,False,None,STORE-003
139,55,41,5,130.87,199.76,0.0,998.8,2019-06-30T05:34:07Z,344.45,58.27,OLA-MAKE-00041,18.25,False,None,STORE-001
140,55,223,1,132.72,282.68,0.0,282.68,2019-06-30T05:34:07Z,149.96,31.4,CRA-TOOL-00223,5.1,False,None,WH-WEST-01
141,56,399,1,471.55,537.25,0.0,537.25,2024-10-04T22:44:56Z,65.7,50.95,APP-AUDI-00399,2.06,False,None,DC-03
142,56,252,1,135.58,323.84,80.96,242.88,2024-10-04T22:44:56Z,107.3,19.5,CLI-SKIN-00252,4.01,False,None,WH-EAST-01
143,57,428,2,168.62,379.16,113.75,644.57,2024-08-13T03:08:47Z,307.33,75.33,UND-WATE-00428,5.2,False,None,DC-01
144,57,311,1,73.59,104.55,0.0,104.55,2024-08-13T03:08:47Z,30.96,11.54,IRO-OFFI-00311,29.67,False,None,STORE-015
145,57,226,2,342.18,621.86,0.0,1243.72,2024-08-13T03:08:47Z,559.36,139.3,BOS-LAPT-00226,8.1,False,None,STORE-005
146,57,225,4,8.51,11.07,17.71,26.57,2024-08-13T03:08:47Z,-7.47,2.28,COC-SNAC-00225,9.08,False,None,WH-WEST-01
147,58,99,5,441.95,932.42,0.0,4662.1,2018-11-21T07:42:43Z,2452.35,324.31,WEB-LIVI-00099,103.0,False,None,DC-02
148,59,156,2,11.28,19.08,5.72,32.44,2025-08-07T00:49:29Z,9.88,3.12,SON-MUSI-00156,0.0,False,None,
149,59,45,2,77.28,217.29,0.0,434.58,2025-08-07T00:49:29Z,280.02,34.89,BAR-EDUC-00045,7.22,False,None,STORE-030
150,59,58,5,48.85,68.4,0.0,342.0,2025-08-07T00:49:29Z,97.75,25.71,THU-CARP-00058,30.9,False,None,STORE-030
151,59,157,6,130.36,278.27,0.0,1669.62,2025-08-07T00:49:29Z,887.46,85.36,ADI-EXER-00157,5.94,False,None,WH-CENTRAL-01
152,59,40,1,10.26,28.74,2.87,25.87,2025-08-07T00:49:29Z,15.61,2.86,ORG-PANT-00040,9.35,False,None,DC-03
153,60,161,1,656.26,828.82,331.53,497.29,2025-07-20T10:34:18Z,-158.97,53.75,DEL-BUSI-00161,3.35,False,None,WH-WEST-02
154,60,210,1,155.27,177.18,0.0,177.18,2025-07-20T10:34:18Z,21.91,13.56,POT-KITC-00210,15.94,False,None,STORE-030
155,60,225,1,8.51,11.07,1.66,9.41,2025-07-20T10:34:18Z,0.9,0.69,COC-SNAC-00225,2.27,False,None,WH-EAST-02
156,60,9,3,224.77,564.82,254.17,1440.29,2025-07-20T10:34:18Z,765.98,134.26,DYS-OFFI-00009,50.97,False,None,DC-03
157,60,478,2,165.48,215.05,0.0,430.1,2025-07-20T10:34:18Z,99.14,31.94,BRA-FITN-00478,9.54,False,None,DC-01
158,61,385,7,178.54,485.58,509.86,2889.2,2024-10-06T23:00:36Z,1639.42,297.68,GOO-CARP-00385,33.74,False,None,WH-CENTRAL-01
159,61,407,1,90.49,261.02,26.1,234.92,2024-10-06T23:00:36Z,144.43,21.49,IKE-GARD-00407,26.78,False,None,STORE-002
160,62,196,2,173.9,232.03,0.0,464.06,2023-01-15T14:55:27Z,116.26,27.88,HP-CAME-00196,2.02,False,None,WH-CENTRAL-01
161,63,424,3,18.69,26.23,0.0,78.69,2023-06-27T11:42:42Z,22.62,9.12,PEN-FICT-00424,0.0,False,None,
162,63,143,2,387.05,618.02,0.0,1236.04,2023-06-27T11:42:42Z,461.94,110.84,FIT-GAMI-00143,5.98,False,None,STORE-003
163,64,307,2,76.99,126.97,38.09,215.85,2025-03-30T04:26:52Z,61.87,19.8,NEW-MENS-00307,2.44,False,None,STORE-010
164,64,64,3,11.1,25.71,11.57,65.56,2025-03-30T04:26:52Z,32.26,5.99,GAP-MENS-00064,3.78,False,None,STORE-020
165,65,283,1,436.26,1198.51,0.0,1198.51,2025-07-10T21:21:18Z,762.25,67.47,SCO-KITC-00283,28.1,False,None,DC-01
166,65,237,3,125.41,204.25,91.91,520.84,2025-07-10T21:21:18Z,144.61,34.24,TOM-MENS-00237,2.19,False,None,WH-WEST-01
167,65,349,1,295.91,635.35,127.07,508.28,2025-07-10T21:21:18Z,212.37,33.27,MIC-SMAR-00349,0.53,False,None,STORE-010
168,65,295,2,127.17,238.26,0.0,476.52,2025-07-10T21:21:18Z,222.18,39.87,GNC-FITN-00295,17.14,False,None,DC-02
169,66,278,3,37.17,71.92,0.0,215.76,2025-08-07T04:09:24Z,104.25,15.68,LEG-BUIL-00278,2.94,False,None,STORE-020
170,66,299,4,124.19,253.54,253.54,760.62,2025-08-07T04:09:24Z,263.86,50.27,WEA-TOOL-00299,3.2,False,None,DC-03
171,66,440,8,133.07,216.11,432.22,1296.66,2025-08-07T04:09:24Z,232.1,96.51,CUI-FURN-00440,286.56,False,None,WH-EAST-01
172,66,155,3,782.09,2193.18,0.0,6579.54,2025-08-07T04:09:24Z,4233.27,635.34,NIK-GAMI-00155,5.43,False,None,STORE-020
173,67,233,3,33.17,45.4,0.0,136.2,2021-06-25T05:54:05Z,36.69,11.9,NES-ORGA-00233,21.87,False,None,DC-02
174,67,436,1,30.88,80.51,0.0,80.51,2021-06-25T05:54:05Z,49.63,4.06,UNI-NONF-00436,0.0,False,None,
175,67,318,5,294.09,568.37,0.0,2841.85,2021-06-25T05:54:05Z,1371.4,232.2,WEB-OFFI-00318,160.8,False,None,STORE-025
176,68,343,7,51.19,105.52,0.0,738.64,2025-04-28T22:43:48Z,380.31,46.79,RAN-FICT-00343,0.0,False,None,
177,68,338,1,8.78,21.79,2.18,19.61,2025-04-28T22:43:48Z,10.83,2.06,PEN-NONF-00338,0.0,False,None,
178,68,220,5,97.49,269.37,538.74,808.11,2025-04-28T22:43:48Z,320.66,89.64,HM-MENS-00220,8.05,False,None,STORE-005
179,68,203,2,37.47,94.19,47.09,141.29,2025-04-28T22:43:48Z,66.35,13.62,MAY-SKIN-00203,16.38,False,None,WH-WEST-02
180,68,392,1,298.88,598.09,0.0,598.09,2025-04-28T22:43:48Z,299.21,45.37,SCO-BEDD-00392,34.28,False,None,STORE-025
181,69,127,3,61.06,104.13,0.0,312.39,2023-12-29T10:26:14Z,129.21,32.53,BAR-BUIL-00127,17.37,False,None,DC-03
182,70,318,2,294.09,568.37,1136.74,0.0,2025-04-30T19:52:47Z,-588.18,53.4,WEB-OFFI-00318,64.32,True,None,STORE-030
183,70,155,3,782.09,2193.18,0.0,6579.54,2025-04-30T19:52:47Z,4233.27,479.66,NIK-GAMI-00155,5.43,False,None,WH-EAST-02
184,71,131,2,6.99,15.41,0.0,30.82,2023-10-23T21:12:39Z,16.84,1.58,SON-MUSI-00131,0.0,False,None,
185,72,251,1,137.06,393.53,157.41,236.12,2025-02-03T01:46:13Z,99.06,13.25,COL-CYCL-00251,3.76,False,None,STORE-005
186,72,464,6,81.15,118.76,0.0,712.56,2025-02-03T01:46:13Z,225.66,48.22,NYX-HAIR-00464,20.22,False,None,WH-EAST-01
187,72,188,1,502.39,960.8,0.0,960.8,2025-02-03T01:46:13Z,458.41,49.72,APP-HEAD-00188,0.59,False,None,DC-01
188,72,12,1,149.7,168.0,168.0,0.0,2025-02-03T01:46:13Z,-149.7,10.56,UND-MENS-00012,0.25,True,None,STORE-025
