product_id,product_name,sku,category_id,category,sub_category,brand,supplier_id,cost_price,sell_price,launch_date,weight,dimensions,color,size,material
1554,Sony T-Shirt Sport,SO-CL0554-YEL,CAT_526,Apparel,Jackets,Under Armour,SUPP_10583,  485.67  ,787.26,2024-05-30 00:00:00,0.527,10x36x75,Gray,XL,Cotton
1581,Google Backpack,GO-AC0581-YEL,CAT_599,Electronics,Tablets,Brooks,SUPP_10384,174.46,391.5,2022-07-18 00:00:00,8.551,59x57x95,Purple,Medium,Fabric
1773,Adidas Monitor Essential,AD-HM0773-GRE,CAT_683,  Electronics  ,Tablets,Google,SUPP_10953,275.55,400.6,2023-04-04 00:00:00,1.866,21x30x30,Silver,"27""""",Magnesium Alloy
1480,,xx-sp0480-bro#,,Gaming,,Amazon,,,262.45,,,59x19x27,,Extra Large,
1734,Canon Smartwatch,CA-AC0734-WHI,CAT_631,ELECTRONICS,Wearables,Reebok,SUPP_10864,94.05,123.74,2021-05-01 00:00:00,0.747,20x11x25,White,"14""""",Steel
1256,Bose Case Max,BO-EL0256-GOL,CAT_609,Home & Office,Other,ASICS,SUPP_10411,168.88,416.9,2022-12-15 00:00:00,5.802,22x46x32,White,One Size,  Composite  
1167,ASICS Smartphone Sport,AS-AC0167-PUR,CAT_641,Electronics,Computers,Nike,SUPP_10761,133.16,267.22,2022-07-18 00:00:00,0.256,18x9x1.3,White,Standard,steel
1168,JBL Headphones Sport,JB-SP0168-MIN,CAT_567,Electronics,mobile,Dell,SUPP_10598,424.55,512.58,2025-08-24 00:00:00,0.193,13x6x0.7,White,Standard,Aluminum
1578,Reebok Screen Protector Plus,RE-CL0578-RED,CAT_669,Apparel,Sportswear,Samsung,SUPP_10773,29.3,68.69,2024-11-01 00:00:00,4.781,66x26x7,Orange,Extra Large,Wood
1836,Lenovo Camera,  LE-EL0836-SIL  ,CAT_538,Footwear,Basketball,Apple,SUPP_10381,377.1,703.2,  2022-07-04  ,9.126,19x96x52,Mint,  Medium  ,Metal
1982,Lenovo Charger Basic,LE-CL0982-WHI,CAT_534,ACCESSORIES,Belts,Nike,SUPP_10589,  56.02  ,117.38,2021-12-14 00:00:00,0.101,59x83x29,Green,Medium,Wood
1155,Brooks Headphones Sport,BR-EL0155-MIN,CAT_564,Electronics,Wearables,Brooks,SUPP_10156,110.69,231.5,2020-10-16 00:00:00,0.102,15x6x1.2,White,Standard,Steel
1875,Microsoft Tablet™ #875,,CAT_667,,Mobile,,SUPP_10883,436.25,,2025-07-02 00:00:00,4.525,,Gold,,Aluminum
1440,Nikon Camera Advanced,SKU-440!@#,CAT_9999,,,Generic,,,0,2024-01-10,,x49x40,,Medium (M),
1535,Reebok Case Pro,RE-CL0535-MIN,CAT_589,  Footwear  ,Casual,Amazon,supp_10950,122.75,180.62,  2023-09-16  ,3.099,59x39x34,Gold,Large,Mixed Materials
1325,Saucony Training Shoes Home,,CAT_542,,Running,,SUPP_10585,318.75,,2021-12-05 00:00:00,1.203,,Blue,,Rubber
1295,Apple Basketball Shoes,AP-CL0295-BEI,CAT_661,Footwear,Casual,Mizuno,SUPP_10659,209.08,260.11,2024-11-20 00:00:00,1.326,32x18x15,Red,11,Suede
  1035  ,Nike Charger™ #35,UN-AC0031-BEI,CAT_605,Electronics,Mobile,Nike Inc.,SUPP_10637,380.66,  TBD  ,2024-03-13 00:00:00,4.476,Large,Gold,Standard,Wood
1701,Reebok Backpack Classic,RE-CL0701-MIN,CAT_696,Outdoor,General,Nike,SUPP_10956,311.64,485.34,2024-07-15 00:00:00,7.824,83x13x97,Beige,Extra Large,Wood
1171,Reebok Charger,RE-EL0171-GOL,CAT_671,Outdoor,GENERAL,ASICS,SUPP_10434,419.48,615.48,2025-03-08 00:00:00,8.305,99x60x87,Blue,medium,Mixed Materials
1086,Samsung Camera Classic,SA-SP0086-GRE,  CAT_501  ,Sports,accessories,Lenovo,SUPP_10457,  379.34  ,925.68,2021-02-16 00:00:00,3.089,97x78x6,Navy,  Large  ,Synthetic
1986,Sony Jacket Pro,SO-AC0986-SIL,CAT_503,Apparel,Shirts,Lenovo,SUPP_10723,208.37,468.06,2024-03-28 00:00:00,1.358,  50x86x56  ,Navy,XXXL,Polyester
1820,  Apple Smartwatch Max  ,ap-hm0820-whi,CAT_507,Electronics,,Sony,,,899.29,2022-07-31 00:00:00,,32x16x9,,"14""""",
1101,  Panasonic Smartwatch Advanced  ,PA-EL0101-COR,CAT_690,Electronics,Tablets,Adidas,SUPP_10100,  224.17  ,513.41,2024-10-11 00:00:00,2.033,49x48x17,White,"13""""",Magnesium Alloy
1892,Dell Basketball Shoes Classic,DE-EL0892-BLA,CAT_575,footwear,Running,  Dell  ,SUPP_10634,56.4,124.25,2023-07-26 00:00:00,1.436,33x20x12,Black,41,Leather
1873,Nikon Training Shoes Pro,NI-AC0873-MIN,CAT_643,Footwear,RUNNING,Samsung,SUPP_10775,198.04,451.87,2023-04-09 00:00:00,0.552,25x16x12,White,42,Rubber
1020,Nikon Speaker Essential,ni-sp0020-bei,CAT_656,Fashion,,Saucony,,,894.18,2024-12-03 00:00:00,,59x75x62,,Medium,
1977,LG Laptop,LG-CL0977-BLA,CAT_517,Electronics,Wearables,Lenovo,SUPP_10695,365.66,890.92,2024-11-28 00:00:00,2.173,31x25x2,Black,"24""""",STEEL
1119,Saucony Running Shoes Ultra,SA-AC0119-BEI,CAT_555,Footwear,Running,Samsung,SUPP_10143,378.7,744.69,2021-01-09 00:00:00,0.699,31x17x11,White,10,Suede
1914,Microsoft Speaker Premium,MI-AC0914-GRE,CAT_545,  Electronics  ,Tablets,Mizuno,SUPP_10379,390.94,601.12,2021-09-23 00:00:00,3.534,8x92x72,Gray,Extra Large,Composite
1872,Adidas Monitor Plus,AD-HM0872-BLA%,CAT_645,Electronics,Mobile,Dell,SUPP_10517,272.92,631.99,  2023-04-08  ,4.723,42x39x29,White,"24""""",Glass
1218,HP Speaker Premium,HP-EL0218-WHI,CAT_563,Equipment,  Other  ,Google,SUPP_10341,250.07,542.08,2025-09-11 00:00:00,0.282,92x50x50,Pink,Medium,Wood
,,,, , , ,,,  NULL  ,,,,,    ,
1555,Google Basketball Shoes Home,GO-HM0555-TUR,cat_612,Footwear,Formal,Reebok,SUPP_10564,499.2,723.8,2023-01-24 00:00:00,0.442,33x19x13,Black/White,42,Mesh
1485,Microsoft Screen Protector Sport,MI-SP0485-BRO,CAT_523,Accessories,Jewelry,Reebok,SUPP_10285,246.84,587.47,2024-06-09 00:00:00,5.379,  36x53x7  ,Turquoise,EXTRA LARGE,Fabric
1444,LG Casual Shoes,LG-EL0444-TUR,CAT_675,FOOTWEAR,  Basketball  ,Nikon,SUPP_10697,83.61,205.4,2023-11-12 00:00:00,1.011,35x16x12,Red,10.5,Leather
1848,Mizuno Cable Plus,MI-SP0848-PUR,CAT_502,Technology,Other,Dell,SUPP_10678,323.6,727.47,2024-01-12 00:00:00,8.771,46x26x20,White,Medium,Metal
1159,Nike Smartwatch Classic,NI-EL0159-BRO,CAT_612,Electronics,Computers,Apple,SUPP_10267,330.94,402.45,2023-07-31 00:00:00,4.407,43x46x28,  Gold  ,"17""""",Magnesium Alloy
1008,Lenovo Tablet Home,LE-SP0008-BLU,CAT_631,  Electronics  ,Mobile,Microsoft,SUPP_10685,247.85,471.16,2021-11-16 00:00:00,3.755,46x46x20,Silver,"""  32""""  """,Carbon Fiber
1597,JBL Backpack,JB-CL0597-NAV,CAT_585,Accessories,Watches,MICROSOFT,SUPP_10402,  68.39  ,107.44,2021-02-14 00:00:00,0.385,82x88x90,Coral,Extra Large,Composite
1093,Panasonic Camera Classic,PA-CL0093-GRE,  CAT_576  ,Fashion,Other,Sony,SUPP_10825,236.88,  302.0  ,2021-12-27 00:00:00,4.186,58x76x72,Gray,Extra Large,Composite
1191,Lenovo Running Shoes Home,LE-HM0191-ORA,CAT_539,Footwear,Running,Samsung,SUPP_10942,48.46,118.36,2022-12-16 00:00:00,0.84,25x19x10,Navy/Red,39,Canvas
1052,Reebok Laptop Basic,RE-SP0052-BLA,CAT_546,Electronics,Tablets,Brooks,SUPP_10780,161.4,264.98,2023-10-04 00:00:00,1.214,32x29x3,Space Gray,"14""""",Plastic
1314,ASICS Camera,AS-HM0314-WHI,CAT_516,HOME & OFFICE,Miscellaneous,  Samsung  ,SUPP_10632,121.08,233.75,2021-03-15 00:00:00,4.915,48x50x10,Mint,Large,Composite
1194,  Panasonic Running Shoes  ,PA-CL0194-TUR,CAT_502,Footwear,Basketball,Canon,SUPP_10511,75.89,179.2,2020-10-13 00:00:00,1.02,33x20x12,Navy/Red,39,Canvas
null#,  NA  ,,,,,,,,,, ,,, ,
,Nikon Screen Protector™ #700,,,,,,,,,Invalid,,,,,
1537,Bose Training Shoes Classic,BO-EL0537-BLA,CAT_597,Footwear,Formal,Panasonic,  SUPP_10984  ,430.17,714.55,2024-09-19 00:00:00,1.429,26x18x15,Blue,9.5,  Suede  
1041,Puma Smartwatch,PU-SP0041-BEI,CAT_565,Electronics,Computers,Nikon,SUPP_10922,150.94,288.38,2022-10-02 00:00:00,0.832,32x47x14,Space Gray,"21""""",  Carbon Fiber  
1635,Lenovo Basketball Shoes Sport,LE-AC0635-NAV,CAT_584,Footwear,Outdoor,Google,SUPP_10510,486.65,1211.13,2021-12-28 00:00:00,0.267,34x17x12,Black,8,Rubber
1090,Product,,,APPAREL,General,  Appl  ,SUPP_999,,8.51,,,43 x 64 x 91,,  49  ,Unknown
1458,Microsoft Screen Protector,MI-SP0458-BRO,CAT_566,Accessories,Watches,Mizuno,SUPP_10060,78.25,149.55,2023-11-16 00:00:00,7.365,89x12x35,Turquoise,Small,Wood
1962,Puma T-Shirt Ultra,  PU-SP0962-BLA  ,CAT_579,Apparel,Pants,Google,SUPP_10502,136.24,289.38,2025-10-05 00:00:00,0.704,14x89x29,Turquoise,XXL,Nylon
1735,Nikon Smartwatch™ #735,NE-AC0127-PIN,CAT_521,Gaming,Computers,Nike Inc.,SUPP_10950,334.13,,2021-12-18 00:00:00,4.169,Large,Gold,,Glass
1454,Panasonic Tablet,  PA-CL0454-GRE  ,CAT_524,Electronics,Computers,Bose,SUPP_10956,  342.87  ,555.71,2022-12-05 00:00:00,1.542,25x16x10,Space Gray,"27""""",Aluminum
1859,Nikon Casual Shoes Home,NI-CL0859-PUR,CAT_686,Footwear,  Basketball  ,Bose,SUPP_10831,404.83,755.18,2025-01-30 00:00:00,0.332,34x15x12,Red,45,Mesh
1505,JBL Laptop Professional,  JB-AC0505-BLU  ,CAT_665,Electronics,Mobile,Sony,SUPP_10511,102.11,150.57,2023-02-18 00:00:00,2.201,35x26x3,Silver,"27""""",Plastic
1948,Panasonic Case,PA-HM0948-PUR,cat_637,Gaming,General,Nike,SUPP_10376,136.65,271.86,2024-03-07 00:00:00,1.708,39x34x76,Coral,Large,Synthetic
1672,Nikon Case Pro,NI-HM0672-COR,CAT_547,Apparel,Shirts,Adidas,SUPP_10274,402.98,969.8,2024-03-03 00:00:00,8.666,37x72x20,Mint,One Size,Synthetic
1522,Under Armour Headphones Elite,UN-AC0522-BEI,CAT_645,Electronics,Computers,Saucony,SUPP_10866,411.26,914.64,2021-11-10 00:00:00,0.28,17x7x0.9,Black,"27""""",Magnesium Alloy
1509,Reebok Case Home Yellow Edition with Extra Features and Extended Warranty Limited Time Offer,,,,CASUAL,,SUPP_10616,0,,0000-00-00,0,,Red/Green,,fabric
1767,Canon Speaker,CA-HM0767-GRA,CAT_532,Fashion,Miscellaneous,Bose,SUPP_10850,10.03,  19.53  ,2022-03-16 00:00:00,9.387,11x13x85,Yellow,Medium,Synthetic
1513,Google Casual Shoes Classic,GO-AC0513-BLA,CAT_539,Footwear,Outdoor,Puma,SUPP_10170,  315.89  ,611.05,2021-05-10 00:00:00,  0.74  ,25x17x14,Black/White,39,Synthetic
1094,HP Smartphone,HP-HM0094-WHI,CAT_518,  Electronics  ,  Mobile  ,Mizuno,SUPP_10601,364.91,703,2024-10-24 00:00:00,0.196,18x8x0.8,Black,"17""""",Plastic
1246,Microsoft Smartwatch Plus,MI-SP0246-BLA,CAT_689,Electronics,Computers,Under Armour,SUPP_10178,455.96,985.17,2023-06-28 00:00:00,3.466,33x21x13,Silver,"32""""",Plastic
1898,Microsoft Cable Pro,MI-AC0898-NAV,CAT_572,Outdoor,General,  Mizuno  ,SUPP_10126,59.53,126.4,  2021-07-09  ,4.981,30x74x75,blue,One Size,Composite
1085,Nikon Screen Protector Classic,NI-CL0085-COR,  CAT_619  ,sports,Clothing,Samsung,SUPP_10338,89.62,161.01,2023-09-20 00:00:00,2.647,290x114x854 centimeters (LxWxH) approx,Purple,Larg,Wood
1297,Puma T-Shirt Max,PU-EL0297-BRO,CAT_594,Apparel,Pants,Panasonic,SUPP_10897,194.89,445.34,2023-12-15 00:00:00,1.184,7x7x76,Green,S,Spandex
1355@,Nike Case,NI-SP0355-RED,CAT_636,Travel,Miscellaneous,Dell,SUPP_10079,338.98,411.72,2025-07-07 00:00:00,2.805,61x50x27,Gold,SMALL,Synthetic
1146,LG Keyboard Basic!,LG-EL0146-BLA,  CAT_561  ,Home & Office,Miscellaneous,Under Armour,SUPP_10456,97.02,226.21,2024-06-27 00:00:00,5.91,49x49x25,navy,Small,  Fabric  
1025,Apple Cable Basic,,CAT_562,,General,,SUPP_10713,388.52,,2022-09-04 00:00:00,8.518,,Red,,Wood
1799,ASICS Laptop,AS-EL0799-TUR,CAT_635,Electronics,Tablets,Dell,SUPP_10145,466.64,608.14,2022-01-09 00:00:00,2.879,37x21x3,  White  ,"24""""",Plastic
1145,Nikon Running Shoes Sport,NI-AC0145-COR,CAT_595,Footwear,Running,  JBL  ,SUPP_10810,87.9,141.03,2022-02-05 00:00:00,0.859,27x19x14,Black,8.5,SYNTHETIC
1337,Sony Smartphone Classic,SO-EL0337-PIN,CAT_656,Electronics,Wearables,Apple,SUPP_10104,342.01,  659.07  ,  2021-04-15  ,0.159,15x9x0.6,Space Gray,"17""""",Steel
1056,HP Jacket Home,HP-CL0056-GRE,CAT_526,Apparel,Pants,Microsoft,SUPP_10202,95.01,132.89,2024-03-08 00:00:00,1.542,14x27x85,Turquoise,2XL,Spandex
1088,Samsung Charger™ #350%,,INVALID,,computers,,SUPP_10027,999999.99,,9999-99-99,  0  ,,Yellow/Pink,,COMPOSITE
1147,HP Training Shoes Premium,HP-EL0147-BLA,CAT_621,Footwear,Basketball,New Balance,SUPP_10177,304.56,368.82,2022-02-19 00:00:00,0.528,  29x20x15  ,Black/White,10,Mesh
1925,Adidas Headphones,,  CAT_627  ,,Wearables,,SUPP_10202,46.87,,2023-10-29 00:00:00,0.192,,Gold,,Glass
1421,Panasonic Running Shoes Max,PA-HM0421-BLA,CAT_594,Footwear,Casual,Nike,SUPP_10309,  449.36  ,832.53,2024-05-28 00:00:00,1.328,  32x20x13  ,Red,  13  ,Canvas
1661,Bose Basketball Shoes Classic,BO-CL0661-BRO,CAT_643,Footwear,Running,Brooks,SUPP_10078,60.56,143.21,2023-02-02 00:00:00,0.501,25x16x13,Red,41,Suede
1996,Nike Casual Shoes Pro,NI-AC0996-GOL,CAT_590,Footwear,FORMAL,Mizuno,SUPP_10707,251.15,623.91,2022-11-08 00:00:00,1.466,25x19x12,Red,44,Suede
  1459  ,Reebok Mouse Plus,RE-EL0459-RED,CAT_509,Gaming,Other,Lenovo,SUPP_10665,181.63,330.72,2023-04-07 00:00:00,7.837,  34x7x12  ,Black,Medium,Wood
1263,Mizuno Speaker,MI-HM0263-YEL,CAT_622,Technology,Other,Samsung,SUPP_10463,  252.69  ,330.52,2021-09-07,7.555,93x98x57,Gold,Medium,Fabric
1616,Google Mouse Sport,GO-HM0616-MIN,CAT_674,Fitness,Other,ASICS,SUPP_10804,291.25,527.2,2020-10-24 00:00:00,1.001,67x48x73,Coral,One Size,  Synthetic  
1628,Lenovo Keyboard,LE-EL0628-GRE&,CAT_541,Outdoor,Other,Mizuno,SUPP_10043,42.87,72.48,2024-04-28 00:00:00,0.106,63x72x67,Yellow,One Size,Wood
1980,Microsoft Basketball Shoes™ #980,PU-SP0962-BLA,CAT_501,TECHNOLOGY,,nike,,,TBD,1985-04-29 00:00:00,,Small,,One Size Fits All,
1527,Lenovo Running Shoes Plus,LE-SP0527-COR,  CAT_620  ,Footwear,Running,ASICS,SUPP_10307,464.5,684.38,2021-09-21 00:00:00,1.073,30x16x11,Navy/Red,12,Nylon
1412,Google Laptop Professional,GO-SP0412-YEL,CAT_628,Electronics,Mobile,Amazon,SUPP_10769,201.41,334.86,2022-11-08 00:00:00,1.498,40x21x2,Space Gray,Compact,Aluminum
1196,  New Balance T-Shirt Essential  ,NE-HM0196-YEL,CAT_518,Apparel,Shirts,  Dell  ,SUPP_10351,  121.83  ,196.38,2025-07-09,0.654,39x82x87,Yellow,XL,Spandex
  1425  ,Puma Backpack Basic,,CAT_566,,Other,,SUPP_10162,474.86,,2023-01-19 00:00:00,2.117,,Blue,,Mixed Materials
1368,Mizuno Headphones,MI-SP0368-BLA,CAT_670,Electronics,Accessories,Adidas,  SUPP_10099  ,113.42,252.85,2024-01-06 00:00:00,0.175,16x8x1.4,Space Gray,"""  24""""  """,  Steel  
1004,Bose Backpack Basic,BO-AC0004-GRA&,CAT_567,Apparel,Pants,Saucony,SUPP_10574,274.1,595.1,2023-09-23 00:00:00,4.341,79x56x51,Green,Medium,Wood
1431,  Lenovo Tablet  ,LE-SP0431-ORA,CAT_537,Electronics,Tablets,Samsung,SUPP_10009,166.11,201.69,2022-09-15 00:00:00,1.98,39x46x30,White,"17""""",Steel
1523,Apple Smartphone Premium,AP-CL0523-GRE,  CAT_565  ,Electronics,Mobile,Brooks,SUPP_10958,328.9,499.47,2025-07-12 00:00:00,0.238,15x7x0.5,Gold,"21""""",Steel
1182,Google Tablet,GO-HM0182-TUR,CAT_623,Electronics,Mobile,  Lenovo  ,SUPP_10850,211.28,292.73,2022-10-07 00:00:00,3.122,21x49x26,Gold,"21""""",Plastic
1674,Brooks Smartwatch Advanced,BR-HM0674-BRO,CAT_554,Electronics,Computers,Google,SUPP_10983,391.36,511.44,2021-02-07 00:00:00,4.43,34x28x25,Space Gray,"15.6""""",Glass
1984,Mizuno Monitor Advanced,MI-CL0984-GRA,CAT_626,Electronics,Wearables,Nikon,SUPP_10478,116.99,283.23,2023-09-09 00:00:00,2.364,42x12x17,Space Gray,"21""""",  Magnesium Alloy  
1347,  Amazon Running Shoes Plus  ,AM-SP0347-NAV,CAT_548,  footwear  ,Outdoor,Sony,SUPP_10875,378.67,818.6,2021-05-14 00:00:00,1.386,25x17x12,Navy/Red,11.5,Nylon
1855,Bose Camera Édition Spéciale,,CAT_697,Sports,Nutrition,Appl,SUPP_10632,179.79,89.89,2024-03-21 00:00:00,3.278,"91,46,75",Silver,24,wood
1927,Under Armour Monitor,UN-CL0927-BLA,CAT_501,Electronics,Accessories,Puma,SUPP_10162,333.32,781.02,2023-07-26 00:00:00,4.561,30x18x13,Black,"17""""",  Plastic  
1978,Amazon Casual Shoes Plus,AM-EL0978-YEL,CAT_567,Footwear,Casual,HP,SUPP_10099,343.2,554.55,  2021-03-17  ,1.421,32x19x10,Blue,38,Leather
1606,Nike Speaker Classic,NI-CL0606-BLU,CAT_677,Sports,CLOTHING,Mizuno,SUPP_10415,158.4,233.17,2024-02-23 00:00:00,6.419,29x8x7,Black,Large,Mixed Materials
1809,Panasonic Smartphone Plus,PA-AC0809-GRE,CAT_646,Electronics,Wearables,ASICS,SUPP_10374,199.2,320.31,2021-08-21 00:00:00,0.155,15x6x0.9,White,Standard,Aluminum
1611,Bose Jacket Sport,BO-EL0611-COR,CAT_677,Apparel,Jackets,New Balance,SUPP_10556,62.1,112.76,2022-07-02 00:00:00,0.63,76x94x59,Blue,S,Polyester
1230,  Nikon Screen Protector Advanced  ,NI-CL0230-BRO,CAT_605,Electronics,Tablets,LG,SUPP_10573,404.96,597.74,2025-07-11 00:00:00,6.442,93x41x37,Blue,  Large  ,Fabric
1249,ASICS Laptop Pro,AS-AC0249-RED,CAT_634,Electronics,Computers,ASICS,  SUPP_10456  ,182.24,390.51,2025-01-22 00:00:00,1.779,30x20x3,Black,"13""""",Steel
1435,  Under Armour Backpack  ,UN-CL0435-GRA,CAT_649,Gaming,General,Sony,SUPP_10326,432.33,942.02,2021-04-10 00:00:00,8.889,57x86x62,Red,One Size,Wood
1236,Apple Monitor Advanced,AP-HM0236-BEI,CAT_657,  Electronics  ,Tablets,Google,SUPP_10340,410.55,873.14,2024-08-09 00:00:00,3.519,44x15x29,Space Gray,Standard,Plastic
1177,Nike Speaker Home,NI-HM0177-YEL,  CAT_696  ,Fitness,General,Adidas,SUPP_10564,137.7,  325.27  ,2025-01-25 00:00:00,5.443,88x24x51,Yellow,Medium,Wood
1273,Bose Speaker Air,BO-HM0273-YEL,CAT_522,Electronics,Wearables,New Balance,SUPP_10936,143.93,205.44,2024-09-06 00:00:00,4.675,77X22X30,Silver,Extra Large,Fabric
1153,HP Jacket Office,HP-SP0153-COR,CAT_548,Apparel,Shirts,ASICS,SUPP_10004,317.08,483.06,2021-03-27 00:00:00,1.418,49x44x21,Red,XXXL,Linen
1013,Samsung Charger,SA-SP0013-GOL,CAT_683,Home & Office,General,ASICS,SUPP_10649,427.93,794.68,2025-07-24 00:00:00,2.586,11x16x86,Brown,Large,Mixed Materials
1946,Nike Mouse,NI-HM0946-SIL,CAT_696,Fashion,  Other  ,Under Armour,SUPP_10082,339.72,657.92,2021-04-11 00:00:00,5.411,25x67x20,Mint,Medium,Metal
1185,LG Headphones,LG-HM0185-NAV,CAT_566,Electronics,Accessories,Canon,SUPP_10578,189.17,294.77,2024-03-04 00:00:00,0.236,18x7x0.9,Gold,"32""""",Plastic
1074,Microsoft Screen Protector,MI-HM0074-BRO,CAT_658,Outdoor,General,  Bose  ,SUPP_10910,317.31,500.26,2024-11-08 00:00:00,9.571,66x36x92,Yellow,Large,Metal
1291,Google Screen Protector,GO-HM0291-GRE,CAT_603,Accessories,Bags,Sony,SUPP_10196,23.58,52.73,2022-07-06 00:00:00,3.174,67x76x60,Brown,Small,Composite
  1716  ,Canon Headphones Basic,  CA-AC0716-TUR  ,CAT_556,Electronics,Mobile,Panasonic,SUPP_10296,131.1,160.65,2024-12-06 00:00:00,0.167,18x8x1.1,Space Gray,Standard,Magnesium Alloy
1438,LG Training Shoes,LG-HM0438-BLU,CAT_590,Footwear,Formal,HP,SUPP_10154,204.49,359.92,2021-02-23 00:00:00,0.634,32x17x12,  Black  ,6.5,Suede
1128,Puma Cable,PU-CL0128-GRE,CAT_574,Sports,Shoes,Panasonic,SUPP_10717,417.63,678.28,2024-01-24 00:00:00,  4.582  ,34x14x30,Gray,One Size,Mixed Materials
1399,Microsoft Smartwatch Essential,MI-SP0399-PUR,CAT_514,Electronics,Computers,LG,SUPP_10224,367.93,575.29,2023-05-15 00:00:00,1.652,11x44x26,Gold,"14""""",Magnesium Alloy
1541,Brooks Headphones Advanced,BR-HM0541-GOL,  CAT_532  ,Electronics,Mobile,JBL,SUPP_10132,404.67,560.62,2024-10-07 00:00:00,0.232,17x6x1.2,  White  ,Standard,Aluminum
1067,Google Speaker Home,GO-HM0067-TUR,CAT_564,  Electronics  ,Mobile,  Google  ,SUPP_10365,432.45,545.81,2023-06-22 00:00:00,6.592,39x20x52,Brown,Extra Large,Synthetic
1514,Google Camera Professional,GO-AC0514-MIN,CAT_604,Home & Office,General,Canon,SUPP_10922,303.63,490.43,2025-03-19 00:00:00,3.695,18x90x92,Purple,One Size,Wood
1441,  Amazon Laptop  ,AM-SP0441-BLU,CAT_543,Electronics,  Computers  ,Under Armour,  SUPP_10360  ,485.08,949.84,2025-01-14 00:00:00,2.323,33x27x1,Black,"13""""",Steel
1427,Google Training Shoes Air,GO-EL0427-TUR,CAT_592,Footwear,Basketball,Panasonic,SUPP_10103,250.61,307.89,2023-08-20 00:00:00,0.296,35x15x11,Black/White,13,Mesh
1697,Brooks Cable Basic,BR-AC0697-YEL,CAT_674,Equipment,General,Nikon,SUPP_10489,353.05,608.47,2024-05-19 00:00:00,9.388,35x56x71,Gray,Small,Fabric
1718,Dell Smartphone Plus!,DE-HM0718-TUR,CAT_655,  Electronics  ,Wearables,JBL,SUPP_10515,257.9,500.22,2024-11-10 00:00:00,0.17,13x8x1.2,White,"15.6""""",Plastic
1005,Panasonic Case Premium,PA-SP0005-MIN,CAT_502,Outdoor,Other,Samsung,SUPP_10698,443.55,965.23,2020-12-03 00:00:00,  7.709  ,  48x19x42  ,Brown,Medium,Metal
1882,Saucony Laptop Plus,SA-AC0882-TUR,CAT_546,Electronics,Wearables,Under Armour,SUPP_10023,112.04,161.05,2021-06-11 00:00:00,2.676,35x25x1,Silver,"15.6""""",Carbon Fiber
1896,Panasonic Jacket Professional,PA-AC0896-GRA,CAT_533,Apparel,Jackets,Apple,SUPP_10979,464.03,1087.28,2020-12-20 00:00:00,1.779,57x74x61,Coral,XL,Linen
1562,LG Cable,LG-AC0562-SIL,CAT_629,Apparel,Sportswear,Nike,SUPP_10637,29,55.07,2021-02-07 00:00:00,9.585,20x44x42,Red,Large,Synthetic
