category_id,category,sub_category
  658  ,Non-Fiction Audio,Wholesale
508,Pants,industrial@
554,Children Books,  Standard  
523,gaming,VR Equipment
594,Jackets,Industrial
609,Books,Textbooks
607,Books & Media,Music
561,  Casual Shoes  ,Regular
574,GAMING,Gaming Chairs
683,Ice Skating,Regular
503%,Football,Consumer
631,Hats*,Retail
656,  PC Gaming  ,Professional
,,
677,Digital Movies,Budget&
552,  TV Series  ,Premium
532,Camera Lenses,Retail
628,Kayaking,Retail
699,Volleyball%,Regular
639,Podcasts,Clearance
622,Bedroom,Bedding
661,Books & Media,Music
558,Kids' Clothing,Girls Clothing
597,Gym Equipment,Standard
563,  Storage  ,Industrial
677,Digital Movies,Budget
551,Non-Fiction Audio,Regular
505,Digital Magazines,Industrial
,ElEcTrOnIcS,
541,e-books,  Digital Magazines  
582,Movies,TV Series%
673,Fiction Audio,Limited Edition
674,  Formal Shoes  ,Special Offer
635,Deportes y Recreación,Clearance
693,Consoles,Featured
636,Surfing,New Arrival
657,PC Gaming,Retail
664,Gaming Chairs,Clearance
566,Living Room,Limited Edition
637,Digital Comics,Budget
567,Utensils,premium
643,Dresses,Clearance
512,Digital Movies,Regular
524,Chargers,Professional
543,Utensils,Retail
625,ElEcTrOnIcS,Standard
585,Movies,  CAT-001  
516,Volleyball,New Arrival
538,Mobile Devices,Chargers
667,HIKING,Retail
618,Cycling,Limited Edition
514,Accessories,Power Banks
660*,,
537,Dressers,Industrial
517,  Blu-ray  ,Featured
682,Earbuds,Clearance
508,Uncategorized,General
610,Super Ultra Mega Premium Deluxe Category for Special Items and Products with Extended Features,Consumer
502,Hockey,Budget
506,Utensils,Budget
614,Climbing,Clearance
590,Test,
668,Volleyball,Standard
653,Snowboarding,Consumer
608,Patio Sets,New Arrival
629,Basketball,Industrial
691,Hiking,  New Arrival  
527,E-Books,Digital Magazines
513,Tablets,Featured
684,Hiking,Wholesale
626,Screen Protectors,Featured
686,  Accessories  ,Memory Cards
598,Swimming,Clearance
612,Bath Mats,New Arrival
507,Chargers,New Arrival
  698  ,Formal Shoes,Regular
535,Electronics™ #35,retail
687,Music,Vinyl
580,,
570,Clothing™ #70,  Exclusive™  
547,  Boots  ,Standard
562,T-Shirts,  Professional  
606,Digital Music,Standard@
593,Water Sports,Kayaking
555,Super Ultra Mega Premium Deluxe Category for Special Items and Products with Extended Features,Consumer
Rerum iusto quibusdam amet veritatis. Officiis quos officiis quidem veniam. Saepe numquam dolores labore beatae.,,
Praesentium quisquam cumque non quibusdam beatae reprehenderit. Autem ad est perspiciatis vero.,,
"Asperiores porro occaecati aut quo. Rem recusandae natus aliquam minus optio architecto officia. Sed reprehenderit autem.""",,
620,Gym Equipment,
546#,  Books & Media  ,E-Books
525,ELECTRONICS,Best Seller
572,  Surfing  ,New Arrival
654,Monitors,Consumer#
544,Boys Clothing,Professional
577,Gym Equipment,Professional
676,Diving,Industrial
533,Laptops,New Arrival
545,MÖBEL & GARTEN,Clearance
589,Suits,Standard
511,Gaming Chairs,New Arrival
632,Soundbars,Clearance
,,
569,Digital Music,Best Seller
648,Basketball,Retail
521,Digital Non-Fiction,Consumer
560,,
669,Digital Non-Fiction,  regular  
591,Utensils,Featured
504,Boys Clothing,Best Seller
520,Comics,
