campaign_id,campaign_type,start_date,budget,end_date,impressions,clicks,campaign_status,campaign_name,conversions,spent_amount,target_audience
46,Deleniti modi consequuntur delectus iure. Ipsam similique mollitia amet.,,,,,,,,,,
Voluptas unde sed. Illo laboriosam sint temporibus. Fugiat voluptates eaque quos.,,,,,,,,,,,
In vero voluptatum nam quaerat. Deleniti dolor animi quasi. Quibusdam animi nesciunt magnam.,,,,,,,,,,,
"Animi m""",Radio,2025-10-10 00:00:00,-3998.03,71701,-103,497,,,,,
Mollitia inventore aliquam facilis ut voluptas aliquam facere. Pariatur explicabo nam soluta voluptate. Unde dolores cum reiciendis.,,,,,,,,,,,
Ad qui ex ut rem sint. Eaque ratione autem sit similique.,,,,,,,,,,,
Repellendus itaque esse recusandae dolorem. Optio id eius.,,,,,,,,,,,
Expedita magni perspiciatis sapiente ex. Beatae voluptas debitis.,,,,,,,,,,,
Autem ipsa quas. Ipsa voluptates blanditiis tempore deleniti aliquid.,,,,,,,,,,,
Maxime rem porro. Facilis architecto optio ex et. Quaerat error est illum.,,,,,,,,,,,
Mollitia deleniti pariatur fugit quibusdam. Nulla error molestias a. Distinctio ratione non eum ipsam.,,,,,,,,,,,
Labore temporibus recusandae cumque assumenda maiores odio. At veritatis doloremque est rem corporis.,,,,,,,,,,,
Voluptates nostrum quisquam iste suscipit.,,,,,,,,,,,
"Quaerat fugit id corporis porro. Quod dolor rem possimus. Amet dolorum sed itaque reiciendis pariatur voluptates.""",Completed,Donald Sanderson,,,,,,,,,
79,Christmas Special 2025 - Final,2025-10-10 00:00:00,19616.44,531.11,41051,1990,Paused,Alison Doyle,4.87,,
387,Lead Generation 2023,2025-10-10 00:00:00,12204.28,3565.44,371562,13671,Active,,,,
476,,2025-10-10 00:00:00,8790.27,,8017,,  Paused  ,Miss Jade Butler,,,
33,Clearance 2024 v2,2025-10-10 00:00:00,151559.21,5663.99,665955,16597,Paused,,8.74,,
  62  ,Brand Awareness 2025 v2,2025-10-10 00:00:00,4573.95,156.8,  6784  ,57,Active,,8.77,,
22,Anniversary Sale 2023 - Final,2025-10-10 00:00:00,13114.75,2306.15,380219,10820,Paused,,,,
244,Customer Retention 2023 - Final,2025-10-10 00:00:00,3177.9,115.66,16695,825,Active,  Laura Archer  ,5.33,,
198,  New Year Deal 2023  ,2025-10-10 00:00:00,10516.7,118.16,13459,421,Paused,,3.33,,
442,  Customer Retention 2025  ,2025-10-10 00:00:00,21950.64,5888.38,842580,28625,Active,,,,
204,Lead Generation 2023 v2,2025-10-10 00:00:00,4049.41,742.06,17571,526,Paused,Geraldine Butler,,,
21,Spring Collection 2023,2025-10-10 00:00:00,,1841.28,356646,10095,,Holly Davidson,,,
403,Summer Sale 2023 v2,  2025-10-10  ,7964,434.26,12753,433,Active,Chelsea Williams,4.85,,
3,Product Launch 2024 - Final,2025-10-10 00:00:00,  20820.41  ,1090.37,195455,6055,Active,,,,
397,Summer Sale 2025,2025-10-10 00:00:00,4294.62,340.05,14248,670,Active,,2.09,,
117,VIP Exclusive 2024 - Final,  2025-10-10  ,10191.77,858.43,156633,3951,Active,,4.86,,
294,Back to School 2023 - Test,2025-10-10 00:00:00,17293.37,641.25,41280,1283,Paused,,,,
495,Lead Generation 2025 - Test,2025-10-10 00:00:00,305798.48,47317,4243276,55354,Active,Jennifer Parks,,,
  323  ,Referral Program 2023,2025-10-10 00:00:00,3488.78,44.76,8476,82,Active,Nicola Hewitt,,,
490,Spring Collection 2023 - Final,2025-10-10 00:00:00,6629.87,1124.27,139678,5319,Paused,  Christine Harris  ,4.21,,
374,Back to School 2025 - Phase 1,2025-10-10 00:00:00,33294.92,1711.37,110092,4011,Paused,,1.37,,
162,Back to School 2025,2025-10-10 00:00:00,19191.5,217.64,33071,664,Active,,,,
47,Customer Retention 2024 - Final%,2025-10-10 00:00:00,17022.95,1088.29,476995,14347,Paused,mr gerard palmer,,,
91,Reflect law reach under skin. Operation sound cup boy different chance enter central.,,,,,,,,,,
Society organization station TV. Buy read record wall matter management.,,,,,,,,,,,
Always it focus economy before while structure offer. Yourself public especially.,,,,,,,,,,,
"Like prepare t""",email,,-3511.02,,-383,,,,,,
Laborum ex quis fugiat ut sit voluptatem. Nemo doloremque quod aliquam quia. Harum optio reprehenderit voluptatem libero alias.,,,,,,,,,,,
Ex aut sapiente aut tenetur accusamus corporis sit. Asperiores quos eaque numquam. Officiis sequi sequi similique fugit et.,,,,,,,,,,,
Alias architecto occaecati ullam voluptatum quia inventore. Quis provident aut cumque. Temporibus aliquid recusandae eos fugiat.,,,,,,,,,,,
Minus natus recusandae cumque aspernatur. Nulla dolores totam corporis itaque ducimus.,,,,,,,,,,,
Tempore iure enim. Culpa ipsam exercitationem nesciunt odit incidunt dolorum.,,,,,,,,,,,
Voluptatum sequi autem fugit facere. Voluptatibus eos voluptate omnis earum.,,,,,,,,,,,
Tenetur quia rerum. Quod dolorem reiciendis dolor deleniti. Perspiciatis quam omnis saepe occaecati.,,,,,,,,,,,
"Est ipsam neque. At eos quibusdam cupiditate. Ratione soluta facilis magnam. Rerum ducimus repudiandae laboriosam rem.""",active,Rosie Young,,,,,,,,,
370,Lead Generation 2024 v2,2025-10-10 00:00:00,20354.83,11538.33,1165063,27800,  Paused  ,Chloe Allen,7.17,,
405,Christmas Special 2024 v2,2025-10-10 00:00:00,23658.1,757.09,71991,3425,Paused,,  5.66  ,,
289,Customer Retention 2024 v2,2025-10-10 00:00:00,23423.79,10671.54,569671,16650,Active,Rachael Taylor,5.01,,
35,Black Friday 2024 - Test,  2025-10-10  ,1331.1,238.59,9063,429,Paused,John Jones,,,
221,50% OFF,2025-10-10 00:00:00,,22904,3347089,4014557,,,,,
467,New Year Deal 2024,2025-10-10 00:00:00,2827.05,217.31,8253,191,Active,,,,
279,Spring Collection 2024 v2,2025-10-10 00:00:00,4639.93,  106.04  ,2517,112,Active,,,,
123@,Anniversary Sale 2024 - Test,2025-10-10 00:00:00,6617.09,95.69,16676,654,Paused,,7.03,,
240,Christmas Special 2024 - Final,2025-10-10 00:00:00,18308.41,2178.84,308983,3768,Active,,,,
5,Holiday Special 2023 - Final@,2025-10-10 00:00:00,27409.89,2509.84,286787,8964,Active,,4.25,,
497,Black Friday 2024,2025-10-10 00:00:00,11287.57,804.83,107051,1633,Paused,,,,
199,  Product Launch 2025 v2  ,2025-10-10 00:00:00,21447.47,760.47,123327,3095,Active,,  7.27  ,,
124,Product Launch 2023 - Test,2025-10-10 00:00:00,19466.31,5319.61,849221,  21765  ,Paused,,,,
  10  ,Black Friday 2025 - Test,2025-10-10 00:00:00,291328.59,35628.36,2762024,71310,Paused,,,,
385,Back to School 2025 - Final,2025-10-10 00:00:00,15347.62,578.17,40760,1064,Active,Steven Hunt,,,
274,Flash Sale 2024 v2,2025-10-10 00:00:00,38119.95,11019.47,1162433,14443,Paused,,,,
437,Flash Sale 2025,2025-10-10 00:00:00,8719.06,411.09,67872,664,Active,,2.86,,
407,Christmas Special 2023 - Test,2025-10-10 00:00:00,11673.66,3437.59,520722,24634,  Paused  ,James Salinas,,,
24,Referral Program 2024 - Test,2025-10-10 00:00:00,17138.98,2060.38,154027,4009,Paused,,,,
  67  ,Clearance 2025 - Final,2025-10-10 00:00:00,24618.77,327.59,30225,670,Paused,,5.67,,
34,Christmas Special 2024,2025-10-10 00:00:00,1299.68,39.65,3663,160,Paused,,,,
25,Flash Sale 2025 - Test,2025-10-10 00:00:00,20882.14,940.64,58588,344,Active,,,,
500,Anniversary Sale 2023,2025-10-10 00:00:00,13348.98,1448.23,130887,5578,Active,,3.62,,
257,  Lead Generation 2024 v2  ,2025-10-10 00:00:00,8539.8,125.8,5792,281,Active,,,,
250,Black Friday 2023 v2,2025-10-10 00:00:00,3026.02,55.8,9030,54,Active,,,,
121,  Black Friday 2023 - Final  ,,,5508.9,,3492,,,,,
241,VIP Exclusive 2025 - Phase 1,,,1263.78,,1087,,,,,
300,Holiday Special 2023 v2,2025-10-10 00:00:00,5377.62,364.07,159321,3695,Paused,Richard Stevenson,3.09,,
,,,,, ,,,,,,
27,Brand Awareness 2024 v2,2025-10-10 00:00:00,3815.54,60.67,1088,34,Paused,,5.88,,
173,Referral Program 2023,2025-10-10 00:00:00,504.16,  20.08  ,6860,225,Active,,,,
344,Brand Awareness 2025 - Phase 1,2025-10-10 00:00:00,18083.8,2966.18,334099,10286,Paused,Mohamed Byrne-Spencer,  6.09  ,,
80,Product Launch 2024 v2,2025-10-10 00:00:00,2789,105.22,14601,454,Active,William Tran,2.42,,
245,Clearance 2023 - Test,2025-10-10 00:00:00,40039.9,3985.74,729120,23834,Active,,,,
269,Holiday Special 2025 - Phase 1,2025-10-10 00:00:00,368422.54,  136119.39  ,16568576,383994,Active,,,,
259,Anniversary Sale 2025 v2,2025-10-10,14025.23,  1057.31  ,109215,1459,Active,,,,
147,Spring Collection 2024,2025-10-10 00:00:00,484332.77,4632.23,650171,30198,Active,,,,
97,Christmas Special 2023 v2,2025-10-10 00:00:00,27325.67,4606.82,733307,11015,Active,,,,
308,Holiday Special 2025 v2,2025-10-10 00:00:00,22081.97,800.39,  101996  ,1366,Paused,,5.49,,
297,Spring Collection 2023 - Test,  2025-10-10  ,7829.94,199.6,6027,48,Paused,,,,
202,Holiday Special 2023 - Phase 1,2025-10-10 00:00:00,  13965.02  ,435.09,58244,1819,Active,,,,
341,Lead Generation 2025 - Test,2025-10-10 00:00:00,,7172.07,917666,14814,,Maria Bell,105.0154110082998,,
372,Christmas Special 2025,2025-10-10 00:00:00,22790.4,2724.71,540689,5845,Active,Dr Lorraine Burgess,4.76,,
141,Test,2028-08-06 00:00:00,,In Progress,0.5,Good CTR,,,,,
157,Brand Awareness 2023 v2,2025-10-10 00:00:00,4756.57,227.93,18259,138,Paused,JAMES LOVE,,,
146,Lead Generation 2023 - Final,2025-10-10 00:00:00,9761.02,592.68,16283,549,Paused,,,,
357,Customer Retention 2024 - Test,2025-10-10 00:00:00,15679.38,1155.72,166195,5160,Active,,1.76,,
262,Brand Awareness 2023 v2,2025-10-10 00:00:00,14535.07,551.57,51716,1974,Paused,Rosemary Scott,,,
275,Anniversary Sale 2023 - Final,2025-10-10 00:00:00,285389.09,  19667.64  ,3750883,121806,Paused,,,,
312,New Year Deal 2024 - Phase 1,2025-10-10 00:00:00,  1870.17  ,  40.32  ,6247,62,Active,Ben Stephens-Dixon,4.84,,
361,Aut dignissimos deleniti. Quam quas eaque eligendi dolores amet nemo.,,,,,,,,,,
Amet a assumenda reprehenderit. Nobis dicta ad cupiditate eos aspernatur sapiente est. Iusto tempora eaque odit harum fuga.,,,,,,,,,,,
"Delectus aliquid ipsam ea saepe natus. Quibusdam pariatur ass""",,,-4055.12,,-513,,,,,,
Enough pressure occur list common idea. Participant really although threat former down second TV. After stage field exactly man receive.,,,,,,,,,,,
Care wind kitchen stay especially. Painting become kid tree imagine machine.,,,,,,,,,,,
Start middle city find medical career. These ahead cover strategy student economic lead. Relate ever statement measure play buy.,,,,,,,,,,,
Head order concern that only.,,,,,,,,,,,
Clear thus see read expect hit. Take sister Democrat determine. Question especially important after sister.,,,,,,,,,,,
Treatment positive over across education source figure.,,,,,,,,,,,
Time surface learn design few minute. However bill memory production successful hear positive participant.,,,,,,,,,,,
Loss from everybody foot. End represent throughout federal change.,,,,,,,,,,,
"South sort outside produce. Return pretty young else.""",,Molly Hansen,,,,,,,,,
355,  Product Launch 2023 v2  ,2025-10-10 00:00:00,16425.74,892.89,87904,  3779  ,Active,,,,
186,Black Friday 2023,2025-10-10 00:00:00,7883.09,598.11,98563,2434,Paused,,,,
100,Referral Program 2024 - Phase 1,2025-10-10 00:00:00,22911.16,587.07,114577,3446,Active,Christine Gallegos,,,
105,VIP Exclusive 2025,2025-10-10 00:00:00,4883.72,167.59,1720,51,Active,,,,
175,Flash Sale 2023 - Test,2025-10-10 00:00:00,21017.92,659.53,269654,6814,Paused,Amber Campbell,6.91,,
429,Referral Program 2024 - Phase 1,2025-10-10 00:00:00,1318.45,49.66,700,12,Active,Christopher Fry,0,,
183,Christmas Special 2025 - Phase 1,2025-10-10 00:00:00,11703.82,715.92,223509,11141,Active,,8.41,,
336,Referral Program 2023,2025-10-10 00:00:00,7026.19,119.01,23259,921,Paused,,,,
272,Customer Retention 2023,2025-10-10 00:00:00,13316.43,1118.61,201942,5885,Active,,7.66,,
453,Christmas Special 2023 - Final,2025-10-10 00:00:00,7798.14,568.37,20518,307,Active,,2.61,,
68,Brand Awareness 2024 - Phase 1,2025-10-10 00:00:00,2746.98,79.95,13791,617,Paused,,,,
307,Brand Awareness 2025,2025-10-10 00:00:00,18700.76,  3129.7  ,552792,5120,Active,,4.02,,
37,Christmas Special 2025 - Test,2025-10-10 00:00:00,4440.21,1427.76,  177499  ,6179,Active,,4.6,,
491,,  2030-04-14  ,1822.94,Calculating,-99999,,Pending,,,,
,,,,,,,,Team,,,
352,Referral Program 2024,2025-10-10 00:00:00,17730.84,296.85,38804,1568,Paused,,,,
456, ,2025-10-10 00:00:00,36659.45,In Progress,36073,Low,Completed,,,,
332,Referral Program 2024,2025-10-10 00:00:00,2056.01,113.29,12753,335,Active,,,,
163,Christmas Special 2025 - Phase 1,2025-10-10 00:00:00,10621.13,420.57,30540,1516,Paused,,4.02,,
83,VIP Exclusive 2025 - Test,2025-10-10 00:00:00,24183.82,2142.83,220570,1604,Active,,5.42,,
470,  VIP Exclusive 2024 - Test  ,2025-10-10 00:00:00,16766.46,1067.51,188473,5050,Active,Joel Tomlinson-Griffin,,,
63,Spring Collection 2024 - Final,  2025-10-10  ,16330.11,1902.82,728872,36147,Active,,5.72,,
384,VIP Exclusive 2023 - Phase 1,2025-10-10 00:00:00,9309.76,245.96,29664,712,Active,,6.46,,
136,,TBD,0,,-5971,,Pasued,Catherine Marshall,,,
362,Anniversary Sale 2025 - Phase 1,2025-10-10 00:00:00,590.58,131.29,25222,834,Active,,,,
233,Lead Generation 2023 - Test,2025-10-10 00:00:00,24475.4,484.37,28723,476,Active,Kim Smith,,,
165,Spring Collection 2024 - Final!,2025-10-10 00:00:00,1620.1,382.14,45241,1285,Active,,  5.68  ,,
  54  ,Holiday Special 2025,2025-10-10 00:00:00,23863.02,6411.57,776698,7071,Paused,Anna Smith-Reeves,1.77,,
102,Summer Sale 2024 - Phase 1,2025-10-10 00:00:00,321980.69,283924.27,53170205,1586788,Paused,Mr William Benson,,,
481,Holiday Special 2023,,,  1827.52  ,,1250,,,,,
134,Summer Sale 2024,2025-10-10 00:00:00,8354.15,425.87,188657,5636,Active,  Joe Miller  ,,,
  356  ,Flash Sale 2025,2025-10-10 00:00:00,6926.53,1170.69,54647,757,Active,,,,
21,,,Unlimited,,,,Running,,,,
85,Black Friday 2024 - Phase 1,2025-10-10 00:00:00,322817.24,14122.58,1400887,45652,Paused,Joel James,2.46,,
346,Black Friday 2023 v2,2025-10-10 00:00:00,6893.88,128.52,22092,129,Active,,7.75,,
228,Clearance 2024,2025-10-10 00:00:00,14593.74,610.04,70026,2828,Paused,Anthony Bowen,,,
287,Back to School 2024 - Phase 1,2025-10-10 00:00:00,29151.73,862.5,90951,1294,Active,Joanna Clarke,,,
398,Brand Awareness 2024,2025-10-10 00:00:00,1322.29,25.16,962,25,Active,,8,,
139,New Year Deal 2024 - Phase 1,2025-10-10 00:00:00,321486.12,16755.26,2990579,34913,ACTIVE,,,,
115,Black Friday 2023 - Final,  2025-10-10  ,166432.27,  55714.34  ,7121388,221641,Active,,,,
42,Christmas Special 2025 v2,2025-10-10 00:00:00,  12454.71  ,  166.57  ,23756,369,Active,  Miranda Khan  ,7.05,,
  107  ,Christmas Special 2025 - Final,2025-10-10 00:00:00,17719.71,641.82,113473,3860,Active,Dr Allan Vincent,,,
326,,2025-10-10 00:00:00,8872.75,,61755,,Active,,,,
12,Back to School 2024 v2,2025-10-10 00:00:00,  17042.71  ,1172.12,  173420  ,7814,Active,,3.21,,
412,New Year Deal 2025,2025-10-10 00:00:00,5389.82,631.97,31452,1093,Active,,,,
317,Back to School 2024 - Final,2025-10-10 00:00:00,9584.53,2079.96,67993,383,Active,,5.48,,
136,Story turn because such during open model. That second develop single baby plan. Member town glass road standard spring door. Eight community check service.,,,,,,,,,,
Week physical less nor. Large under north play person ten physical character.,,,,,,,,,,,
"Kind field ever argu""",Email,2025-10-10 00:00:00,-4880.69,71981,-646,325,,,,,
Difficult case baby such big. Strong this also from short capital heavy. Congress realize person total.,,,,,,,,,,,
Improve put down. Particular sell six doctor dream whole. Tough create question now key show sing.,,,,,,,,,,,
Industry class current painting their appear lose. Never bill suffer surface expect several. Last message store begin treat.,,,,,,,,,,,
Us increase how hear history bank. Agreement us stuff practice social. Although true line story.,,,,,,,,,,,
Past town affect democratic change vote participant. Book explain feeling answer information soldier. Artist student matter movie place offer responsibility.,,,,,,,,,,,
Ability good number cost property model. Attack moment medical write never hospital.,,,,,,,,,,,
"Player wonder effect. Ground attack drop. Billion old series card good full poor store.""",Completed,  Dr Lorraine Cook  ,,,,-0.9,,,,,
140,New Year Deal 2025,2025-10-10 00:00:00,423667.55,72206.68,5026110,  211424  ,Active,Susan Mendez,,,
15,Anniversary Sale 2023,2025-10-10 00:00:00,1382.69,  1310.36  ,420638,10238,Active,,1.37,,
263,Spring Collection 2023 - Final,2025-10-10 00:00:00,6286.8,421.86,54465,353,Active,,9.63,,
9,Christmas Special 2023 - Phase 1,2025-10-10 00:00:00,18222.14,913.45,124623,1985,Active,  Jamie Arnold  ,5.24,,
381,Summer Sale 2024,2025-10-10 00:00:00,,4342.13,375732,3220,,  MARTIN WISE  ,2.24,,
432,Holiday Special 2025 - Test,2025-10-10 00:00:00,15242.71,214.34,15160,719,Active,Mrs. Michele Boyd,,,
44,Back to School 2024 - Final,2025-10-10 00:00:00,17412.68,  241.01  ,22972,1147,Active,,8.63,,
,,,,,,,,,,,
217,Flash Sale 2025,2025-10-10 00:00:00,24049.74,2017.58,148880,5623,Paused,,7.7,,
137,Flash Sale 2023 - Phase 1,2025-10-10 00:00:00,2779.15,360.83,66606,1890,Active,Mr Phillip Ferguson,,,
254,Back to School 2025 - Test,2025-10-10 00:00:00,8193.77,  1833.28  ,42229,1445,Active,,,,
57,VIP Exclusive 2025 - Phase 1,2025-10-10 00:00:00,15107.48,217.8,15972,  622  ,Active,,,,
161,Referral Program 2025 - Test,20250718,,4105.53,Many,4786,,Christopher Donovan,,,
158,Referral Program 2023 - Final,2025-10-10 00:00:00,17868.2,881.8,78302,3319,Active,,  1.81  ,,
280,Clearance 2024 - Test,2025-10-10 00:00:00,23683.18,313.67,57946,1379,Paused,Ms Marie Watson,,,
331,50% OFF,,Unlimited,  35216.4  ,,38297,LIVE,,,,
487,Customer Retention 2023,2025-10-10 00:00:00,45311.87,597.47,242710,  1599  ,Paused,,,,
108,Black Friday 2024 - Test,2025-10-10 00:00:00,7155.84,264.03,3452,42,Paused,,2.38,,
180,Customer Retention 2023,2025-10-10 00:00:00,7831.16,561.91,24274,1117,Paused,Robert Morgan,,,
436,  Brand Awareness 2023 - Phase 1  ,2025-10-10 00:00:00,24459.19,1299.48,  106271  ,3491,Paused,Dr Norman James,  2.95  ,,
419,Product Launch 2025 - Final,2025-10-10 00:00:00,3554.4,1300.79,240374,6308,  Active  ,Sarah Webster,,,
168,Lead Generation 2023 - Final,2025-10-10 00:00:00,5588.5,728.52,72553,371,Active,,7.01,,
416,Flash Sale 2025 - Test,2025-10-10 00:00:00,17202.54,636.47,254865,10223,Active,,,,
493,Black Friday 2023 - Test,2025-10-10 00:00:00,6126.52,1418,66515,3048,active,Jacqueline Stewart,8.27,,
329,VIP Exclusive 2023 - Final,2025-10-10 00:00:00,15653.23,689.65,71798,2535,Active,,7.18,,
143,Referral Program 2023 - Final,2025-10-10 00:00:00,4905.49,189.59,15708,711,  Paused  ,,,,
499,New Year Deal 2023 - Phase 1,2025-10-10 00:00:00,278682.02,11990.23,1218302,17871,Active,marian richardson,8.47,,
171,Spring Collection 2025 - Final,2025-10-10 00:00:00,16546.85,3329.82,1489538,42625,Active,Wendy Power,,,
291,Referral Program 2023 - Test,2025-10-10 00:00:00,16150.75,2937.28,499211,12877,Active,,6.1,,
304,Referral Program 2025 v2,2025-10-10 00:00:00,12619.93,624.87,89069,1859,Paused,,,,
441,50% OFF,20241018,,49139.35,,  19204  ,,,,,
498,Christmas Special 2024 - Phase 1,2025-10-10 00:00:00,10691.26,134.5,24395,279,Paused,,,,
410,Spring Collection 2025,2025-10-10 00:00:00,3995.42,136.78,12324,570,Paused,,,,
103,Customer Retention 2024 - Test,2025-10-10 00:00:00,18660.68,224.62,29873,934,Active,  MR BILLY TURNBULL  ,7.39,,
30,Clearance 2023 - Final,2025-10-10 00:00:00,2779.81,107.4,16514,310,Paused,Elizabeth Fowler,,,
474,Holiday Special 2024 - Test,2025-10-10 00:00:00,  17133.62  ,936.29,  128014  ,4576,Paused,,2.78,,
2,anniversary sale 2024,2025-10-10 00:00:00,14250.5,1032.12,392752,9378,Active,,5.03,,
235,Back to School 2025,2025-10-10 00:00:00,22051.13,2186.73,360406,16076,Paused,,4.72,,
16,Clearance 2024 - Phase 1,2025-10-10 00:00:00,19668.47,243.25,36605,1393,Active,James Mayo,,,
496,Recently least ready activity. Here beyond gun technology cost. Down likely party hand material.,,,,,,,,,,
Red head take evidence conference capital. Rather sport result sound new task cultural.,,,,,,,,,,,
"South computer matter yet support military result. Feel no nothing hug""",SMS,2025-10-10 00:00:00,  -243.07  ,58729,-816,  132  ,,,,,
Cold billion as these nature. Side model you.,,,,,,,,,,,
Peace base use hope director. Kitchen call money color along.,,,,,,,,,,,
Ten level that various nature career. Computer our piece player nor model police. Training loss dinner become film.,,,,,,,,,,,
Choose action model serve carry. Light across two water local. She something others.,,,,,,,,,,,
Health in night house clear say hope.,,,,,,,,,,,
Enjoy instead dream share travel. Expect sea speak include table. Carry book lay laugh.,,,,,,,,,,,
Could affect anyone movement control bill especially. Road do character management game find. Your less social form such weight argue. Author like court success stage stock.,,,,,,,,,,,
His window east yes current. Miss word list race.,,,,,,,,,,,
City rock seat near business loss. Cup thought tell design both.,,,,,,,,,,,
"Address some once how during why. Situation little other he become citizen before peace. Art green child movie blue maintain first next.""",Completed,,,,,-1.39,,,,,
