inventory_id,product_id,supplier_id,stock_quantity,minimum_stock_level,last_restocked_date,storage_cost,reserved_quantity
10370,PROD_1897,SUPP_10173,1,74,2025-09-20 16:56:53.274000,2.88,
10212,PROD_2187,SUPP_10137,744,18,2025-09-23 20:36:43.492000,4.21,
10172,PROD_2227,SUPP_10835,983,30,2025-09-28 16:52:46.233000,2.0,
10236,PROD_1808,SUPP_10944,15,36,2025-09-16 17:09:26.453302,0.63,
10768,PROD_2396,SUPP_10230,0,0,2024-01-15 12:33:11.483000,3.82,
10088,PROD_1706,SUPP_10676,60,76,2025-10-05 08:17:05.694000,1.82,
11227,PROD_1042,SUPP_10468,180,194,2025-10-11 18:42:57.441000,1,
10779#,PROD_2216,SUPP_10259,568,22,2025-09-29 20:06:57.854000,4.32,
11126,PROD_1326,  SUPP_10517  ,56,60,2025-09-26 05:31:36.193000,3.8,
10982,  PROD_2372  ,SUPP_10773,0,0,2024-02-03 11:02:59.161000,3.94,
10162,PROD_1117,  SUPP_10183  ,  4  ,122,2025-10-08 04:33:44.459000,3.89,
10229!,PROD_2499,SUPP_10078,2,0,2024-03-24 07:37:59.539000,4.08,
10395,PROD_1226,SUPP_10297,38,126,2025-10-10 07:48:52.698000,4.22,
11251,PROD_1101,SUPP_10610,81,122,2025-10-10 21:49:45.385000,4.34,
11167,PROD_1016,SUPP_10186,54,140,2025-10-05 22:13:42.706000,2.38,
10796,  PROD_1641  ,  SUPP_10928  ,93,62,2025-10-10 12:55:51.437000,2.64,
10166,PROD_1372,SUPP_10460,15,46,2025-09-25 15:40:13.247000,2.31,
11114,  PROD_1033  ,SUPP_10948,507,134,2025-10-10 01:57:12.493000,4.07,
11276,PROD_2170,SUPP_10793,28,23,  2025-10-10 07:25:57.542106  ,1.36,
10473,PROD_1975,SUPP_10618,580,15,2025-10-08 19:18:12.269000,4.1,
10961,PROD_1240,SUPP_10278,120,107,2025-10-08 14:46:50.140000,4.21,
10068,PROD_2324,SUPP_10050,71,24,2025-09-29 06:23:01.122000,2.27,
10457,PROD_1291,supp_10399,0,146,  2025-10-07 09:02:30.493068  ,3.86,
10949,PROD_2397,SUPP_10966,0,0,2023-10-22 01:43:13.116000,3.54,
11154,PROD_1502,SUPP_10319,26,76,2025-09-26 23:35:41.320727,2.15,
10048,  PROD_2473  ,SUPP_10244,0,0,2025-01-06 22:56:22.632000,3.9,
10543,PROD_1730,SUPP_10973,65,70,2025-10-08 21:22:08.915000,0.14,
10762,PROD_2414,SUPP_10146,0,0,2025-09-17 00:43:47.781000,1.19,
10117,PROD_2459,SUPP_10429,0,0,2025-01-04 10:07:13.384000,0.43,
10113,PROD_1177,SUPP_10538,280,190,2025-10-05 12:35:22.670000,4.52,
10548,PROD_1155,SUPP_10113,8,96,2025-10-06 16:19:26.246000,0.55,
10939,PROD_2482,SUPP_10693,0,0,2024-09-04 18:38:43.333000,4.23,
10571,PROD_1936,SUPP_10427,18,15,2025-08-12 10:47:31.967000,4.19,
10482,  PROD_1454  ,SUPP_10022,71,64,2025-10-01 17:17:43.463000,3.81,
10302,PROD_1246,SUPP_10841,0,149,2025-10-10 04:41:52.500000,3.6,
10477,PROD_1255,SUPP_10108,535,106,2025-10-10 19:28:39.238000,3.62,
10119,PROD_2096,SUPP_10048,148,9,2025-09-03 06:41:50.837000,1.57,
11108,PROD_1483,SUPP_10847,76,43,2025-09-24 07:37:31.613000,0.7,
11076,  PROD_1554  ,SUPP_10555,3,93,2025-10-09 02:11:33.921000,3.65,
10205,PROD_1137,SUPP_10965,157,162,2025-10-11 15:30:55.767000,0.99,
10846,PROD_1252,SUPP_10990,437,68,2025-10-10 03:26:01.214000,3.45,
11349,PROD_2450,SUPP_10873,0,0,2025-04-21 02:48:49.617000,3.92,
10546,PROD_2434,SUPP_10266,31,0,2025-06-22 21:03:17.351000,0.56,
10920,INVALID,SUPP_10538,  -73  ,Medium,2025-10-02 21:36:55.009000,3.57,
10423,PROD_1386,SUPP_10382,42,91,2025-09-18 02:13:28.812000,2.31,
11029,PROD_1912,SUPP_10520,390,15,2025-08-20 18:07:07.231000,3.95,
10822,PROD_1429,SUPP_10415,51,63,2025-09-25 04:32:57.432000,0.88,
  10960  ,PROD_9999,SUPP_10765,Out of Stock,,2025-10-11 11:33:03.173000,3.88,
10789,PROD_2405,,Few,,,,
11027,PROD_1800,SUPP_10378,70,62,2025-09-23 08:28:15.013000,4,
10716,PROD_1440,SUPP_10896,432,57,2025-10-08 05:12:12.044000,1.29,
10401,PROD_2332,SUPP_10525,438,18,2025-07-25 20:49:19.186000,2.92,
10341,PROD_2417,SUPP_10589,0,0,2024-02-28 04:21:48.892000,4.42,
10847,PROD_1984,SUPP_10147,82,26,2025-09-19 07:06:03.181000,2.64,
  11463  ,PROD_1754,SUPP_10623,424,  74  ,  2025-09-14 08:02:04.418247  ,4.05,
10357,PROD_2391,SUPP_10866,9,0,2024-12-21 12:58:31.446000,2.14,
11324,PROD_2312,SUPP_10597,648,20,2025-08-05 02:17:21.478000,3.16,
10674,PROD_2236,SUPP_10958,434,6,2025-08-05 16:08:21.963000,  4.9  ,
10566,PROD_2254,SUPP_10208,923,8,2025-08-05 00:03:12.077974,1.01,
10462,PROD_2278,SUPP_10756,  85  ,6,2025-07-23 04:38:31.476000,2.65,
10299,PROD_2037,  SUPP_10950  ,65,15,2025-09-29 21:56:47.403000,2.82,
11464,PROD_2090,SUPP_10535,239,15,2025-09-09 06:34:41.897000,1.44,
10763,PROD_2286,SUPP_10192,503,11,2025-08-01 06:29:26.244000,2.67,
  10522  ,PROD_1121,SUPP_10594%,198,72,2025-10-09 09:17:41.194000,1.25,
11037,PROD_1612,SUPP_10931,8,76,2025-10-02 03:43:38.564000,1.21,
11069,PROD_1237,SUPP_10807,718,  89  ,2025-10-05 17:08:36.591258,1.65,
,,,,,,,
11186,PROD_1487,SUPP_10980,25,53,2025-09-30 22:52:38.735000,0.4,
10708,PROD_1492%,SUPP_10926,86,65,2025-09-18 03:46:42.821000,0.51,
10154,PROD_1367,SUPP_10450,422,98,2025-09-19 13:32:57.822000,3.46,
10805&,PROD_1931,SUPP_999,599,17,2025-10-11 23:48:23,Variable,
10377,PROD_2412,SUPP_10257,0,0,2025-08-05 17:43:34.965621,0.7,
10179,PROD_1211,SUPP_10346,0,92,2025-10-09 06:13:00.633000,3.08,
10498*,PROD_1340,SUPP_10297,82,100,2025-09-30 12:19:24.065000,2.89,
10980,PROD_2000,  SUPP_999  ,929,1958,10/11/2025,Included,
11011,PROD_1517,SUPP_10089,96,41,2025-10-08 00:09:18.375000,2.04,
10487,PROD_2167,SUPP_10569,35,22,2025-08-23 23:20:26.572000,3.6,
10145,PROD_1911,SUPP_10701,928,7,2025-09-13 23:22:00.060000,2.87,
10931,PROD_1479,SUPP_10933,  313  ,95,2025-09-23 03:13:45.335000,2.55,
,PROD_9999,,,,,,
10497,PROD_1120,SUPP_10621,21,84,2025-10-09 04:06:47.958000,2.62,
10152,PROD_1551,SUPP_10084,42,  49  ,2025-09-20 15:20:20.525577,2.2,
10866,PROD_2492,SUPP_10267,0,0,2024-07-29 22:07:21.948000,1.77,
10130,PROD_1764,SUPP_10054,219,97,2025-10-03 05:35:43.915000,0,
10528,PROD_1461,SUPP_10192,  427  ,30,2025-10-06 17:42:45.103000,4.89,
10458,PROD_1607,SUPP_10981,4,33,2025-10-05 11:58:36.776000,4.1,
10328,PROD_2162,SUPP_10989,2,6,2025-08-14 03:13:55.488000,2.09,
10689,PROD_1405,SUPP_10673,7,49,2025-09-27 21:18:21.404000,4.69,
10418,PROD_1847,SUPP_10574,4,93,2025-09-30 18:32:14.213000,3.81,
10663,PROD_2105,SUPP_10108,132,17,2025-10-04 04:50:13.495000,2.52,
11045,PROD_2114,SUPP_10274,780,15,  2022-04-04 10:32:59.074458  ,0.001,
11451,PROD_1376,SUPP_10926,4,35,2025-10-09 06:28:06.371000,3.51,
11432,  PROD_1100  ,SUPP_10278,49,139,2025-10-08 00:09:59.256000,1.56,
10208,PROD_1879,SUPP_10412,  31  ,31,2025-09-13 12:14:19.500000,4.3,
11129,  PROD_1780  ,SUPP_10992,1,53,2025-10-06 01:29:24.007000,3.96,
11179,PROD_2104,SUPP_10402,38,16,2025-10-05 05:31:21.824000,3.91,
10688,PROD_1575,SUPP_10545,495,93,2025-09-26 03:49:13.417000,0.85,
10315,PROD_1193,SUPP_999,9,186,2025-10-11 23:47:33,Variable,
10741,  PROD_1742  ,SUPP_10144,34,99,2025-09-28 10:09:33.988000,2.12,
11378,PROD_2365,SUPP_10530*,75,0,2024-09-10 21:28:47.492000,4.1,
11080,PROD_9999,  NULL  ,,,2025-10-15 19:31:02.165000,-2.37,
10534,PROD_1232,SUPP_10873,147,107,2025-10-07 23:55:58.873000,2,
10766,PROD_2118,SUPP_10774,37,9,2025-09-18 03:35:38.083000,2.53,
10448,PROD_2007,SUPP_10347,636,29,2025-09-10 00:49:18.713000,3.48,
10307,PROD_1868,SUPP_10618,19,33,2025-09-22 12:56:09.782000,1.7,
11303,PROD_1862,SUPP_10365,86,93,2025-10-07 02:24:53.322000,4.07,
10430,PROD_2269,  SUPP_10002  ,64,13,  2025-08-29 03:30:21.415225  ,0.7,
10290,PROD_2123,SUPP_10092,179,27,2025-07-20 02:00:34.415000,2.78,
11478,PROD_1591*,SUPP_10537,75,45,2025-09-29 03:39:30.505000,4.34,
10394,PROD_2058,SUPP_10487,195,30,2025-08-20 10:02:55.506000,1.9,
10013,PROD_1124,SUPP_10765,63,185,2025-10-09 06:09:22.432000,  0.87  ,
11081,PROD_1829,SUPP_10452,226,69,2025-10-02 12:38:46.911000,3.23,
11120,,SUPP_999,-28,  Medium  ,11-10-2025,Included,
10877,PROD_1968,  SUPP_10938  ,105,9,2025-08-11 09:37:44.240000,4.44,
11196,PROD_1602,SUPP_10062,  7  ,49,2025-10-01 10:07:23.394000,4.31,
10138,PROD_1544,SUPP_10673,42,71,2025-09-30 06:45:23.325000,4.84,
10159,PROD_2128,SUPP_10975,730,10,2025-09-01 13:38:04.118453,1.92,
10055,PROD_1190,SUPP_10931,31,143,2023-07-29 17:40:18.059000,-99,
  10605  ,PROD_2266,SUPP_10664,70,25,2020-11-09 08:24:26.580000,-99,
11170,PROD_1357,,,,2025-10-17 03:24:40.945000,-1.56,
10155,PROD_1614,SUPP_10660,52,  56  ,2025-10-07 22:33:28.234000,3.92,
11070,PROD_2029,SUPP_10192,988,8,2025-09-09 11:44:24.225000,0.74,
11388,PROD_2157,SUPP_10349,91,18,2025-08-12 01:52:16.504000,3,
11480,,SUPP_10806,-65,Auto,2025-10-04 12:13:27.823000,2.19,
10190,PROD_2331,SUPP_10798,107,25,2025-10-03 20:37:05.869000,2.11,
10995,PROD_1382,SUPP_10816,87,  47  ,2025-10-10 07:36:02.322000,4.34,
10908,PROD_1290,SUPP_10171,96,118,2025-10-09 09:50:17.542000,1.33,
10985,PROD_2022,SUPP_10791,100,22,2025-08-01 08:01:59.320000,0.79,
10017,PROD_1572,SUPP_10045,1,40,2025-10-09 09:16:48.834000,3.73,
10422,PROD_2131,SUPP_10067,618,5,2025-09-02 14:34:33.144000,1.42,
11331,PROD_1746,SUPP_10749,9,56,2025-09-19 01:46:18.666000,2.05,
11007,PROD_1665,SUPP_10490,55,47,2025-10-03 08:28:33.580000,3.34,
11389,PROD_1957,SUPP_10109,52,5,2025-07-30 00:19:31.987000,2.72,
10971,PROD_1435,SUPP_10377,86,91,  2025-09-21 13:43:48.472227  ,3.5,
10930,PROD_1225,SUPP_10023,Many,,2025-10-09 19:28:28.275000,3.25,
11228,PROD_1306,SUPP_10175,16,87,2025-10-03 22:36:12.231000,0.75,
10665,PROD_1635,  SUPP_999  ,97,40,20251011,,
10081,PROD_1967,SUPP_10927,33,19,2025-08-10 08:11:31.606000,  4.43  ,
,,,,,,,
10923,PROD_1113,SUPP_10562,81,105,2025-10-06 17:20:43.693000,1.07,
10182,PROD_1608,  SUPP_10577  ,40,64,2025-10-08 23:02:10.914000,4.06,
10744,PROD_1563,SUPP_10103,18,99,2025-10-03 11:54:34.274000,2.11,
10134,PROD_2381,SUPP_10200,0,0,2024-04-13 22:36:24.937000,0.13,
11199,PROD_2282,SUPP_10603,36,  6  ,2025-09-29 10:14:55.494000,0.91,
11261,PROD_2100,SUPP_10105,86,5,2025-08-14 07:57:20.279000,1.55,
10330,PROD_1158,SUPP_10823,MANY,,2022-04-15 11:19:44.148000,0.001,
11285,PROD_1145,SUPP_10553,232,121,2025-10-10 04:22:58.170000,3.76,
10999,PROD_1773,SUPP_10721,71,30,2025-09-29 10:09:51.576000,1.88,
11153,PROD_2116,SUPP_10752,160,  25  ,2025-07-17 04:55:49.892000,4.53,
11421,PROD_2026,SUPP_10507,186,16,2025-09-03 20:51:12.465000,1.53,
10816,PROD_1913,SUPP_10776,161,22,2025-08-17 22:06:12.023000,3.67,
11485,PROD_2156,,20,16,2025-10-17 04:04:12.224000,-4.63,
11347,PROD_1832,SUPP_10172,7,40,2025-09-27 04:22:59.060000,  0.79  ,
10790,PROD_1907,SUPP_10675,146,30,2025-07-25 02:00:36.596000,3.32,
11204,PROD_2273,SUPP_10369,  28  ,25,  2025-08-17 11:00:18.041725  ,0.29,
10686,PROD_2014,SUPP_10799,363,7,2025-08-14 23:14:03.688000,2.91,
10125,PROD_2402,,4,0,,,
  10862  ,PROD_1198,SUPP_10265,191,175,2025-10-08 22:26:04.372000,4.27,
10876,PROD_1027,SUPP_10010,57,156,2025-10-08 04:37:52.162000,0.65,
10942,PROD_1727,SUPP_10369,56,42,2025-09-21 14:43:19.092000,0.66,
10395,PROD_2477,,1000000,-31,,,
10508,PROD_2399,SUPP_10101,2,0,2024-11-28 12:31:42.628000,2.42,
10695,PROD_1672,SUPP_10780,20,48,2025-09-24 20:43:13.963000,0.55,
10831,PROD_1870,SUPP_10603,314,97,2025-09-17 00:34:54.651000,2.9,
10892,PROD_2431,SUPP_10074,0,0,2025-01-02 18:41:58.397000,3.89,
10507,PROD_1530,SUPP_10760,88,46,2025-09-26 15:41:09.135000,  2.96  ,
10629,PROD_1693,SUPP_10408,58,54,2025-10-05 23:14:32.314000,2.66,
11109,PROD_1178,SUPP_10364,41,72,2025-10-05 18:50:01.811000,3.7,
11240,DISCONTINUED,SUPP_10965,-67,Auto,2025-09-16 07:14:33.021000,0.71,
11470,PROD_1191,SUPP_999,,,11-10-2025,Included,
10043,PROD_1370,SUPP_10481,17,82,2025-09-23 08:40:58.324000,4.85,
10531,PROD_1645,SUPP_10040,207,39,2025-10-08 10:58:07.004000,2.88,
10223,PROD_1127,SUPP_10182,69,154,2025-10-07 18:48:32.015000,2,
10006,PROD_1961,SUPP_10541,212,22,2025-09-14 19:48:11.935000,3.78,
11061,PROD_1280,SUPP_10271,24,198,2025-10-11 01:04:26.264000,2.14,
11337,PROD_1283,SUPP_10413,69,86,2025-10-07 04:59:33.120000,0.7,
10334,PROD_2237,SUPP_10509,887,16,2025-08-26 10:58:58.906000,1.5,
10139,PROD_1833,supp_10400,96,23,2025-10-01 19:19:49.732000,2.47,
10891,PROD_1916,SUPP_10064,80,7,2025-08-14 22:51:27.883000,3.37,
10899,PROD_2048,SUPP_10239,438,8,2025-07-23 06:19:20.426000,4.26,
11024,PROD_1383,SUPP_10941,92,32,2025-09-19 11:52:53.306000,3.43,
11342,PROD_1811,SUPP_10068,230,61,2025-10-07 17:19:41.385000,0.96,
10696,PROD_1858,SUPP_10921,37,98,2025-09-28 00:08:44.507000,  3.38  ,
10536,PROD_1578,SUPP_10063,12,22,2025-09-27 13:49:19.508000,4.77,
  10203  ,PROD_2198,SUPP_10076,463,14,2025-09-27 00:35:57.416000,1.39,
11091,PROD_2040,SUPP_10890,23,14,2025-09-18 12:51:18.142000,3.12,
10539,PROD_2127,SUPP_10003,83,8,2025-07-23 06:44:15.122000,0.28,
11059,PROD_2344,SUPP_10364,151,26,2025-08-08 05:36:57.183000,4.21,
10760,,SUPP_10931,-60,Auto,  2025-09-19 02:53:27.464892  ,3.96,
10077,PROD_2474,  SUPP_10934  ,9,0,2025-03-21 06:36:59.414000,  1.87  ,
10972,PROD_1759,SUPP_10667,15,29,2025-09-16 14:07:27.875000,0.65,
10310,PROD_1721,SUPP_10399,20,60,2025-09-13 00:52:38.919000,1.57,
10809,  PROD_1550  ,SUPP_10525,359,41,2025-09-22 23:12:41.889000,0.34,
10420,PROD_9999@,SUPP_999,Unknown,,11-10-2025,Included,
10671,PROD_1518,SUPP_10151,22,86,  2025-10-07 22:21:20.778848  ,2.09,
10767,PROD_1123,  SUPP_10504  ,45,89,2025-10-06 22:42:47.087000,2.79,
10947,PROD_1740,SUPP_10975,83,42,2025-09-29 02:57:03.574000,3.83,
11352@,PROD_1309,SUPP_10563,43,98,2025-10-07 09:38:01.434000,1.19,
,,, ,,, ,
10374,PROD_1521,  SUPP_10373  ,15,58,2025-09-14 23:57:53.110000,4.24,
10644,PROD_1426,SUPP_10223,117,100,2025-10-06 13:04:26.317000,1.01,
10643,PROD_1768,SUPP_10849@,25,46,2025-10-06 05:42:42.968000,4.97,
10746,PROD_1560,SUPP_10693,157,45,2025-10-10 21:47:51.528000,4.81,
  11217  ,PROD_1974,SUPP_10909,198,5,2025-08-26 17:54:09.893000,3.88,
10905,PROD_1207,SUPP_10365,26,188,2025-10-08 16:18:53.766000,3.87,
11284,PROD_1920,SUPP_10840,31,12,2025-07-24 17:19:57.954000,2.1,
10807,PROD_1281,SUPP_10879,28,67,2025-10-10 16:20:46.123000,1.24,
10660,PROD_9999,SUPP_10760,,,2023-02-06 21:55:46.320000,-99,
10278,PROD_2044,SUPP_10374,99,29,2025-09-24 02:32:31.727000,1.59,
11293,PROD_1480,SUPP_10241,5,35,2025-10-05 18:35:19.828000,2.31,
10124,PROD_1562,SUPP_10781,  16  ,41,2025-09-21 04:17:26.030000,0.79,
11269,PROD_1845,SUPP_10506,98,21,2025-09-29 14:53:47.097000,4.02,
10953,PROD_1378,SUPP_10474,444,26,2025-09-15 00:42:15.513000,1.41,
10889,PROD_1959,SUPP_10645,106,8,2025-09-02 10:10:41.871000,  3.39  ,
10990,PROD_2043,,,,2025-11-07 03:05:45.791000,-3.44,
10086,PROD_1985!,SUPP_10037,245,15,  2025-08-23 23:31:16.125324  ,4.67,
  10232  ,PROD_1638,SUPP_10854,95,68,2025-10-09 15:19:45.255000,1.89,
10344,PROD_2197,SUPP_10089,151,8,2025-07-18 12:59:22.186000,0.91,
11211,PROD_2211,SUPP_10378,588,22,2025-07-21 20:24:32.841000,2.88,
10509,  PROD_1504  ,SUPP_10916,78,28,2025-09-17 00:55:57.670000,2.47,
10157,PROD_1031,SUPP_10268,  66  ,178,2025-10-06 10:01:12.023000,3.86,
11036,PROD_1093,SUPP_10203,23,  182  ,2025-10-05 08:03:34.168000,3.9,
11023,  PROD_1529  ,SUPP_10734,93,97,2025-09-25 14:28:20.467000,1.95,
11140,PROD_9999,  SUPP_10431  ,Many,,2025-10-10 15:51:29.972000,1.15,
11394,PROD_1814,SUPP_10504,143,32,2025-09-26 06:51:31.668000,0.31,
11332,PROD_1363,SUPP_10397,65,44,2025-09-26 21:16:01.255000,3.03,
11038,PROD_1653,SUPP_10132,8,24,2025-10-05 01:09:03.060000,2.4,
10570,PROD_1307,SUPP_10942,,,2025-10-05 04:45:43.227000,3.23,
10992,PROD_2337,SUPP_10532,42,19,2025-07-17 13:41:14.688000,1.28,
10814,PROD_2375,SUPP_10893,0,0,2025-08-28 13:22:41.263000,1.84,
  10410  ,PROD_1918,SUPP_10399,733,7,2025-09-12 14:34:54.894000,2.61,
10085,,SUPP_10807,224,94,2025-09-12 17:24:30.605000,3.7,
10409,PROD_1941,SUPP_10008,826,19,2025-08-30 14:07:19.587000,3.26,
10886,PROD_2012,SUPP_10413,194,22,2025-08-05 13:55:34.084000,2.42,
10353,PROD_1782,SUPP_10854,59,23,2025-09-16 11:03:34.203000,3.98,
10149,PROD_1877,SUPP_10501,  94  ,77,2025-10-11 01:32:31.172000,0.47,
10052,PROD_2313,SUPP_10699,16,13,2025-07-20 14:03:55.367000,2.35,
11259,PROD_1785,SUPP_10710,63,22,2025-09-24 12:18:41.499000,3.19,
10783,  PROD_1047  ,SUPP_10016@,29,68,2025-10-08 21:34:49.327000,0.43,
10662,PROD_1937,supp_10134,82,8,2025-07-30 21:45:47.932000,2.9,
10431,PROD_1525,SUPP_10342,113,74,2025-10-09 10:08:24.653000,4.79,
10143,PROD_2385,SUPP_10604,0,0,2025-06-07 08:19:12.962000,0.68,
11181,PROD_1055,SUPP_10247,88,83,2025-10-10 01:01:04.583000,2.33,
10261,PROD_1247,SUPP_10288,0,73,2025-10-05 06:23:53.158000,0.84,
