inventory_id,product_id,supplier_id,stock_quantity,reserved_quantity,minimum_stock_level,last_restocked_date,storage_cost
701,422,11,0,0,21,2025-09-02,10.63
156,92,28,405,20,13,2025-07-24,11.23
278,170,41,113,15,16,2025-10-02,2.95
467,286,37,9,0,0,2025-09-11,1.28
563,339,26,11,2,0,2025-12-18,2.42
580,347,27,2,1,0,2025-07-19,2.17
110,66,1,1,1,0,2025-08-27,1.39
201,119,32,395,37,5,2025-07-11,8.39
157,93,46,344,36,18,2025-07-29,12.66
387,237,33,0,0,9,2025-10-19,5.62
140,84,12,14,1,23,2025-11-03,12.08
208,123,27,106,22,12,2025-07-08,1.93
446,274,27,11,0,0,2025-08-22,2.34
41,29,44,123,43,8,2025-10-27,2.79
152,90,42,311,26,7,2025-07-21,1.13
182,107,11,208,37,14,2025-07-23,2.58
400,245,4,490,30,30,2025-09-26,4.01
523,317,15,306,25,10,2025-07-11,5.33
727,436,24,0,0,19,2025-09-24,1.37
758,456,46,0,0,26,2025-10-25,4.87
242,146,19,479,7,21,2025-10-30,19.41
316,192,5,101,46,15,2025-11-14,1.22
410,253,26,0,0,27,2025-07-16,2.7
48,32,30,6,1,12,2025-12-04,4.91
210,124,9,5,5,5,2025-08-21,1.52
214,127,9,0,0,12,2025-11-06,4.36
345,211,12,0,0,20,2025-09-27,1.24
452,276,8,0,0,17,2025-03-03,5.18
481,295,42,0,0,16,2025-07-08,3.39
123,74,17,159,21,24,2025-07-20,12.18
372,228,27,16,5,0,2025-10-31,0.62
407,251,40,288,6,30,2025-11-16,2.53
530,320,48,185,23,20,2025-08-24,7.28
546,328,5,59,6,21,2025-07-10,2.37
697,420,36,0,0,15,2025-01-04,8.2
422,261,23,397,37,19,2025-08-29,7.69
491,300,31,130,33,17,2025-08-27,5.94
503,306,40,8,3,16,2025-07-25,2.13
561,339,20,12,4,0,2025-08-12,2.45
602,360,41,0,0,16,2025-09-09,2.65
183,108,17,257,22,24,2025-07-20,4.07
577,346,38,8,2,8,2025-10-21,1.37
601,359,4,0,0,30,2025-05-29,7.06
699,421,28,39,5,21,2025-09-07,52.49
744,448,42,0,0,11,2025-09-11,2.13
80,51,26,488,14,24,2025-10-01,0.86
82,51,8,9,0,21,2025-08-10,2.54
247,149,16,57,9,26,2025-11-11,2.04
579,347,4,3,3,0,2025-12-13,2.72
90,56,25,0,0,16,2025-02-22,12.18
136,83,2,187,3,28,2025-11-18,0.6
138,84,3,343,40,11,2025-10-10,9.5
289,175,37,80,24,24,2025-10-26,20.44
651,393,35,0,0,29,2025-07-16,1.36
656,396,21,0,0,29,2025-07-27,0.64
711,428,31,0,0,19,2025-08-08,3.53
718,432,33,116,36,20,2025-10-17,2.22
135,82,42,116,30,22,2025-11-14,23.68
45,31,8,0,0,6,2025-10-10,0.75
469,287,15,188,37,24,2025-07-25,12.84
524,318,39,0,0,29,2025-04-07,8.08
301,182,14,439,23,24,2025-07-23,17.28
310,187,26,295,6,23,2025-11-02,1.77
462,283,31,0,0,27,2025-05-08,17.86
486,298,20,9,1,22,2025-11-05,12.42
750,452,24,0,0,13,2025-09-05,5.59
73,47,25,467,27,9,2025-07-26,1.88
377,231,1,159,46,21,2025-09-10,28.62
679,408,19,6,2,0,2025-09-22,14.32
209,123,1,14,3,10,2025-07-20,13.24
330,202,34,247,247,5,2025-08-05,5.7
404,248,43,14,2,22,2025-10-25,5.47
785,475,14,450,5,8,2025-12-12,10.33
10,6,2,0,0,16,2025-09-28,1.04
293,177,20,181,37,16,2025-11-15,1.88
308,186,27,8,3,0,2025-07-07,7.46
600,359,21,0,0,25,2025-10-11,29.31
654,395,8,287,33,11,2025-09-01,15.02
166,99,5,122,0,27,2025-11-03,23.8
256,156,6,0,0,29,2025-01-13,0.74
314,190,13,422,14,18,2025-10-07,3.21
153,90,47,172,47,12,2025-07-25,1.77
393,240,37,149,9,19,2025-07-26,15.46
405,249,12,333,26,21,2025-10-27,3.41
431,266,18,7,0,0,2025-08-15,0.68
460,282,14,15,1,9,2025-10-06,0.21
535,323,28,0,0,22,2025-08-13,1.04
792,480,3,0,0,7,2025-09-09,0.95
106,65,20,66,29,23,2025-10-04,1.38
225,135,27,276,0,10,2025-09-30,2.16
518,314,35,8,2,0,2025-11-16,8.02
612,365,21,0,0,0,2024-12-25,10.02
53,34,5,0,0,5,2025-11-12,16.58
232,138,44,1,1,23,2025-10-14,30.15
36,25,8,1,1,16,2025-08-19,59.9
379,233,27,0,0,25,2025-08-03,1.9
441,271,46,0,0,15,2025-02-03,2.75
567,341,43,0,0,21,2025-01-17,1.28
638,383,2,260,1,12,2025-12-11,12.95
725,435,2,18,2,0,2025-08-13,1.35
794,482,18,5,1,0,2025-08-19,0.94
188,112,6,9,4,0,2025-07-21,5.39
323,197,37,182,28,15,2025-10-28,1.84
241,145,23,10,4,0,2025-11-26,4.53
260,157,34,217,48,25,2025-10-06,7.32
320,194,4,181,181,28,2025-09-30,12.28
442,272,28,75,16,23,2025-12-15,1.88
465,285,35,409,48,16,2025-07-11,6.84
18,12,25,307,24,14,2025-09-15,11.33
88,54,9,457,50,11,2025-07-26,34.39
440,271,43,0,0,19,2025-10-23,1.73
709,428,21,0,0,5,2025-10-19,12.4
720,433,17,349,46,23,2025-10-20,6.21
763,460,15,497,34,23,2025-09-19,7.05
47,32,14,13,3,25,2025-09-13,6.61
107,65,44,62,62,29,2025-10-20,0.24
134,82,32,13,3,29,2025-11-11,17.44
163,97,13,421,33,21,2025-07-17,5.4
177,105,1,132,0,22,2025-10-31,1.2
185,110,4,11,3,17,2025-11-13,2.79
358,219,8,0,0,28,2025-10-09,6.65
478,293,1,68,22,25,2025-12-07,0.62
778,469,15,499,4,18,2025-11-08,1.24
227,135,24,458,25,13,2025-12-16,1.84
251,151,23,472,8,19,2025-11-26,0.04
252,152,10,10,0,20,2025-12-13,2.66
468,286,27,2,2,0,2025-10-15,2.0
508,309,33,19,2,0,2025-08-18,1.38
528,319,20,374,11,25,2025-12-12,10.27
708,427,37,355,6,19,2025-12-22,5.87
55,35,6,216,8,22,2025-07-24,12.19
306,185,21,121,7,11,2025-12-17,6.84
474,290,45,224,2,30,2025-10-06,0.79
483,296,29,426,37,23,2025-07-04,16.65
554,335,4,6,0,26,2025-07-16,13.49
464,284,11,25,12,11,2025-07-26,9.63
556,335,19,6,3,20,2025-08-16,19.27
645,389,10,453,38,9,2025-12-08,2.41
663,400,16,0,0,25,2025-10-20,4.61
27,18,9,0,0,13,2025-01-30,4.42
695,419,24,0,0,11,2025-06-04,0.63
42,30,21,0,0,7,2025-10-22,4.25
44,31,8,292,46,14,2025-08-24,1.1
229,136,9,55,13,23,2025-08-31,4.87
245,147,9,0,0,25,2025-02-23,1.87
357,219,31,0,0,16,2025-06-29,3.84
517,313,21,0,0,18,2025-09-05,17.28
585,351,25,88,16,21,2025-07-15,1.3
86,54,36,268,45,6,2025-10-09,44.97
591,355,48,17,1,0,2025-11-13,17.12
95,59,12,0,0,13,2025-09-10,9.03
693,418,33,6,0,22,2025-12-08,0.94
174,104,49,97,47,6,2025-08-21,1.91
352,216,14,0,0,10,2025-02-28,5.89
610,364,29,16,5,0,2025-10-08,12.03
203,120,1,447,35,20,2025-08-23,3.64
548,329,46,165,49,21,2025-08-22,31.65
723,434,11,288,20,5,2025-12-09,8.83
111,67,48,1,1,0,2025-12-11,1.03
133,81,47,57,28,18,2025-12-22,3.7
176,105,20,324,5,14,2025-10-25,0.42
296,179,47,200,29,5,2025-10-12,9.62
318,193,35,330,30,21,2025-10-04,0.89
445,273,28,301,3,28,2025-10-16,1.4
137,83,28,245,3,16,2025-10-18,0.95
360,221,28,9,1,0,2025-10-21,3.19
367,226,4,300,21,22,2025-08-12,26.89
660,399,35,137,12,22,2025-09-30,36.22
62,39,41,0,0,14,2025-05-16,1.06
329,202,10,173,3,25,2025-09-16,7.43
471,287,12,454,23,23,2025-07-19,9.4
495,302,12,381,49,21,2025-07-15,3.28
193,114,47,478,14,20,2025-10-23,5.65
493,301,9,174,7,15,2025-10-21,0.48
63,40,8,0,0,25,2025-09-15,0.17
75,48,34,33,0,10,2025-08-26,28.9
165,98,22,94,10,7,2025-11-28,8.23
194,115,29,15,1,23,2025-11-04,0.08
269,164,5,13,4,22,2025-08-08,11.51
458,281,10,440,8,16,2025-11-28,2.57
746,449,24,25,9,5,2025-12-05,9.84
776,467,34,0,0,12,2025-08-27,1.73
297,180,49,0,0,11,2025-11-14,0.69
336,206,49,0,0,24,2025-09-18,1.49
429,266,16,20,0,0,2025-12-06,2.94
454,277,43,2,1,9,2025-09-12,0.91
689,415,44,99,46,12,2025-11-10,6.96
12,8,13,0,0,26,2025-08-12,34.06
126,76,45,186,50,19,2025-09-05,9.96
142,86,41,68,13,21,2025-11-18,2.76
200,119,10,356,40,11,2025-12-11,3.16
536,324,27,261,2,30,2025-07-17,1.76
783,474,38,11,0,0,2025-12-24,1.23
32,21,2,0,0,18,2025-11-06,18.5
76,48,2,473,49,26,2025-12-08,10.11
233,139,4,276,18,14,2025-12-24,3.09
240,144,47,382,23,23,2025-08-04,14.09
129,78,49,268,15,30,2025-11-19,2.92
164,97,19,182,41,21,2025-07-26,1.84
430,266,45,14,6,0,2025-08-11,0.74
158,94,35,233,4,26,2025-08-31,9.56
632,379,7,417,28,25,2025-11-22,1.31
328,202,8,393,0,13,2025-07-30,4.57
386,237,34,158,47,19,2025-08-26,5.33
617,368,37,466,50,8,2025-12-14,1.87
83,52,16,365,3,29,2025-07-30,0.51
97,61,14,76,25,5,2025-07-13,1.68
154,91,27,0,0,15,2025-08-21,1.19
414,256,41,148,0,27,2025-10-12,1.66
545,327,13,0,0,24,2025-07-01,0.72
547,328,19,224,23,22,2025-08-05,0.89
4,4,33,6,1,12,2025-10-13,5.23
101,62,10,1,0,0,2025-07-30,38.96
161,96,23,32,14,7,2025-12-11,4.66
253,153,19,0,0,19,2025-01-29,11.61
363,223,7,173,1,14,2025-08-07,7.94
434,268,15,152,37,12,2025-08-14,6.13
661,399,3,7,1,24,2025-10-12,22.72
279,171,49,34,2,22,2025-08-09,14.12
334,204,43,5,1,15,2025-12-19,18.87
437,269,44,246,47,11,2025-06-28,0.99
762,459,43,0,0,19,2025-05-05,4.69
271,165,40,0,0,24,2025-10-20,2.64
564,340,31,450,16,9,2025-11-14,7.64
685,411,5,239,48,25,2025-07-29,0.47
730,439,36,126,0,6,2025-10-05,8.36
13,9,29,384,42,20,2025-08-15,4.77
69,45,6,394,30,11,2025-11-11,1.42
205,121,33,369,2,11,2025-12-03,6.52
448,275,22,468,2,20,2025-11-11,1.19
583,350,48,0,0,28,2025-02-09,9.06
68,45,9,240,31,27,2025-06-29,5.76
284,173,1,0,0,0,2025-09-10,2.58
390,239,42,0,0,7,2025-10-31,3.05
426,263,27,65,15,22,2025-07-27,37.62
622,373,49,468,30,13,2025-12-24,3.41
624,374,46,327,49,18,2025-11-09,0.79
223,133,2,10,4,22,2025-10-06,1.36
552,333,39,249,46,12,2025-08-03,16.38
747,450,27,0,0,22,2025-07-23,6.67
772,464,18,43,21,22,2025-07-15,1.87
202,120,39,282,6,8,2025-09-02,6.35
235,141,19,476,48,9,2025-09-24,31.4
533,322,19,0,0,20,2025-04-15,0.79
726,435,32,0,0,0,2025-05-05,2.13
74,48,29,358,24,18,2025-07-17,10.36
99,62,45,11,1,0,2025-08-18,32.4
215,127,19,104,39,15,2025-12-17,2.22
371,228,12,2,0,0,2025-08-09,1.1
598,358,30,16,8,0,2025-08-02,20.43
118,71,21,234,12,18,2025-11-16,1.91
368,226,18,166,21,6,2025-07-20,25.01
432,267,19,0,0,15,2025-08-11,1.39
519,315,2,4,3,0,2025-07-28,15.07
40,28,13,318,21,30,2025-07-17,7.65
112,68,33,266,50,9,2025-11-14,3.13
127,76,9,67,25,24,2025-10-20,6.75
497,303,32,500,1,9,2025-11-04,1.29
184,109,39,2,1,5,2025-11-26,3.71
366,225,33,490,3,19,2025-09-14,0.37
373,229,32,0,0,7,2024-12-26,6.9
477,292,47,388,3,24,2025-06-29,3.84
684,411,34,353,8,27,2025-08-17,0.65
743,448,29,0,0,13,2025-08-27,4.74
769,462,35,10,1,0,2025-12-22,2.17
793,481,17,7,0,0,2025-07-20,2.02
173,103,50,9,0,28,2025-09-01,11.51
246,148,46,112,47,13,2025-11-18,1.89
364,223,31,45,11,9,2025-08-28,2.42
374,230,45,3,2,10,2025-11-07,6.47
694,419,45,0,0,16,2025-11-21,1.59
787,476,11,166,3,30,2025-09-15,7.62
3,3,36,15,3,0,2025-10-29,1.32
702,422,23,6,0,5,2025-07-28,18.01
25,18,33,0,0,29,2024-12-27,6.15
98,61,38,363,34,23,2025-07-21,1.12
23,16,50,113,15,9,2025-10-25,16.03
198,117,42,10,1,0,2025-10-18,28.28
424,262,28,312,19,28,2025-07-27,15.28
739,446,42,388,13,23,2025-08-02,27.43
84,53,25,53,4,8,2025-10-06,24.94
211,124,39,379,16,5,2025-07-30,6.88
381,233,11,14,4,26,2025-10-25,1.2
447,274,15,1,0,0,2025-08-18,5.56
91,57,13,12,0,0,2025-10-28,3.51
124,74,40,252,29,14,2025-10-13,5.46
361,221,10,12,0,0,2025-07-07,2.09
428,265,39,12,6,8,2025-11-29,0.41
455,278,21,32,1,7,2025-10-07,2.32
587,353,6,80,10,8,2025-11-08,5.08
608,363,4,311,18,7,2025-07-04,0.89
795,482,36,3,1,0,2025-11-09,2.79
46,31,27,213,44,30,2025-09-16,0.37
450,275,1,0,0,15,2025-02-03,1.51
527,319,4,153,22,12,2025-12-03,8.11
576,346,1,0,0,21,2025-04-13,5.17
796,483,43,395,15,23,2025-12-22,23.35
542,326,23,6,3,0,2025-11-16,12.85
754,454,3,14,5,0,2025-09-28,1.19
104,64,43,293,45,21,2025-12-02,0.63
125,75,21,146,23,9,2025-11-10,9.46
346,212,41,0,0,22,2025-04-16,1.29
396,242,48,0,0,15,2025-07-16,7.61
472,288,3,0,0,17,2025-11-19,0.92
492,301,47,400,33,18,2025-07-26,0.41
119,72,40,382,37,13,2025-07-17,15.5
175,104,47,218,30,16,2025-09-20,0.37
512,312,21,0,0,5,2025-08-02,1.82
696,420,42,3,3,5,2025-07-12,4.28
265,161,33,20,2,24,2025-12-11,27.82
355,218,7,0,0,16,2025-09-09,8.39
633,379,40,199,33,17,2025-10-22,0.65
96,60,40,271,48,14,2025-12-02,3.01
456,279,32,11,4,27,2025-12-15,0.6
179,106,4,7,1,0,2025-10-10,24.65
419,260,46,7,1,0,2025-11-15,5.8
773,465,48,129,36,21,2025-08-21,2.82
331,203,13,6,3,19,2025-10-04,1.59
756,455,32,12,1,0,2025-10-30,41.03
686,412,38,0,0,26,2025-07-05,6.21
728,437,15,295,49,17,2025-11-26,7.79
30,20,32,10,5,0,2025-08-09,3.69
67,44,46,331,50,15,2025-12-09,11.79
70,46,26,7,0,0,2025-07-04,6.41
197,116,21,206,0,25,2025-08-07,14.98
231,138,22,455,5,20,2025-07-01,11.18
274,168,16,0,0,12,2025-10-02,8.81
626,375,45,5,0,24,2025-11-23,0.54
120,72,32,6,2,26,2025-07-27,9.05
291,176,48,365,45,5,2025-10-24,2.36
351,215,37,0,0,8,2025-05-19,0.21
490,300,7,233,0,26,2025-11-25,11.0
625,375,3,289,34,20,2025-11-13,0.7
800,485,20,493,493,5,2025-10-17,6.36
61,39,23,0,0,9,2025-08-06,0.41
650,392,28,351,36,27,2025-11-29,7.66
64,41,24,0,0,22,2025-06-13,3.5
572,344,44,0,0,19,2025-11-11,30.79
5,4,42,202,20,30,2025-10-25,4.75
681,409,4,0,0,30,2025-07-02,13.88
145,87,26,472,40,23,2025-08-30,0.58
89,55,22,13,3,0,2025-08-30,4.66
180,106,16,12,0,0,2025-09-01,12.51
666,401,37,55,1,16,2025-11-27,0.74
207,122,26,0,0,12,2025-03-25,2.78
292,176,6,280,46,14,2025-10-14,4.22
300,181,11,211,50,23,2025-07-04,0.96
325,199,5,7,0,0,2025-07-16,3.56
326,200,19,275,48,20,2025-11-27,5.05
558,336,36,476,40,21,2025-09-14,41.95
707,426,18,17,4,0,2025-10-01,18.36
749,451,4,0,0,9,2025-01-05,7.4
20,14,28,250,4,18,2025-08-21,4.44
160,95,47,0,0,27,2024-12-29,2.41
555,335,3,5,3,26,2025-07-17,23.78
765,461,49,147,15,13,2025-11-25,10.96
315,191,27,392,22,20,2025-10-03,24.8
767,461,10,467,39,11,2025-07-25,15.19
103,64,49,216,4,12,2025-11-23,0.2
109,66,45,12,6,0,2025-11-16,3.17
130,79,48,146,14,17,2025-08-31,1.09
217,128,21,324,13,7,2025-12-23,2.8
592,355,38,7,2,0,2025-12-13,7.58
658,398,42,16,2,0,2025-09-30,12.2
65,42,25,391,28,12,2025-08-09,55.62
189,112,24,18,9,0,2025-07-07,9.7
273,167,8,8,0,0,2025-09-06,25.86
799,484,19,314,5,19,2025-07-17,1.89
276,169,39,338,12,24,2025-10-29,12.86
619,370,11,158,9,10,2025-07-14,1.53
37,26,17,488,1,17,2025-07-13,46.83
230,137,10,11,2,18,2025-09-06,0.55
254,154,3,167,20,24,2025-12-18,4.94
298,180,34,0,0,22,2025-06-12,0.37
623,374,6,290,8,19,2025-12-23,0.37
408,252,8,421,13,10,2025-12-11,4.28
526,319,34,148,30,26,2025-08-05,6.51
588,353,20,259,2,25,2025-10-13,4.89
662,399,17,351,31,5,2025-10-04,19.48
108,65,25,151,21,7,2025-08-08,1.31
169,100,44,5,3,17,2025-07-05,2.06
388,238,34,0,0,20,2025-07-27,34.12
768,462,37,6,1,0,2025-12-21,6.66
791,479,39,156,9,10,2025-07-20,5.89
187,111,23,0,0,29,2025-01-08,12.96
507,309,17,9,4,0,2025-09-11,1.3
735,443,31,2,0,5,2025-11-22,36.97
167,100,16,243,5,22,2025-10-25,6.27
362,222,11,45,20,6,2025-11-24,7.1
514,312,2,0,0,16,2025-06-21,0.43
643,388,11,7,1,0,2025-07-14,5.1
655,395,7,358,39,24,2025-09-21,17.7
779,470,14,118,45,25,2025-09-30,7.18
57,36,31,296,22,11,2025-11-06,33.58
521,316,43,0,0,29,2025-06-26,2.07
531,321,47,304,30,27,2025-09-13,1.27
550,331,24,0,0,16,2025-02-15,0.41
665,401,32,306,10,19,2025-08-31,1.38
729,438,35,13,4,21,2025-09-10,6.77
732,441,48,11,5,11,2025-08-07,2.55
798,484,9,115,24,8,2025-09-15,1.57
159,94,29,363,40,26,2025-07-10,13.9
222,132,1,8,2,29,2025-10-06,7.52
261,157,5,260,4,30,2025-06-30,8.28
502,306,21,0,0,20,2025-10-01,2.09
532,322,49,0,0,30,2024-12-25,2.69
566,341,4,0,0,27,2025-11-04,1.21
594,357,29,183,26,11,2025-12-15,35.72
614,366,24,0,0,10,2025-11-04,2.38
640,385,27,499,41,17,2025-09-28,8.03
114,68,21,184,31,14,2025-07-18,3.45
171,102,49,0,0,13,2025-09-19,3.58
237,142,22,378,4,10,2025-11-10,2.28
425,262,2,4,2,10,2025-08-08,4.53
496,302,19,291,15,13,2025-11-19,3.44
559,337,5,19,4,0,2025-10-13,8.71
505,307,47,0,0,15,2025-02-04,5.47
790,478,34,188,19,13,2025-10-31,10.81
192,114,2,0,0,30,2025-08-08,3.5
255,155,37,167,1,10,2025-10-03,32.17
574,345,9,0,0,26,2025-09-04,9.5
611,365,36,20,6,0,2025-07-14,3.51
722,434,14,114,1,13,2025-07-27,5.25
349,214,8,0,0,21,2025-10-08,18.43
389,238,34,0,0,15,2025-09-10,27.18
406,250,13,214,35,30,2025-11-22,21.05
92,58,1,69,21,5,2025-08-04,0.65
221,131,43,8,3,20,2025-08-06,0.55
444,273,25,173,23,17,2025-10-10,1.85
15,10,48,0,0,11,2025-08-20,21.53
146,87,38,180,3,19,2025-10-04,0.54
249,150,50,38,11,7,2025-06-30,1.73
250,150,20,337,49,30,2025-08-07,6.83
295,179,44,0,0,27,2025-01-24,7.32
570,343,42,54,17,18,2025-12-09,0.59
59,38,27,389,36,17,2025-06-28,6.49
144,87,25,285,33,26,2025-11-12,0.57
438,270,34,1,0,0,2025-07-07,19.01
529,320,49,255,19,5,2025-12-20,7.0
609,363,5,494,39,16,2025-09-09,0.21
56,35,25,390,23,20,2025-11-11,19.36
121,73,34,147,43,11,2025-11-01,2.29
39,27,8,227,9,13,2025-11-05,6.84
473,289,14,101,15,16,2025-11-04,3.87
664,400,45,0,0,23,2025-03-22,2.45
710,428,31,0,0,12,2025-01-13,5.71
712,429,21,120,16,16,2025-08-25,0.6
122,74,8,370,47,23,2025-08-20,17.22
147,88,15,145,9,28,2025-09-27,1.63
397,243,37,377,36,6,2025-09-28,6.38
480,294,50,0,0,16,2025-01-09,15.47
595,357,46,136,0,5,2025-12-15,20.55
155,91,24,0,0,18,2025-07-20,0.65
204,121,47,11,3,21,2025-12-14,8.42
277,170,1,38,7,12,2025-11-17,5.51
348,214,39,0,0,21,2025-02-26,5.44
50,33,10,0,0,24,2025-05-26,1.89
313,189,5,436,31,15,2025-07-02,8.95
774,465,18,0,0,28,2025-07-12,2.8
627,376,30,433,34,23,2025-09-06,9.18
31,20,13,9,2,0,2025-08-29,3.45
244,147,27,0,0,26,2025-05-05,1.69
489,299,26,7,2,6,2025-10-15,2.26
589,354,13,12,2,14,2025-07-21,4.74
7,5,41,466,16,12,2025-08-01,14.88
72,46,2,19,5,0,2025-10-04,6.92
81,51,37,306,14,11,2025-07-07,4.69
562,339,28,17,8,0,2025-08-26,2.67
131,80,36,0,0,10,2025-04-29,2.32
290,175,17,228,48,23,2025-09-06,13.67
299,181,18,7,0,22,2025-12-07,0.64
382,234,26,332,33,8,2025-09-04,2.09
499,304,25,8,1,0,2025-09-20,50.48
771,463,33,148,29,27,2025-12-03,1.0
343,210,15,100,11,24,2025-08-06,10.49
412,254,16,416,27,15,2025-09-08,11.39
423,261,2,279,40,14,2025-09-08,1.81
488,299,16,373,1,22,2025-12-03,4.67
501,305,16,0,0,30,2025-04-08,9.07
54,35,3,187,26,6,2025-11-05,17.47
327,201,22,15,4,9,2025-09-13,27.91
457,280,32,409,3,19,2025-07-30,52.05
593,356,19,205,27,20,2025-10-12,11.19
613,365,8,4,3,0,2025-07-11,3.66
671,404,48,63,1,25,2025-11-04,0.49
8,6,50,11,5,19,2025-11-12,3.83
143,86,47,0,0,18,2025-05-06,3.21
285,174,23,0,0,11,2025-11-22,0.55
294,178,48,465,40,21,2025-09-04,13.41
698,421,7,329,29,17,2025-12-11,50.94
797,484,32,12,3,17,2025-11-29,1.14
470,287,27,0,0,25,2025-06-28,8.3
551,332,12,311,0,24,2025-11-27,0.46
590,354,33,348,7,5,2025-12-17,2.64
677,408,38,9,4,0,2025-11-05,5.63
66,43,3,207,0,24,2025-08-26,2.32
128,77,11,323,50,8,2025-12-02,1.78
79,50,50,253,45,7,2025-07-03,2.86
139,84,44,93,8,21,2025-08-24,6.12
433,268,25,64,4,25,2025-12-05,3.04
239,144,28,455,9,11,2025-07-29,30.59
525,318,7,0,0,11,2025-06-11,4.54
752,453,42,0,0,12,2025-05-13,9.54
337,207,46,132,32,14,2025-08-23,0.89
350,215,18,182,28,11,2025-10-18,0.53
641,386,42,0,0,6,2025-11-07,9.98
680,409,32,0,0,28,2025-07-23,31.07
28,19,15,177,16,14,2025-12-08,4.71
731,440,39,316,43,20,2025-11-16,9.21
243,146,35,153,28,9,2025-09-02,18.9
335,205,1,419,30,28,2025-12-21,0.51
682,410,36,383,44,14,2025-08-31,3.54
77,49,15,18,3,0,2025-08-06,0.08
383,235,31,20,5,0,2025-07-15,44.73
520,315,28,3,1,0,2025-08-27,4.34
603,361,7,0,0,22,2025-11-25,7.21
649,391,47,176,43,25,2025-07-17,1.16
21,14,5,0,0,7,2025-05-29,4.54
509,309,10,15,0,0,2025-08-11,2.26
573,344,3,0,0,21,2025-03-23,14.71
621,372,38,0,0,24,2025-04-13,4.33
628,377,24,278,14,7,2025-09-27,10.75
648,391,20,0,0,18,2025-09-09,1.86
