payment_id,order_id,payment_method,payment_provider,payment_status,transaction_id,processing_fee,refund_amount,refund_date,payment_date
10,10,PayPal,Braintree,Completed,71991222305,427.45,0.0,,2017-09-26
97,97,Credit Card,Stripe,Completed,81137400786502,2.22,0.0,,2021-05-23
124,124,Credit Card,Adyen,Completed,6764466319313,14.91,0.0,,2023-10-19
38,38,Credit Card,Braintree,Completed,31487819830,2.8,0.0,,2024-12-28
102,102,Credit Card,Authorize.net,Completed,262217773,19.71,0.0,,2019-08-19
7,7,Credit Card,Adyen,Completed,7761819554016,4.64,0.0,,2024-12-09
103,103,Credit Card,Adyen,Completed,2529715269904,32.35,0.0,,2023-11-14
133,133,PayPal,Braintree,Completed,97063666051,14.43,0.0,,2024-11-07
18,18,PayPal,Braintree,Completed,60039542607,63.54,0.0,,2021-01-23
132,132,Credit Card,Adyen,Completed,4562339269426,12.8,0.0,,2021-09-28
90,90,Credit Card,Braintree,Completed,62156391843,16.18,0.0,,2018-09-29
44,44,Gift Card,Square,Completed,61721949307978,0.0,0.0,,2025-11-05
114,114,Credit Card,Braintree,Completed,28438109678,55.11,0.0,,2022-02-17
138,138,Gift Card,Square,Completed,34335495787211,0.0,0.0,,2025-09-30
4,4,PayPal,PayPal,Completed,27213805235,42.97,0.0,,2024-12-09
121,121,Credit Card,Square,Completed,47972055551809,14.3,0.0,,2024-11-13
52,52,Credit Card,Adyen,Completed,1486108194308,3.56,0.0,,2023-04-18
66,66,PayPal,PayPal,Completed,41436803170,325.76,0.0,,2025-08-07
96,96,Gift Card,Square,Completed,34385002941596,0.0,0.0,,2021-11-25
119,119,Credit Card,Adyen,Completed,8231495959955,12.07,0.0,,2024-05-03
122,122,PayPal,PayPal,Completed,52207380684,160.2,0.0,,2022-01-24
123,123,Credit Card,Adyen,Completed,2187374128103,68.5,0.0,,2021-11-24
2,2,Credit Card,Authorize.net,Completed,126538300,143.85,0.0,,2018-10-02
108,108,Credit Card,Adyen,Completed,6857353679792,113.4,0.0,,2024-06-19
74,74,Credit Card,Adyen,Completed,4046191034869,181.55,0.0,,2021-01-14
106,106,PayPal,PayPal,Completed,43507188175,5.95,0.0,,2025-09-16
137,137,Credit Card,Stripe,Completed,48959480777635,46.93,0.0,,2025-10-14
136,136,Gift Card,Stripe,Completed,48693304966135,0.0,0.0,,2020-11-25
67,67,Apple Pay,Stripe,Completed,86476169374241,83.43,0.0,,2021-06-25
21,21,PayPal,PayPal,Completed,22998747673,22.88,0.0,,2019-04-18
70,70,Credit Card,Authorize.net,Completed,621220216,146.55,0.0,,2025-04-30
23,23,Gift Card,Stripe,Completed,68508012785030,0.0,0.0,,2025-07-12
62,62,PayPal,PayPal,Completed,22405593744,16.05,0.0,,2023-01-15
22,22,PayPal,Braintree,Completed,78056348740,59.8,0.0,,2024-12-08
73,73,PayPal,Braintree,Pending,,0.0,0.0,,2020-10-15
54,54,Apple Pay,Adyen,Completed,7672412409570,67.63,0.0,,2025-12-05
125,125,PayPal,Braintree,Completed,57544434462,15.85,0.0,,2023-03-28
112,112,Credit Card,Adyen,Pending,,0.0,0.0,,2019-12-25
