order_ref,customer_ref,order_status,order_subtotal,tax_total,shipping_fee,discount_total,grand_total,currency_code,purchase_date,shipment_date,delivery_date,device_category,coupon_code,record_created,shipping_method,customer_ip,marketing_channel,payment_method,item_count,refund_amount
27,19,Shipped,9458.07,858.37,17.6,2993.16,10334.04,USD,2025-10-05T16:59:15Z,2025-10-06T16:59:15Z,,Mobile,CLEARANCE40,2025-10-05T16:59:15Z,Priority,52.94.129.69,Organic Search,Credit Card,21,0.0
28,19,Delivered,2280.43,258.21,15.76,415.7,2554.4,USD,2025-11-10T06:23:30Z,2025-11-13T06:23:30Z,2025-11-19T06:23:30Z,Mobile,SAVE20,2025-11-10T06:23:30Z,Priority,95.34.110.167,Paid Search,PayPal,12,0.0
29,20,Cancelled,1567.7,131.73,16.34,0.0,1715.77,USD,2024-10-15T10:28:29Z,,,Desktop,,2024-10-15T10:28:29Z,Priority,17.47.23.133,Email,Credit Card,7,1715.77
30,21,Delivered,6133.25,460.76,0.0,340.05,6594.01,USD,2025-12-14T07:06:08Z,2025-12-17T07:06:08Z,2025-12-23T07:06:08Z,Mobile,WELCOME15,2025-12-14T07:06:08Z,Free Shipping,79.17.209.165,Social Media,Credit Card,16,0.0
31,22,Delivered,6051.8,593.27,0.0,13.54,6645.07,USD,2025-11-08T20:04:00Z,2025-11-11T20:04:00Z,2025-11-15T20:04:00Z,Desktop,FREESHIP,2025-11-08T20:04:00Z,Free Shipping,138.133.104.124,Social Media,Credit Card,9,0.0
32,23,Delivered,14601.03,1019.98,8.83,1273.65,15629.84,USD,2024-11-01T15:56:07Z,2024-11-01T15:56:07Z,2024-11-06T15:56:07Z,Mobile,CLEARANCE40,2024-11-01T15:56:07Z,Standard,174.98.101.159,Referral,Credit Card,29,0.0
33,24,Shipped,903.81,82.73,17.76,0.0,1004.3,USD,2024-04-30T04:37:44Z,2024-05-01T04:37:44Z,,Mobile,,2024-04-30T04:37:44Z,Priority,161.30.207.218,Organic Search,Credit Card,12,0.0
34,24,Cancelled,9873.72,952.46,6.21,1024.58,10832.39,USD,2024-04-30T04:34:19Z,,,Mobile,CLEARANCE40,2024-04-30T04:34:19Z,Standard,206.45.82.153,Organic Search,Gift Card,27,10832.39
35,24,Pending,1577.25,178.21,29.21,0.0,1784.67,USD,2024-04-30T03:26:45Z,,,Mobile,,2024-04-30T03:26:45Z,Express,88.88.29.109,Organic Search,Apple Pay,7,0.0
36,25,Cancelled,4389.03,340.44,0.0,8.13,4729.47,USD,2024-09-26T12:14:45Z,,,Mobile,SAVE10,2024-09-26T12:14:45Z,Free Shipping,218.101.187.34,Organic Search,Apple Pay,11,4729.47
37,25,Delivered,685.95,38.28,6.65,0.0,730.88,USD,2025-02-03T13:36:35Z,2025-02-04T13:36:35Z,2025-02-10T13:36:35Z,Tablet,,2025-02-03T13:36:35Z,Standard,23.125.173.54,Social Media,PayPal,4,0.0
38,26,Pending,2759.09,179.86,16.35,898.05,2955.3,USD,2025-10-21T19:25:55Z,,,Desktop,WELCOME15,2025-10-21T19:25:55Z,Priority,200.156.154.210,Display Ads,PayPal,11,0.0
39,27,Delivered,1666.68,450.07,6.12,4523.3,2122.87,USD,2025-04-02T18:34:10Z,2025-04-04T18:34:10Z,2025-04-06T18:34:10Z,Desktop,NEWUSER25,2025-04-02T18:34:10Z,Standard,131.164.11.90,Paid Search,PayPal,17,0.0
40,27,Cancelled,6156.33,570.81,104.21,31.54,6831.35,USD,2021-05-25T23:51:23Z,,,Tablet,WELCOME15,2021-05-25T23:51:23Z,White Glove,129.121.207.219,Paid Search,Credit Card,19,6831.35
41,27,Cancelled,7547.15,830.78,17.1,45.67,8395.03,USD,2022-12-27T10:20:54Z,,,Mobile,SAVE10,2022-12-27T10:20:54Z,Priority,100.106.130.75,Paid Search,Credit Card,10,8395.03
42,28,Delivered,10943.5,1243.07,0.0,1502.81,12186.57,USD,2025-07-05T19:54:15Z,2025-07-08T19:54:15Z,2025-07-12T19:54:15Z,Desktop,SAVE10,2025-07-05T19:54:15Z,Free Shipping,76.234.112.129,Paid Search,Apple Pay,16,0.0
43,28,Delivered,5088.15,497.77,8.37,368.42,5594.29,USD,2025-08-22T21:46:25Z,2025-08-24T21:46:25Z,2025-08-27T21:46:25Z,Desktop,SAVE10,2025-08-22T21:46:25Z,Standard,141.36.126.102,Referral,Gift Card,22,0.0
44,29,Delivered,1609.81,118.53,60.34,302.91,1788.68,USD,2023-03-01T09:30:23Z,2023-03-02T09:30:23Z,2023-03-04T09:30:23Z,Desktop,NEWUSER25,2023-03-01T09:30:23Z,White Glove,124.94.137.204,Direct,Apple Pay,7,0.0
45,29,Cancelled,722.18,67.47,0.0,0.0,789.65,USD,2023-03-01T08:30:27Z,,,Desktop,FREESHIP,2023-03-01T08:30:27Z,Free Shipping,145.92.141.152,Direct,Credit Card,4,789.65
46,30,Returned,2950.37,260.89,8.46,93.83,3219.72,USD,2025-01-11T06:21:52Z,2025-01-12T06:21:52Z,2025-01-19T06:21:52Z,Desktop,CLEARANCE40,2025-01-11T06:21:52Z,Standard,198.64.163.8,Social Media,Apple Pay,12,3106.44
47,31,Cancelled,1079.95,114.06,9.18,0.0,1203.19,USD,2022-02-06T06:41:34Z,,,Tablet,,2022-02-06T06:41:34Z,Standard,46.108.21.181,Social Media,Cash on Delivery,8,1203.19
48,32,Delivered,9156.26,672.99,16.56,2196.12,9845.81,USD,2025-02-11T00:57:58Z,2025-02-13T00:57:58Z,2025-02-17T00:57:58Z,Mobile,SAVE20,2025-02-11T00:57:58Z,Priority,77.154.167.227,Referral,Credit Card,9,0.0
49,33,Cancelled,2256.41,142.22,28.89,380.34,2427.52,USD,2021-02-11T10:08:50Z,,,Desktop,NEWUSER25,2021-02-11T10:08:50Z,Express,108.231.181.40,Social Media,Gift Card,4,2427.52
50,34,Delivered,5953.97,459.96,6.9,475.18,6420.83,USD,2025-07-15T23:06:39Z,2025-07-16T23:06:39Z,2025-07-19T23:06:39Z,Desktop,NEWUSER25,2025-07-15T23:06:39Z,Standard,4.69.18.185,Direct,Cash on Delivery,21,0.0
51,35,Shipped,1914.04,197.36,7.02,0.0,2118.42,USD,2025-01-31T13:58:12Z,2025-02-02T13:58:12Z,,Desktop,,2025-01-31T13:58:12Z,Standard,38.83.139.149,Organic Search,Credit Card,6,0.0
52,36,Delivered,2703.52,274.25,15.61,129.96,2993.38,USD,2024-02-03T20:31:09Z,2024-02-04T20:31:09Z,2024-02-10T20:31:09Z,Desktop,SAVE20,2024-02-03T20:31:09Z,Priority,74.34.235.74,Direct,PayPal,7,0.0
53,36,Delivered,366.24,42.18,0.0,0.0,408.42,USD,2020-12-28T06:34:06Z,2020-12-30T06:34:06Z,2021-01-04T06:34:06Z,Mobile,,2020-12-28T06:34:06Z,Free Shipping,62.90.89.22,Organic Search,Credit Card,2,0.0
54,37,Delivered,2242.13,225.87,0.0,93.78,2468.0,USD,2024-11-01T01:01:01Z,2024-11-04T01:01:01Z,2024-11-09T01:01:01Z,Desktop,WELCOME15,2024-11-01T01:01:01Z,Free Shipping,206.20.137.133,Organic Search,Gift Card,18,0.0
55,37,Delivered,1785.69,168.25,7.18,354.8,1961.12,USD,2023-07-25T07:43:31Z,2023-07-28T07:43:31Z,2023-07-31T07:43:31Z,Desktop,NEWUSER25,2023-07-25T07:43:31Z,Standard,151.11.157.114,Social Media,PayPal,14,0.0
56,38,Delivered,1835.87,144.77,8.49,0.0,1989.13,USD,2025-02-14T21:05:15Z,2025-02-17T21:05:15Z,2025-02-23T21:05:15Z,Desktop,,2025-02-14T21:05:15Z,Standard,135.219.204.247,Paid Search,Credit Card,9,0.0
57,38,Delivered,3368.0,354.15,9.92,0.0,3732.07,USD,2025-02-14T19:05:05Z,2025-02-16T19:05:05Z,2025-02-18T19:05:05Z,Desktop,,2025-02-14T19:05:05Z,Standard,75.57.157.21,Paid Search,Apple Pay,13,0.0
58,39,Delivered,1827.36,127.34,6.07,0.0,1960.77,USD,2023-09-08T05:35:34Z,2023-09-10T05:35:34Z,2023-09-13T05:35:34Z,Desktop,,2023-09-08T05:35:34Z,Standard,216.31.110.48,Direct,Credit Card,9,0.0
59,40,Shipped,6673.43,593.42,22.46,0.0,7289.31,USD,2024-08-05T11:08:21Z,2024-08-05T11:08:21Z,,Mobile,,2024-08-05T11:08:21Z,Express,130.19.186.234,Paid Search,Apple Pay,18,0.0
60,40,Delivered,2353.82,162.86,7.05,184.56,2523.73,USD,2019-10-31T13:55:30Z,2019-11-01T13:55:30Z,2019-11-08T13:55:30Z,Desktop,SAVE10,2019-10-31T13:55:30Z,Standard,119.173.95.61,Social Media,Cash on Delivery,6,0.0
61,41,Delivered,1250.69,119.81,6.24,75.78,1376.74,USD,2022-09-03T05:51:46Z,2022-09-04T05:51:46Z,2022-09-09T05:51:46Z,Desktop,SAVE20,2022-09-03T05:51:46Z,Standard,47.99.142.167,Organic Search,Credit Card,6,0.0
62,41,Delivered,574.15,58.61,26.12,382.78,658.88,USD,2022-09-03T04:51:46Z,2022-09-06T04:51:46Z,2022-09-12T04:51:46Z,Desktop,CLEARANCE40,2022-09-03T04:51:46Z,Express,30.148.14.26,Organic Search,Credit Card,4,0.0
63,42,Delivered,995.42,81.29,15.04,0.0,1091.75,USD,2025-11-13T14:27:08Z,2025-11-16T14:27:08Z,2025-11-22T14:27:08Z,Desktop,,2025-11-13T14:27:08Z,Priority,8.107.38.44,Organic Search,Credit Card,2,0.0
64,43,Delivered,370.93,19.49,6.98,247.29,397.4,USD,2025-07-17T16:07:47Z,2025-07-17T16:07:47Z,2025-07-19T16:07:47Z,Desktop,CLEARANCE40,2025-07-17T16:07:47Z,Standard,115.54.238.42,Social Media,Credit Card,2,0.0
65,43,Delivered,2032.94,157.34,7.8,9.51,2198.08,USD,2024-01-30T23:57:00Z,2024-02-01T23:57:00Z,2024-02-06T23:57:00Z,Mobile,SAVE10,2024-01-30T23:57:00Z,Standard,185.54.115.174,Organic Search,Credit Card,12,0.0
66,43,Shipped,231.86,20.52,15.03,57.96,267.41,USD,2022-11-16T04:48:40Z,2022-11-19T04:48:40Z,,Desktop,SAVE20,2022-11-16T04:48:40Z,2-Day,185.156.194.132,Display Ads,Credit Card,2,0.0
67,44,Shipped,1271.26,125.58,7.45,107.46,1404.29,USD,2023-10-14T00:08:35Z,2023-10-16T00:08:35Z,,Tablet,SAVE20,2023-10-14T00:08:35Z,Standard,133.144.162.143,Organic Search,PayPal,5,0.0
68,45,Delivered,4010.29,236.21,0.0,419.58,4246.5,USD,2025-09-19T08:08:32Z,2025-09-21T08:08:32Z,2025-09-23T08:08:32Z,Mobile,SAVE20,2025-09-19T08:08:32Z,Free Shipping,89.238.71.130,Direct,Credit Card,17,0.0
69,45,Delivered,1327.95,123.73,18.73,52.21,1470.41,USD,2025-09-19T11:16:02Z,2025-09-20T11:16:02Z,2025-09-26T11:16:02Z,Mobile,SAVE10,2025-09-19T11:16:02Z,Priority,200.143.154.106,Direct,PayPal,9,0.0
70,46,Shipped,9252.73,747.65,17.25,590.1,10017.63,USD,2024-06-30T21:12:08Z,2024-06-30T21:12:08Z,,Desktop,NEWUSER25,2024-06-30T21:12:08Z,Priority,66.130.178.138,Social Media,Credit Card,27,0.0
71,47,Shipped,3975.06,348.51,0.0,33.24,4323.57,USD,2024-07-12T13:10:43Z,2024-07-14T13:10:43Z,,Desktop,SAVE20,2024-07-12T13:10:43Z,Free Shipping,149.97.107.78,Direct,Credit Card,4,0.0
72,48,Delivered,4322.53,792.14,0.0,6103.19,5114.67,USD,2025-12-13T10:04:43Z,2025-12-16T10:04:43Z,2025-12-19T10:04:43Z,Desktop,FREESHIP,2025-12-13T10:04:43Z,Free Shipping,81.195.15.117,Organic Search,PayPal,22,0.0
73,48,Shipped,2322.78,213.44,0.0,17.57,2536.22,USD,2025-12-20T20:39:59Z,2025-12-23T20:39:59Z,,Desktop,FREESHIP,2025-12-20T20:39:59Z,Free Shipping,18.138.113.199,Display Ads,Credit Card,9,0.0
74,49,Processing,5088.1,499.31,17.95,1192.6,5605.36,USD,2025-10-20T22:03:02Z,,,Desktop,CLEARANCE40,2025-10-20T22:03:02Z,2-Day,5.77.243.129,Organic Search,Credit Card,22,0.0
75,49,Delivered,5378.65,373.86,9.27,643.01,5761.78,USD,2025-08-26T22:39:22Z,2025-08-26T22:39:22Z,2025-08-29T22:39:22Z,Mobile,CLEARANCE40,2025-08-26T22:39:22Z,Standard,215.204.74.188,Organic Search,Gift Card,19,0.0
76,50,Processing,8187.22,510.25,15.69,772.98,8713.16,USD,2023-10-11T16:24:39Z,,,Desktop,SAVE20,2023-10-11T16:24:39Z,2-Day,162.36.33.32,Direct,Credit Card,21,0.0
77,50,Returned,2150.17,148.73,23.44,150.04,2322.34,USD,2024-09-08T16:06:33Z,2024-09-11T16:06:33Z,2024-09-15T16:06:33Z,Desktop,NEWUSER25,2024-09-08T16:06:33Z,Express,66.80.119.89,Display Ads,Gift Card,13,2004.29
78,51,Shipped,1817.29,175.91,0.0,521.11,1993.2,USD,2025-08-24T20:21:47Z,2025-08-27T20:21:47Z,,Desktop,WELCOME15,2025-08-24T20:21:47Z,Free Shipping,173.154.245.79,Social Media,PayPal,6,0.0
79,52,Delivered,2106.42,155.06,17.76,0.0,2279.24,USD,2025-05-06T14:59:55Z,2025-05-09T14:59:55Z,2025-05-16T14:59:55Z,Mobile,,2025-05-06T14:59:55Z,Priority,87.56.189.165,Organic Search,Apple Pay,12,0.0
80,52,Pending,205.73,15.84,16.07,7.21,237.64,USD,2025-05-27T14:15:59Z,,,Mobile,SAVE20,2025-05-27T14:15:59Z,Priority,196.170.89.198,Paid Search,Credit Card,2,0.0
81,53,Delivered,2161.08,170.62,9.69,48.08,2341.39,USD,2016-11-30T15:27:11Z,2016-11-30T15:27:11Z,2016-12-07T15:27:11Z,Mobile,NEWUSER25,2016-11-30T15:27:11Z,Standard,56.159.148.222,Email,Credit Card,11,0.0
82,54,Delivered,541.18,36.76,6.84,0.0,584.78,USD,2024-03-24T11:15:47Z,2024-03-27T11:15:47Z,2024-04-02T11:15:47Z,Mobile,,2024-03-24T11:15:47Z,Standard,1.201.207.212,Display Ads,PayPal,4,0.0
83,55,Shipped,5368.56,330.67,9.43,0.0,5708.66,USD,2021-01-18T11:18:56Z,2021-01-21T11:18:56Z,,Desktop,,2021-01-18T11:18:56Z,Standard,60.96.96.95,Display Ads,Credit Card,5,0.0
84,55,Delivered,4112.75,319.0,0.0,710.75,4431.75,USD,2022-12-10T17:51:39Z,2022-12-11T17:51:39Z,2022-12-17T17:51:39Z,Desktop,WELCOME15,2022-12-10T17:51:39Z,Free Shipping,63.170.144.140,Display Ads,Cash on Delivery,8,0.0
85,56,Pending,1982.38,165.04,7.88,1321.58,2155.3,USD,2018-03-06T10:24:28Z,,,Mobile,CLEARANCE40,2018-03-06T10:24:28Z,Standard,40.59.11.63,Social Media,Credit Card,6,0.0
86,57,Shipped,2030.42,210.17,8.36,102.3,2248.95,USD,2024-05-15T03:06:36Z,2024-05-15T03:06:36Z,,Desktop,WELCOME15,2024-05-15T03:06:36Z,Standard,222.47.162.146,Referral,Gift Card,10,0.0
87,57,Delivered,3514.7,344.05,108.2,2343.14,3966.95,USD,2025-05-19T21:06:07Z,2025-05-21T21:06:07Z,2025-05-24T21:06:07Z,Mobile,CLEARANCE40,2025-05-19T21:06:07Z,White Glove,216.236.254.194,Direct,Gift Card,4,0.0
88,58,Delivered,5957.98,645.89,16.27,3628.88,6620.14,USD,2022-08-08T03:56:57Z,2022-08-10T03:56:57Z,2022-08-16T03:56:57Z,Mobile,CLEARANCE40,2022-08-08T03:56:57Z,Priority,202.85.194.118,Social Media,Credit Card,14,0.0
89,59,Delivered,2930.76,274.62,13.01,64.19,3218.39,USD,2024-03-31T04:30:37Z,2024-04-02T04:30:37Z,2024-04-07T04:30:37Z,Mobile,SAVE20,2024-03-31T04:30:37Z,Priority,189.93.138.16,Direct,Credit Card,8,0.0
90,60,Delivered,3008.66,274.7,9.11,0.0,3292.47,USD,2021-10-10T10:48:01Z,2021-10-11T10:48:01Z,2021-10-18T10:48:01Z,Desktop,,2021-10-10T10:48:01Z,Standard,15.130.129.222,Referral,Credit Card,6,0.0
91,61,Delivered,2069.08,164.77,9.31,267.54,2243.16,USD,2022-03-17T14:19:01Z,2022-03-20T14:19:01Z,2022-03-27T14:19:01Z,Mobile,CLEARANCE40,2022-03-17T14:19:01Z,Standard,201.195.24.47,Referral,PayPal,15,0.0
92,61,Cancelled,5344.76,393.11,19.25,325.59,5757.12,USD,2023-07-10T08:31:48Z,,,Mobile,NEWUSER25,2023-07-10T08:31:48Z,Priority,170.213.49.203,Social Media,PayPal,16,5757.12
93,62,Delivered,9124.26,761.77,7.93,234.12,9893.96,USD,2025-12-18T19:19:32Z,2025-12-21T19:19:32Z,2025-12-23T19:19:32Z,Tablet,NEWUSER25,2025-12-18T19:19:32Z,Standard,118.15.15.252,Organic Search,PayPal,6,0.0
94,63,Delivered,4778.4,363.89,0.0,826.42,5142.29,USD,2021-02-25T19:02:14Z,2021-02-26T19:02:14Z,2021-02-28T19:02:14Z,Mobile,WELCOME15,2021-02-25T19:02:14Z,Free Shipping,134.10.140.3,Social Media,Apple Pay,8,0.0
95,64,Cancelled,7110.13,578.16,9.54,314.92,7697.83,USD,2016-12-02T20:21:30Z,,,Mobile,SAVE10,2016-12-02T20:21:30Z,Standard,59.39.91.209,Direct,Credit Card,19,7697.83
96,65,Delivered,4386.17,434.97,9.57,72.02,4830.71,USD,2024-01-09T20:05:26Z,2024-01-10T20:05:26Z,2024-01-14T20:05:26Z,Desktop,CLEARANCE40,2024-01-09T20:05:26Z,Standard,126.45.181.238,Display Ads,Apple Pay,13,0.0
97,65,Returned,6452.34,650.89,0.0,1667.84,7103.23,USD,2024-01-09T22:25:33Z,2024-01-10T22:25:33Z,2024-01-16T22:25:33Z,Desktop,FREESHIP,2024-01-09T22:25:33Z,Free Shipping,187.119.9.60,Display Ads,Apple Pay,15,6377.07
98,65,Pending,1955.48,150.47,6.01,0.0,2111.96,USD,2024-01-09T22:02:17Z,,,Desktop,,2024-01-09T22:02:17Z,Standard,189.240.157.59,Display Ads,Credit Card,4,0.0
99,66,Delivered,8199.92,860.8,6.88,239.29,9067.6,USD,2025-12-06T16:52:53Z,2025-12-07T16:52:53Z,2025-12-13T16:52:53Z,Mobile,CLEARANCE40,2025-12-06T16:52:53Z,Standard,177.139.253.180,Paid Search,Gift Card,34,0.0
100,67,Delivered,4958.35,298.5,15.38,6.07,5272.23,USD,2025-10-26T14:54:59Z,2025-10-28T14:54:59Z,2025-11-03T14:54:59Z,Desktop,SAVE10,2025-10-26T14:54:59Z,2-Day,206.107.240.151,Display Ads,Credit Card,5,0.0
101,67,Delivered,1020.13,138.81,19.44,717.72,1178.38,USD,2025-10-26T16:56:18Z,2025-10-27T16:56:18Z,2025-11-02T16:56:18Z,Desktop,NEWUSER25,2025-10-26T16:56:18Z,Priority,14.141.170.35,Display Ads,Credit Card,8,0.0
102,67,Delivered,6605.03,489.01,23.35,1067.8,7117.39,USD,2025-02-12T03:46:37Z,2025-02-15T03:46:37Z,2025-02-22T03:46:37Z,Desktop,CLEARANCE40,2025-02-12T03:46:37Z,Express,123.94.244.14,Display Ads,Credit Card,9,0.0
103,68,Cancelled,753.82,60.16,21.71,8.82,835.69,USD,2025-09-20T02:56:28Z,,,Mobile,NEWUSER25,2025-09-20T02:56:28Z,2-Day,88.104.200.168,Organic Search,PayPal,2,835.69
104,68,Cancelled,7162.41,568.75,28.78,550.08,7759.94,USD,2025-12-12T16:17:30Z,,,Mobile,CLEARANCE40,2025-12-12T16:17:30Z,Express,172.54.20.133,Social Media,PayPal,21,7759.94
105,69,Delivered,4373.6,420.02,0.0,77.65,4793.62,USD,2025-12-13T02:38:21Z,2025-12-16T02:38:21Z,2025-12-19T02:38:21Z,Desktop,SAVE20,2025-12-13T02:38:21Z,Free Shipping,68.236.45.136,Email,Apple Pay,11,0.0
106,70,Processing,5245.69,537.07,9.3,0.0,5792.06,USD,2025-04-30T06:14:48Z,,,Mobile,,2025-04-30T06:14:48Z,Standard,169.120.249.129,Organic Search,Gift Card,19,0.0
107,70,Delivered,3126.78,278.17,9.03,44.73,3413.98,USD,2024-10-16T20:16:26Z,2024-10-18T20:16:26Z,2024-10-20T20:16:26Z,Mobile,NEWUSER25,2024-10-16T20:16:26Z,Standard,207.179.230.150,Display Ads,PayPal,5,0.0
108,71,Delivered,4329.61,426.67,0.0,335.2,4756.28,USD,2021-06-25T10:31:17Z,2021-06-25T10:31:17Z,2021-06-28T10:31:17Z,Mobile,FREESHIP,2021-06-25T10:31:17Z,Free Shipping,133.35.95.180,Social Media,PayPal,24,0.0
109,72,Delivered,7648.93,719.41,0.0,1314.15,8368.34,USD,2024-08-14T23:43:36Z,2024-08-17T23:43:36Z,2024-08-21T23:43:36Z,Mobile,SAVE20,2024-08-14T23:43:36Z,Free Shipping,80.251.105.6,Email,Credit Card,26,0.0
