payment_ref,order_ref,payment_type,gateway_provider,payment_status,gateway_transaction_id,transaction_fee,refund_total,transaction_date,refund_processed_date,payment_amount,currency_code,record_created,customer_ip,billing_country,card_last_four,card_brand,authorization_code,risk_score,retry_attempt
21,21,Gift Card,Stripe,Refunded,pi_18379339752068,0.0,713.32,2024-07-01T22:01:17Z,2024-07-07T22:01:17Z,713.32,USD,2024-07-01T22:01:48Z,116.117.2.34,US,,,,2,0
22,22,PayPal,Braintree,Completed,bt_11891547631,11.94,0.0,2022-09-16T21:21:12Z,,460.45,USD,2022-09-16T21:21:32Z,98.156.145.199,US,,,,58,0
23,23,PayPal,Braintree,Pending,,0.0,0.0,2017-11-16T07:54:22Z,,1546.69,USD,2017-11-16T07:55:00Z,107.127.80.27,US,,,,39,0
24,24,Apple Pay,Braintree,Completed,bt_13842522312,44.46,0.0,2020-08-15T11:13:32Z,,2101.13,USD,2020-08-15T11:14:24Z,62.243.121.77,US,,,,12,0
25,25,PayPal,PayPal,Completed,PAY-12757294916,52.03,0.0,2016-10-13T00:55:52Z,,2821.28,USD,2016-10-13T00:56:28Z,14.152.197.109,US,,,,56,0
26,26,Cash on Delivery,COD,Completed,COD000026,0.0,0.0,2025-08-07T10:59:47Z,,3236.05,USD,2025-08-07T10:59:56Z,34.142.115.16,US,,,,19,0
27,27,Credit Card,Braintree,Completed,bt_33003169591,279.76,0.0,2025-10-05T16:32:15Z,,10334.04,USD,2025-10-05T16:32:18Z,52.94.129.69,US,2485,MasterCard,AUTH-255926,55,0
28,28,PayPal,Braintree,Completed,bt_91106330414,51.47,0.0,2025-11-10T06:18:30Z,,2554.4,USD,2025-11-10T06:18:51Z,95.34.110.167,US,,,,0,1
29,29,Credit Card,Square,Refunded,sq_84398328110748,58.42,1715.77,2024-10-15T10:20:29Z,2024-10-20T10:20:29Z,1715.77,USD,2024-10-15T10:21:17Z,17.47.23.133,CA,8085,American Express,,28,0
30,30,Credit Card,Stripe,Completed,pi_95700456890727,137.47,0.0,2025-12-14T06:53:08Z,,6594.01,USD,2025-12-14T06:53:59Z,79.17.209.165,US,8307,American Express,AUTH-851993,20,0
31,31,Credit Card,Stripe,Completed,pi_29812428141276,222.74,0.0,2025-11-08T19:42:00Z,,6645.07,USD,2025-11-08T19:43:00Z,138.133.104.124,US,9470,American Express,AUTH-432353,16,0
32,32,Credit Card,Authorize.net,Completed,AUTH598468903,356.16,0.0,2024-11-01T15:30:07Z,,15629.84,USD,2024-11-01T15:30:37Z,174.98.101.159,US,5951,Discover,AUTH-111630,71,0
33,33,Credit Card,Stripe,Completed,pi_14050690231710,23.31,0.0,2024-04-30T04:18:44Z,,1004.3,USD,2024-04-30T04:19:15Z,161.30.207.218,US,7427,MasterCard,AUTH-419957,2,1
34,34,Gift Card,Stripe,Refunded,pi_38114327163602,0.0,10832.39,2024-04-30T04:05:19Z,2024-05-11T04:05:19Z,10832.39,USD,2024-04-30T04:06:14Z,206.45.82.153,US,,,,74,0
35,35,Apple Pay,Stripe,Pending,,0.0,0.0,2024-04-30T03:16:45Z,,1784.67,USD,2024-04-30T03:17:41Z,88.88.29.109,US,,,,37,0
36,36,Apple Pay,Adyen,Refunded,ADY1921027355375,156.07,4729.47,2024-09-26T11:47:45Z,2024-09-30T11:47:45Z,4729.47,USD,2024-09-26T11:48:16Z,218.101.187.34,US,,,,16,0
37,37,PayPal,Braintree,Completed,bt_26213949217,12.9,0.0,2025-02-03T13:25:35Z,,730.88,USD,2025-02-03T13:26:21Z,23.125.173.54,US,,,,13,0
38,38,PayPal,PayPal,Pending,,0.0,0.0,2025-10-21T18:58:55Z,,2955.3,USD,2025-10-21T18:59:53Z,200.156.154.210,US,,,,2,0
39,39,PayPal,Braintree,Completed,bt_27128091309,51.31,0.0,2025-04-02T18:06:10Z,,2122.87,USD,2025-04-02T18:07:10Z,131.164.11.90,CA,,,,48,0
40,40,Credit Card,Stripe,Refunded,pi_24562818335160,234.58,6831.35,2021-05-25T23:33:23Z,2021-06-06T23:33:23Z,6831.35,USD,2021-05-25T23:33:40Z,129.121.207.219,CA,5066,Visa,,7,0
41,41,Credit Card,Authorize.net,Refunded,AUTH202643323,187.12,8395.03,2022-12-27T10:17:54Z,2023-01-07T10:17:54Z,8395.03,USD,2022-12-27T10:18:03Z,100.106.130.75,CA,4468,MasterCard,,36,0
42,42,Apple Pay,Braintree,Completed,bt_45405787292,239.5,0.0,2025-07-05T19:30:15Z,,12186.57,USD,2025-07-05T19:30:45Z,76.234.112.129,US,,,,19,1
43,43,Gift Card,Square,Completed,sq_38817984776769,0.0,0.0,2025-08-22T21:17:25Z,,5594.29,USD,2025-08-22T21:17:28Z,141.36.126.102,US,,,,51,2
44,44,Apple Pay,Square,Completed,sq_31093145858965,43.99,0.0,2023-03-01T09:28:23Z,,1788.68,USD,2023-03-01T09:28:51Z,124.94.137.204,US,,,,44,1
45,45,Credit Card,Square,Refunded,sq_56639210293985,16.51,789.65,2023-03-01T08:25:27Z,2023-03-03T08:25:27Z,789.65,USD,2023-03-01T08:25:40Z,145.92.141.152,US,7207,Visa,,20,0
46,46,Apple Pay,Stripe,Partially Refunded,pi_73364995370006,96.1,3106.44,2025-01-11T06:02:52Z,2025-01-15T06:02:52Z,3219.72,USD,2025-01-11T06:03:32Z,198.64.163.8,US,,,,12,0
47,47,Cash on Delivery,COD,Refunded,COD000047,0.0,1203.19,2022-02-06T06:40:34Z,2022-02-16T06:40:34Z,1203.19,USD,2022-02-06T06:40:35Z,46.108.21.181,US,,,,7,0
48,48,Credit Card,Adyen,Completed,ADY4843690317293,148.14,0.0,2025-02-11T00:46:58Z,,9845.81,USD,2025-02-11T00:47:00Z,77.154.167.227,US,1987,Visa,AUTH-620626,26,0
49,49,Gift Card,Stripe,Refunded,pi_75537005799439,0.0,2427.52,2021-02-11T10:04:50Z,2021-02-20T10:04:50Z,2427.52,USD,2021-02-11T10:05:13Z,108.231.181.40,US,,,,40,0
50,50,Cash on Delivery,COD,Completed,COD000050,0.0,0.0,2025-07-15T22:39:39Z,,6420.83,USD,2025-07-15T22:40:21Z,4.69.18.185,US,,,,10,0
51,51,Credit Card,Stripe,Completed,pi_53890920290673,45.58,0.0,2025-01-31T13:34:12Z,,2118.42,USD,2025-01-31T13:35:04Z,38.83.139.149,US,4700,MasterCard,AUTH-614431,6,0
52,52,PayPal,Braintree,Completed,bt_54464343166,83.58,0.0,2024-02-03T20:30:09Z,,2993.38,USD,2024-02-03T20:30:44Z,74.34.235.74,US,,,,33,1
53,53,Credit Card,Braintree,Completed,bt_95730961282,11.46,0.0,2020-12-28T06:07:06Z,,408.42,USD,2020-12-28T06:07:30Z,62.90.89.22,US,4383,JCB,AUTH-491328,29,1
54,54,Gift Card,Stripe,Completed,pi_41422267557989,0.0,0.0,2024-11-01T00:45:01Z,,2468.0,USD,2024-11-01T00:45:54Z,206.20.137.133,US,,,,10,0
55,55,PayPal,PayPal,Completed,PAY-34236334077,49.99,0.0,2023-07-25T07:42:31Z,,1961.12,USD,2023-07-25T07:42:54Z,151.11.157.114,US,,,,17,0
56,56,Credit Card,Braintree,Completed,bt_63362323509,37.11,0.0,2025-02-14T21:01:15Z,,1989.13,USD,2025-02-14T21:01:55Z,135.219.204.247,US,8255,Visa,AUTH-805302,18,0
57,57,Apple Pay,Square,Completed,sq_28117898296307,88.25,0.0,2025-02-14T19:01:05Z,,3732.07,USD,2025-02-14T19:01:57Z,75.57.157.21,US,,,,33,0
58,58,Credit Card,Braintree,Completed,bt_95286400614,48.54,0.0,2023-09-08T05:12:34Z,,1960.77,USD,2023-09-08T05:12:48Z,216.31.110.48,US,1055,American Express,AUTH-674031,7,0
59,59,Apple Pay,Square,Completed,sq_68853206573526,114.64,0.0,2024-08-05T10:53:21Z,,7289.31,USD,2024-08-05T10:53:52Z,130.19.186.234,US,,,,12,0
60,60,Cash on Delivery,COD,Completed,COD000060,0.0,0.0,2019-10-31T13:52:30Z,,2523.73,USD,2019-10-31T13:53:07Z,119.173.95.61,US,,,,13,0
61,61,Credit Card,Adyen,Completed,ADY8045941198276,35.59,0.0,2022-09-03T05:41:46Z,,1376.74,USD,2022-09-03T05:41:55Z,47.99.142.167,CA,9118,JCB,AUTH-958786,28,0
62,62,Credit Card,Square,Completed,sq_56569807867966,19.78,0.0,2022-09-03T04:37:46Z,,658.88,USD,2022-09-03T04:38:16Z,30.148.14.26,CA,8188,American Express,AUTH-632961,35,1
63,63,Credit Card,Braintree,Completed,bt_56713688803,17.62,0.0,2025-11-13T14:20:08Z,,1091.75,USD,2025-11-13T14:21:06Z,8.107.38.44,US,3422,MasterCard,AUTH-590097,17,0
64,64,Credit Card,Authorize.net,Completed,AUTH976477970,6.49,0.0,2025-07-17T15:58:47Z,,397.4,USD,2025-07-17T15:58:52Z,115.54.238.42,US,8806,Visa,AUTH-346837,13,0
65,65,Credit Card,Braintree,Completed,bt_55366650679,48.27,0.0,2024-01-30T23:45:00Z,,2198.08,USD,2024-01-30T23:45:54Z,185.54.115.174,US,3595,Visa,AUTH-644939,28,0
66,66,Credit Card,Authorize.net,Completed,AUTH484545861,8.79,0.0,2022-11-16T04:23:40Z,,267.41,USD,2022-11-16T04:24:07Z,185.156.194.132,US,3353,Visa,AUTH-122388,23,0
67,67,PayPal,Braintree,Completed,bt_57433136043,30.08,0.0,2023-10-14T00:02:35Z,,1404.29,USD,2023-10-14T00:02:55Z,133.144.162.143,US,,,,44,0
68,68,Credit Card,Braintree,Completed,bt_62985550914,90.62,0.0,2025-09-19T08:03:32Z,,4246.5,USD,2025-09-19T08:04:01Z,89.238.71.130,US,4606,MasterCard,AUTH-362629,5,0
69,69,PayPal,Braintree,Completed,bt_32417911913,24.53,0.0,2025-09-19T11:10:02Z,,1470.41,USD,2025-09-19T11:10:17Z,200.143.154.106,US,,,,4,0
70,70,Credit Card,Stripe,Completed,pi_83873455986968,210.3,0.0,2024-06-30T21:03:08Z,,10017.63,USD,2024-06-30T21:04:03Z,66.130.178.138,US,5435,Visa,AUTH-266322,53,0
71,71,Credit Card,Square,Completed,sq_75295219187064,121.75,0.0,2024-07-12T12:46:43Z,,4323.57,USD,2024-07-12T12:46:54Z,149.97.107.78,US,5368,MasterCard,AUTH-298618,45,0
72,72,PayPal,Braintree,Completed,bt_43438687561,153.11,0.0,2025-12-13T09:41:43Z,,5114.67,USD,2025-12-13T09:41:56Z,81.195.15.117,US,,,,32,2
73,73,Credit Card,Braintree,Completed,bt_24531717946,88.39,0.0,2025-12-20T20:15:59Z,,2536.22,USD,2025-12-20T20:16:28Z,18.138.113.199,US,3589,American Express,AUTH-886761,15,0
74,74,Credit Card,Adyen,Completed,ADY8505286227414,145.24,0.0,2025-10-20T21:45:02Z,,5605.36,USD,2025-10-20T21:45:40Z,5.77.243.129,US,2181,Visa,AUTH-604363,16,0
75,75,Gift Card,Stripe,Completed,pi_81971096702311,0.0,0.0,2025-08-26T22:15:22Z,,5761.78,USD,2025-08-26T22:16:01Z,215.204.74.188,US,,,,40,0
76,76,Credit Card,Stripe,Completed,pi_29777170704182,264.71,0.0,2023-10-11T16:17:39Z,,8713.16,USD,2023-10-11T16:17:48Z,162.36.33.32,US,4333,Visa,AUTH-193434,18,0
77,77,Gift Card,Square,Partially Refunded,sq_88412819254800,0.0,2004.29,2024-09-08T15:52:33Z,2024-09-20T15:52:33Z,2322.34,USD,2024-09-08T15:53:20Z,66.80.119.89,US,,,,0,0
78,78,PayPal,Braintree,Completed,bt_20812956545,33.53,0.0,2025-08-24T20:09:47Z,,1993.2,USD,2025-08-24T20:10:32Z,173.154.245.79,CA,,,,33,0
79,79,Apple Pay,Stripe,Completed,pi_96706419138962,67.17,0.0,2025-05-06T14:49:55Z,,2279.24,USD,2025-05-06T14:50:25Z,87.56.189.165,US,,,,9,0
80,80,Credit Card,Stripe,Pending,,0.0,0.0,2025-05-27T14:14:59Z,,237.64,USD,2025-05-27T14:15:20Z,196.170.89.198,US,9068,American Express,,14,0
81,81,Credit Card,Square,Completed,sq_72833786760037,80.3,0.0,2016-11-30T15:23:11Z,,2341.39,USD,2016-11-30T15:23:35Z,56.159.148.222,US,7251,Visa,AUTH-345485,17,0
82,82,PayPal,Braintree,Completed,bt_56177243084,13.44,0.0,2024-03-24T11:12:47Z,,584.78,USD,2024-03-24T11:13:17Z,1.201.207.212,US,,,,16,0
83,83,Credit Card,Braintree,Completed,bt_12345150453,158.25,0.0,2021-01-18T11:03:56Z,,5708.66,USD,2021-01-18T11:04:45Z,60.96.96.95,US,9070,Discover,AUTH-588614,1,0
84,84,Cash on Delivery,COD,Completed,COD000084,0.0,0.0,2022-12-10T17:28:39Z,,4431.75,USD,2022-12-10T17:29:19Z,63.170.144.140,US,,,,18,0
85,85,Credit Card,Stripe,Pending,,0.0,0.0,2018-03-06T10:19:28Z,,2155.3,USD,2018-03-06T10:20:15Z,40.59.11.63,US,9422,American Express,,20,0
86,86,Gift Card,Square,Completed,sq_96899824063908,0.0,0.0,2024-05-15T02:52:36Z,,2248.95,USD,2024-05-15T02:52:47Z,222.47.162.146,US,,,,6,0
87,87,Gift Card,Square,Completed,sq_66123975848947,0.0,0.0,2025-05-19T20:53:07Z,,3966.95,USD,2025-05-19T20:53:35Z,216.236.254.194,US,,,,38,0
88,88,Credit Card,Adyen,Completed,ADY1690119396860,227.65,0.0,2022-08-08T03:45:57Z,,6620.14,USD,2022-08-08T03:46:44Z,202.85.194.118,US,4737,Visa,AUTH-558962,7,0
89,89,Credit Card,Adyen,Completed,ADY4906910374547,83.6,0.0,2024-03-31T04:19:37Z,,3218.39,USD,2024-03-31T04:20:21Z,189.93.138.16,US,2244,Visa,AUTH-407778,17,0
90,90,Credit Card,Authorize.net,Completed,AUTH234844812,64.1,0.0,2021-10-10T10:40:01Z,,3292.47,USD,2021-10-10T10:40:56Z,15.130.129.222,US,1087,MasterCard,AUTH-184203,57,0
91,91,PayPal,PayPal,Completed,PAY-74075757198,61.16,0.0,2022-03-17T14:03:01Z,,2243.16,USD,2022-03-17T14:03:47Z,201.195.24.47,CA,,,,15,1
92,92,PayPal,PayPal,Refunded,PAY-87330283109,162.47,5757.12,2023-07-10T08:22:48Z,2023-07-22T08:22:48Z,5757.12,USD,2023-07-10T08:23:23Z,170.213.49.203,CA,,,,10,0
93,93,PayPal,Braintree,Completed,bt_60282270870,186.64,0.0,2025-12-18T19:04:32Z,,9893.96,USD,2025-12-18T19:04:43Z,118.15.15.252,CA,,,,79,1
94,94,Apple Pay,Square,Completed,sq_22878441246985,112.76,0.0,2021-02-25T18:49:14Z,,5142.29,USD,2021-02-25T18:49:22Z,134.10.140.3,US,,,,74,0
95,95,Credit Card,Braintree,Refunded,bt_89213999054,245.43,7697.83,2016-12-02T20:11:30Z,2016-12-11T20:11:30Z,7697.83,USD,2016-12-02T20:11:52Z,59.39.91.209,US,4490,Visa,,22,0
96,96,Apple Pay,Braintree,Completed,bt_58791193781,135.11,0.0,2024-01-09T19:59:26Z,,4830.71,USD,2024-01-09T20:00:26Z,126.45.181.238,US,,,,0,0
97,97,Apple Pay,Adyen,Partially Refunded,ADY5275517873366,149.33,6377.07,2024-01-09T22:19:33Z,2024-01-17T22:19:33Z,7103.23,USD,2024-01-09T22:20:18Z,187.119.9.60,US,,,,3,0
98,98,Credit Card,Adyen,Pending,,0.0,0.0,2024-01-09T21:52:17Z,,2111.96,USD,2024-01-09T21:52:29Z,189.240.157.59,US,7288,JCB,,52,0
99,99,Gift Card,Square,Completed,sq_18096468356700,0.0,0.0,2025-12-06T16:49:53Z,,9067.6,USD,2025-12-06T16:50:26Z,177.139.253.180,CA,,,,23,0
100,100,Credit Card,Square,Completed,sq_55318064284170,133.15,0.0,2025-10-26T14:40:59Z,,5272.23,USD,2025-10-26T14:41:43Z,206.107.240.151,CA,7282,American Express,AUTH-652605,3,1
101,101,Credit Card,Braintree,Completed,bt_60347997653,27.0,0.0,2025-10-26T16:54:18Z,,1178.38,USD,2025-10-26T16:55:17Z,14.141.170.35,CA,2433,Discover,AUTH-844100,20,0
102,102,Credit Card,Square,Completed,sq_93775661437426,219.66,0.0,2025-02-12T03:36:37Z,,7117.39,USD,2025-02-12T03:37:32Z,123.94.244.14,CA,2894,MasterCard,AUTH-102251,15,0
103,103,PayPal,Braintree,Refunded,bt_83826451106,19.62,835.69,2025-09-20T02:35:28Z,2025-09-29T02:35:28Z,835.69,USD,2025-09-20T02:35:42Z,88.104.200.168,US,,,,9,0
104,104,PayPal,PayPal,Refunded,PAY-80541765948,158.58,7759.94,2025-12-12T16:08:30Z,2025-12-17T16:08:30Z,7759.94,USD,2025-12-12T16:09:07Z,172.54.20.133,US,,,,40,0
105,105,Apple Pay,Square,Completed,sq_67337228572616,151.36,0.0,2025-12-13T02:19:21Z,,4793.62,USD,2025-12-13T02:19:40Z,68.236.45.136,US,,,,38,0
106,106,Gift Card,Square,Completed,sq_11910493164642,0.0,0.0,2025-04-30T06:10:48Z,,5792.06,USD,2025-04-30T06:10:49Z,169.120.249.129,US,,,,43,0
107,107,PayPal,PayPal,Completed,PAY-51730468436,75.97,0.0,2024-10-16T19:56:26Z,,3413.98,USD,2024-10-16T19:57:15Z,207.179.230.150,US,,,,12,0
108,108,PayPal,Braintree,Completed,bt_28171221302,103.11,0.0,2021-06-25T10:02:17Z,,4756.28,USD,2021-06-25T10:02:54Z,133.35.95.180,US,,,,16,0
109,109,Credit Card,Adyen,Completed,ADY1059679440474,161.45,0.0,2024-08-14T23:38:36Z,,8368.34,USD,2024-08-14T23:38:37Z,80.251.105.6,US,7068,Discover,AUTH-546630,28,0
110,110,Credit Card,Stripe,Completed,pi_98149680622340,52.94,0.0,2025-08-16T15:30:52Z,,1715.49,USD,2025-08-16T15:31:18Z,59.160.124.103,US,3293,Visa,AUTH-970499,25,0
111,111,Apple Pay,Braintree,Pending,,0.0,0.0,2025-12-01T06:09:52Z,,2008.93,USD,2025-12-01T06:09:54Z,137.210.120.102,US,,,,39,0
112,112,PayPal,PayPal,Completed,PAY-48415568024,59.06,0.0,2025-11-25T08:58:44Z,,3349.21,USD,2025-11-25T08:59:33Z,72.63.179.235,US,,,,1,0
113,113,Credit Card,Authorize.net,Partially Refunded,AUTH426074075,171.45,4993.21,2025-12-08T22:20:47Z,2025-12-18T22:20:47Z,5053.51,USD,2025-12-08T22:21:15Z,149.35.36.162,CA,9579,Visa,,31,0
114,114,Credit Card,Square,Completed,sq_89563763588436,157.64,0.0,2022-05-07T09:58:30Z,,5505.28,USD,2022-05-07T09:59:14Z,6.131.124.35,CA,7190,MasterCard,AUTH-657007,16,1
115,115,PayPal,Braintree,Refunded,bt_74085667165,20.28,1266.14,2022-05-07T07:03:52Z,2022-05-11T07:03:52Z,1266.14,USD,2022-05-07T07:04:27Z,199.30.188.117,CA,,,,0,0
116,116,PayPal,Braintree,Completed,bt_89945234106,197.73,0.0,2025-12-02T00:15:50Z,,7957.92,USD,2025-12-02T00:16:37Z,72.208.211.162,US,,,,13,2
117,117,Credit Card,Stripe,Completed,pi_42795511492407,111.36,0.0,2023-12-02T15:07:45Z,,3347.77,USD,2023-12-02T15:08:25Z,219.64.199.11,US,3708,Visa,AUTH-487162,7,0
118,118,Cash on Delivery,COD,Completed,COD000118,0.0,0.0,2018-04-12T16:50:21Z,,11459.36,USD,2018-04-12T16:50:56Z,17.44.178.39,US,,,,5,0
119,119,Credit Card,Authorize.net,Completed,AUTH669394652,26.37,0.0,2021-01-28T00:08:42Z,,756.48,USD,2021-01-28T00:08:53Z,200.131.225.98,US,9877,MasterCard,AUTH-564334,20,0
120,120,Credit Card,Square,Completed,sq_59449757898217,131.55,0.0,2025-11-08T21:45:16Z,,4765.38,USD,2025-11-08T21:45:40Z,74.151.200.180,CA,3800,Visa,AUTH-159538,34,0
121,121,Credit Card,Braintree,Refunded,bt_43394843085,9.39,390.66,2025-11-28T17:27:26Z,2025-12-08T17:27:26Z,390.66,USD,2025-11-28T17:27:56Z,178.89.92.251,CA,7948,Visa,,12,0
122,122,PayPal,PayPal,Completed,PAY-18487116719,93.85,0.0,2025-05-14T12:16:31Z,,2700.97,USD,2025-05-14T12:17:11Z,220.182.20.82,CA,,,,6,1
123,123,Credit Card,Authorize.net,Completed,AUTH742145878,65.13,0.0,2021-05-25T02:06:34Z,,4211.79,USD,2021-05-25T02:07:01Z,108.164.235.177,US,7825,American Express,AUTH-886805,55,0
124,124,Credit Card,Adyen,Completed,ADY6208121387865,80.85,0.0,2025-04-23T00:35:56Z,,3810.6,USD,2025-04-23T00:36:21Z,40.98.112.127,US,2904,Visa,AUTH-146396,18,1
125,125,Credit Card,Stripe,Completed,pi_94934537569181,86.78,0.0,2021-03-22T05:26:53Z,,3457.29,USD,2021-03-22T05:27:10Z,57.22.115.111,US,7357,Visa,AUTH-611353,29,0
126,126,Credit Card,Authorize.net,Refunded,AUTH652649150,3.57,156.69,2022-04-19T21:19:05Z,2022-04-21T21:19:05Z,156.69,USD,2022-04-19T21:19:41Z,163.205.185.92,US,4168,Visa,,37,0
127,127,PayPal,Braintree,Completed,bt_22886680909,12.34,0.0,2021-12-26T14:09:28Z,,346.92,USD,2021-12-26T14:09:48Z,89.5.244.128,US,,,,1,0
128,128,Credit Card,Stripe,Completed,pi_87224456108358,40.12,0.0,2025-12-01T15:29:11Z,,2452.41,USD,2025-12-01T15:29:35Z,124.171.206.202,US,2489,MasterCard,AUTH-498550,20,0
129,129,PayPal,Braintree,Completed,bt_66283283249,72.64,0.0,2025-10-26T12:40:41Z,,2891.95,USD,2025-10-26T12:41:02Z,132.58.159.167,US,,,,17,0
130,130,Credit Card,Stripe,Completed,pi_38930134574171,198.52,0.0,2022-12-06T14:55:00Z,,5978.49,USD,2022-12-06T14:55:39Z,27.12.54.146,US,6303,American Express,AUTH-892444,31,0
131,131,Credit Card,Authorize.net,Completed,AUTH204958013,44.82,0.0,2024-02-04T03:25:19Z,,2061.55,USD,2024-02-04T03:25:28Z,77.215.197.227,US,6523,Visa,AUTH-302500,39,0
132,132,Gift Card,Stripe,Completed,pi_65776240157336,0.0,0.0,2025-01-29T15:36:36Z,,853.41,USD,2025-01-29T15:36:37Z,166.44.230.210,US,,,,20,0
133,133,Gift Card,Stripe,Partially Refunded,pi_12671762523128,0.0,1190.48,2025-07-03T05:45:50Z,2025-07-09T05:45:50Z,1338.61,USD,2025-07-03T05:46:23Z,91.225.85.172,CA,,,,5,0
134,134,Credit Card,Square,Completed,sq_72451505502744,68.92,0.0,2023-01-04T20:11:51Z,,2253.72,USD,2023-01-04T20:11:58Z,4.236.9.112,CA,6659,Visa,AUTH-701052,75,0
135,135,Apple Pay,Stripe,Completed,pi_32568141077853,3.63,0.0,2021-05-19T13:59:51Z,,175.57,USD,2021-05-19T14:00:40Z,50.112.111.56,US,,,,28,0
136,136,Credit Card,Square,Completed,sq_97968755022183,241.08,0.0,2022-05-10T06:06:01Z,,10026.63,USD,2022-05-10T06:06:38Z,124.176.238.187,US,2040,American Express,AUTH-438477,27,0
137,137,Credit Card,Authorize.net,Completed,AUTH435051522,70.97,0.0,2021-01-06T22:59:52Z,,3502.23,USD,2021-01-06T22:59:53Z,130.196.1.225,US,7733,Visa,AUTH-309147,49,0
138,138,Credit Card,Stripe,Completed,pi_79407539242365,42.45,0.0,2023-08-03T14:00:08Z,,1723.15,USD,2023-08-03T14:01:05Z,43.6.38.72,US,7245,MasterCard,AUTH-962874,39,0
139,139,PayPal,PayPal,Completed,PAY-30232322553,116.13,0.0,2025-07-22T22:52:58Z,,6382.73,USD,2025-07-22T22:53:11Z,152.242.146.98,US,,,,18,0
