prod_id,product_name,stock_code,category_ref,cat_name,sub_cat,brand,unit_cost,retail_price,release_date,weight,dimensions,color,size,material,availability_status,inventory_qty,digital_product,avg_customer_rating,review_count,discount_pct
25,Columbia Yoga Block Set,COL-YOGA-00025,75,Yoga & Pilates,Bestseller,Columbia,25.18,38.31,2020-03-05,3.9,30.7x73.9x19.1,,,,Active,262,False,4.0,1813,0
26,Pantene Cologne,PAN-FRAG-00026,35,Fragrances,New Arrivals,Pantene,71.09,168.66,2020-10-22,9.39,61.9x35.7x44.3,Red,,,Active,73,False,3.1,1073,15
27,Mystery of Time DVD Collection,HAR-MOVI-00027,39,Movies,,HarperCollins,75.15,172.77,2023-11-27,0.0,,Navy,,,Active,298,True,4.2,141,40
28,Kelloggs Granola Bars,KEL-SNAC-00028,45,Snacks,,Kelloggs,26.97,70.02,2026-05-07,5.09,64.2x27.0x29.9,,,,Pre-order,0,False,0.0,0,0
29,Nature Made Vitamin C,NAT-VITA-00029,53,Vitamins,Bestseller,Nature Made,93.39,214.58,2024-05-09,8.72,51.9x59.4x41.9,Navy,,,Active,289,False,4.0,657,0
30,JBL Smart Band,JBL-WEAR-00030,15,Wearable Technology,,JBL,78.18,105.05,2020-02-23,2.54,93.5x66.7x52.1,Gold,1TB,Aluminum,Active,266,False,4.0,151,0
31,Weber Wall Art Print,WEB-HOME-00031,26,Home Decor,,Weber,209.89,374.54,2016-08-27,40.09,65.4x62.2x55.8,,,Plastic,Active,238,False,4.2,1591,0
32,Canon iPhone 8 256GB Orange,CAN-IPHO-00032,57,iPhone,,Canon,509.55,1091.24,2025-05-11,3.93,56.5x57.3x50.3,Space Gray,512GB,Plastic,Discontinued,16,False,4.7,1212,56
33,Columbia Mountain Bike Silver,COL-CYCL-00033,31,Cycling,,Columbia,55.74,164.27,2022-07-10,5.37,61.4x26.9x9.5,,,,Active,163,False,3.2,1311,0
34,"Canon XPS 15.6"" Ultrabook",CAN-ULTR-00034,61,Ultrabooks,,Canon,347.31,927.22,2019-03-20,2.0,95.0x72.3x19.6,Black,512GB,Glass,Active,56,False,4.1,1322,30
35,Journey Home by Robert Brown Paperback,RAN-FICT-00035,36,Fiction,Featured,Random House,37.84,81.18,2026-04-11,0.0,,Rose Gold,,,Pre-order,0,True,0.0,0,0
36,Nikon Portable Speaker Red,NIK-SPEA-00036,63,Speakers,,Nikon,568.62,729.93,2021-06-20,1.38,33.7x29.5x8.9,Black,,Carbon Fiber,Active,429,False,4.6,1151,0
37,Coleman Hiking Backpack Red,COL-OUTD-00037,28,Outdoor Recreation,,Coleman,186.46,425.93,2026-04-22,3.88,35.9x33.6x48.8,,,,Pre-order,0,False,0.0,0,0
38,Coca-Cola Organic Table,COC-ORGA-00038,48,Organic Foods,Seasonal,Coca-Cola,18.55,35.24,2016-05-20,8.83,35.1x47.7x46.6,Silver,,,Active,372,False,3.9,1816,0
39,New Balance Mens Dress Shirt Pink S,NEW-MENS-00039,64,Mens Shirts,Seasonal,New Balance,98.1,202.31,2022-12-20,0.1,68.3x6.1x43.6,Yellow,XS,Cotton,Active,29,False,2.9,253,30
40,Omron First Aid Kit,OMR-MEDI-00040,55,Medical Supplies,Seasonal,Omron,38.05,108.2,2022-01-09,6.75,18.8x48.4x57.0,Navy,,,Active,125,False,3.6,439,0
41,Under Armour Bike Home Gym,UND-EXER-00041,27,Exercise Equipment,Featured,Under Armour,139.38,399.92,2020-10-19,9.54,46.7x79.8x50.9,Orange,,,Active,135,False,4.1,40,0
42,Schwinn Sleeping Bag,SCH-OUTD-00042,28,Outdoor Recreation,,Schwinn,169.27,305.51,2016-01-11,5.74,63.6x36.8x4.5,Blue,,,Active,144,False,3.9,1909,0
43,"Garmin XPS 17"" Ultrabook",GAR-ULTR-00043,61,Ultrabooks,,Garmin,215.22,467.7,2021-10-30,0.41,35.9x41.3x45.5,White,512GB,Stainless Steel,Active,166,False,3.9,1492,0
44,Sony Portable Speaker Space Gray,SON-SPEA-00044,63,Speakers,,Sony,377.19,555.92,2018-05-25,4.6,54.9x45.2x29.2,Silver,,Plastic,Active,310,False,4.1,1956,0
45,Nerf Doll House Set,NER-DOLL-00045,43,Dolls,Bestseller,Nerf,64.17,86.15,2025-05-27,8.82,56.6x50.4x16.2,Orange,,,Active,88,False,4.2,305,0
46,The Band Album Vinyl Record,WAR-MUSI-00046,38,Music,Featured,Warner Bros,33.16,41.19,2020-09-17,0.0,,Blue,,,Out of Stock,0,True,3.9,334,0
47,Apple Standard Ultra 128GB Gold,APP-SMAR-00047,11,Smartphones,,Apple,654.11,1395.69,2021-05-14,0.35,29.7x77.1x6.1,Black,,Plastic,Active,493,False,4.2,1728,0
48,Nintendo Building Block Set,NIN-BUIL-00048,42,Building Sets,,Nintendo,59.02,170.33,2016-04-23,2.43,99.5x58.1x18.3,Purple,,,Active,264,False,4.8,1171,0
49,The North Face Bike Helmet Blue,THE-CYCL-00049,31,Cycling,,The North Face,127.26,373.5,2023-07-08,3.91,10.6x32.6x57.8,,,,Discontinued,18,False,4.3,1199,54
50,iRobot TV Stand Metal,IRO-LIVI-00050,70,Living Room Furniture,Bestseller,iRobot,105.2,168.61,2018-01-25,31.86,61.0x21.0x41.9,,,,Active,263,False,3.5,1603,5
51,Fitbit Bluetooth Speaker Gold,FIT-SPEA-00051,63,Speakers,,Fitbit,729.45,907.49,2017-07-18,2.44,22.9x22.7x7.9,Blue,512GB,Carbon Fiber,Active,151,False,4.0,1006,0
52,Kraft Green Tea,KRA-BEVE-00052,46,Beverages,Bestseller,Kraft,26.23,65.61,2019-05-03,4.12,56.7x20.9x13.3,,,,Active,489,False,4.0,1393,15
53,3M Tool Box,3M-TOOL-00053,51,Tools,,3M,259.96,613.67,2026-02-19,0.8,42.9x55.5x14.1,Purple,,,Pre-order,0,False,0.0,0,0
54,The North Face Soccer Ball,THE-TEAM-00054,29,Team Sports,Featured,The North Face,97.81,193.63,2024-08-08,1.39,32.6x15.4x48.8,Rose Gold,,,Discontinued,6,False,3.6,508,67
55,Williams-Sonoma Outdoor Planter Beige,WIL-GARD-00055,25,Garden Supplies,,Williams-Sonoma,376.05,518.12,2023-11-20,35.42,11.0x66.2x53.9,Space Gray,,Plastic,Out of Stock,0,False,4.7,1534,0
56,Philips Vitamin C,PHI-VITA-00056,53,Vitamins,Bestseller,Philips,138.75,245.83,2024-08-01,6.38,99.9x11.5x26.5,,,,Active,98,False,3.1,1,0
57,Jazz Ensemble CD Collection Edition,WAR-MUSI-00057,38,Music,Featured,Warner Bros,54.32,72.46,2019-04-14,0.0,,Red,,,Out of Stock,0,True,4.1,1321,0
58,"Bose Legion Gaming Laptop 27""",BOS-GAMI-00058,59,Gaming Laptops,,Bose,145.88,415.58,2025-07-18,1.49,38.6x66.9x14.7,Gold,512GB,Stainless Steel,Active,446,False,0.0,0,0
59,Estee Lauder Eyeshadow Palette,EST-MAKE-00059,33,Makeup,Featured,Estee Lauder,140.81,374.28,2022-07-10,3.44,95.9x78.2x16.3,Gray,,,Archive,10,False,4.0,3,15
60,Pottery Barn Ergonomic Office Chair,POT-OFFI-00060,72,Office Furniture,,Pottery Barn,323.25,856.18,2022-07-11,9.32,97.9x33.4x26.6,,,,Active,152,False,4.6,1603,30
61,PepsiCo Olive Oil,PEP-PANT-00061,47,Pantry Staples,Seasonal,PepsiCo,27.4,71.35,2018-02-12,4.7,78.0x78.3x24.3,,,,Archive,14,False,4.8,5,0
62,Calvin Klein Kids Jacket Pink,CAL-KIDS-00062,19,Kids Clothing,Bestseller,Calvin Klein,12.74,36.15,2021-01-23,0.37,8.0x70.9x41.8,Orange,XS,Linen,Active,498,False,3.1,5,0
63,Patagonia Fitness Chair,PAT-EXER-00063,27,Exercise Equipment,Featured,Patagonia,113.75,249.1,2023-09-13,2.62,62.4x39.5x42.7,Beige,,,Active,233,False,0.0,0,0
64,Trek Sleeping Bag,TRE-OUTD-00064,28,Outdoor Recreation,,Trek,90.64,190.47,2019-06-29,5.59,78.1x77.0x25.8,Blue,,,Out of Stock,0,False,3.9,693,0
65,Goodyear Floor Mats,GOO-CARA-00065,50,Car Accessories,New Arrivals,Goodyear,104.9,269.54,2026-01-01,2.92,10.4x71.1x27.7,,,,Pre-order,0,False,0.0,0,0
66,REI Weight Bench,REI-STRE-00066,74,Strength Training,Seasonal,REI,113.03,257.05,2022-10-23,9.55,98.1x72.8x19.8,Blue,,,Archive,18,False,4.2,1,15
67,Journey Home Blu-ray,SIM-MOVI-00067,39,Movies,,Simon & Schuster,35.4,55.37,2024-06-25,0.0,,Blue,,,Archive,6,True,3.2,3,0
68,Scotts Bedroom Shirt Metal,SCO-FURN-00068,22,Furniture,,Scotts,192.04,506.4,2016-11-29,10.51,76.4x78.4x24.0,Space Gray,,Leather,Active,165,False,4.4,1541,40
69,Barbie Doll House Set,BAR-DOLL-00069,43,Dolls,Bestseller,Barbie,45.19,78.7,2024-02-01,6.01,13.3x14.8x28.4,Black,,,Archive,10,False,3.0,2,25
70,Coleman Soccer Ball,COL-TEAM-00070,29,Team Sports,Featured,Coleman,69.39,143.38,2016-12-29,9.44,12.4x16.5x9.5,Beige,,,Active,450,False,4.9,422,0
71,Adidas Yoga Mat Orange,ADI-YOGA-00071,75,Yoga & Pilates,Bestseller,Adidas,71.54,194.47,2024-09-16,1.34,25.0x42.5x41.2,,,,Active,456,False,4.3,1804,5
72,Pottery Barn Queen Bed Frame Fabric,POT-BEDR-00072,71,Bedroom Furniture,New Arrivals,Pottery Barn,207.65,380.08,2018-07-27,25.84,64.8x6.2x41.3,Gray,,,Active,484,False,4.5,958,5
73,Michelin Tool Box,MIC-TOOL-00073,51,Tools,,Michelin,89.17,262.76,2024-07-17,4.33,40.8x75.4x16.3,,,,Active,87,False,3.9,1424,0
74,MAC Cologne,MAC-FRAG-00074,35,Fragrances,New Arrivals,MAC,16.82,49.52,2016-07-26,9.85,33.3x62.5x40.8,Beige,,,Out of Stock,0,False,3.9,1949,0
75,The North Face Basketball,THE-TEAM-00075,29,Team Sports,Featured,The North Face,90.96,177.8,2023-08-09,4.74,49.0x79.3x12.9,,,,Active,93,False,4.0,610,0
76,Fisher-Price Science Experiment Set,FIS-EDUC-00076,44,Educational Toys,Seasonal,Fisher-Price,22.12,38.86,2019-12-13,5.23,46.4x10.3x34.0,Purple,,,Discontinued,9,False,5.0,1602,58
77,Optimum Nutrition First Aid Kit,OPT-MEDI-00077,55,Medical Supplies,Seasonal,Optimum Nutrition,133.11,371.46,2026-06-03,9.04,66.2x50.7x35.9,Silver,,,Pre-order,0,False,0.0,0,0
78,Microsoft iPhone 6 Pro Max 256GB,MIC-IPHO-00078,57,iPhone,,Microsoft,314.99,409.2,2022-04-15,0.55,81.7x56.7x37.7,Space Gray,128GB,Carbon Fiber,Active,354,False,3.7,1304,0
79,Under Armour Fitness Shirt,UND-EXER-00079,27,Exercise Equipment,Featured,Under Armour,188.57,399.29,2023-02-12,6.94,60.0x27.8x9.6,Orange,,,Active,296,False,5.0,104,0
80,Trek Snorkel Set,TRE-WATE-00080,30,Water Sports,,Trek,23.98,35.03,2025-03-18,3.89,22.6x14.9x37.0,Orange,,,Discontinued,2,False,3.9,514,27
81,Patagonia Swim Goggles,PAT-WATE-00081,30,Water Sports,,Patagonia,182.37,546.33,2023-11-20,1.32,43.9x60.5x42.1,,,,Active,122,False,3.4,9,0
82,Mattel Construction Kit,MAT-BUIL-00082,42,Building Sets,,Mattel,72.96,185.91,2023-05-14,6.52,98.7x53.3x18.8,,,,Discontinued,8,False,3.9,863,27
83,Bose DSLR Camera Body,BOS-CAME-00083,14,Cameras,,Bose,660.73,1594.77,2023-07-23,0.51,77.2x21.1x20.0,Space Gray,256GB,Plastic,Active,42,False,3.9,999,0
84,Tommy Hilfiger Kids Jacket White,TOM-KIDS-00084,19,Kids Clothing,Bestseller,Tommy Hilfiger,37.4,110.59,2023-12-24,1.47,50.4x19.5x50.9,Rose Gold,S,Wool,Active,302,False,3.7,1207,50
85,Pottery Barn Dresser Leather,POT-BEDR-00085,71,Bedroom Furniture,New Arrivals,Pottery Barn,93.59,260.34,2017-08-30,40.19,49.7x60.9x11.7,Black,,,Active,298,False,3.5,29,0
86,Solo Artist CD Collection,SIM-MUSI-00086,38,Music,Featured,Simon & Schuster,61.17,83.94,2026-03-16,0.0,,,,,Pre-order,0,True,0.0,0,0
87,LEGO Building Block Set,LEG-BUIL-00087,42,Building Sets,,LEGO,46.3,135.55,2024-02-13,3.36,24.7x42.7x55.8,Gray,,,Active,30,False,3.9,357,0
88,Nestle Organic Cabinet,NES-ORGA-00088,48,Organic Foods,Seasonal,Nestle,6.5,10.03,2018-12-04,7.66,50.0x11.2x40.8,Gray,,,Active,131,False,3.5,923,0
89,Williams-Sonoma Lawn Mower V2,WIL-GARD-00089,25,Garden Supplies,,Williams-Sonoma,75.32,119.8,2025-05-01,35.17,90.2x59.5x23.8,Red,,Leather,Active,150,False,3.8,795,0
90,Cuisinart Garden Tool Set,CUI-GARD-00090,25,Garden Supplies,,Cuisinart,330.46,924.36,2026-04-03,3.55,28.8x63.3x9.5,,,,Pre-order,0,False,0.0,0,0
91,"Canon Legion Gaming Laptop 27""",CAN-GAMI-00091,59,Gaming Laptops,,Canon,235.28,371.94,2026-06-19,3.97,85.2x72.4x55.6,Space Gray,1TB,Glass,Pre-order,0,False,0.0,0,0
92,Lenovo Latitude T480,LEN-BUSI-00092,60,Business Laptops,,Lenovo,547.06,1326.17,2017-10-09,0.17,40.9x17.7x54.6,White,,Carbon Fiber,Active,244,False,4.3,1765,0
93,Crate & Barrel Bedroom Shelf Metal,CRA-FURN-00093,22,Furniture,,Crate & Barrel,129.37,233.5,2016-12-19,2.97,68.6x80.0x35.1,Gray,,Glass,Active,463,False,4.8,1283,0
94,Maybelline Cologne,MAY-FRAG-00094,35,Fragrances,New Arrivals,Maybelline,114.68,212.19,2019-11-16,3.73,74.4x76.8x56.5,,,,Active,477,False,3.7,1752,20
95,The Great Adventure Hardcover Edition,HAR-FICT-00095,36,Fiction,Featured,HarperCollins,18.66,27.41,2017-05-17,0.0,,Space Gray,,,Active,277,True,3.4,369,0
96,Zara Mens Polo Shirt Gray,ZAR-MENS-00096,64,Mens Shirts,Seasonal,Zara,10.64,27.88,2026-06-20,1.56,94.8x69.3x55.8,Black,M,Cotton,Pre-order,0,False,0.0,0,0
97,Tommy Hilfiger Baseball Cap Black,TOM-ACCE-00097,21,Accessories,,Tommy Hilfiger,102.21,153.84,2018-01-01,1.39,62.8x63.8x46.8,Beige,S,Wool,Active,226,False,4.1,62,40
98,General Mills Green Tea,GEN-BEVE-00098,46,Beverages,Bestseller,General Mills,17.88,48.86,2018-07-15,7.21,78.5x11.2x34.8,Green,,,Active,464,False,4.3,448,0
99,Yeti Bike Home Gym,YET-EXER-00099,27,Exercise Equipment,Featured,Yeti,94.46,154.43,2020-09-13,3.3,44.0x61.7x56.3,,,,Active,394,False,2.6,117,0
100,Under Armour Classic Table Space Gray,UND-MENS-00100,17,Mens Clothing,New Arrivals,Under Armour,117.27,192.27,2022-05-15,1.81,24.7x30.6x39.8,Brown,XS,Linen,Active,321,False,3.4,1042,50
101,Michelin Interior Cleaner,MIC-CARC-00101,52,Car Care,Featured,Michelin,94.93,229.31,2026-03-28,5.99,75.6x30.0x16.5,,,,Pre-order,0,False,0.0,0,0
102,Nikon Latitude 7000,NIK-BUSI-00102,60,Business Laptops,,Nikon,96.81,126.15,2022-02-24,2.57,83.1x37.0x38.0,Gold,,Plastic,Active,134,False,3.6,226,10
103,LOreal Face Moisturizer,LOR-SKIN-00103,32,Skincare,,LOreal,116.25,199.22,2024-05-19,2.86,5.7x50.4x31.6,Silver,,,Active,82,False,4.5,419,0
104,KitchenAid Dresser Metal,KIT-BEDR-00104,71,Bedroom Furniture,New Arrivals,KitchenAid,225.38,662.21,2023-03-10,6.99,58.6x41.9x49.0,Navy,,Bamboo,Active,269,False,3.9,5,15
105,Optimum Nutrition Pulse Oximeter,OPT-WELL-00105,56,Wellness Devices,,Optimum Nutrition,24.74,59.27,2019-12-22,9.75,86.6x47.6x27.3,,,,Discontinued,13,False,3.3,1622,41
106,Journey Home Hardcover Edition,UNI-FICT-00106,36,Fiction,Featured,Universal,38.94,64.69,2021-11-12,0.0,,,,,Discontinued,15,True,3.9,1487,31
107,LOreal Cologne,LOR-FRAG-00107,35,Fragrances,New Arrivals,LOreal,64.86,137.83,2026-01-23,9.25,92.3x9.3x42.2,Beige,,,Pre-order,0,False,0.0,0,0
108,Asus iPhone 13 64GB Silver,ASU-IPHO-00108,57,iPhone,,Asus,374.01,703.07,2024-03-05,0.64,12.1x39.9x9.4,White,,Stainless Steel,Out of Stock,0,False,4.5,1171,0
109,"Logitech Spectre x360 17""",LOG-ULTR-00109,61,Ultrabooks,,Logitech,763.39,1805.93,2020-07-23,1.12,88.5x18.6x3.7,Silver,,Carbon Fiber,Active,133,False,3.8,278,50
110,Fitbit Whey Protein,FIT-FITN-00110,54,Fitness Supplements,Bestseller,Fitbit,48.57,86.95,2021-06-21,6.49,52.1x20.9x34.2,Gold,,,Archive,18,False,4.8,1,0
111,Dove Eyeshadow Palette,DOV-MAKE-00111,33,Makeup,Featured,Dove,44.86,109.37,2026-05-17,8.09,89.6x56.0x35.5,,,,Pre-order,0,False,0.0,0,0
112,"Apple ThinkPad E14 17""",APP-BUSI-00112,60,Business Laptops,,Apple,108.33,269.95,2023-05-28,2.95,24.8x50.2x6.8,Gold,32GB,Carbon Fiber,Active,35,False,4.2,278,0
113,The North Face Yoga Mat Rose Gold,THE-YOGA-00113,75,Yoga & Pilates,Bestseller,The North Face,39.22,77.01,2017-12-26,3.63,8.1x75.5x21.6,Purple,,,Active,81,False,4.0,202,0
114,Fitbit Smart Band,FIT-WEAR-00114,15,Wearable Technology,,Fitbit,749.97,1372.81,2022-11-26,1.95,54.1x44.3x55.2,Silver,1TB,Stainless Steel,Active,305,False,3.9,87,0
115,Zara Womens Blouse White S,ZAR-TOPS-00115,68,Tops,,Zara,85.19,214.62,2016-11-21,0.77,61.2x27.2x14.4,Purple,XXL,Leather,Active,142,False,4.4,527,0
116,Cuisinart Wall Art Print,CUI-HOME-00116,26,Home Decor,,Cuisinart,459.25,1364.06,2022-05-06,40.03,90.4x19.0x54.9,Space Gray,,,Active,52,False,3.2,985,0
117,Nature Made Thermometer,NAT-MEDI-00117,55,Medical Supplies,Seasonal,Nature Made,107.83,267.53,2024-12-22,2.78,28.1x39.1x54.2,Blue,,,Active,34,False,4.5,302,0
118,Neutrogena Hair Dryer,NEU-HAIR-00118,34,Hair Care,Bestseller,Neutrogena,100.53,228.49,2023-05-02,5.47,59.9x74.2x16.7,Black,,,Discontinued,16,False,3.3,109,32
119,Kelloggs Granola Bars 96,KEL-SNAC-00119,45,Snacks,,Kelloggs,39.34,52.15,2016-12-24,7.27,67.1x32.2x48.9,,,,Active,234,False,4.1,1285,0
120,Ralph Lauren Mens Winter Coat Orange,RAL-MENS-00120,66,Mens Outerwear,Seasonal,Ralph Lauren,69.16,153.88,2026-02-14,1.12,52.4x34.1x28.4,Black,M,Silk,Pre-order,0,False,0.0,0,0
121,Asus Digital Camera Space Gray,ASU-CAME-00121,14,Cameras,,Asus,482.14,1065.16,2020-07-04,4.84,82.6x13.4x24.0,White,,Glass,Archive,5,False,3.0,1,40
122,Asus Noise Cancelling Headphones,ASU-HEAD-00122,62,Headphones,Seasonal,Asus,744.66,1011.53,2024-10-29,0.24,45.9x8.5x52.4,White,,Stainless Steel,Active,321,False,3.8,1026,30
123,Under Armour Classic Pants Purple,UND-MENS-00123,17,Mens Clothing,New Arrivals,Under Armour,19.22,25.53,2024-03-17,0.89,93.3x52.1x14.3,Green,XXL,Nylon,Active,121,False,3.9,1171,0
124,Schwinn Bike Helmet Green,SCH-CYCL-00124,31,Cycling,,Schwinn,185.43,508.49,2018-08-17,3.12,56.7x15.4x59.5,,,,Active,313,False,4.8,1555,0
125,Columbia Mountain Bike Red,COL-CYCL-00125,31,Cycling,,Columbia,81.58,178.22,2026-04-03,9.37,54.6x63.8x54.5,Brown,,,Pre-order,0,False,0.0,0,0
126,Dell Galaxy S5 64GB Red,DEL-ANDR-00126,58,Android Phones,,Dell,132.93,294.12,2017-05-29,2.5,12.6x14.0x3.1,White,,Stainless Steel,Archive,2,False,4.5,1,25
127,Cuisinart TV Stand Fabric,CUI-LIVI-00127,70,Living Room Furniture,Bestseller,Cuisinart,465.99,1314.77,2018-11-17,35.52,26.6x77.6x43.4,Rose Gold,,Bamboo,Active,126,False,3.3,198,0
128,PepsiCo Olive Oil 68,PEP-PANT-00128,47,Pantry Staples,Seasonal,PepsiCo,27.34,58.64,2016-10-07,3.98,27.9x37.7x47.3,Pink,,,Out of Stock,0,False,3.9,1597,0
129,Bose iPhone 3 512GB Orange,BOS-IPHO-00129,57,iPhone,,Bose,344.05,844.76,2017-05-28,0.19,69.7x65.1x28.9,Gold,512GB,Glass,Active,142,False,3.9,872,0
130,Zara Womens Jeans Pink M,ZAR-WOME-00130,69,Womens Pants,Featured,Zara,84.94,172.92,2017-10-07,1.18,76.2x30.2x42.7,Beige,L,Nylon,Active,447,False,4.4,192,0
131,"Samsung ThinkPad 5000 13""",SAM-BUSI-00131,60,Business Laptops,,Samsung,472.56,1310.4,2020-04-20,3.05,75.8x75.2x34.5,White,,Carbon Fiber,Archive,17,False,4.6,1,0
132,Solo Artist CD Collection V2,RAN-MUSI-00132,38,Music,Featured,Random House,67.42,194.71,2017-02-17,0.0,,,,,Active,96,True,3.5,1032,0
133,Apple Gaming Controller Silver,APP-GAMI-00133,16,Gaming,Bestseller,Apple,768.18,1272.84,2016-10-22,3.57,19.1x17.8x16.1,Gold,256GB,Aluminum,Out of Stock,0,False,4.3,1397,0
134,Scotts Queen Bed Frame Leather,SCO-BEDR-00134,71,Bedroom Furniture,New Arrivals,Scotts,330.39,455.38,2022-04-27,31.68,94.4x58.7x51.7,Brown,,Metal,Active,44,False,4.1,521,10
135,Coca-Cola Green Tea,COC-BEVE-00135,46,Beverages,Bestseller,Coca-Cola,14.95,22.17,2023-11-07,0.78,6.2x62.3x15.5,,,,Active,83,False,4.8,5,0
136,Coleman Dumbbell Set,COL-STRE-00136,74,Strength Training,Seasonal,Coleman,110.79,275.99,2025-07-10,7.44,23.9x71.9x49.0,,,,Active,453,False,3.2,667,0
137,"Garmin ROG Gaming Laptop 13"" 64GB",GAR-GAMI-00137,59,Gaming Laptops,,Garmin,524.1,1202.11,2019-03-13,1.52,98.4x52.9x43.7,Space Gray,,Stainless Steel,Active,172,False,4.5,654,50
