order_id,customer_id,order_status,subtotal,tax_amount,shipping_cost,total_discount,total_amount,currency,order_placed_at,order_shipped_at,order_delivered_at,total_product_price,total_quantity,avg_product_price,max_item_discount,unique_products_ordered,total_discount_from_items,order_placed_year,order_placed_month,order_placed_quarter,order_placed_day_of_week,order_placed_week_of_year,order_placed_day_of_month,order_shipped_year,order_shipped_month,order_shipped_quarter,order_shipped_day_of_week,order_shipped_week_of_year,order_shipped_day_of_month,order_delivered_year,order_delivered_month,order_delivered_quarter,order_delivered_day_of_week,order_delivered_week_of_year,order_delivered_day_of_month,order_processing_seconds_diff,order_processing_minutes_diff,order_processing_hours_diff,order_processing_days_diff,order_processing_weeks_diff,order_processing_months_diff,order_processing_years_diff,delivery_seconds_diff,delivery_minutes_diff,delivery_hours_diff,delivery_days_diff,delivery_weeks_diff,delivery_months_diff,delivery_years_diff,total_order_fulfillment_time_seconds,total_order_fulfillment_time_minutes,total_order_fulfillment_time_hours,total_order_fulfillment_time_days,total_order_fulfillment_time_weeks,total_order_fulfillment_time_months,total_order_fulfillment_time_years,order_profit,net_revenue,net_profit,discount_percentage,average_item_value,cost_per_item,order_size_category,season
142,116,Delivered,2225.24,191.89,0.0,631.24,2417.13,USD,2025-10-10 15:55:17,2025-10-11,2025-10-18,652.0999999999999,10,56.163333333333334,8.18,3,8.18,2025,10,4,6,41,10,2025.0,10.0,4.0,7.0,41.0,11.0,2025.0,10.0,4.0,7.0,42.0,18.0,29083,484,8,1,0.14285714285714285,0.03333333333333333,0.0027397260273972603,604800,10080,168,7,1.0,0.23333333333333334,0.019178082191780823,633883,10564,176,8,1.1428571428571428,0.26666666666666666,0.021917808219178082,652.0999999999999,652.0999999999999,652.0999999999999,1.2388683588780516,65.21,0.0,Large,Fall
6,117,Shipped,863.09,49.34,14.7,215.77,927.13,USD,2025-11-15 19:56:17,2025-11-15,,863.0900000000001,6,179.81,215.77,1,215.77,2025,11,4,7,46,15,2025.0,11.0,4.0,7.0,46.0,15.0,,,,,,,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,863.0900000000001,848.3900000000001,848.3900000000001,19.999814619135012,143.84833333333336,0.0,Medium,Fall
78,125,Delivered,3251.68,231.21,20.16,0.0,3503.05,USD,2025-01-27 08:00:23,2025-01-29,2025-02-03,3251.6800000000003,7,396.90000000000003,0.0,3,0.0,2025,1,1,2,5,27,2025.0,1.0,1.0,4.0,5.0,29.0,2025.0,2.0,1.0,2.0,6.0,3.0,143977,2399,39,2,0.2857142857142857,0.06666666666666667,0.005479452054794521,432000,7200,120,5,0.7142857142857143,0.16666666666666666,0.0136986301369863,575977,9599,159,7,1.0,0.23333333333333334,0.01917808219178082,3251.6800000000003,3231.5200000000004,3231.5200000000004,0.0,464.52571428571434,0.0,Large,Winter
40,127,Shipped,672.95,92.43,7.74,598.09,773.12,USD,2025-01-30 12:37:44,2025-01-30,,672.95,5,134.59,0.0,1,0.0,2025,1,1,5,5,30,2025.0,1.0,1.0,5.0,5.0,30.0,,,,,,,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,672.95,665.21,665.21,0.0,134.59,0.0,Medium,Winter
99,128,Processing,1473.68,129.18,6.72,160.65,1609.58,USD,2025-11-19 16:48:55,,,1473.68,3,544.7766666666666,160.65,3,160.65,2025,11,4,4,47,19,,,,,,,,,,,,,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1473.68,1466.96,1466.96,9.829716152796559,491.2266666666667,0.0,Medium,Fall
113,129,Delivered,741.36,63.13,8.87,393.63,813.36,USD,2022-05-18 17:32:09,2022-05-21,2022-05-24,241.46999999999997,2,150.92,60.37,1,60.37,2022,5,2,4,20,18,2022.0,5.0,2.0,7.0,20.0,21.0,2022.0,5.0,2.0,3.0,21.0,24.0,196071,3267,54,3,0.42857142857142855,0.1,0.00821917808219178,259200,4320,72,3,0.42857142857142855,0.1,0.00821917808219178,455271,7587,126,6,0.8571428571428571,0.2,0.01643835616438356,241.46999999999997,232.59999999999997,232.59999999999997,20.00066260270342,120.73499999999999,0.0,Small,Spring
60,135,Cancelled,2554.27,234.2,6.9,587.36,2795.37,USD,2025-07-20 10:34:18,,,2047.57,6,319.0166666666667,254.17,3,254.17,2025,7,3,1,29,20,,,,,,,,,,,,,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,2047.57,2040.6699999999998,2040.6699999999998,11.042515662064352,341.26166666666666,0.0,Medium,Summer
138,136,Delivered,166.63,17.34,21.74,0.0,205.71,USD,2025-09-30 04:13:23,2025-10-02,2025-10-04,166.63,1,166.63,0.0,1,0.0,2025,9,3,3,40,30,2025.0,10.0,4.0,5.0,40.0,2.0,2025.0,10.0,4.0,7.0,40.0,4.0,157597,2626,43,2,0.2857142857142857,0.06666666666666667,0.005479452054794521,172800,2880,48,2,0.2857142857142857,0.06666666666666667,0.005479452054794521,330397,5506,91,4,0.5714285714285714,0.13333333333333333,0.010958904109589041,166.63,144.89,144.89,0.0,166.63,0.0,Small,Fall
12,150,Delivered,853.04,72.39,15.69,0.0,941.12,USD,2023-11-14 21:29:49,2023-11-16,2023-11-18,853.04,8,116.74666666666667,0.0,3,0.0,2023,11,4,3,46,14,2023.0,11.0,4.0,5.0,46.0,16.0,2023.0,11.0,4.0,7.0,46.0,18.0,95411,1590,26,2,0.2857142857142857,0.06666666666666667,0.005479452054794521,172800,2880,48,2,0.2857142857142857,0.06666666666666667,0.005479452054794521,268211,4470,74,4,0.5714285714285714,0.13333333333333333,0.010958904109589041,853.04,837.3499999999999,837.3499999999999,0.0,106.63,0.0,Large,Fall
103,150,Delivered,1185.64,133.21,21.82,35.87,1340.67,USD,2023-11-14 07:29:49,2023-11-16,2023-11-20,1185.6399999999999,11,121.86333333333334,35.87,3,35.87,2023,11,4,3,46,14,2023.0,11.0,4.0,5.0,46.0,16.0,2023.0,11.0,4.0,2.0,47.0,20.0,145811,2430,40,2,0.2857142857142857,0.06666666666666667,0.005479452054794521,345600,5760,96,4,0.5714285714285714,0.13333333333333333,0.010958904109589041,491411,8190,136,6,0.8571428571428571,0.2,0.016438356164383564,1185.6399999999999,1163.82,1163.82,2.9365293775736587,107.78545454545453,0.0,Large,Fall
51,167,Returned,1761.86,96.08,14.67,203.98,1872.61,USD,2022-07-14 00:39:04,2022-07-15,2022-07-20,1761.8600000000001,4,491.46000000000004,203.98,2,203.98,2022,7,3,5,28,14,2022.0,7.0,3.0,6.0,28.0,15.0,2022.0,7.0,3.0,4.0,29.0,20.0,84056,1400,23,1,0.14285714285714285,0.03333333333333333,0.0027397260273972603,432000,7200,120,5,0.7142857142857143,0.16666666666666666,0.0136986301369863,516056,8600,143,6,0.8571428571428572,0.19999999999999998,0.01643835616438356,1761.8600000000001,1747.19,1747.19,10.37622593903878,440.46500000000003,0.0,Medium,Summer
27,169,Cancelled,1213.6,72.12,0.0,0.0,1285.72,USD,2023-03-01 20:31:29,,,1213.6000000000001,8,94.69666666666666,0.0,3,0.0,2023,3,1,4,9,1,,,,,,,,,,,,,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1213.6000000000001,1213.6000000000001,1213.6000000000001,0.0,151.70000000000002,0.0,Large,Spring
112,175,Pending,1039.18,95.8,0.0,0.0,1134.98,USD,2019-12-25 06:24:21,,,1034.94,5,194.67,0.0,3,0.0,2019,12,4,4,52,25,,,,,,,,,,,,,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1034.94,1034.94,1034.94,0.0,206.988,0.0,Medium,Winter
33,180,Delivered,378.88,23.29,29.49,37.73,431.66,USD,2023-09-06 14:41:57,2023-09-08,2023-09-10,378.88,3,113.98,37.73,2,37.73,2023,9,3,4,36,6,2023.0,9.0,3.0,6.0,36.0,8.0,2023.0,9.0,3.0,1.0,36.0,10.0,119883,1998,33,2,0.2857142857142857,0.06666666666666667,0.005479452054794521,172800,2880,48,2,0.2857142857142857,0.06666666666666667,0.005479452054794521,292683,4878,81,4,0.5714285714285714,0.13333333333333333,0.010958904109589041,378.88,349.39,349.39,9.056431674707758,126.29333333333334,0.0,Medium,Fall
49,181,Processing,169.9,20.21,23.78,5.59,213.89,USD,2020-09-24 05:41:13,,,147.53,1,147.53,0.0,1,0.0,2020,9,3,5,39,24,,,,,,,,,,,,,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,147.53,123.75,123.75,0.0,147.53,0.0,Small,Fall
20,185,Delivered,2365.29,211.43,29.06,91.69,2605.78,USD,2024-10-29 07:10:52,2024-10-29,2024-11-04,2365.29,6,475.22,91.69,3,91.69,2024,10,4,3,44,29,2024.0,10.0,4.0,3.0,44.0,29.0,2024.0,11.0,4.0,2.0,45.0,4.0,0,0,0,0,0.0,0.0,0.0,518400,8640,144,6,0.8571428571428571,0.2,0.01643835616438356,518400,8640,144,6,0.8571428571428571,0.2,0.01643835616438356,2365.29,2336.23,2336.23,3.731817108808374,394.215,0.0,Medium,Fall
16,187,Delivered,1146.1,78.44,24.29,18.89,1248.83,USD,2024-03-28 14:33:36,2024-03-30,2024-04-02,1146.1000000000001,8,238.46500000000003,18.89,4,18.89,2024,3,1,5,13,28,2024.0,3.0,1.0,7.0,13.0,30.0,2024.0,4.0,2.0,3.0,14.0,2.0,120384,2006,33,2,0.2857142857142857,0.06666666666666667,0.005479452054794521,259200,4320,72,3,0.42857142857142855,0.1,0.00821917808219178,379584,6326,105,5,0.7142857142857142,0.16666666666666669,0.0136986301369863,1146.1000000000001,1121.8100000000002,1121.8100000000002,1.6214731456922378,143.26250000000002,0.0,Large,Spring
24,194,Shipped,3167.34,167.62,22.85,12.7,3357.81,USD,2024-12-19 17:22:54,2024-12-21,,3167.34,4,572.33,12.7,2,12.7,2024,12,4,5,51,19,2024.0,12.0,4.0,7.0,51.0,21.0,,,,,,,110226,1837,30,2,0.2857142857142857,0.06666666666666667,0.005479452054794521,0,0,0,0,0.0,0.0,0.0,110226,1837,30,2,0.2857142857142857,0.06666666666666667,0.005479452054794521,3167.34,3144.4900000000002,3144.4900000000002,0.3993660457101168,791.835,0.0,Medium,Winter
89,199,Processing,658.93,62.23,0.0,93.66,721.16,USD,2025-02-26 10:20:03,,,658.9300000000001,5,181.88,93.66,2,93.66,2025,2,1,4,9,26,,,,,,,,,,,,,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,658.9300000000001,658.9300000000001,658.9300000000001,12.445023186595622,131.786,0.0,Medium,Winter
76,204,Delivered,1837.01,161.57,0.0,44.6,1998.58,USD,2018-06-13 16:16:51,2018-06-14,2018-06-20,357.87,6,82.295,44.6,2,44.6,2018,6,2,4,24,13,2018.0,6.0,2.0,5.0,24.0,14.0,2018.0,6.0,2.0,4.0,25.0,20.0,27789,463,7,1,0.14285714285714285,0.03333333333333333,0.0027397260273972603,518400,8640,144,6,0.8571428571428571,0.2,0.01643835616438356,546189,9103,151,7,1.0,0.23333333333333334,0.01917808219178082,357.87,357.87,357.87,11.081571297239545,59.645,0.0,Medium,Summer
102,204,Delivered,1083.56,76.85,9.19,400.82,1169.6,USD,2019-08-19 20:41:08,2019-08-20,2019-08-25,1083.56,2,742.19,285.06,2,400.82,2019,8,3,2,34,19,2019.0,8.0,3.0,3.0,34.0,20.0,2019.0,8.0,3.0,1.0,34.0,25.0,11932,198,3,1,0.14285714285714285,0.03333333333333333,0.0027397260273972603,432000,7200,120,5,0.7142857142857143,0.16666666666666666,0.0136986301369863,443932,7398,123,6,0.8571428571428572,0.19999999999999998,0.01643835616438356,1083.56,1074.37,1074.37,27.002519570460393,541.78,0.0,Small,Summer
