supplier_id,supplier_rating,supplier_status,is_preferred,is_verified,contract_start_date,contract_end_date,city,state,zip_code,country,total_products_supplied,total_revenue_generated,total_units_sold,total_orders_fulfilled,avg_profit_margin,avg_product_rating,total_reviews,total_stock_value,avg_stock_quantity,avg_restock_lead_time,contract_status_flag,days_until_contract_expiry,contract_duration_days,revenue_per_product,avg_order_value,avg_units_per_product,supplier_performance_score,stock_efficiency_ratio,supplier_reliability_score,total_stockouts,stockout_rate,supplier_inventory_health_score
37,1.9,Inactive,False,True,2021-08-28,2024-05-18,Unknown,Berlin,96482.0,DE,0,0.0,0,0,,0.0,0,0.0,,,Expired,-613,994,,,,,,2.09,0,0.0,100.0
38,4.36,Inactive,False,True,2020-01-30,2023-06-16,Strasbourg,Unknown,17553.0,FR,0,0.0,0,0,,0.0,0,0.0,,,Expired,-950,1233,,,,,,4.796000000000001,3,21.428571428571427,75.0
39,4.39,Inactive,False,True,2022-04-13,2025-01-18,Austin,GA,75840.0,US,0,0.0,0,0,,0.0,0,0.0,,,Expired,-368,1011,,,,,,4.829,7,43.75,50.0
40,3.33,Inactive,False,True,2020-10-01,2025-09-26,London,England,,GB,0,0.0,0,0,,0.0,0,0.0,,,Expired,-117,1821,,,,,,3.6630000000000003,2,33.33333333333333,58.333333333333336
41,1.13,Inactive,False,True,2021-06-09,2022-11-09,Unknown,North Rhine-Westphalia,20327.0,DE,0,0.0,0,0,,0.0,0,0.0,,,Expired,-1169,518,,,,,,1.2429999999999999,4,50.0,43.75
43,3.83,Inactive,False,False,2018-01-22,2020-06-17,Los Angeles,CA,92051.0,US,0,0.0,0,0,,0.0,0,0.0,,,Expired,-2044,877,,,,,,3.83,5,45.45454545454545,36.36363636363636
44,3.65,Active,False,True,2021-07-17,2026-01-21,Frankfurt,Berlin,10853.0,DE,0,0.0,0,0,,0.0,0,0.0,,,Active,0,1649,,,,,,4.015000000000001,1,14.285714285714285,71.42857142857143
45,4.41,Inactive,False,False,2019-07-19,2022-05-03,Detroit,PA,55876.0,US,0,0.0,0,0,,0.0,0,0.0,,,Expired,-1359,1019,,,,,,4.41,4,28.57142857142857,64.28571428571429
46,4.24,Active,False,True,2022-06-24,2026-01-21,San Diego,NY,81232.0,US,0,0.0,0,0,,0.0,0,0.0,,,Active,0,1307,,,,,,4.664000000000001,3,27.27272727272727,72.72727272727273
47,4.24,Inactive,False,True,2019-03-29,2023-11-26,Toronto,QC,,CA,0,0.0,0,0,,0.0,0,0.0,,,Expired,-787,1703,,,,,,4.664000000000001,5,31.25,65.625
48,4.38,Active,False,True,2024-02-23,2026-01-21,Fort Worth,AZ,14494.0,US,0,0.0,0,0,,0.0,0,0.0,,,Active,0,698,,,,,,4.8180000000000005,5,41.66666666666667,58.33333333333333
49,4.54,Inactive,False,False,2018-07-27,2023-05-03,Vancouver,NS,,CA,0,0.0,0,0,,0.0,0,0.0,,,Expired,-994,1741,,,,,,4.54,4,50.0,50.0
50,4.82,Inactive,False,True,2018-12-26,2020-08-12,Bordeaux,Nouvelle-Aquitaine,31563.0,FR,0,0.0,0,0,,0.0,0,0.0,,,Expired,-1988,595,,,,,,5.3020000000000005,2,18.181818181818183,72.72727272727272
