product_id,current_stock,available_stock,avg_stock_quantity,reorder_point_breach_count,stockout_frequency,storage_cost_per_unit,last_restock_date,reserved_quantity,minimum_stock_level,storage_cost,supplier_id,cost_price,avg_daily_sales,total_cogs,stock_status,days_of_supply,inventory_turnover_ratio,days_since_restock,stock_health_score,reorder_urgency
56,0,0,0.0,1,1,0.0,2025-02-22,0,16,12.18,25,0.0,2.0,818.78,Out of Stock,0.0,,333,0,Critical
57,12,12,12.0,0,0,0.2925,2025-10-28,0,0,3.51,13,0.0,,,Overstock,,,85,75,Low
58,69,48,81.0,0,0,0.009420289855072464,2025-09-26,21,5,0.65,1,0.0,5.0,342.0,Overstock,13.8,4.222222222222222,117,75,Low
59,0,0,0.0,2,2,0.0,2025-09-10,0,13,9.03,12,0.0,1.0,234.15,Out of Stock,0.0,,133,0,Critical
61,363,329,219.5,0,0,0.003085399449035813,2025-07-21,34,23,1.12,38,0.0,,,Overstock,,,184,75,Low
62,3,1,3.0,0,0,5.473333333333334,2025-12-15,2,0,16.42,14,0.0,,,Overstock,,,37,75,Low
63,43,26,43.0,0,0,0.16488372093023254,2025-10-05,17,20,7.09,37,0.0,,,Adequate,,,108,100,Low
64,293,248,293.0,0,0,0.0021501706484641637,2025-12-02,45,21,0.63,43,0.0,3.0,231.39000000000001,Overstock,97.66666666666667,0.789726962457338,50,75,Low
65,66,37,108.5,0,0,0.02090909090909091,2025-10-04,29,23,1.38,20,0.0,,,Adequate,,,109,100,Low
66,1,0,6.5,0,0,1.39,2025-11-16,1,0,1.39,1,0.0,,,Overstock,,,66,75,Low
67,1,0,1.0,0,0,1.03,2025-12-11,1,0,1.03,48,0.0,,,Overstock,,,41,75,Low
68,184,153,184.0,0,0,0.01875,2025-07-18,31,14,3.45,21,0.0,,,Overstock,,,187,75,Low
69,412,390,357.0,0,0,0.0036650485436893203,2025-08-10,22,18,1.51,25,0.0,,,Overstock,,,164,75,Low
70,0,0,0.0,1,1,0.0,2025-06-10,0,21,0.62,27,0.0,,,Out of Stock,,,225,0,Critical
71,234,222,234.0,0,0,0.008162393162393162,2025-11-16,12,18,1.91,21,0.0,,,Overstock,,,66,75,Low
72,382,345,194.0,1,0,0.04057591623036649,2025-07-27,37,13,15.5,40,0.0,2.5,2310.05,Overstock,152.8,11.907474226804124,178,75,Low
73,147,104,147.0,0,0,0.015578231292517007,2025-11-01,43,11,2.29,34,0.0,,,Overstock,,,81,75,Low
74,252,223,205.5,0,0,0.021666666666666667,2025-10-13,29,14,5.46,40,0.0,1.0,746.97,Overstock,252.0,3.6348905109489054,100,75,Low
75,146,123,146.0,0,0,0.06479452054794521,2025-11-10,23,9,9.46,21,0.0,2.0,1019.92,Overstock,73.0,6.985753424657534,72,75,Low
76,67,42,67.0,0,0,0.10074626865671642,2025-10-20,25,24,6.75,9,0.0,1.6666666666666667,4016.15,Adequate,40.199999999999996,59.94253731343284,93,100,Low
79,146,132,146.0,0,0,0.007465753424657535,2025-08-31,14,17,1.09,48,0.0,2.0,83.08,Overstock,73.0,0.569041095890411,143,75,Low
80,0,0,0.0,1,1,0.0,2025-04-29,0,10,2.32,36,0.0,,,Out of Stock,,,267,0,Critical
81,0,0,28.5,1,1,0.0,2025-12-22,0,20,3.35,20,0.0,,,Out of Stock,,,30,0,Critical
82,13,10,64.5,1,0,1.3415384615384616,2025-11-14,3,29,17.44,32,0.0,,,Low Stock,,,68,50,Low
83,187,184,216.0,0,0,0.0032085561497326204,2025-11-18,3,28,0.6,2,0.0,,,Overstock,,,64,75,Low
84,343,303,150.0,1,0,0.027696793002915453,2025-11-03,40,11,9.5,3,0.0,,1161.5,Overstock,,7.743333333333333,79,75,Low
85,418,384,418.0,0,0,0.005502392344497608,2025-10-13,34,12,2.3,14,0.0,,,Overstock,,,100,75,Low
86,0,0,34.0,1,1,0.0,2025-11-18,0,18,3.21,47,0.0,,,Out of Stock,,,64,0,Critical
87,285,252,232.5,0,0,0.002,2025-11-12,33,26,0.57,25,0.0,,,Overstock,,,70,75,Low
88,145,136,72.5,1,1,0.011241379310344827,2025-10-10,9,28,1.63,15,0.0,1.0,299.08,Overstock,145.0,4.125241379310345,103,75,Low
89,10,8,180.0,1,0,0.523,2025-11-28,2,28,5.23,13,0.0,1.0,513.91,Low Stock,10.0,2.8550555555555555,54,50,Medium
90,4,4,157.5,1,0,0.7325,2025-11-12,0,15,2.93,1,0.0,1.0,320.90000000000003,Low Stock,4.0,2.037460317460318,70,50,High
91,0,0,0.0,2,2,0.0,2025-08-21,0,15,1.19,27,0.0,3.0,356.82000000000005,Out of Stock,0.0,,153,0,Critical
92,405,385,405.0,0,0,0.027728395061728396,2025-07-24,20,13,11.23,28,0.0,,,Overstock,,,181,75,Low
93,344,308,344.0,0,0,0.03680232558139535,2025-07-29,36,18,12.66,46,0.0,1.0,719.26,Overstock,344.0,2.090872093023256,176,75,Low
94,233,229,298.0,0,0,0.04103004291845494,2025-08-31,4,26,9.56,35,0.0,,,Overstock,,,143,75,Low
95,0,0,0.0,1,1,0.0,2024-12-29,0,27,2.41,47,0.0,,,Out of Stock,,,388,0,Critical
96,378,369,205.0,0,0,0.038835978835978835,2025-12-11,9,5,14.68,31,0.0,2.0,1247.64,Overstock,189.0,6.086048780487805,41,75,Low
97,421,388,301.5,0,0,0.012826603325415678,2025-07-26,33,21,5.4,13,0.0,4.0,491.76,Overstock,105.25,1.631044776119403,179,75,Low
98,94,84,94.0,0,0,0.0875531914893617,2025-11-28,10,7,8.23,22,0.0,,,Overstock,,,54,75,Low
99,122,122,122.0,0,0,0.19508196721311477,2025-11-03,0,27,23.8,5,0.0,5.0,4662.099999999999,Overstock,24.4,38.21393442622951,79,75,Low
100,243,238,167.33333333333334,1,0,0.025802469135802468,2025-10-25,5,22,6.27,16,0.0,,212.59,Overstock,,1.2704581673306772,88,75,Low
102,0,0,0.0,2,2,0.0,2025-10-12,0,26,13.57,17,0.0,1.0,580.65,Out of Stock,0.0,,101,0,Critical
103,9,9,9.0,1,0,1.278888888888889,2025-09-01,0,28,11.51,50,0.0,2.0,817.06,Low Stock,4.5,90.78444444444443,142,50,High
105,447,416,289.5,0,0,0.0012304250559284117,2025-10-31,31,8,0.55,19,0.0,1.5,73.41,Overstock,298.0,0.2535751295336787,82,75,Low
106,12,12,9.5,0,0,1.0425,2025-10-10,0,0,12.51,16,0.0,,,Overstock,,,103,75,Low
107,29,21,118.5,0,0,0.060689655172413794,2025-08-19,8,7,1.76,37,0.0,3.0,252.20999999999998,Overstock,9.666666666666666,2.128354430379747,155,75,Low
108,257,235,257.0,0,0,0.015836575875486383,2025-07-20,22,24,4.07,17,0.0,,,Overstock,,,185,75,Low
109,2,1,2.0,1,0,1.855,2025-11-26,1,5,3.71,39,0.0,5.0,672.95,Low Stock,0.4,336.475,56,50,High
110,431,387,221.0,1,0,0.021044083526682134,2025-11-13,44,27,9.07,18,0.0,,,Overstock,,,69,75,Low
111,0,0,0.0,1,1,0.0,2025-01-08,0,29,12.96,23,0.0,,,Out of Stock,,,378,0,Critical
112,9,5,13.5,0,0,0.5988888888888888,2025-07-21,4,0,5.39,6,0.0,,,Overstock,,,184,75,Low
113,289,264,289.0,0,0,0.006643598615916955,2025-12-17,25,16,1.92,26,0.0,1.0,413.86,Overstock,289.0,1.4320415224913496,35,75,Low
114,202,175,202.0,0,0,0.047425742574257426,2025-08-24,27,26,9.58,26,0.0,1.0,249.98,Overstock,202.0,1.2375247524752475,150,75,Low
116,206,206,206.0,0,0,0.07271844660194175,2025-08-07,0,25,14.98,21,0.0,,,Overstock,,,167,75,Low
117,10,9,10.0,0,0,2.8280000000000003,2025-10-18,1,0,28.28,42,0.0,,,Overstock,,,95,75,Low
118,151,113,151.0,0,0,0.08311258278145696,2025-11-10,38,10,12.55,13,0.0,2.0,1143.28,Overstock,75.5,7.571390728476821,72,75,Low
119,395,358,375.5,0,0,0.021240506329113926,2025-12-11,37,5,8.39,32,0.0,1.0,200.43,Overstock,395.0,0.5337683089214381,41,75,Low
120,447,412,364.5,0,0,0.00814317673378076,2025-09-02,35,20,3.64,1,0.0,,98.3,Overstock,,0.2696844993141289,141,75,Low
121,11,8,137.33333333333334,1,0,0.7654545454545455,2025-12-14,3,21,8.42,47,0.0,,,Low Stock,,,38,50,Low
122,0,0,0.0,1,1,0.0,2025-03-25,0,12,2.78,26,0.0,2.0,203.3,Out of Stock,0.0,,302,0,Critical
123,106,84,60.0,0,0,0.01820754716981132,2025-07-20,22,12,1.93,27,0.0,,,Overstock,,,185,75,Low
124,5,0,192.0,0,0,0.304,2025-08-21,5,5,1.52,9,0.0,1.0,228.97,Adequate,5.0,1.1925520833333334,153,100,Low
125,201,163,201.0,0,0,0.03885572139303482,2025-12-01,38,26,7.81,18,0.0,,,Overstock,,,51,75,Low
127,104,65,52.0,1,1,0.021346153846153848,2025-12-17,39,15,2.22,19,0.0,3.0,312.39,Overstock,34.666666666666664,6.007499999999999,35,75,Low
128,33,28,178.5,0,0,0.11848484848484848,2025-12-23,5,5,3.91,32,0.0,,,Overstock,,,29,75,Low
129,0,0,0.0,1,1,0.0,2025-07-30,0,21,21.68,16,0.0,,,Out of Stock,,,175,0,Critical
130,0,0,0.0,1,1,0.0,2025-05-14,0,23,22.49,48,0.0,2.5,4472.82,Out of Stock,0.0,,252,0,Critical
131,8,5,8.0,1,0,0.06875,2025-08-06,3,20,0.55,43,0.0,,,Low Stock,,,168,50,Low
132,8,6,8.0,1,0,0.94,2025-10-06,2,29,7.52,1,0.0,,,Low Stock,,,107,50,Low
133,10,6,10.0,1,0,0.136,2025-10-06,4,22,1.36,2,0.0,,,Low Stock,,,107,50,Low
134,0,0,0.0,1,1,0.0,2025-01-29,0,19,0.7,47,0.0,,,Out of Stock,,,357,0,Critical
135,348,343,312.0,0,0,0.0031896551724137933,2025-09-30,5,17,1.11,4,0.0,,,Overstock,,,113,75,Low
136,55,42,55.0,0,0,0.08854545454545455,2025-08-31,13,23,4.87,9,0.0,,,Adequate,,,143,100,Low
137,11,9,11.0,1,0,0.05,2025-09-06,2,18,0.55,10,0.0,,,Low Stock,,,137,50,Low
138,455,450,455.0,0,0,0.02457142857142857,2025-07-01,5,20,11.18,22,0.0,,,Overstock,,,204,75,Low
139,276,258,276.0,0,0,0.011195652173913042,2025-12-24,18,14,3.09,4,0.0,2.0,267.66,Overstock,138.0,0.9697826086956522,28,75,Low
140,1,1,1.0,1,0,20.65,2025-07-14,0,25,20.65,44,0.0,1.0,1099.8,Low Stock,1.0,1099.8,191,50,High
142,378,374,336.0,0,0,0.006031746031746031,2025-11-10,4,10,2.28,22,0.0,1.0,523.4399999999999,Overstock,378.0,1.5578571428571426,72,75,Low
144,382,359,382.0,0,0,0.0368848167539267,2025-08-04,23,23,14.09,47,0.0,2.0,2165.86,Overstock,191.0,5.669790575916231,170,75,Low
145,10,6,10.0,0,0,0.453,2025-11-26,4,0,4.53,23,0.0,,,Overstock,,,56,75,Low
146,153,125,153.0,0,0,0.12352941176470587,2025-09-02,28,9,18.9,35,0.0,1.0,367.33,Overstock,153.0,2.400849673202614,141,75,Low
147,0,0,0.0,2,2,0.0,2025-05-05,0,25,1.87,9,0.0,,,Out of Stock,,,261,0,Critical
149,57,48,57.0,0,0,0.035789473684210524,2025-11-11,9,26,2.04,16,0.0,2.0,156.14,Adequate,28.5,2.7392982456140347,71,100,Low
150,297,288,167.5,0,0,0.005858585858585858,2025-09-18,9,16,1.74,15,0.0,,,Overstock,,,125,75,Low
152,10,10,10.0,1,0,0.266,2025-12-13,0,20,2.66,10,0.0,,,Low Stock,,,39,50,Low
153,0,0,0.0,1,1,0.0,2025-01-29,0,19,11.61,19,0.0,3.0,1298.52,Out of Stock,0.0,,357,0,Critical
154,167,147,167.0,0,0,0.029580838323353297,2025-12-18,20,24,4.94,3,0.0,,,Overstock,,,34,75,Low
156,0,0,0.0,2,2,0.0,2025-01-13,0,29,0.74,6,0.0,,,Out of Stock,,,373,0,Critical
157,212,176,212.0,0,0,0.006367924528301887,2025-09-09,36,17,1.35,19,0.0,6.0,1669.62,Overstock,35.333333333333336,7.875566037735848,134,75,Low
158,139,124,139.0,0,0,0.009568345323741007,2025-07-02,15,8,1.33,13,0.0,1.0,207.38,Overstock,139.0,1.4919424460431654,203,75,Low
160,0,0,0.0,1,1,0.0,2025-11-05,0,27,2.21,39,0.0,,,Out of Stock,,,77,0,Critical
161,20,18,20.0,1,0,1.391,2025-12-11,2,24,27.82,33,0.0,1.0,6630.56,Low Stock,20.0,331.528,41,50,Low
162,0,0,0.0,2,2,0.0,2025-09-08,0,5,25.21,19,0.0,,,Out of Stock,,,135,0,Critical
163,8,6,8.0,0,0,0.39125,2025-07-08,2,6,3.13,27,0.0,,,Adequate,,,197,100,Low
164,13,9,13.0,1,0,0.8853846153846153,2025-08-08,4,22,11.51,5,0.0,,,Low Stock,,,166,50,Low
165,0,0,0.0,2,2,0.0,2025-10-20,0,12,2.43,26,0.0,,133.28,Out of Stock,,,93,0,Critical
166,0,0,0.0,0,1,0.0,2025-01-06,0,0,4.91,7,0.0,,,Out of Stock,,,380,0,Critical
167,8,8,8.0,0,0,3.2325,2025-09-06,0,0,25.86,8,0.0,,,Overstock,,,137,75,Low
168,0,0,0.0,2,2,0.0,2025-10-02,0,13,9.4,8,0.0,,,Out of Stock,,,111,0,Critical
169,338,326,338.0,0,0,0.03804733727810651,2025-10-29,12,24,12.86,39,0.0,,,Overstock,,,84,75,Low
170,38,31,75.5,0,0,0.145,2025-11-17,7,12,5.51,1,0.0,,,Overstock,,,65,75,Low
171,34,32,34.0,0,0,0.4152941176470588,2025-08-09,2,22,14.12,49,0.0,,,Adequate,,,165,100,Low
172,13,12,9.5,0,0,0.04153846153846154,2025-09-06,1,0,0.54,26,0.0,,,Overstock,,,137,75,Low
173,0,0,10.0,0,1,0.0,2025-09-10,0,0,2.58,1,0.0,,,Out of Stock,,,133,0,Critical
174,0,0,0.0,2,2,0.0,2025-11-22,0,11,1.33,35,0.0,,,Out of Stock,,,60,0,Critical
175,80,56,40.0,1,1,0.2555,2025-10-26,24,24,20.44,37,0.0,,,Overstock,,,87,75,Low
176,280,234,322.5,0,0,0.01507142857142857,2025-10-24,46,14,4.22,6,0.0,,,Overstock,,,89,75,Low
177,181,144,181.0,0,0,0.010386740331491713,2025-11-15,37,16,1.88,20,0.0,2.0,83.54,Overstock,90.5,0.4615469613259669,67,75,Low
179,0,0,100.0,1,1,0.0,2025-10-12,0,27,7.32,44,0.0,,,Out of Stock,,,101,0,Critical
180,0,0,0.0,1,1,0.0,2025-11-14,0,11,0.69,49,0.0,4.0,208.96,Out of Stock,0.0,,68,0,Critical
181,7,7,7.0,1,0,0.09142857142857143,2025-12-07,0,22,0.64,18,0.0,,,Low Stock,,,45,50,Low
182,439,416,439.0,0,0,0.0393621867881549,2025-07-23,23,24,17.28,14,0.0,1.0,488.84,Overstock,439.0,1.113530751708428,182,75,Low
183,425,420,212.5,1,1,0.009694117647058824,2025-08-07,5,8,4.12,19,0.0,,,Overstock,,,167,75,Low
184,168,165,168.0,0,0,0.01988095238095238,2025-11-12,3,23,3.34,35,0.0,,,Overstock,,,70,75,Low
185,121,114,121.0,0,0,0.05652892561983471,2025-12-17,7,11,6.84,21,0.0,,,Overstock,,,35,75,Low
186,1,0,4.5,0,0,8.51,2025-07-07,1,0,8.51,20,0.0,,,Overstock,,,198,75,Low
187,54,43,187.66666666666666,0,0,0.02851851851851852,2025-12-19,11,10,1.54,26,0.0,,,Overstock,,,33,75,Low
188,180,179,180.0,0,0,0.11894444444444445,2025-12-16,1,14,21.41,46,0.0,,1921.6,Overstock,,10.675555555555555,36,75,Low
189,436,405,436.0,0,0,0.020527522935779814,2025-07-02,31,15,8.95,5,0.0,1.0,1026.8700000000001,Overstock,436.0,2.355206422018349,203,75,Low
190,422,408,422.0,0,0,0.0076066350710900475,2025-10-07,14,18,3.21,13,0.0,,,Overstock,,,106,75,Low
191,392,370,392.0,0,0,0.06326530612244897,2025-10-03,22,20,24.8,27,0.0,1.5,2183.82,Overstock,261.3333333333333,5.5709693877551025,110,75,Low
192,3,1,52.0,1,0,0.22,2025-12-06,2,26,0.66,1,0.0,,,Low Stock,,,46,50,Low
193,330,300,330.0,0,0,0.002696969696969697,2025-10-04,30,21,0.89,35,0.0,,,Overstock,,,109,75,Low
196,428,419,428.0,0,0,0.013200934579439253,2025-08-16,9,5,5.65,50,0.0,1.5,696.09,Overstock,285.3333333333333,1.6263785046728974,158,75,Low
197,182,154,182.0,0,0,0.01010989010989011,2025-10-28,28,15,1.84,37,0.0,,,Overstock,,,85,75,Low
198,0,0,0.0,1,1,0.0,2025-06-15,0,18,3.01,34,0.0,2.0,551.92,Out of Stock,0.0,,220,0,Critical
199,7,7,7.0,0,0,0.5085714285714286,2025-07-16,0,0,3.56,5,0.0,,,Overstock,,,189,75,Low
201,15,11,15.0,0,0,1.8606666666666667,2025-09-13,4,9,27.91,22,0.0,,,Adequate,,,130,100,Low
202,393,393,283.0,0,0,0.01162849872773537,2025-09-16,0,13,4.57,8,0.0,,,Overstock,,,127,75,Low
203,6,3,6.0,1,0,0.265,2025-10-04,3,19,1.59,13,0.0,,188.38,Low Stock,,31.396666666666665,109,50,Low
204,5,4,155.0,1,0,3.774,2025-12-19,1,15,18.87,43,0.0,2.0,1106.16,Low Stock,2.5,7.136516129032259,33,50,High
205,419,389,419.0,0,0,0.0012171837708830548,2025-12-21,30,28,0.51,1,0.0,,,Overstock,,,31,75,Low
206,0,0,0.0,1,1,0.0,2025-09-18,0,24,1.49,49,0.0,,,Out of Stock,,,125,0,Critical
207,132,100,66.0,1,1,0.0067424242424242425,2025-08-23,32,14,0.89,46,0.0,2.0,93.6,Overstock,66.0,1.418181818181818,151,75,Low
209,365,347,365.0,0,0,0.014931506849315069,2025-08-20,18,5,5.45,11,0.0,2.5,597.8,Overstock,146.0,1.637808219178082,154,75,Low
210,0,0,50.0,1,1,0.0,2025-10-13,0,7,10.34,41,0.0,1.0,177.18,Out of Stock,0.0,3.5436,100,0,Critical
211,0,0,0.0,1,1,0.0,2025-09-27,0,20,1.24,12,0.0,2.5,426.55,Out of Stock,0.0,,116,0,Critical
212,0,0,0.0,1,1,0.0,2025-04-16,0,22,1.29,41,0.0,4.0,230.68,Out of Stock,0.0,,280,0,Critical
213,75,53,75.0,0,0,0.0116,2025-10-31,22,17,0.87,47,0.0,,49.47,Overstock,,0.6596,82,75,Low
214,0,0,0.0,2,2,0.0,2025-10-08,0,21,18.43,8,0.0,,,Out of Stock,,,105,0,Critical
215,182,154,182.0,0,0,0.0029120879120879124,2025-10-18,28,11,0.53,18,0.0,,,Overstock,,,95,75,Low
216,0,0,0.0,1,1,0.0,2025-02-28,0,10,5.89,14,0.0,,,Out of Stock,,,327,0,Critical
217,55,49,55.0,0,0,0.43763636363636366,2025-12-03,6,26,24.07,39,0.0,3.0,3053.07,Adequate,18.333333333333332,55.51036363636364,49,100,Low
218,0,0,0.0,1,1,0.0,2025-09-09,0,16,8.39,7,0.0,,,Out of Stock,,,134,0,Critical
219,0,0,0.0,3,3,0.0,2025-10-09,0,16,3.84,31,0.0,1.6666666666666667,918.3,Out of Stock,0.0,,104,0,Critical
220,452,406,452.0,0,0,0.010619469026548672,2025-11-25,46,8,4.8,42,0.0,3.0,808.11,Overstock,150.66666666666666,1.787853982300885,57,75,Low
221,12,12,10.5,0,0,0.17416666666666666,2025-10-21,0,0,2.09,10,0.0,,,Overstock,,,92,75,Low
222,45,25,45.0,0,0,0.15777777777777777,2025-11-24,20,6,7.1,11,0.0,,,Overstock,,,58,75,Low
223,45,34,109.0,0,0,0.05377777777777778,2025-08-28,11,9,2.42,31,0.0,1.0,282.68,Overstock,45.0,2.593394495412844,146,75,Low
224,413,410,413.0,0,0,0.011840193704600483,2025-10-27,3,25,4.89,37,0.0,,,Overstock,,,86,75,Low
226,133,101,199.66666666666666,0,0,0.12639097744360903,2025-10-11,32,18,16.81,19,0.0,2.0,1243.72,Overstock,66.5,6.228981636060101,102,75,Low
227,235,207,235.0,0,0,0.022212765957446808,2025-09-21,28,12,5.22,32,0.0,,1218.4,Overstock,,5.18468085106383,122,75,Low
228,2,2,9.0,0,0,0.55,2025-10-31,0,0,1.1,12,0.0,,,Overstock,,,82,75,Low
229,0,0,0.0,1,1,0.0,2024-12-26,0,7,6.9,32,0.0,,,Out of Stock,,,391,0,Critical
230,3,1,1.5,2,1,2.1566666666666667,2025-11-07,2,10,6.47,45,0.0,,,Low Stock,,,75,50,Low
231,159,113,159.0,0,0,0.18,2025-09-10,46,21,28.62,1,0.0,,,Overstock,,,133,75,Low
232,0,0,0.0,1,1,0.0,2025-03-29,0,28,16.14,11,0.0,,,Out of Stock,,,298,0,Critical
233,0,0,7.0,2,1,0.0,2025-10-25,0,25,1.9,27,0.0,2.0,227.0,Out of Stock,0.0,32.42857142857143,88,0,Critical
234,332,299,332.0,0,0,0.006295180722891566,2025-09-04,33,8,2.09,26,0.0,,,Overstock,,,139,75,Low
235,10,6,10.0,0,0,1.709,2025-08-14,4,0,17.09,9,0.0,,,Overstock,,,160,75,Low
237,0,0,0.0,1,1,0.0,2025-10-19,0,9,5.62,33,0.0,3.0,612.75,Out of Stock,0.0,,94,0,Critical
238,0,0,0.0,1,1,0.0,2025-09-10,0,15,27.18,34,0.0,,,Out of Stock,,,133,0,Critical
239,0,0,54.0,2,1,0.0,2025-11-20,0,7,3.05,42,0.0,,,Out of Stock,,,62,0,Critical
240,149,140,149.0,0,0,0.10375838926174497,2025-07-26,9,19,15.46,37,0.0,1.0,258.9,Overstock,149.0,1.7375838926174496,179,75,Low
242,0,0,0.0,2,2,0.0,2025-07-16,0,15,7.61,48,0.0,,,Out of Stock,,,189,0,Critical
