supplier_id,total_products,total_current_stock,total_available_stock,total_reorder_breaches,total_stockouts,total_storage_cost,avg_stock_per_product,last_restock_date,stockout_rate,breach_rate,avg_storage_cost_per_unit,days_since_last_restock,supplier_inventory_health_score
24,13,1109,1001,7,7,65.65,85.3076923076923,2025-12-05,53.84615384615385,53.84615384615385,0.059197475202885486,47,46.15384615384615
9,13,693,554,6,5,75.08,53.30769230769231,2025-11-06,38.46153846153847,46.15384615384615,0.10834054834054833,76,57.69230769230769
32,15,1337,1212,7,4,83.91,89.13333333333334,2025-12-15,26.666666666666668,46.666666666666664,0.06275991024682123,37,63.33333333333333
1,17,1386,1213,6,3,95.59000000000002,81.52941176470588,2025-12-21,17.647058823529413,35.294117647058826,0.06896825396825398,31,73.52941176470588
20,10,905,817,4,2,48.36000000000001,90.5,2025-12-12,20.0,40.0,0.0534364640883978,40,70.0
36,10,1227,1094,2,2,80.74,122.7,2025-11-24,20.0,20.0,0.06580277098614506,58,80.0
10,11,1843,1743,3,1,27.759999999999998,167.54545454545453,2025-12-13,9.090909090909092,27.27272727272727,0.015062398263700488,39,81.81818181818181
37,13,2354,2181,0,0,93.30000000000001,181.07692307692307,2025-12-22,0.0,0.0,0.039634664401019544,30,100.0
49,8,709,664,4,4,46.99,88.625,2025-12-20,50.0,50.0,0.06627644569816643,32,50.0
4,16,2014,1916,6,3,117.88000000000001,125.875,2025-12-24,18.75,37.5,0.05853028798411122,28,71.875
39,16,1782,1642,9,7,137.51000000000002,111.375,2025-12-03,43.75,56.25,0.07716610549943885,49,50.0
12,12,1579,1522,6,4,99.02000000000001,131.58333333333334,2025-12-07,33.33333333333333,50.0,0.06271057631412287,45,58.333333333333336
13,13,1217,1100,6,3,69.0,93.61538461538461,2025-11-10,23.076923076923077,46.15384615384615,0.056696795398520954,72,65.38461538461539
14,11,1742,1589,3,1,78.55000000000001,158.36363636363637,2025-12-15,9.090909090909092,27.27272727272727,0.04509184845005741,37,81.81818181818181
21,18,1390,1280,8,8,137.42,77.22222222222223,2025-12-23,44.44444444444444,44.44444444444444,0.09886330935251798,29,55.55555555555556
2,13,1399,1288,4,2,76.35,107.61538461538461,2025-12-11,15.384615384615385,30.76923076923077,0.0545746962115797,41,76.92307692307692
50,11,1071,949,4,2,88.04,97.36363636363636,2025-11-12,18.181818181818183,36.36363636363637,0.08220354808590104,70,72.72727272727272
45,14,1474,1271,6,4,58.940000000000005,105.28571428571429,2025-11-30,28.57142857142857,42.857142857142854,0.0399864314789688,52,64.28571428571429
