cart_id,cart_status,cart_added_date,cart_total_value,cart_items_count,cart_avg_item_price,device_used,abandoned_cart_category,session_converted,first_added_date,last_added_date,customer_id,session_id,time_in_cart_days,time_in_cart_hours,cart_status_derived,cart_abandonment_reason,cart_value_tier,cart_size_category,abandonment_risk_score,recovery_potential_score
30,Active,2024-05-07 16:46:47,1331.62,3,443.8733333333333,Desktop,,0.0,2024-05-08 03:31:03,2024-05-08 13:30:30,202,498c0862-99e8-4e75-8915-1e13c5ca117b,623.0,14952.0,Active,N/A - Active,High Value,Small,879.6152666666666,0
31,Active,2025-03-11 13:07:17,1698.1,3,375.1966666666667,Desktop,,0.0,2025-03-12 15:22:18,2025-03-14 04:30:00,68,8869a795-9799-4a4d-a3dc-5a29ddd2c72b,315.0,7560.0,Active,N/A - Active,High Value,Small,479.943,0
32,Converted,2024-12-08 11:09:42,2649.4399999999996,3,513.1133333333333,Wearable,,0.0,2024-12-08 17:48:25,2024-12-08 23:49:54,93,7a705245-fd0e-497f-9d41-5064e4ed02ab,409.0,9816.0,Abandoned,High Value - Price Concern,High Value,Small,633.8165333333333,25
33,Active,2022-12-26 11:13:13,975.48,2,156.165,Mobile,,0.0,2022-12-26 13:42:45,2022-12-26 20:32:06,109,2a525cfc-12ca-4ec5-bda6-9e87d547b863,1122.0,26928.0,Active,N/A - Active,Medium Value,Small,1531.2644,0
34,Deleted,2025-12-18 16:36:19,5675.23,4,564.13,,,,2025-12-20 19:21:09,2025-12-23 20:39:14,357,fc568503-9f5d-44ce-9b56-b54635bff8f5,32.0,768.0,Abandoned,High Value - Price Concern,High Value,Small,224.9235666666667,25
35,Abandoned,2021-07-20 02:53:19,3458.1499999999996,6,395.965,,,,2021-07-20 02:58:34,2021-07-20 05:46:23,437,d6a7c02c-c33c-49b1-8284-fe4f1aabcb0f,1646.0,39504.0,Abandoned,High Value - Price Concern,High Value,Medium,2316.411166666667,25
36,Converted,2025-12-21 23:08:03,1112.6999999999998,3,206.30666666666664,Desktop,,0.0,2025-12-22 01:12:18,2025-12-22 02:52:38,18,a5c3e500-ccfd-4086-91d7-470c97f95b77,30.0,720.0,Abandoned,High Value - Price Concern,High Value,Small,82.381,25
37,Abandoned,2024-08-20 23:24:42,80.26,1,80.26,Mobile,,0.0,2024-08-21 00:20:05,2024-08-21 00:20:05,443,6995bb85-d58c-41dd-a2c7-8288019406bc,518.0,12432.0,Abandoned,Long Time - Lost Interest,Very Low Value,Single Item,696.0744666666667,25
38,Abandoned,2025-05-08 02:10:00,1780.83,4,185.95999999999998,Mobile,,0.0,2025-05-08 02:16:52,2025-05-08 04:03:06,497,8f0ef265-ec89-4f81-bcd4-7a7e6208ca68,258.0,6192.0,Abandoned,High Value - Price Concern,High Value,Small,409.4249,25
39,Converted,2025-11-14 03:56:17,1078.8600000000001,1,179.81,Desktop,,0.0,2025-11-14 12:47:40,2025-11-14 12:47:40,117,e93a00b4-167c-4cfe-b5be-118a749c5355,68.0,1632.0,Abandoned,High Value - Price Concern,High Value,Single Item,126.03246666666668,25
40,Active,2024-07-14 23:53:27,131.16,1,131.16,,,,2024-07-15 12:15:16,2024-07-15 12:15:16,106,5e5521cd-3496-448c-a1dc-775474875639,555.0,13320.0,Active,N/A - Active,Low Value,Single Item,746.9348000000001,0
41,Active,2022-04-21 13:33:57,971.52,1,323.84,,,,2022-04-21 21:31:45,2022-04-21 21:31:45,492,76342937-5bec-4573-9b99-bf72f9e8da35,1371.0,32904.0,Active,N/A - Active,Medium Value,Single Item,1860.1456000000003,0
42,Active,2025-01-01 12:02:51,1330.68,4,185.6525,Desktop,,0.0,2025-01-04 23:58:47,2025-01-05 15:44:46,92,84f020ea-8f30-4452-a34c-9d54aba47ad4,382.0,9168.0,Active,N/A - Active,High Value,Small,561.2537333333333,0
43,Converted,2024-12-08 00:49:17,118.72,1,59.36,Mobile,,0.0,2024-12-09 00:18:04,2024-12-09 00:18:04,106,5c904e9a-c1c2-4d4a-b8ae-7060621bacd3,408.0,9792.0,Abandoned,Long Time - Lost Interest,Low Value,Single Item,550.5616000000001,25
44,Active,2017-08-16 06:29:26,143.84,1,71.92,Mobile,,0.0,2017-08-17 18:40:26,2017-08-17 18:40:26,280,635bd699-4b3f-4d38-a549-55d5d3779065,3079.0,73896.0,Active,N/A - Active,Low Value,Single Item,4112.648533333334,0
45,Converted,2025-06-12 22:03:35,1889.9,2,472.475,,,,2025-06-13 09:47:49,2025-06-14 03:23:40,7,f35bb7d1-a659-4a37-8f7a-ba9cc0163b87,222.0,5328.0,Abandoned,High Value - Price Concern,High Value,Small,358.69700000000006,25
46,Active,2019-09-12 19:45:43,367.94,2,117.36,Mobile,,0.0,2019-09-16 19:52:29,2019-09-17 01:50:53,246,9f2832c7-42ee-4780-8140-cbdf782e0eb6,2319.0,55656.0,Active,N/A - Active,Low Value,Small,3109.0382,0
47,Active,2023-07-15 04:41:04,687.39,4,163.0675,,,,2023-07-15 12:01:06,2023-07-16 05:20:14,243,0c3fc922-5d13-4959-9e61-2b022de02de7,921.0,22104.0,Active,N/A - Active,Medium Value,Small,1260.6217000000001,0
48,Abandoned,2023-07-15 04:49:35,1297.92,2,298.885,,,,2023-07-15 06:10:36,2023-07-15 07:13:35,243,0c3fc922-5d13-4959-9e61-2b022de02de7,921.0,22104.0,Abandoned,High Value - Price Concern,High Value,Small,1272.9376000000002,25
49,Abandoned,2025-08-29 17:14:03,81.3,1,40.65,,,,2025-08-29 23:40:18,2025-08-29 23:40:18,88,1eec039e-fe24-4b67-8fd1-f0ac7e6697d9,145.0,3480.0,Abandoned,Long Time - Lost Interest,Very Low Value,Single Item,198.77233333333334,25
50,Abandoned,2018-09-26 23:25:14,1730.7800000000002,2,432.69500000000005,Desktop,,0.0,2018-09-27 03:16:27,2018-09-27 08:26:10,64,746dac62-6568-4661-90c0-2b4ae459b2a9,2673.0,64152.0,Abandoned,High Value - Price Concern,High Value,Small,3621.9234,25
51,Active,2025-07-11 23:26:29,1046.46,1,348.82,Mobile,,0.0,2025-07-14 19:25:37,2025-07-14 19:25:37,475,24ee2d06-8fd2-4207-9459-1d9f8e493b2d,191.0,4584.0,Active,N/A - Active,High Value,Single Item,289.0604666666666,0
52,Converted,2025-04-23 02:07:26,1560.7200000000003,4,240.6575,Mobile,,0.0,2025-04-23 10:48:31,2025-04-25 14:01:47,296,50cad730-8de6-44e2-b0a2-5863b0bdf586,273.0,6552.0,Abandoned,High Value - Price Concern,High Value,Small,422.82160000000005,25
53,Active,2018-12-02 17:58:46,0.0,0,0.0,Desktop,,1.0,,,110,8a6a5444-8f02-4889-b2a4-5423de35a7e3,,,Active,N/A - Active,Very Low Value,Single Item,,0
54,Active,2025-02-08 09:03:18,2990.4500000000003,1,598.09,Mobile,,0.0,2025-02-10 09:56:31,2025-02-10 09:56:31,348,96994b4b-b54a-41ed-8dfc-18ff5069df41,345.0,8280.0,Active,N/A - Active,High Value,Single Item,552.7135000000001,0
55,Converted,2017-09-26 08:08:46,745.47,1,745.47,Smart TV,,0.0,2017-09-26 09:20:38,2017-09-26 09:20:38,12,614c3a8d-b4d3-4a84-898f-01dc06ba477f,3039.0,72936.0,Abandoned,High Value - Price Concern,Medium Value,Single Item,4077.3641000000007,25
56,Converted,2025-05-09 21:12:00,0.0,0,0.0,Mobile,,0.0,,,159,267f0f45-6a1e-402d-a96b-fde7d5cfb888,,,Abandoned,Mobile - Checkout Friction,Very Low Value,Single Item,,25
57,Converted,2023-11-12 12:29:49,853.04,3,116.74666666666667,Tablet,,1.0,2023-11-12 19:58:14,2023-11-14 18:15:55,150,53a8b030-0399-46c7-b8e2-e8f5403311d6,801.0,19224.0,Abandoned,High Value - Price Concern,Medium Value,Small,1102.5912,25
58,Abandoned,2022-01-04 17:23:29,1266.03,3,242.92666666666665,Mobile,,0.0,2022-01-04 21:57:06,2022-01-05 05:14:13,173,0e5f2456-a66c-493d-b4e4-e273e53bf7bd,1478.0,35472.0,Abandoned,High Value - Price Concern,High Value,Small,2017.6475666666668,25
59,Active,2023-03-07 22:01:31,1033.11,3,150.26999999999998,,,,2023-03-08 18:31:31,2023-03-12 09:47:28,15,c5c4c8fb-137f-4561-b2cf-fd30d5f59b48,1050.0,25200.0,Active,N/A - Active,High Value,Small,1439.9932999999999,0
60,Abandoned,2025-01-26 09:11:21,999.99,3,134.91333333333333,Smart TV,,0.0,2025-01-26 09:37:06,2025-01-26 13:50:03,147,ee1d045f-5302-47a3-96f1-803c928ff615,360.0,8640.0,Abandoned,High Value - Price Concern,Medium Value,Small,518.9997000000001,25
61,Active,2017-06-08 14:45:18,1991.78,2,497.945,Tablet,,0.0,2017-06-10 03:46:10,2017-06-10 15:36:14,225,f93956b6-39dd-4a40-a5b3-90713daa2ad8,3147.0,75528.0,Active,N/A - Active,High Value,Small,4261.753400000001,0
62,Converted,2025-02-05 12:21:53,314.39,2,96.825,Desktop,,0.0,2025-02-05 12:23:03,2025-02-05 17:00:13,426,f1918be7-929f-46ab-8ab6-1d27927dbf51,350.0,8400.0,Abandoned,Long Time - Lost Interest,Low Value,Small,482.09836666666666,25
63,Converted,2025-09-27 15:44:54,2156.75,2,515.6800000000001,Smart TV,,0.0,2025-09-28 23:08:27,2025-09-30 00:52:40,367,d1f8e065-67ad-4970-ad01-411baa58777d,115.0,2760.0,Abandoned,High Value - Price Concern,High Value,Small,224.03583333333336,25
64,Abandoned,2019-12-17 01:23:31,151.88,1,151.88,Mobile,,0.0,2019-12-17 01:28:19,2019-12-17 01:28:19,463,44fc5272-23e7-4381-a3ef-af4af52f1840,2227.0,53448.0,Abandoned,Long Time - Lost Interest,Low Value,Single Item,2976.8897333333334,25
65,Abandoned,2024-10-26 11:44:59,47.01,1,47.01,Desktop,,0.0,2024-10-26 11:44:59,2024-10-26 11:44:59,237,b820fe11-3213-4602-b6f8-4bebc670417b,452.0,10848.0,Abandoned,Long Time - Lost Interest,Very Low Value,Single Item,607.0769666666667,25
66,Abandoned,2024-10-23 17:43:18,1751.95,4,252.0875,Tablet,,1.0,2024-10-23 18:56:11,2024-10-23 23:11:45,55,83f48a9c-9a45-4c07-9d26-e082416f3992,455.0,10920.0,Abandoned,High Value - Price Concern,High Value,Small,671.2251666666666,25
67,Converted,2022-03-23 07:06:43,1314.67,3,219.67,Mobile,,0.0,2022-03-23 08:33:47,2022-03-23 10:56:13,44,217bc600-cb1d-4957-b464-86dd02a803be,1400.0,33600.0,Abandoned,High Value - Price Concern,High Value,Small,1915.1067666666665,25
68,Abandoned,2024-03-26 10:55:04,975.63,4,220.36,Tablet,,0.0,2024-03-26 10:58:48,2024-03-26 11:48:50,454,2156441e-ee6e-4ad1-9488-61b66841736d,666.0,15984.0,Abandoned,High Value - Price Concern,Medium Value,Small,929.2688999999999,25
69,Abandoned,2019-04-17 07:56:19,39.31,1,39.31,Desktop,,0.0,2019-04-17 10:38:42,2019-04-17 10:38:42,157,c627cc61-8df3-4ab8-9a5c-765c44f2d71b,2471.0,59304.0,Abandoned,Long Time - Lost Interest,Very Low Value,Single Item,3298.8459666666663,25
70,Active,2025-09-09 16:33:38,1386.03,1,462.01,Tablet,,0.0,2025-09-11 18:59:34,2025-09-11 18:59:34,314,0ba04512-e5a1-4f01-a0dc-37b4ccc66fd7,132.0,3168.0,Active,N/A - Active,High Value,Single Item,220.58089999999999,0
71,Abandoned,2024-01-03 16:44:12,598.09,1,598.09,Desktop,,0.0,2024-01-03 16:44:12,2024-01-03 16:44:12,452,7817adac-3ede-4998-b91c-127dafb7516a,749.0,17976.0,Abandoned,High Value - Price Concern,Medium Value,Single Item,1019.6093666666666,25
72,Converted,2024-03-26 09:33:36,1164.99,4,238.46500000000003,Mobile,,0.0,2024-03-27 05:03:54,2024-03-27 23:36:34,187,b5f22ad9-b6e4-4c48-85e6-ad88b4f9edc8,665.0,15960.0,Abandoned,High Value - Price Concern,High Value,Small,933.6163666666666,25
73,Abandoned,2020-12-19 09:32:45,311.62,3,77.64333333333333,Desktop,,0.0,2020-12-19 09:42:17,2020-12-19 15:54:02,211,f0e30182-c57a-40a6-96a0-a9e88c6f8ed4,1859.0,44616.0,Abandoned,Long Time - Lost Interest,Low Value,Small,2497.015266666667,25
74,Active,2025-02-08 05:38:31,1552.8899999999999,3,271.1766666666667,Mobile,,0.0,2025-02-08 16:33:07,2025-02-09 07:06:56,446,6e379e33-f439-47ac-a31a-d87654eefd1f,347.0,8328.0,Active,N/A - Active,High Value,Small,518.2533666666667,0
75,Active,2021-10-19 11:08:20,1390.32,1,695.16,Mobile,,0.0,2021-10-23 01:11:49,2021-10-23 01:11:49,383,c0ff8bd9-db43-4e26-a50a-8fdd3e2b9c3f,1551.0,37224.0,Active,N/A - Active,High Value,Single Item,2112.7096000000006,0
76,Abandoned,2022-10-24 00:35:42,1110.1,1,555.05,Mobile,,0.0,2022-10-24 01:00:49,2022-10-24 01:00:49,203,4be1158a-26ac-4d42-837d-0b65b883316a,1185.0,28440.0,Abandoned,High Value - Price Concern,High Value,Single Item,1616.3030000000003,25
77,Active,2024-10-20 23:07:24,427.15999999999997,2,126.85499999999999,Desktop,,0.0,2024-10-22 09:09:30,2024-10-24 02:52:13,403,d2748ff6-b768-41d2-a27c-774a1305a175,456.0,10944.0,Active,N/A - Active,Low Value,Small,626.8148,0
78,Active,2024-08-26 18:05:46,1918.22,2,335.395,Desktop,,0.0,2024-08-26 20:25:23,2024-08-27 06:23:21,52,e1e7a723-0461-4e16-ae15-9ee74289d709,513.0,12312.0,Active,N/A - Active,High Value,Small,747.5466,0
79,Active,2024-10-30 19:34:04,1873.1399999999999,2,364.89,Tablet,,0.0,2024-11-02 23:16:00,2024-11-03 16:38:24,32,b301d078-08b3-4a3b-a1f4-0d61964f759e,445.0,10680.0,Active,N/A - Active,High Value,Small,655.5275333333333,0
80,Active,2023-08-18 18:16:42,593.62,2,296.81,Desktop,,0.0,2023-08-19 01:22:06,2023-08-19 01:54:34,38,1e5c829a-d9f7-46dc-8584-3c2efe948d92,886.0,21264.0,Active,N/A - Active,Medium Value,Small,1205.1419333333336,0
81,Converted,2022-04-21 13:40:16,756.56,1,378.28,,,,2022-04-21 15:19:18,2022-04-21 15:19:18,492,76342937-5bec-4573-9b99-bf72f9e8da35,1371.0,32904.0,Abandoned,High Value - Price Concern,Medium Value,Single Item,1853.6968000000002,25
82,Abandoned,2019-12-17 01:20:45,2383.27,2,617.145,Mobile,,0.0,2019-12-17 01:20:45,2019-12-17 01:20:45,463,44fc5272-23e7-4381-a3ef-af4af52f1840,2227.0,53448.0,Abandoned,High Value - Price Concern,High Value,Small,3046.8314333333337,25
83,Converted,2021-01-21 21:41:13,2186.44,3,364.4066666666667,Mobile,,0.0,2021-01-22 11:44:58,2021-01-23 03:32:17,491,c8fb0f75-335e-4363-b1d6-a705dce305b8,1825.0,43800.0,Abandoned,High Value - Price Concern,High Value,Small,2507.9265333333337,25
84,Abandoned,2022-05-11 01:44:57,508.28,2,111.55000000000001,Tablet,,0.0,2022-05-11 06:44:57,2022-05-11 07:40:19,353,32175bbf-8531-4d44-b6e3-be206272bdb8,1351.0,32424.0,Abandoned,High Value - Price Concern,Medium Value,Small,1822.5817333333332,25
85,Abandoned,2023-08-18 18:16:31,0.0,0,0.0,Desktop,,0.0,,,38,1e5c829a-d9f7-46dc-8584-3c2efe948d92,,,Abandoned,Unknown,Very Low Value,Single Item,,25
86,Converted,2021-06-22 01:17:34,693.8199999999999,3,135.47,Mobile,,0.0,2021-06-23 20:17:54,2021-06-24 17:48:05,251,cdeaac4b-c272-44c8-a494-a91bab5eba2b,1673.0,40152.0,Abandoned,High Value - Price Concern,Medium Value,Small,2260.4812666666667,25
87,Converted,2024-10-28 17:10:52,2456.9800000000005,3,475.22,Mobile,,0.0,2024-10-28 20:54:55,2024-10-29 06:52:34,185,01adb77a-50ad-43fd-9462-0380ab057d7b,450.0,10800.0,Abandoned,High Value - Price Concern,High Value,Small,682.7094,25
88,Converted,2019-04-17 00:31:56,969.5699999999999,3,156.64333333333335,Tablet,,0.0,2019-04-17 06:01:26,2019-04-18 03:38:50,209,5b2aa318-32df-4e96-a594-030e0fad3e20,2471.0,59304.0,Abandoned,High Value - Price Concern,Medium Value,Small,3332.753766666667,25
89,Abandoned,2017-04-27 21:14:24,1451.42,3,483.8066666666667,Mobile,,0.0,2017-04-27 23:23:31,2017-04-28 00:18:41,438,e94d20de-71e8-4e18-bf52-c421afa97581,3191.0,76584.0,Abandoned,High Value - Price Concern,High Value,Small,4307.209266666667,25
90,Active,2025-07-28 13:22:25,618.02,1,618.02,Mobile,,0.0,2025-07-28 16:33:39,2025-07-28 16:33:39,122,b21508f7-4f60-4643-b1b6-bbd856e1131c,177.0,4248.0,Active,N/A - Active,Medium Value,Single Item,257.5406,0
91,Abandoned,2025-09-03 03:04:28,888.33,2,190.825,Mobile,,0.0,2025-09-03 03:22:43,2025-09-03 03:24:12,42,45b50eed-35ef-4a1f-8857-e9066932af4b,140.0,3360.0,Abandoned,High Value - Price Concern,Medium Value,Small,219.3165666666667,25
92,Converted,2024-12-08 05:50:29,1747.5,3,484.8333333333333,Tablet,,1.0,2024-12-08 06:04:14,2024-12-08 07:00:11,105,1710e83c-88e4-4286-a241-3686a7b484d0,409.0,9816.0,Abandoned,High Value - Price Concern,High Value,Small,606.7583333333333,25
93,Deleted,2021-03-20 21:07:38,292.53999999999996,2,116.755,Smart TV,,0.0,2021-03-22 15:58:39,2021-03-24 07:20:34,278,74c7c895-70c0-46d9-a421-c6850bb5cf54,1766.0,42384.0,Abandoned,Long Time - Lost Interest,Low Value,Small,2369.4428666666668,25
94,Abandoned,2024-09-28 08:31:53,45.4,1,45.4,Tablet,,0.0,2024-09-28 09:25:59,2024-09-28 09:25:59,125,a5b4c21b-b139-448b-922f-f9d9dcb175ab,480.0,11520.0,Abandoned,Long Time - Lost Interest,Very Low Value,Single Item,644.3620000000001,25
95,Deleted,2025-05-21 19:11:59,256.27000000000004,3,38.35,Desktop,,0.0,2025-05-24 15:26:54,2025-06-02 12:45:36,317,4a423e85-7f81-4d7d-b59a-903de9c2cf8a,242.0,5808.0,Abandoned,Long Time - Lost Interest,Low Value,Small,339.35476666666665,25
96,Abandoned,2025-09-27 09:37:19,182.96,1,91.48,Desktop,,0.0,2025-09-27 10:35:28,2025-09-27 10:35:28,111,60bcd20f-5918-4234-9d9c-1b0e140c4742,116.0,2784.0,Abandoned,Long Time - Lost Interest,Low Value,Single Item,163.15546666666668,25
97,Active,2022-12-30 06:25:46,2915.1899999999996,6,199.08833333333334,,,,2022-12-31 08:36:00,2023-01-01 21:19:19,428,b97e9e78-bc36-4e27-a132-f972fbbcb185,1117.0,26808.0,Active,N/A - Active,High Value,Medium,1594.7890333333335,0
98,Active,2025-11-26 16:48:52,755.73,1,755.73,Mobile,,0.0,2025-11-27 08:47:11,2025-11-27 08:47:11,136,e6ad592f-2cd9-4404-b218-3272041a4965,55.0,1320.0,Active,N/A - Active,Medium Value,Single Item,99.00523333333334,0
99,Converted,2025-07-09 13:59:48,53.57,1,53.57,,,,2025-07-11 09:38:15,2025-07-11 09:38:15,307,1519027e-158d-4094-a0f2-1e2f4868f8a5,194.0,4656.0,Abandoned,Long Time - Lost Interest,Very Low Value,Single Item,263.2737666666667,25
100,Converted,2024-12-16 17:22:54,3180.04,2,572.33,Mobile,,0.0,2024-12-17 15:33:47,2024-12-18 04:51:50,194,75f8b5f4-c830-4bb9-9626-3514c82156d4,400.0,9600.0,Abandoned,High Value - Price Concern,High Value,Small,634.7345333333333,25
