country,state_province,city,total_customers,total_orders,total_revenue,avg_order_value,avg_customer_lifetime_value,total_suppliers,preferred_category,revenue_per_customer,orders_per_customer,customer_density
US,IN,Georgetown,1,2,2281.79,1140.895,6845.37,0,,2281.79,2.0,1
US,AZ,Mesa,1,1,589.03,589.03,883.545,0,,589.03,1.0,1
US,MD,Riverside,1,1,4541.21,4541.21,13623.630000000001,0,,4541.21,1.0,1
US,WY,Fairview,1,1,1286.83,1286.83,1930.245,0,,1286.83,1.0,1
CA,AB,Medicine Hat,1,1,3736.11,3736.11,1868.055,0,,3736.11,1.0,1
US,OR,Springfield,1,2,2574.5699999999997,1287.2849999999999,9712.8,0,,2574.5699999999997,2.0,1
US,OR,Bristol,1,1,703.85,703.85,1055.775,0,,703.85,1.0,1
US,CO,Aurora,3,3,5151.87,1717.29,3185.8414285714284,0,,1717.29,1.0,3
US,ND,Salem,1,1,1872.61,1872.61,3745.22,0,,1872.61,1.0,1
US,HI,Salem,1,1,823.07,823.07,274.3566666666667,0,,823.07,1.0,1
US,IN,Chester,1,1,1248.83,1248.83,2497.66,0,,1248.83,1.0,1
US,ID,Fairview,1,1,3235.67,3235.67,4853.505,0,,3235.67,1.0,1
US,WV,Franklin,2,2,737.0899999999999,368.54499999999996,245.69666666666663,0,,368.54499999999996,1.0,2
CA,AB,Calgary,1,1,3078.0,3078.0,3078.0,0,,3078.0,1.0,1
US,WI,Madison,1,1,506.77,506.77,253.385,0,,506.77,1.0,1
US,IL,Joliet,1,1,1687.81,1687.81,2109.7625,0,,1687.81,1.0,1
US,AR,Salem,1,1,3459.76,3459.76,864.94,0,,3459.76,1.0,1
US,IA,Bristol,1,1,538.49,538.49,1076.98,0,,538.49,1.0,1
US,UT,Chester,1,1,517.33,517.33,258.665,0,,517.33,1.0,1
