customer_id,gender,date_of_birth,account_status,city,state_province,postal_code,country,account_created_at,last_login_date,is_active,order_recency_days,order_frequency,order_total_spent,customer_age,customer_tenure_days,days_since_last_login,customer_age_group,customer_activity_status,customer_segment,customer_lifetime_value,total_orders,total_revenue,avg_order_value,total_items_purchased,avg_items_per_order,total_discount_received,avg_discount_per_order,first_order_date,last_order_date,avg_days_between_orders,total_cancelled_orders,total_reviews_written,avg_review_rating,total_sessions,avg_session_duration,total_pages_viewed,total_products_viewed,session_conversion_rate,cart_abandonment_rate,preferred_device_type,preferred_referrer_source,wishlist_items_count,wishlist_conversion_rate,preferred_payment_method,days_since_last_purchase,is_repeat_customer,cancellation_rate,customer_activity_score,total_carts_created,total_abandoned_carts,total_purchased_carts,total_abandoned_value,avg_time_in_cart_days,customer_abandonment_rate,customer_purchase_rate,recency_score,frequency_score,monetary_score,rfm_segment,customer_segment_label,rfm_overall_score,rfm_category,churn_risk
12,Female,1962-12-05,Active,Fairview,OK,51588.0,US,2016-08-27 20:44:00,2025-11-01,True,,,,63,3434,81,55-64,Inactive,,0.0,0,0.0,,0,,,,,,,,11,4.090909090909091,4,2.0,21.0,12.0,0.25,0.25,Desktop,Organic Search,0,,,,0,,,1,1,0.0,745.47,3039.0,100.0,0.0,,,,,,,,
13,Female,1969-09-21,Active,Fairview,WY,12560.0,US,2025-01-05 17:05:08,2025-10-09,True,,,,56,381,104,55-64,Dormant,,0.0,0,0.0,,0,,,,,,,,6,3.8333333333333335,5,71.25,132.0,36.0,0.4,0.4,Desktop,Paid Search,1,0.0,,,0,,,1,1,0.0,0.0,,100.0,0.0,,,,,,,,
14,Male,1964-05-18,Active,Clinton,MN,95215.0,US,2019-04-02 10:13:29,2025-07-10,True,,,,61,2486,195,55-64,Dormant,,0.0,0,0.0,,0,,,,,,,,1,5.0,9,5.857142857142857,71.0,22.0,0.0,0.1111111111111111,Desktop,Organic Search,2,0.5,,,0,,,0,0,,0.0,,,,,,,,,,,
15,Female,1985-01-06,Active,Bellevue,WA,45179.0,US,2016-03-08 13:23:40,2025-05-04,True,,,,41,3606,262,35-44,Dormant,,0.0,0,0.0,,0,,,,,,,,5,3.8,3,17.333333333333332,80.0,36.0,0.0,0.3333333333333333,Mobile,Referral,2,0.5,,,0,,,2,1,0.0,0.0,1050.0,50.0,0.0,,,,,,,,
16,Male,1963-08-05,Active,Bristol,WV,46241.0,US,2017-08-02 03:46:12,2025-07-16,True,2397.0,1.0,1371.15,62,3094,189,55-64,Dormant,Lost,2742.3,1,2742.3,1371.15,6,3.0,,,2019-06-30 05:34:07,2019-06-30 05:34:07,,2.0,2,4.5,2,15.0,33.0,8.0,0.0,1.0,Tablet,Paid Search,2,0.0,Gift Card,2397.0,0,200.0,5.901280567139283,2,1,0.0,1281.48,1610.5,50.0,0.0,1.0,5.0,3.0,153,At Risk,3.0,Medium Value,High Risk
17,Male,1968-04-19,Blocked,Madison,NH,87139.0,US,2015-12-15 07:07:35,2024-07-11,False,,,,57,3690,559,55-64,Dormant,,0.0,0,0.0,,0,,,,,,,,0,,5,59.25,137.0,64.0,0.0,0.0,Mobile,Paid Search,0,,,,0,,,0,0,,0.0,,,,,,,,,,,
18,Male,1977-02-24,Inactive,Fairview,OR,12719.0,US,2025-07-28 08:32:34,2025-12-01,False,,,,48,177,51,45-54,Inactive,,0.0,0,0.0,,0,,,,,,,,0,,3,29.0,67.0,13.0,0.0,0.3333333333333333,Desktop,Email,4,0.25,,,0,,,2,2,0.0,2197.0,30.0,100.0,0.0,,,,,,,,
19,Male,2000-06-25,Inactive,Springfield,NE,34586.0,US,2025-08-07 12:52:48,2025-08-17,False,,,,25,167,157,25-34,Dormant,,0.0,0,0.0,,0,,,,,,,,0,,4,5.0,23.0,5.0,0.0,0.0,Desktop,Organic Search,2,0.5,,,0,,,3,2,0.0,1721.7600000000002,90.66666666666667,66.66666666666666,0.0,,,,,,,,
20,Male,1953-04-15,Closed,Chester,NU,,CA,2024-09-09 02:17:49,2025-04-09,False,,,,72,499,287,65 and over,Dormant,,0.0,0,0.0,,0,,,,,,,,0,,3,29.0,19.0,12.0,0.0,0.0,Mobile,Organic Search,0,,,,0,,,0,0,,0.0,,,,,,,,,,,
21,Male,1971-05-31,Inactive,Bristol,VA,80912.0,US,2021-12-27 22:25:41,2022-06-10,False,,,,54,1486,1321,45-54,Dormant,,0.0,0,0.0,,0,,,,,,,,1,3.0,3,30.0,14.0,7.0,0.0,0.0,Desktop,Direct,3,0.3333333333333333,,,0,,,2,1,0.0,312.13,723.5,50.0,0.0,,,,,,,,
22,Other,1998-05-12,Closed,Madison,OR,48696.0,US,2025-10-15 13:44:16,2025-11-13,False,,,,27,98,69,25-34,Inactive,,0.0,0,0.0,,0,,,,,,,,0,,6,13.8,103.0,82.0,0.16666666666666666,0.16666666666666666,Mobile,Social Media,0,,,,0,,,0,0,,0.0,,,,,,,,,,,
23,Male,1952-11-23,Active,San Francisco,CA,39571.0,US,2023-10-27 17:56:23,2025-03-29,True,,,,73,817,298,65 and over,Dormant,,0.0,0,0.0,,0,,,,,,,,0,,5,12.75,66.0,39.0,0.0,0.0,Mobile,Direct,0,,,,0,,,2,1,0.0,469.52,422.5,50.0,0.0,,,,,,,,
24,Other,1998-01-16,Active,Georgetown,NJ,97881.0,US,2024-03-28 14:58:44,2025-07-24,True,,,,28,664,181,25-34,Dormant,,0.0,0,0.0,,0,,,,,,,,1,5.0,4,18.0,28.0,13.0,0.0,0.0,Smart TV,Direct,1,0.0,,,0,,,1,0,0.0,0.0,337.0,0.0,0.0,,,,,,,,
25,Female,2000-05-06,Inactive,Winston-Salem,NC,24293.0,US,2024-09-18 00:08:00,2025-03-20,False,,,,25,490,307,25-34,Dormant,,0.0,0,0.0,,0,,,,,,,,0,,1,25.0,6.0,5.0,0.0,1.0,Tablet,Direct,2,1.0,,,0,,,2,1,0.0,2714.31,38.5,50.0,0.0,,,,,,,,
26,Male,1993-07-22,Active,Salem,IN,69186.0,US,2021-02-24 22:20:24,2025-02-23,True,412.0,1.0,927.14,32,1792,332,25-34,Dormant,Lost,1854.28,1,1854.28,927.14,2,1.0,426.58,213.29,2024-12-05 20:56:10,2024-12-05 20:56:10,,0.0,7,3.857142857142857,5,10.666666666666666,58.0,19.0,0.2,0.4,Mobile,Organic Search,2,0.0,Gift Card,412.0,0,0.0,4.2054123002421315,1,1,0.0,1035.26,413.0,100.0,0.0,4.0,5.0,2.0,452,New Customers,3.6666666666666665,Medium Value,Low Risk
27,Female,1991-06-07,Active,Madison,PE,,CA,2018-09-12 21:07:26,2025-06-27,True,,,,34,2688,208,25-34,Dormant,,0.0,0,0.0,,0,,,,,,,,0,,2,58.0,69.0,29.0,0.0,0.5,Mobile,Organic Search,4,0.5,,,0,,,1,1,0.0,79.9,1302.0,100.0,0.0,,,,,,,,
28,Male,1971-07-12,Inactive,Tacoma,WA,84395.0,US,2018-12-08 00:11:55,2020-07-16,False,,,,54,2601,2015,45-54,Dormant,,0.0,0,0.0,,0,,,,,,,,0,,4,24.333333333333332,49.0,27.0,0.25,0.25,Mobile,Direct,3,0.6666666666666666,,,0,,,1,1,0.0,3295.27,2015.0,100.0,0.0,,,,,,,,
29,Female,1976-07-01,Active,Winston-Salem,NC,97562.0,US,2021-09-20 01:00:13,2025-07-23,True,,,,49,1584,182,45-54,Dormant,,0.0,0,0.0,,0,,,,,,,,1,5.0,1,208.0,67.0,26.0,0.0,1.0,Mobile,Organic Search,2,0.5,,,0,,,1,1,0.0,2184.94,968.0,100.0,0.0,,,,,,,,
30,Female,1980-03-21,Closed,Naperville,IL,56019.0,US,2024-06-21 03:15:27,2025-04-18,False,,,,45,579,278,45-54,Dormant,,0.0,0,0.0,,0,,,,,,,,0,,7,16.8,80.0,14.0,0.14285714285714285,0.0,Mobile,Social Media,0,,,,0,,,0,0,,0.0,,,,,,,,,,,
31,Female,1946-01-29,Inactive,Springfield,OK,68947.0,US,2018-12-12 16:04:19,2024-02-16,False,,,,80,2597,705,65 and over,Dormant,,0.0,0,0.0,,0,,,,,,,,0,,5,21.5,129.0,27.0,0.0,0.4,Mobile,Email,3,0.6666666666666666,,,0,,,0,0,,0.0,,,,,,,,,,,
32,Female,1995-02-10,Inactive,Grand Rapids,MI,97833.0,US,2024-10-16 04:21:05,2025-08-11,False,,,,30,462,163,25-34,Dormant,,0.0,0,0.0,,0,,,,,,,,0,,5,18.5,84.0,29.0,0.2,0.0,Tablet,Organic Search,3,0.0,,,0,,,3,2,0.0,5762.75,259.6666666666667,66.66666666666666,0.0,,,,,,,,
33,Female,1952-10-18,Pending,,,,,2021-09-12 12:09:10,1900-01-01,False,,,,73,1592,46041,65 and over,Dormant,,0.0,0,0.0,,0,,,,,,,,0,,0,,,,,,,,0,,,,0,,,0,0,,0.0,,,,,,,,,,,
34,Female,1988-12-12,Inactive,Salem,ME,75916.0,US,2017-09-06 09:51:50,2022-12-10,False,,,,37,3059,1138,35-44,Dormant,,0.0,0,0.0,,0,,,,,,,,0,,4,21.666666666666668,50.0,25.0,0.0,0.0,Mobile,Social Media,1,1.0,,,0,,,2,2,0.0,1931.29,1677.5,100.0,0.0,,,,,,,,
35,Male,1960-12-16,Active,Georgetown,TN,29142.0,US,2024-02-28 14:56:22,2025-12-12,True,,,,65,693,40,65 and over,Inactive,,0.0,0,0.0,,0,,,,,,,,1,2.0,3,16.0,40.0,29.0,0.3333333333333333,0.0,Tablet,Direct,0,,,,0,,,2,2,0.0,2608.33,508.0,100.0,0.0,,,,,,,,
36,Male,2000-12-27,Active,Springfield,NM,93318.0,US,2015-12-17 16:23:04,2025-03-31,True,,,,25,3688,296,25-34,Dormant,,0.0,0,0.0,,0,,,,,,,,2,4.0,5,18.0,43.0,10.0,0.0,0.0,Desktop,Direct,2,0.5,,,0,,,0,0,,0.0,,,,,,,,,,,
37,Male,1989-10-04,Active,Georgetown,DE,67272.0,US,2020-04-23 08:02:48,2025-01-27,True,,,,36,2099,359,35-44,Dormant,,0.0,0,0.0,,0,,,,,,,,2,5.0,1,44.0,35.0,,0.0,0.0,Desktop,Organic Search,2,0.5,,,0,,,0,0,,0.0,,,,,,,,,,,
38,Male,1955-12-28,Active,Franklin,WV,14081.0,US,2022-09-26 14:22:28,2025-12-04,True,,,,70,1213,48,65 and over,Inactive,,0.0,0,0.0,,0,,,,,,,,1,4.0,5,12.2,45.0,11.0,0.0,0.4,Mobile,Social Media,5,0.4,,,0,,,4,3,0.0,443.77000000000004,938.0,75.0,0.0,,,,,,,,
39,Female,1966-01-16,Active,Clinton,NH,90199.0,US,2017-10-19 03:01:47,2025-09-20,True,1030.0,1.0,530.35,60,3016,123,55-64,Dormant,Lost,1591.0500000000002,1,1591.0500000000002,530.35,9,3.0,393.39,131.13,2023-03-28 21:09:56,2023-03-28 21:09:56,,0.0,0,,2,26.5,34.0,27.0,0.5,0.0,Mobile,Display Ads,1,0.0,PayPal,1030.0,0,0.0,3.6208972841901077,3,3,0.0,3036.7699999999995,1030.0,100.0,0.0,2.0,5.0,2.0,252,Others,3.0,Medium Value,Low Risk
40,Female,1993-10-09,Inactive,Aurora,CO,35729.0,US,2017-01-15 04:27:32,2017-08-29,False,,,,32,3293,3067,25-34,Dormant,,0.0,0,0.0,,0,,,,,,,,2,4.0,11,32.0,149.0,68.0,0.0,0.09090909090909091,Mobile,Direct,2,0.0,,,0,,,0,0,,0.0,,,,,,,,,,,
41,Female,1980-06-23,Inactive,Salem,NS,,CA,2019-08-30 15:29:13,2023-06-24,False,864.0,1.0,2986.92,45,2336,942,45-54,Dormant,Lost,5973.84,1,5973.84,2986.92,9,4.5,,,2023-09-10 18:03:42,2023-09-10 18:03:42,,0.0,2,4.5,6,18.75,76.0,19.0,0.0,0.0,Mobile,Referral,0,,Credit Card,864.0,0,0.0,12.393922774566475,3,1,0.0,2284.5,1186.3333333333333,33.33333333333333,0.0,2.0,5.0,4.0,254,At Risk,3.6666666666666665,Medium Value,High Risk
42,Female,1949-02-12,Active,Georgetown,KY,62855.0,US,2025-08-07 12:32:29,2025-10-24,True,138.0,1.0,2554.85,76,167,89,65 and over,Inactive,At Risk,5109.7,1,5109.7,2554.85,4,2.0,,,2025-09-05 04:06:52,2025-09-05 04:06:52,,0.0,4,3.5,5,20.8,100.0,37.0,0.0,0.0,Mobile,Paid Search,3,0.3333333333333333,Credit Card,138.0,0,0.0,10.907169784172662,2,2,0.0,3272.27,139.0,100.0,0.0,5.0,5.0,4.0,554,Champions,4.666666666666667,High Value,Low Risk
43,Female,1977-01-18,Active,Madison,SC,87820.0,US,2020-08-10 01:02:02,2025-10-15,True,,,,49,1990,98,45-54,Dormant,,0.0,0,0.0,,0,,,,,,,,2,4.5,6,28.5,55.0,27.0,0.16666666666666666,0.0,Tablet,Organic Search,4,0.75,,,0,,,3,1,0.0,0.0,688.0,33.33333333333333,0.0,,,,,,,,
44,Female,1988-01-27,Active,Fairview,WY,71814.0,US,2022-01-20 23:39:49,2025-06-14,True,1400.0,1.0,1286.83,38,1462,221,35-44,Dormant,Lost,3860.49,1,3860.49,1286.83,5,1.6666666666666667,523.4399999999999,174.48,2022-03-23 15:06:43,2022-03-23 15:06:43,,0.0,0,,6,46.666666666666664,141.0,49.0,0.0,0.3333333333333333,Mobile,Direct,2,0.5,Credit Card,1400.0,0,0.0,8.149531034975018,3,2,0.0,2106.77,628.0,66.66666666666666,0.0,2.0,5.0,3.0,253,At Risk,3.3333333333333335,Medium Value,High Risk
45,Prefer Not To Say,1961-03-19,Active,Georgetown,MT,29198.0,US,2025-07-23 09:49:18,2025-11-02,True,,,,64,182,80,55-64,Inactive,,0.0,0,0.0,,0,,,,,,,,2,4.0,5,28.0,71.0,20.0,0.0,0.0,Mobile,Display Ads,2,0.5,,,0,,,3,1,0.0,2264.1800000000003,122.33333333333333,33.33333333333333,0.0,,,,,,,,
46,Male,1944-04-19,Blocked,Chester,TN,78723.0,US,2024-05-18 12:50:31,2024-11-25,False,,,,81,613,422,65 and over,Dormant,,0.0,0,0.0,,0,,,,,,,,0,,3,36.333333333333336,118.0,40.0,0.6666666666666666,0.0,Mobile,Direct,0,,,,0,,,0,0,,0.0,,,,,,,,,,,
47,Female,1979-05-30,Active,Bellevue,WA,11498.0,US,2020-10-11 10:05:25,2025-01-16,True,,,,46,1928,370,45-54,Dormant,,0.0,0,0.0,,0,,,,,,,,0,,4,,12.0,1.0,0.0,0.0,Mobile,Paid Search,1,1.0,,,0,,,0,0,,0.0,,,,,,,,,,,
48,Female,1948-01-18,Active,New York,NY,76895.0,US,2025-04-15 18:07:03,2025-05-27,True,,,,78,281,239,65 and over,Dormant,,0.0,0,0.0,,0,,,,,,,,2,3.5,5,36.0,66.0,49.0,0.0,0.2,Desktop,Social Media,5,0.0,,,0,,,0,0,,0.0,,,,,,,,,,,
49,Female,1947-03-26,Active,Chester,UT,27431.0,US,2025-06-21 15:02:18,2025-09-11,True,61.0,1.0,517.33,78,214,132,65 and over,Dormant,Uncategorized,517.33,1,517.33,517.33,1,1.0,,,2025-11-21 19:58:09,2025-11-21 19:58:09,,0.0,6,4.333333333333333,2,2.0,9.0,4.0,0.0,0.0,Mobile,Email,3,0.3333333333333333,PayPal,61.0,0,0.0,2.0798212903225806,3,3,0.0,1808.58,60.0,100.0,0.0,5.0,5.0,1.0,551,New Customers,3.6666666666666665,Medium Value,Low Risk
50,Male,2009-09-18,Closed,Springfield,RI,68515.0,US,2023-05-04 01:51:42,2024-07-06,False,,,,16,993,564,Under 18,Dormant,,0.0,0,0.0,,0,,,,,,,,0,,5,8.666666666666666,50.0,26.0,0.2,0.0,Mobile,Social Media,0,,,,0,,,0,0,,0.0,,,,,,,,,,,
51,Prefer Not To Say,1975-03-27,Closed,Hamilton,ON,,CA,2023-10-24 16:20:44,2024-12-24,False,,,,50,820,393,45-54,Dormant,,0.0,0,0.0,,0,,,,,,,,0,,6,18.2,56.0,16.0,0.16666666666666666,0.0,Mobile,Social Media,0,,,,0,,,0,0,,0.0,,,,,,,,,,,
52,Female,1999-03-29,Active,Franklin,IA,12125.0,US,2019-01-11 09:16:23,2025-04-07,True,,,,26,2567,289,25-34,Dormant,,0.0,0,0.0,,0,,,,,,,,2,5.0,2,26.0,55.0,25.0,0.0,0.0,Mobile,Organic Search,2,0.5,,,0,,,2,1,0.0,1093.1799999999998,513.0,50.0,0.0,,,,,,,,
53,Female,1956-03-23,Inactive,Franklin,VA,11198.0,US,2016-07-27 23:34:31,2018-08-20,False,,,,69,3465,2711,65 and over,Dormant,,0.0,0,0.0,,0,,,,,,,,1,2.0,3,10.5,30.0,14.0,0.0,0.0,Desktop,Social Media,2,0.0,,,0,,,0,0,,0.0,,,,,,,,,,,
54,Female,1961-04-20,Active,Reno,NV,84167.0,US,2018-05-13 21:52:54,2025-11-14,True,1459.0,1.0,153.68,64,2810,68,55-64,Inactive,Lost,153.68,1,153.68,153.68,1,1.0,22.64,22.64,2022-01-23 06:37:21,2022-01-23 06:37:21,,0.0,8,4.25,2,8.0,26.0,4.0,0.0,0.5,Mobile,Email,1,0.0,Credit Card,1459.0,0,0.0,0.7347572602739726,5,4,0.0,1989.66,1664.0,80.0,0.0,2.0,5.0,1.0,251,Others,2.6666666666666665,Low Value,Low Risk
55,Male,1979-10-13,Active,Georgetown,MO,57277.0,US,2017-01-30 21:37:42,2025-06-14,True,,,,46,3278,221,45-54,Dormant,,0.0,0,0.0,,0,,,,,,,,3,4.0,5,30.333333333333332,73.0,30.0,0.2,0.4,Mobile,Display Ads,3,0.0,,,0,,,3,2,0.0,2938.27,1933.6666666666667,66.66666666666666,0.0,,,,,,,,
56,Male,1946-09-19,Active,Georgetown,MT,91289.0,US,2016-11-15 13:17:26,2025-07-25,True,,,,79,3354,180,65 and over,Dormant,,0.0,0,0.0,,0,,,,,,,,2,3.0,3,11.0,31.0,6.0,0.6666666666666666,0.3333333333333333,Mobile,Direct,3,0.0,,,0,,,0,0,,0.0,,,,,,,,,,,
57,Male,1947-03-31,Active,Akron,OH,64827.0,US,2024-03-08 13:43:31,2025-10-15,True,,,,78,684,98,65 and over,Dormant,,0.0,0,0.0,,0,,,,,,,,1,5.0,6,41.6,48.0,23.0,0.16666666666666666,0.0,Desktop,Direct,0,,,,0,,,2,2,0.0,2711.26,398.0,100.0,0.0,,,,,,,,
58,Male,1967-07-18,Active,Springfield,MD,25084.0,US,2019-08-31 02:07:53,2025-10-13,True,,,,58,2335,100,55-64,Dormant,,0.0,0,0.0,,0,,,,,,,,2,3.0,1,14.0,24.0,23.0,0.0,0.0,Mobile,Paid Search,1,0.0,,,0,,,1,1,0.0,774.43,795.0,100.0,0.0,,,,,,,,
59,Male,1956-07-08,Blocked,Franklin,DE,58929.0,US,2024-02-16 21:45:51,2024-12-17,False,,,,69,705,400,65 and over,Dormant,,0.0,0,0.0,,0,,,,,,,,0,,3,20.5,48.0,12.0,0.0,0.0,Desktop,Referral,0,,,,0,,,0,0,,0.0,,,,,,,,,,,
60,Female,1948-06-15,Active,Riverside,OR,45112.0,US,2021-05-04 00:50:48,2025-09-03,True,1518.0,2.0,3735.13,77,1723,140,65 and over,Dormant,Lost,14627.06,2,14627.06,2437.8433333333332,14,2.3333333333333335,1629.08,407.27,2021-11-24 08:25:00,2021-11-25 03:22:42,1.0,0.0,18,4.277777777777778,1,5.0,3.0,,0.0,0.0,Mobile,Organic Search,0,,Gift Card,1518.0,1,0.0,30.080453113890716,3,2,0.0,3900.2000000000003,1521.0,66.66666666666666,0.0,1.0,5.0,5.0,155,At Risk,3.6666666666666665,Medium Value,High Risk
61,Female,1989-05-17,Active,Franklin,MB,,CA,2016-11-20 10:45:18,2025-07-30,True,,,,36,3349,175,35-44,Dormant,,0.0,0,0.0,,0,,,,,,,,2,2.0,3,25.0,49.0,5.0,0.0,0.0,Mobile,Direct,0,,,,0,,,0,0,,0.0,,,,,,,,,,,
62,Female,1946-09-21,Inactive,Springfield,YT,,CA,2023-12-04 17:25:13,2025-02-15,False,,,,79,779,340,65 and over,Dormant,,0.0,0,0.0,,0,,,,,,,,2,4.5,3,9.5,26.0,15.0,0.3333333333333333,0.0,Tablet,Direct,4,0.25,,,0,,,1,0,0.0,0.0,366.0,0.0,0.0,,,,,,,,
63,Female,1955-10-06,Active,Reno,NV,28327.0,US,2019-12-08 11:46:13,2025-02-07,True,1604.0,1.0,1097.44,70,2236,348,65 and over,Dormant,Lost,4389.76,1,4389.76,1097.44,6,1.5,238.68,59.67,2021-08-31 07:09:52,2021-08-31 07:09:52,,4.0,0,,1,,2.0,1.0,0.0,0.0,Smart TV,Paid Search,1,1.0,PayPal,1604.0,0,400.0,9.204442118380065,3,2,0.0,6488.820000000001,1603.3333333333333,66.66666666666666,0.0,1.0,5.0,2.0,152,Hibernating,2.6666666666666665,Low Value,High Risk
64,Prefer Not To Say,1993-09-25,Inactive,Savannah,GA,20957.0,US,2015-10-04 00:16:13,2016-03-15,False,2671.0,1.0,462.32,32,3762,3599,25-34,Dormant,Lost,462.32,1,462.32,462.32,5,5.0,,,2018-09-29 02:25:12,2018-09-29 02:25:12,,0.0,4,3.0,2,6.5,15.0,,0.0,0.0,Desktop,Social Media,3,0.3333333333333333,Credit Card,2671.0,0,0.0,1.3396100598802394,3,2,0.0,2155.1800000000003,2741.6666666666665,66.66666666666666,0.0,1.0,5.0,1.0,151,Others,2.3333333333333335,Low Value,Low Risk
65,Male,1951-08-19,Inactive,Franklin,MS,43438.0,US,2023-08-26 00:21:51,2024-11-07,False,,,,74,879,440,65 and over,Dormant,,0.0,0,0.0,,0,,,,,,,,2,5.0,2,4.0,9.0,3.0,0.0,0.0,Mobile,Direct,5,0.2,,,0,,,2,2,0.0,5968.02,683.0,100.0,0.0,,,,,,,,
66,Male,2005-08-29,Active,Madison,YT,,CA,2022-03-28 08:52:04,2025-03-07,True,,,,20,1395,320,18-24,Dormant,,0.0,0,0.0,,0,,,,,,,,0,,5,25.4,100.0,37.0,0.2,0.2,Mobile,Display Ads,2,0.5,,,0,,,1,1,0.0,2863.58,263.0,100.0,0.0,,,,,,,,
67,Prefer Not To Say,1974-10-18,Active,Hamilton,ON,,CA,2024-07-09 23:46:19,2025-11-02,True,,,,51,561,80,45-54,Inactive,,0.0,0,0.0,,0,,,,,,,,0,,4,19.0,34.0,8.0,0.25,0.0,Mobile,Organic Search,3,0.0,,,0,,,0,0,,0.0,,,,,,,,,,,
