order_date,order_year,order_month,total_revenue,total_orders,total_customers,new_customers,returning_customers,avg_order_value,total_units_sold,total_sessions,total_conversions,session_to_order_rate,prev_day_revenue,prev_day_customers,revenue_growth_rate,customer_retention_rate
2025-01-30,2025,1,773.12,1,1,1,0,773.12,5,4,1.0,25.0,3503.05,1.0,-77.93008949344143,0.0
2025-02-03,2025,2,228.33,1,1,1,0,228.33,1,2,0.0,50.0,773.12,1.0,-70.46642177152317,0.0
2025-02-26,2025,2,721.16,1,1,1,0,721.16,5,0,,,228.33,1.0,215.84110716944767,0.0
2025-03-30,2025,3,329.62,1,1,0,1,329.62,5,3,0.0,33.33333333333333,721.16,1.0,-54.29308336568861,100.0
2025-04-19,2025,4,2540.72,1,1,1,0,2540.72,6,0,,,329.62,1.0,670.8027425520296,0.0
2025-04-25,2025,4,1687.81,1,1,1,0,1687.81,6,1,0.0,100.0,2540.72,1.0,-33.56961806102207,0.0
2025-05-24,2025,5,1762.13,1,1,1,0,1762.13,5,1,1.0,100.0,1687.81,1.0,4.403339238421396,0.0
2025-06-07,2025,6,1219.32,1,1,1,0,1219.32,1,2,0.0,50.0,1762.13,1.0,-30.804197193169635,0.0
2025-06-14,2025,6,2098.39,1,1,1,0,2098.39,4,1,0.0,100.0,1219.32,1.0,72.09510218810485,0.0
2025-07-05,2025,7,387.85,1,1,1,0,387.85,2,0,,,2098.39,1.0,-81.51678191375292,0.0
2025-07-10,2025,7,2904.73,1,1,1,0,2904.73,6,2,0.0,50.0,387.85,1.0,648.9312878690215,0.0
2025-07-20,2025,7,3226.3599999999997,2,2,2,0,1613.1799999999998,9,0,,,2904.73,1.0,11.072629814130734,0.0
2025-08-07,2025,8,2681.18,1,1,0,1,2681.18,14,1,0.0,100.0,3226.3599999999997,2.0,-16.897680358050554,50.0
2025-09-05,2025,9,2789.83,2,2,2,0,1394.915,6,2,0.0,100.0,2681.18,1.0,4.0523202470554045,0.0
2025-09-16,2025,9,298.32,1,1,1,0,298.32,4,0,,,2789.83,2.0,-89.30687532932113,0.0
2025-09-30,2025,9,2531.03,2,2,2,0,1265.515,6,4,1.0,50.0,298.32,1.0,748.4278626977742,0.0
2025-10-07,2025,10,330.63,1,1,1,0,330.63,1,3,0.0,33.33333333333333,2531.03,2.0,-86.93693871664895,0.0
2025-10-10,2025,10,2417.13,1,1,1,0,2417.13,10,1,1.0,100.0,330.63,1.0,631.0679611650485,0.0
2025-10-14,2025,10,2337.63,1,1,1,0,2337.63,6,2,0.0,50.0,2417.13,1.0,-3.289024587010214,0.0
2025-10-18,2025,10,171.77,1,1,1,0,171.77,6,6,0.0,16.666666666666664,2337.63,1.0,-92.65195946321701,0.0
2025-10-30,2025,10,3077.45,1,1,1,0,3077.45,4,2,0.0,50.0,171.77,1.0,1691.610875007277,0.0
2025-11-05,2025,11,4710.52,1,1,1,0,4710.52,3,0,,,3077.45,1.0,53.06568750101548,0.0
2025-11-15,2025,11,927.13,1,1,1,0,927.13,6,1,0.0,100.0,4710.52,1.0,-80.31788422509617,0.0
2025-11-19,2025,11,1609.58,1,1,1,0,1609.58,3,1,0.0,100.0,927.13,1.0,73.60887901373053,0.0
2025-11-21,2025,11,517.33,1,1,1,0,517.33,1,4,0.0,25.0,1609.58,1.0,-67.85931733744206,0.0
2025-12-03,2025,12,3362.49,1,1,0,1,3362.49,7,2,0.0,50.0,517.33,1.0,549.9700384667426,100.0
2025-12-05,2025,12,6198.17,2,2,2,0,3099.085,20,4,1.0,50.0,3362.49,1.0,84.33274151001194,0.0
2025-12-07,2025,12,3277.97,1,1,1,0,3277.97,8,1,0.0,100.0,6198.17,2.0,-47.11390620134653,0.0
2025-12-11,2025,12,4032.3,1,1,0,1,4032.3,3,3,0.0,33.33333333333333,3277.97,1.0,23.012108103490895,100.0
2025-12-18,2025,12,2664.32,1,1,1,0,2664.32,7,3,1.0,33.33333333333333,4032.3,1.0,-33.92555117426779,0.0
